cmpy_id,security_id,name,symbol,sector,subsector,listing_date
29,146,"2GO Group, Inc.",2GO,Services,Transportation Services,"May 15, 1995"
626,563,"8990 Holdings, Inc.",HOUSE,Property,Property,"Dec 09, 2010"
13,234,"A Brown Company, Inc.",BRN,Property,Property,"Feb 08, 1994"
14,169,A. Soriano Corporation,ANS,Holding Firms,Holding Firms,"Oct 25, 1973"
114,123,ABS-CBN Corporation,ABS,Services,Media,"Jul 08, 1992"
15,259,ABS-CBN Holdings Corporation,ABSP,Services,Media,"Oct 07, 1999"
233,140,AC Energy Corporation,ACEN,Industrial,"Electricity, Energy, Power & Water","Jan 05, 1970"
653,599,"ACE Enexor, Inc.",ACEX,Mining and Oil,Oil,"Aug 28, 2014"
177,182,"APC Group, Inc.",APC,Services,Other Services,"Mar 08, 1994"
679,655,"AREIT, Inc.",AREIT,Property,Property,"Aug 13, 2020"
56,176,"ATN Holdings, Inc.",ATN,Holding Firms,Holding Firms,"Sep 24, 1970"
174,173,"AbaCore Capital Holdings, Inc.",ABA,Holding Firms,Holding Firms,"Oct 28, 1987"
16,183,"Aboitiz Equity Ventures, Inc.",AEV,Holding Firms,Holding Firms,"Nov 16, 1994"
609,532,Aboitiz Power Corporation,AP,Industrial,"Electricity, Energy, Power & Water","Jul 16, 2007"
33,321,Abra Mining and Industrial Corporation,AR,Mining and Oil,Mining,"Dec 24, 1969"
48,370,Acesite (Phils.) Hotel Corporation,ACE,Services,Hotel & Leisure,"Dec 05, 1986"
619,547,"AgriNurture, Inc.",ANI,Industrial,"Food, Beverage & Tobacco","May 25, 2009"
674,647,AllHome Corp.,HOME,Services,Retail,"Oct 10, 2019"
212,179,"Alliance Global Group, Inc.",AGI,Holding Firms,Holding Firms,"Apr 19, 1999"
602,524,"Alliance Select Foods International, Inc.",FOOD,Industrial,"Food, Beverage & Tobacco","Nov 08, 2006"
121,170,"Alsons Consolidated Resources, Inc.",ACR,Industrial,"Electricity, Energy, Power & Water","Apr 12, 1993"
678,654,"Altus Property Ventures, Inc.",APVI,SME,SME,"Jun 26, 2020"
612,536,"Anchor Land Holdings, Inc.",ALHI,Property,Property,"Aug 08, 2007"
52,171,Anglo Philippine Holdings Corporation,APO,Holding Firms,Holding Firms,"Jul 31, 1959"
178,318,"Apex Mining Co., Inc.",APX,Mining and Oil,Mining,"Mar 07, 1974"
638,581,"Apollo Global Capital, Inc.",APL,Services,Information Technology,"Oct 18, 2012"
38,294,"Araneta Properties, Inc.",ARA,Property,Property,"Nov 14, 1989"
172,316,Arthaland Corporation,ALCO,Property,Property,"Mar 19, 1996"
55,347,Asia Amalgamated Holdings Corporation,AAA,Holding Firms,Holding Firms,"Mar 22, 1973"
641,584,Asia United Bank Corporation,AUB,Financials,Banks,"May 17, 2013"
176,350,Asiabest Group International Inc.,ABG,Holding Firms,Holding Firms,"Jul 10, 1979"
53,141,"Asian Terminals, Inc.",ATI,Services,Transportation Services,"Jan 25, 1996"
34,320,Atlas Consolidated Mining and Development Corporation,AT,Mining and Oil,Mining,"Nov 17, 1970"
19,181,"Atok-Big Wedge Co., Inc.",AB,Mining and Oil,Mining,"Jan 08, 1948"
673,646,Axelum Resources Corp.,AXLM,Industrial,"Food, Beverage & Tobacco","Oct 07, 2019"
57,180,Ayala Corporation,AC,Holding Firms,Holding Firms,"Nov 08, 1976"
180,293,"Ayala Land, Inc.",ALI,Property,Property,"Jul 05, 1991"
26,202,AyalaLand Logistics Holdings Corp.,ALLHC,Holding Firms,Holding Firms,"Feb 28, 1990"
31,121,"BDO Leasing and Finance, Inc.",BLFI,Financials,Other Financial Institutions,"Jan 06, 1997"
260,468,"BDO Unibank, Inc.",BDO,Financials,Banks,"May 21, 2002"
