OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.28,6400.0,1.28,"Aug 04, 2009 00:00:00",1.28,1.28
1.3,1033760.0,1.28,"Aug 11, 2009 00:00:00",1.34,1.28
1.28,25600.0,1.28,"Aug 12, 2009 00:00:00",1.28,1.28
1.32,282840.0,1.34,"Aug 13, 2009 00:00:00",1.34,1.3
1.3,2917600.0,1.28,"Aug 14, 2009 00:00:00",1.3,1.28
1.3,537800.0,1.28,"Aug 17, 2009 00:00:00",1.3,1.28
1.28,219980.0,1.26,"Aug 18, 2009 00:00:00",1.28,1.26
1.34,67100.0,1.28,"Aug 20, 2009 00:00:00",1.34,1.28
1.28,253440.0,1.28,"Aug 24, 2009 00:00:00",1.28,1.28
1.28,38400.0,1.28,"Aug 26, 2009 00:00:00",1.28,1.28
1.28,32840.0,1.26,"Sep 03, 2009 00:00:00",1.28,1.26
1.26,66860.0,1.26,"Sep 04, 2009 00:00:00",1.28,1.26
1.16,348000.0,1.16,"Sep 16, 2009 00:00:00",1.16,1.16
1.16,366680.0,1.14,"Sep 17, 2009 00:00:00",1.16,1.12
1.16,54000.0,1.18,"Sep 22, 2009 00:00:00",1.18,1.14
1.14,86380.0,1.16,"Sep 23, 2009 00:00:00",1.16,1.14
1.2,59200.0,1.22,"Sep 30, 2009 00:00:00",1.22,1.2
1.18,118000.0,1.18,"Oct 02, 2009 00:00:00",1.18,1.18
1.18,70020.0,1.16,"Oct 05, 2009 00:00:00",1.18,1.16
1.24,90000.0,1.18,"Oct 06, 2009 00:00:00",1.24,1.18
1.18,248760.0,1.18,"Oct 09, 2009 00:00:00",1.18,1.16
1.18,58800.0,1.16,"Oct 12, 2009 00:00:00",1.18,1.16
1.16,78880.0,1.16,"Oct 13, 2009 00:00:00",1.16,1.16
1.18,23600.0,1.18,"Oct 16, 2009 00:00:00",1.18,1.18
1.16,35200.0,1.18,"Oct 19, 2009 00:00:00",1.18,1.16
1.18,236000.0,1.18,"Oct 20, 2009 00:00:00",1.18,1.18
1.18,118000.0,1.18,"Oct 21, 2009 00:00:00",1.18,1.18
1.16,532440.0,1.16,"Oct 22, 2009 00:00:00",1.16,1.16
1.14,268200.0,1.18,"Oct 23, 2009 00:00:00",1.18,1.14
1.18,28320.0,1.18,"Oct 26, 2009 00:00:00",1.18,1.18
1.16,3440.0,1.14,"Oct 29, 2009 00:00:00",1.16,1.14
1.16,56840.0,1.16,"Oct 30, 2009 00:00:00",1.16,1.16
1.18,11800.0,1.18,"Nov 04, 2009 00:00:00",1.18,1.18
1.2,24000.0,1.2,"Nov 05, 2009 00:00:00",1.2,1.2
1.18,590000.0,1.18,"Nov 06, 2009 00:00:00",1.18,1.18
1.16,5800.0,1.16,"Nov 09, 2009 00:00:00",1.16,1.16
1.18,118000.0,1.18,"Nov 10, 2009 00:00:00",1.18,1.18
1.2,6000.0,1.2,"Dec 15, 2009 00:00:00",1.2,1.2
1.2,7200.0,1.2,"Dec 16, 2009 00:00:00",1.2,1.2
1.16,66120.0,1.16,"Dec 17, 2009 00:00:00",1.16,1.16
1.16,68440.0,1.16,"Dec 18, 2009 00:00:00",1.16,1.16
1.14,19380.0,1.14,"Dec 21, 2009 00:00:00",1.14,1.14
1.18,59000.0,1.18,"Dec 23, 2009 00:00:00",1.18,1.18
1.14,34200.0,1.14,"Jan 05, 2010 00:00:00",1.14,1.14
1.14,5700.0,1.14,"Jan 06, 2010 00:00:00",1.14,1.14
1.14,2280.0,1.14,"Jan 07, 2010 00:00:00",1.14,1.14
1.16,105560.0,1.16,"Jan 08, 2010 00:00:00",1.16,1.16
1.16,11600.0,1.16,"Jan 11, 2010 00:00:00",1.16,1.16
1.16,39440.0,1.16,"Jan 12, 2010 00:00:00",1.16,1.16
1.16,171020.0,1.14,"Jan 15, 2010 00:00:00",1.16,1.14
1.12,13440.0,1.12,"Jan 18, 2010 00:00:00",1.12,1.12
1.12,433440.0,1.12,"Jan 19, 2010 00:00:00",1.12,1.12
1.14,1140.0,1.14,"Jan 21, 2010 00:00:00",1.14,1.14
1.12,122080.0,1.12,"Jan 22, 2010 00:00:00",1.12,1.12
1.14,11400.0,1.14,"Jan 27, 2010 00:00:00",1.14,1.14
1.14,57000.0,1.14,"Jan 28, 2010 00:00:00",1.14,1.14
1.12,145600.0,1.12,"Jan 29, 2010 00:00:00",1.12,1.12
1.12,382280.0,1.1,"Feb 01, 2010 00:00:00",1.12,1.1
1.08,29520.0,1.1,"Feb 02, 2010 00:00:00",1.1,1.08
