OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.92,1920.0,1.92,"Sep 04, 2009 00:00:00",1.92,1.92
2.85,59850.0,2.85,"Oct 02, 2009 00:00:00",2.85,2.85
4.25,378250.0,4.25,"Oct 09, 2009 00:00:00",4.25,4.25
6.3,6300.0,6.3,"Oct 13, 2009 00:00:00",6.3,6.3
9.4,56400.0,9.4,"Oct 14, 2009 00:00:00",9.4,9.4
14.0,98000.0,14.0,"Oct 15, 2009 00:00:00",14.0,14.0
14.0,390950.0,21.0,"Oct 16, 2009 00:00:00",21.0,9.5
31.0,537600.0,31.5,"Oct 19, 2009 00:00:00",31.5,27.0
47.0,6081800.0,47.0,"Oct 20, 2009 00:00:00",47.0,47.0
62.0,2455450.0,49.0,"Oct 21, 2009 00:00:00",62.0,35.0
42.0,3541800.0,58.0,"Oct 22, 2009 00:00:00",58.0,42.0
58.0,3368400.0,53.0,"Oct 23, 2009 00:00:00",58.5,51.0
51.5,973900.0,46.5,"Oct 26, 2009 00:00:00",51.5,46.5
46.0,1349650.0,38.5,"Oct 27, 2009 00:00:00",46.0,37.5
38.0,603850.0,45.0,"Oct 28, 2009 00:00:00",47.0,38.0
45.0,1027800.0,43.5,"Oct 29, 2009 00:00:00",51.0,43.5
45.0,951700.0,41.5,"Oct 30, 2009 00:00:00",49.5,41.5
41.0,658150.0,37.5,"Nov 03, 2009 00:00:00",42.5,37.5
38.0,278250.0,39.0,"Nov 04, 2009 00:00:00",39.0,37.0
39.0,204700.0,38.5,"Nov 05, 2009 00:00:00",39.0,38.0
39.0,235950.0,41.0,"Nov 06, 2009 00:00:00",42.0,39.0
42.0,97500.0,40.5,"Nov 09, 2009 00:00:00",42.0,40.0
41.0,224700.0,40.5,"Nov 10, 2009 00:00:00",41.5,39.5
39.0,50800.0,38.0,"Nov 11, 2009 00:00:00",40.0,38.0
113.0,8615540.0,103.0,"Dec 15, 2009 00:00:00",122.0,94.0
94.0,3393210.0,101.0,"Dec 16, 2009 00:00:00",110.0,93.5
92.5,1061025.0,97.5,"Dec 17, 2009 00:00:00",101.0,92.5
99.0,1573850.0,100.0,"Dec 18, 2009 00:00:00",104.0,98.0
102.0,636600.0,100.0,"Dec 21, 2009 00:00:00",103.0,98.5
100.0,790300.0,99.5,"Dec 22, 2009 00:00:00",102.0,99.5
100.0,2731600.0,100.0,"Dec 23, 2009 00:00:00",105.0,100.0
100.0,232500.0,101.0,"Dec 29, 2009 00:00:00",105.0,99.0
97.0,1060345.0,100.0,"Jan 04, 2010 00:00:00",100.0,95.0
100.0,1932350.0,100.0,"Jan 05, 2010 00:00:00",100.0,95.0
