OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
11.0,31099460.0,15.02,"Jun 22, 2011 00:00:00",17.0,11.0
15.0,1037236.0,11.2,"Jun 23, 2011 00:00:00",15.0,10.0
10.6,695564.0,12.5,"Jun 24, 2011 00:00:00",12.72,10.6
13.0,9554584.0,16.2,"Jun 27, 2011 00:00:00",16.48,12.5
16.26,6393854.0,15.3,"Jun 28, 2011 00:00:00",16.78,15.1
15.9,384676.0,15.38,"Jun 29, 2011 00:00:00",15.9,15.12
15.4,2696046.0,16.0,"Jun 30, 2011 00:00:00",16.2,15.0
16.16,65616.0,15.88,"Jul 01, 2011 00:00:00",16.16,15.88
16.1,500004.0,15.5,"Jul 04, 2011 00:00:00",16.12,15.5
15.4,210906.0,15.7,"Jul 05, 2011 00:00:00",15.9,15.22
15.7,639536.0,15.5,"Jul 06, 2011 00:00:00",15.9,15.26
15.7,1315204.0,15.4,"Jul 07, 2011 00:00:00",15.8,15.24
15.8,223554.0,15.18,"Jul 08, 2011 00:00:00",15.8,15.18
15.5,119746.0,15.1,"Jul 11, 2011 00:00:00",15.5,15.1
15.4,644534.0,15.24,"Jul 12, 2011 00:00:00",15.4,15.0
15.28,474208.0,15.08,"Jul 13, 2011 00:00:00",15.28,15.0
15.18,1105498.0,15.28,"Jul 14, 2011 00:00:00",15.3,15.1
15.6,10598104.0,16.32,"Jul 15, 2011 00:00:00",16.48,15.3
16.4,4216102.0,17.5,"Jul 18, 2011 00:00:00",17.5,16.4
16.98,3003578.0,17.52,"Jul 19, 2011 00:00:00",17.98,16.76
17.8,9721502.0,19.2,"Jul 20, 2011 00:00:00",19.5,17.5
19.9,12168888.0,21.9,"Jul 21, 2011 00:00:00",22.65,19.28
22.7,22496220.0,23.5,"Jul 22, 2011 00:00:00",23.75,21.95
23.7,13700025.0,21.5,"Jul 25, 2011 00:00:00",23.7,20.8
22.0,12279255.0,21.65,"Jul 26, 2011 00:00:00",23.75,21.6
22.9,18405155.0,26.8,"Jul 27, 2011 00:00:00",28.0,22.0
27.35,13842605.0,28.5,"Jul 28, 2011 00:00:00",29.2,25.65
29.3,29169725.0,28.8,"Jul 29, 2011 00:00:00",29.85,28.25
29.7,16709360.0,30.3,"Aug 01, 2011 00:00:00",31.0,28.8
31.1,20906950.0,32.7,"Aug 02, 2011 00:00:00",32.95,30.3
32.65,25864475.0,34.75,"Aug 03, 2011 00:00:00",34.95,32.2
35.0,19760005.0,37.0,"Aug 04, 2011 00:00:00",37.5,34.55
36.0,24671020.0,37.0,"Aug 05, 2011 00:00:00",37.5,34.65
37.25,9856310.0,36.45,"Aug 08, 2011 00:00:00",37.7,36.05
35.15,20281570.0,33.1,"Aug 09, 2011 00:00:00",35.85,30.5
36.0,16949560.0,35.85,"Aug 10, 2011 00:00:00",36.1,34.0
34.75,27494145.0,39.05,"Aug 11, 2011 00:00:00",40.3,34.0
40.4,43060630.0,43.85,"Aug 12, 2011 00:00:00",45.0,40.3
47.0,37977290.0,47.85,"Aug 15, 2011 00:00:00",49.0,44.5
