OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.6,6000.0,0.6,"Aug 10, 2009 00:00:00",0.6,0.6
0.6,18000.0,0.6,"Aug 11, 2009 00:00:00",0.6,0.6
0.6,179000.0,0.59,"Aug 13, 2009 00:00:00",0.6,0.59
0.62,18600.0,0.62,"Aug 19, 2009 00:00:00",0.62,0.62
0.56,28000.0,0.56,"Aug 25, 2009 00:00:00",0.56,0.56
0.58,73500.0,0.62,"Aug 26, 2009 00:00:00",0.62,0.58
0.58,63800.0,0.58,"Sep 04, 2009 00:00:00",0.58,0.58
0.59,17900.0,0.6,"Sep 17, 2009 00:00:00",0.6,0.59
0.6,150000.0,0.6,"Sep 22, 2009 00:00:00",0.6,0.6
0.62,124000.0,0.62,"Oct 09, 2009 00:00:00",0.62,0.62
0.52,5200.0,0.52,"Oct 12, 2009 00:00:00",0.52,0.52
0.55,517500.0,0.64,"Oct 16, 2009 00:00:00",0.64,0.55
0.62,1669200.0,0.71,"Oct 19, 2009 00:00:00",0.71,0.62
0.73,2222400.0,0.73,"Oct 20, 2009 00:00:00",0.76,0.7
0.71,626500.0,0.69,"Oct 21, 2009 00:00:00",0.71,0.69
0.68,352200.0,0.7,"Oct 22, 2009 00:00:00",0.7,0.68
0.72,618200.0,0.71,"Oct 23, 2009 00:00:00",0.73,0.71
0.73,21850400.0,0.89,"Oct 26, 2009 00:00:00",0.94,0.72
0.89,18161000.0,0.87,"Oct 27, 2009 00:00:00",0.93,0.86
0.87,3392600.0,0.81,"Oct 28, 2009 00:00:00",0.87,0.8
0.83,1234300.0,0.81,"Oct 29, 2009 00:00:00",0.83,0.79
0.87,16575800.0,0.89,"Oct 30, 2009 00:00:00",0.92,0.81
0.91,2238200.0,0.86,"Nov 03, 2009 00:00:00",0.91,0.86
0.88,1465800.0,0.86,"Nov 04, 2009 00:00:00",0.88,0.85
0.86,6413200.0,0.86,"Nov 05, 2009 00:00:00",0.88,0.85
0.88,3356100.0,0.87,"Nov 06, 2009 00:00:00",0.89,0.87
0.89,40829400.0,1.0,"Nov 09, 2009 00:00:00",1.08,0.89
1.06,23132200.0,1.04,"Nov 10, 2009 00:00:00",1.1,1.04
1.06,72259620.0,1.38,"Nov 11, 2009 00:00:00",1.46,1.04
1.38,17223460.0,1.3,"Dec 15, 2009 00:00:00",1.38,1.3
1.3,14481140.0,1.28,"Dec 16, 2009 00:00:00",1.32,1.28
1.28,18067960.0,1.3,"Dec 17, 2009 00:00:00",1.36,1.28
1.3,13096560.0,1.28,"Dec 18, 2009 00:00:00",1.34,1.28
1.3,8544000.0,1.24,"Dec 21, 2009 00:00:00",1.3,1.24
1.26,8259660.0,1.22,"Dec 22, 2009 00:00:00",1.26,1.2
1.22,3020700.0,1.2,"Dec 23, 2009 00:00:00",1.22,1.18
1.22,14813780.0,1.22,"Dec 29, 2009 00:00:00",1.24,1.2
1.24,4292580.0,1.22,"Jan 04, 2010 00:00:00",1.28,1.22
1.24,4070260.0,1.22,"Jan 05, 2010 00:00:00",1.24,1.22
1.2,10352620.0,1.14,"Jan 06, 2010 00:00:00",1.22,1.12
1.14,22517580.0,1.28,"Jan 07, 2010 00:00:00",1.3,1.14
1.3,13261240.0,1.2,"Jan 08, 2010 00:00:00",1.3,1.2
1.24,2893820.0,1.2,"Jan 11, 2010 00:00:00",1.24,1.16
1.2,8816840.0,1.16,"Jan 12, 2010 00:00:00",1.22,1.16
1.14,25674560.0,1.16,"Jan 13, 2010 00:00:00",1.16,1.08
1.14,31120220.0,1.06,"Jan 14, 2010 00:00:00",1.14,1.06
1.06,7530680.0,1.06,"Jan 15, 2010 00:00:00",1.12,1.06
1.08,5896220.0,1.04,"Jan 18, 2010 00:00:00",1.08,1.02
1.04,3855560.0,1.02,"Jan 19, 2010 00:00:00",1.04,1.0
1.02,6767110.0,1.0,"Jan 20, 2010 00:00:00",1.04,0.98
0.98,14037200.0,1.08,"Jan 21, 2010 00:00:00",1.1,0.98
1.08,35468840.0,1.08,"Jan 22, 2010 00:00:00",1.12,1.04
1.08,5233160.0,1.04,"Jan 25, 2010 00:00:00",1.08,1.02
1.06,5268280.0,1.0,"Jan 26, 2010 00:00:00",1.08,1.0
1.02,9441300.0,0.99,"Jan 27, 2010 00:00:00",1.04,0.95
0.99,4077100.0,0.98,"Jan 28, 2010 00:00:00",1.0,0.96
0.96,1116300.0,0.97,"Jan 29, 2010 00:00:00",0.98,0.96
0.97,2426800.0,0.94,"Feb 01, 2010 00:00:00",0.97,0.93
0.96,11634800.0,0.96,"Feb 02, 2010 00:00:00",1.02,0.95
0.98,1624900.0,0.95,"Feb 03, 2010 00:00:00",0.98,0.94
0.94,7409700.0,0.94,"Feb 04, 2010 00:00:00",0.95,0.91
0.94,9475900.0,0.93,"Feb 05, 2010 00:00:00",0.94,0.89
0.93,3238000.0,0.9,"Feb 08, 2010 00:00:00",0.95,0.89
0.89,411700.0,0.87,"Feb 09, 2010 00:00:00",0.9,0.87
0.87,3359500.0,0.88,"Feb 10, 2010 00:00:00",0.9,0.87
0.88,2631100.0,0.88,"Feb 11, 2010 00:00:00",0.89,0.87
1.04,12151920.0,1.02,"Mar 08, 2010 00:00:00",1.06,1.0
0.99,4622700.0,0.97,"Mar 12, 2010 00:00:00",0.99,0.96
0.97,3332700.0,0.94,"Mar 15, 2010 00:00:00",0.97,0.94
0.94,3633400.0,0.95,"Mar 16, 2010 00:00:00",0.97,0.93
0.95,1102000.0,0.95,"Mar 17, 2010 00:00:00",0.95,0.95
0.9,531600.0,0.9,"Mar 31, 2010 00:00:00",0.91,0.9
0.91,1969900.0,0.89,"Apr 20, 2010 00:00:00",0.91,0.89
0.9,3933700.0,0.94,"Apr 21, 2010 00:00:00",0.95,0.9
0.94,1400300.0,0.94,"Apr 22, 2010 00:00:00",0.95,0.91
0.94,2078100.0,0.93,"Apr 23, 2010 00:00:00",0.94,0.93
0.94,856200.0,0.93,"Apr 29, 2010 00:00:00",0.94,0.93
0.93,3645500.0,0.94,"Apr 30, 2010 00:00:00",0.96,0.93
0.96,1823300.0,0.94,"May 04, 2010 00:00:00",0.96,0.92
0.92,3394400.0,0.9,"May 05, 2010 00:00:00",0.96,0.9
0.91,1025900.0,0.89,"May 13, 2010 00:00:00",0.91,0.89
0.9,3603800.0,0.89,"May 14, 2010 00:00:00",0.9,0.88
0.88,1556800.0,0.87,"May 17, 2010 00:00:00",0.88,0.86
0.88,103500.0,0.87,"May 18, 2010 00:00:00",0.88,0.86
0.87,501800.0,0.85,"May 19, 2010 00:00:00",0.87,0.85
0.84,425500.0,0.86,"May 20, 2010 00:00:00",0.86,0.84
0.84,144000.0,0.85,"May 21, 2010 00:00:00",0.86,0.84
0.87,279700.0,0.84,"May 24, 2010 00:00:00",0.87,0.84
0.85,42300.0,0.84,"May 25, 2010 00:00:00",0.86,0.84
0.85,84200.0,0.86,"May 26, 2010 00:00:00",0.86,0.83
0.86,895500.0,0.86,"May 28, 2010 00:00:00",0.87,0.86
0.87,720500.0,0.86,"May 31, 2010 00:00:00",0.87,0.84
0.88,285400.0,0.87,"Jun 01, 2010 00:00:00",0.88,0.86
0.88,1840200.0,0.9,"Jun 02, 2010 00:00:00",0.91,0.86
0.9,1867500.0,0.9,"Jun 03, 2010 00:00:00",0.91,0.88
0.91,327000.0,0.88,"Jun 04, 2010 00:00:00",0.91,0.88
0.88,429300.0,0.87,"Jun 07, 2010 00:00:00",0.88,0.87
0.87,200500.0,0.89,"Jun 08, 2010 00:00:00",0.89,0.87
0.89,778100.0,0.89,"Jun 09, 2010 00:00:00",0.89,0.88
0.89,471800.0,0.89,"Jun 10, 2010 00:00:00",0.9,0.89
0.9,151500.0,0.89,"Jun 11, 2010 00:00:00",0.9,0.89
0.89,507000.0,0.87,"Jun 15, 2010 00:00:00",0.89,0.87
0.89,1753700.0,0.89,"Jun 21, 2010 00:00:00",0.92,0.89
0.89,1071700.0,0.86,"Jun 22, 2010 00:00:00",0.9,0.86
0.88,937700.0,0.87,"Jun 23, 2010 00:00:00",0.89,0.87
0.87,539500.0,0.88,"Jun 24, 2010 00:00:00",0.88,0.87
0.86,16047900.0,0.8,"Jun 25, 2010 00:00:00",0.86,0.79
0.8,2006000.0,0.78,"Jun 28, 2010 00:00:00",0.8,0.76
0.78,359200.0,0.78,"Jun 29, 2010 00:00:00",0.8,0.78
0.76,3285400.0,0.74,"Jul 01, 2010 00:00:00",0.78,0.74
0.75,4729400.0,0.71,"Jul 02, 2010 00:00:00",0.75,0.71
0.71,1349000.0,0.71,"Jul 06, 2010 00:00:00",0.71,0.71
0.72,43200.0,0.72,"Jul 07, 2010 00:00:00",0.72,0.72
0.72,429700.0,0.73,"Jul 08, 2010 00:00:00",0.73,0.72
0.72,583700.0,0.72,"Jul 09, 2010 00:00:00",0.73,0.72
0.72,2876600.0,0.75,"Jul 13, 2010 00:00:00",0.75,0.72
0.76,1745300.0,0.76,"Jul 14, 2010 00:00:00",0.78,0.75
0.76,367600.0,0.75,"Jul 15, 2010 00:00:00",0.76,0.75
0.75,88900.0,0.74,"Jul 16, 2010 00:00:00",0.75,0.74
0.74,118400.0,0.74,"Jul 19, 2010 00:00:00",0.74,0.74
0.74,459900.0,0.75,"Jul 20, 2010 00:00:00",0.75,0.74
0.74,301600.0,0.74,"Jul 21, 2010 00:00:00",0.74,0.73
0.73,883300.0,0.73,"Jul 22, 2010 00:00:00",0.73,0.73
0.73,1192800.0,0.73,"Jul 23, 2010 00:00:00",0.74,0.73
1.0,3778690.0,1.02,"Sep 20, 2010 00:00:00",1.04,1.0
1.03,38763970.0,1.15,"Sep 21, 2010 00:00:00",1.17,1.03
1.18,41990840.0,1.21,"Sep 22, 2010 00:00:00",1.25,1.13
1.28,53826460.0,1.3,"Sep 23, 2010 00:00:00",1.33,1.25
1.3,27216170.0,1.3,"Sep 24, 2010 00:00:00",1.34,1.29
1.33,22902010.0,1.27,"Sep 27, 2010 00:00:00",1.33,1.25
1.26,18969820.0,1.24,"Sep 28, 2010 00:00:00",1.26,1.2
1.25,8590800.0,1.21,"Sep 29, 2010 00:00:00",1.26,1.2
1.22,12849630.0,1.24,"Sep 30, 2010 00:00:00",1.27,1.22
1.25,7300570.0,1.23,"Oct 01, 2010 00:00:00",1.26,1.23
1.24,10459020.0,1.28,"Oct 04, 2010 00:00:00",1.32,1.24
1.28,19124660.0,1.32,"Oct 05, 2010 00:00:00",1.36,1.27
1.34,9272960.0,1.31,"Oct 06, 2010 00:00:00",1.34,1.31
1.32,18554290.0,1.38,"Oct 07, 2010 00:00:00",1.38,1.31
1.4,17076020.0,1.36,"Oct 08, 2010 00:00:00",1.42,1.35
1.39,16691950.0,1.37,"Oct 12, 2010 00:00:00",1.41,1.3
1.36,26368750.0,1.46,"Oct 13, 2010 00:00:00",1.47,1.35
1.5,27173010.0,1.49,"Oct 14, 2010 00:00:00",1.55,1.48
1.5,6669550.0,1.48,"Oct 15, 2010 00:00:00",1.52,1.47
