OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
7.0,217000.0,7.0,"Aug 03, 2009 00:00:00",7.0,7.0
7.0,7315000.0,7.0,"Aug 04, 2009 00:00:00",7.0,7.0
7.0,105000.0,7.0,"Aug 06, 2009 00:00:00",7.0,7.0
6.9,6969000.0,6.9,"Aug 07, 2009 00:00:00",6.9,6.9
7.0,637000.0,7.0,"Aug 10, 2009 00:00:00",7.0,7.0
7.0,567300.0,7.0,"Aug 11, 2009 00:00:00",7.1,7.0
7.0,7280000.0,7.0,"Aug 12, 2009 00:00:00",7.0,7.0
7.1,9410200.0,7.4,"Aug 13, 2009 00:00:00",7.5,7.1
7.4,10098300.0,7.4,"Aug 14, 2009 00:00:00",7.5,7.3
7.3,373500.0,7.3,"Aug 17, 2009 00:00:00",7.4,7.3
7.3,1640100.0,7.2,"Aug 18, 2009 00:00:00",7.3,7.2
7.2,122400.0,7.2,"Aug 19, 2009 00:00:00",7.2,7.2
7.2,28800.0,7.2,"Aug 20, 2009 00:00:00",7.2,7.2
7.2,478500.0,7.2,"Aug 24, 2009 00:00:00",7.3,7.2
7.3,905300.0,7.2,"Aug 25, 2009 00:00:00",7.3,7.2
7.3,8194900.0,7.2,"Aug 26, 2009 00:00:00",7.3,7.2
7.3,153900.0,7.4,"Sep 03, 2009 00:00:00",7.4,7.3
7.3,10270300.0,7.5,"Sep 04, 2009 00:00:00",7.5,7.3
7.2,291000.0,7.3,"Sep 16, 2009 00:00:00",7.3,7.2
7.2,443300.0,7.2,"Sep 17, 2009 00:00:00",7.2,7.1
7.2,26354200.0,7.0,"Sep 18, 2009 00:00:00",7.2,7.0
7.0,20377000.0,7.0,"Sep 22, 2009 00:00:00",7.0,7.0
7.1,1065000.0,7.1,"Sep 23, 2009 00:00:00",7.1,7.1
7.2,28800.0,7.2,"Sep 30, 2009 00:00:00",7.2,7.2
7.2,4797000.0,7.5,"Oct 01, 2009 00:00:00",7.5,7.2
7.5,3833600.0,7.5,"Oct 02, 2009 00:00:00",7.5,7.4
7.4,39720600.0,7.5,"Oct 05, 2009 00:00:00",7.6,7.4
7.5,6524000.0,7.9,"Oct 06, 2009 00:00:00",7.9,7.5
7.9,14802300.0,7.8,"Oct 07, 2009 00:00:00",7.9,7.7
7.9,1272100.0,7.9,"Oct 08, 2009 00:00:00",8.0,7.9
7.9,2757600.0,8.0,"Oct 09, 2009 00:00:00",8.0,7.9
8.0,5401400.0,7.8,"Oct 12, 2009 00:00:00",8.0,7.8
7.6,4078600.0,7.7,"Oct 13, 2009 00:00:00",7.7,7.6
7.7,1201200.0,7.7,"Oct 14, 2009 00:00:00",7.7,7.7
7.7,7515600.0,7.9,"Oct 15, 2009 00:00:00",7.9,7.4
7.9,3175800.0,7.9,"Oct 16, 2009 00:00:00",7.9,7.9
7.8,156100.0,7.8,"Oct 19, 2009 00:00:00",7.9,7.8
7.8,897000.0,7.8,"Oct 20, 2009 00:00:00",7.8,7.8
7.5,2317500.0,7.7,"Oct 21, 2009 00:00:00",7.7,7.5
7.7,53900.0,7.7,"Oct 22, 2009 00:00:00",7.7,7.7
7.9,821600.0,7.9,"Oct 23, 2009 00:00:00",7.9,7.9
7.9,3557500.0,8.1,"Oct 26, 2009 00:00:00",8.1,7.9
8.1,7273600.0,8.2,"Oct 27, 2009 00:00:00",8.4,8.1
8.3,1033300.0,8.2,"Oct 28, 2009 00:00:00",8.3,8.2
8.1,10658300.0,8.0,"Oct 29, 2009 00:00:00",8.1,8.0
8.2,9392200.0,8.3,"Oct 30, 2009 00:00:00",8.3,8.0
8.2,186800.0,8.1,"Nov 03, 2009 00:00:00",8.2,8.1
8.2,24422000.0,8.5,"Nov 04, 2009 00:00:00",8.5,8.1
8.5,3585900.0,8.5,"Nov 05, 2009 00:00:00",8.5,8.3
8.5,1957100.0,8.4,"Nov 06, 2009 00:00:00",8.5,8.4
8.3,466500.0,8.2,"Nov 09, 2009 00:00:00",8.3,8.1
8.6,27838100.0,8.6,"Nov 10, 2009 00:00:00",8.7,8.5
8.6,98283600.0,8.5,"Nov 11, 2009 00:00:00",8.6,8.4
9.1,33135800.0,9.3,"Dec 15, 2009 00:00:00",9.4,9.1
9.2,31327800.0,9.0,"Dec 16, 2009 00:00:00",9.2,8.9
9.0,38771800.0,9.0,"Dec 17, 2009 00:00:00",9.0,8.9
8.9,1114500.0,8.9,"Dec 18, 2009 00:00:00",9.0,8.9
8.9,34189100.0,9.0,"Dec 21, 2009 00:00:00",9.0,8.9
8.9,28086400.0,8.9,"Dec 22, 2009 00:00:00",9.0,8.9
9.0,934714200.0,8.9,"Dec 23, 2009 00:00:00",9.0,8.9
8.9,703462100.0,9.0,"Dec 29, 2009 00:00:00",9.0,8.9
9.0,585000.0,9.0,"Jan 04, 2010 00:00:00",9.0,9.0
9.0,1871900.0,9.1,"Jan 05, 2010 00:00:00",9.2,9.0
