OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.21,2100.0,0.21,"Aug 03, 2009 00:00:00",0.21,0.21
0.2,30000.0,0.2,"Aug 04, 2009 00:00:00",0.2,0.2
0.2,2000.0,0.2,"Aug 06, 2009 00:00:00",0.2,0.2
0.2,4000.0,0.2,"Aug 07, 2009 00:00:00",0.2,0.2
0.18,36000.0,0.18,"Aug 11, 2009 00:00:00",0.18,0.18
0.16,16000.0,0.16,"Aug 14, 2009 00:00:00",0.16,0.16
0.16,31600.0,0.15,"Aug 17, 2009 00:00:00",0.16,0.15
0.145,29000.0,0.145,"Aug 18, 2009 00:00:00",0.145,0.145
0.145,418700.0,0.135,"Aug 19, 2009 00:00:00",0.145,0.13
0.14,154950.0,0.135,"Aug 20, 2009 00:00:00",0.14,0.13
0.135,119450.0,0.145,"Aug 24, 2009 00:00:00",0.145,0.13
0.145,62200.0,0.145,"Aug 25, 2009 00:00:00",0.145,0.135
0.145,3266700.0,0.215,"Aug 26, 2009 00:00:00",0.215,0.14
0.18,686050.0,0.18,"Sep 03, 2009 00:00:00",0.19,0.17
0.185,129000.0,0.19,"Sep 04, 2009 00:00:00",0.19,0.18
0.17,51000.0,0.17,"Sep 16, 2009 00:00:00",0.17,0.17
0.17,17000.0,0.17,"Sep 17, 2009 00:00:00",0.17,0.17
0.17,59500.0,0.17,"Sep 18, 2009 00:00:00",0.17,0.17
0.17,32400.0,0.18,"Sep 22, 2009 00:00:00",0.18,0.17
0.17,49300.0,0.17,"Sep 23, 2009 00:00:00",0.17,0.17
0.155,26350.0,0.155,"Oct 02, 2009 00:00:00",0.155,0.155
0.17,35700.0,0.17,"Oct 05, 2009 00:00:00",0.17,0.17
0.19,5700.0,0.19,"Oct 06, 2009 00:00:00",0.19,0.19
0.175,250300.0,0.175,"Oct 07, 2009 00:00:00",0.205,0.175
0.185,173050.0,0.18,"Oct 08, 2009 00:00:00",0.185,0.18
0.19,154050.0,0.18,"Oct 09, 2009 00:00:00",0.19,0.18
0.18,69850.0,0.185,"Oct 12, 2009 00:00:00",0.185,0.18
0.18,109850.0,0.18,"Oct 13, 2009 00:00:00",0.185,0.18
0.195,21900.0,0.195,"Oct 16, 2009 00:00:00",0.195,0.18
0.195,187550.0,0.185,"Oct 19, 2009 00:00:00",0.195,0.185
0.19,15496800.0,0.27,"Oct 20, 2009 00:00:00",0.27,0.19
0.28,9848550.0,0.215,"Oct 21, 2009 00:00:00",0.29,0.21
0.2,2170500.0,0.22,"Oct 22, 2009 00:00:00",0.23,0.195
0.215,1729500.0,0.225,"Oct 23, 2009 00:00:00",0.23,0.205
0.225,717900.0,0.22,"Oct 26, 2009 00:00:00",0.225,0.215
0.215,948050.0,0.205,"Oct 27, 2009 00:00:00",0.215,0.205
0.2,257900.0,0.2,"Oct 28, 2009 00:00:00",0.21,0.2
0.205,86050.0,0.2,"Oct 29, 2009 00:00:00",0.205,0.2
0.2,423550.0,0.2,"Oct 30, 2009 00:00:00",0.205,0.19
0.19,310850.0,0.19,"Nov 03, 2009 00:00:00",0.195,0.19
0.19,168000.0,0.185,"Nov 04, 2009 00:00:00",0.19,0.185
0.185,722700.0,0.195,"Nov 05, 2009 00:00:00",0.21,0.185
0.19,109400.0,0.185,"Nov 06, 2009 00:00:00",0.195,0.185
0.185,227400.0,0.185,"Nov 09, 2009 00:00:00",0.19,0.185
0.19,313500.0,0.185,"Nov 10, 2009 00:00:00",0.19,0.185
0.19,481600.0,0.195,"Nov 11, 2009 00:00:00",0.195,0.185
0.175,94500.0,0.16,"Dec 15, 2009 00:00:00",0.175,0.16
0.165,46700.0,0.17,"Dec 16, 2009 00:00:00",0.17,0.165
0.17,57800.0,0.17,"Dec 17, 2009 00:00:00",0.17,0.17
0.17,75250.0,0.165,"Dec 21, 2009 00:00:00",0.17,0.165
0.165,42900.0,0.165,"Dec 22, 2009 00:00:00",0.165,0.165
0.165,80050.0,0.16,"Dec 29, 2009 00:00:00",0.165,0.16
0.18,19800.0,0.18,"Jan 05, 2010 00:00:00",0.18,0.18
0.17,17000.0,0.17,"Jan 06, 2010 00:00:00",0.17,0.17
0.17,34000.0,0.17,"Jan 07, 2010 00:00:00",0.17,0.17
0.17,34000.0,0.17,"Jan 08, 2010 00:00:00",0.17,0.17
0.175,35000.0,0.175,"Jan 11, 2010 00:00:00",0.175,0.175
0.17,18700.0,0.17,"Jan 12, 2010 00:00:00",0.17,0.17
0.165,23700.0,0.17,"Jan 13, 2010 00:00:00",0.17,0.165
0.17,85000.0,0.17,"Jan 14, 2010 00:00:00",0.17,0.17
0.17,238550.0,0.175,"Jan 15, 2010 00:00:00",0.175,0.165
0.17,17000.0,0.17,"Jan 19, 2010 00:00:00",0.17,0.17
0.165,18650.0,0.17,"Jan 21, 2010 00:00:00",0.17,0.165
0.165,18150.0,0.165,"Jan 22, 2010 00:00:00",0.165,0.165
0.135,32700.0,0.15,"Jan 25, 2010 00:00:00",0.15,0.135
0.16,91050.0,0.15,"Jan 26, 2010 00:00:00",0.16,0.15
