OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
9.3,254125600.0,9.4,"Aug 03, 2009 00:00:00",9.5,9.1
9.7,116671200.0,9.6,"Aug 04, 2009 00:00:00",9.8,9.5
9.6,159657200.0,9.4,"Aug 06, 2009 00:00:00",9.6,9.3
9.3,13096500.0,9.5,"Aug 07, 2009 00:00:00",9.5,9.3
9.4,113562800.0,9.5,"Aug 10, 2009 00:00:00",9.6,9.4
9.7,105853400.0,9.5,"Aug 11, 2009 00:00:00",9.7,9.4
9.4,42901100.0,9.4,"Aug 12, 2009 00:00:00",9.4,9.3
9.4,120189500.0,9.4,"Aug 13, 2009 00:00:00",9.4,9.3
9.4,92369900.0,9.6,"Aug 14, 2009 00:00:00",9.7,9.4
9.5,135203100.0,9.4,"Aug 17, 2009 00:00:00",9.5,9.4
9.3,121762200.0,9.4,"Aug 18, 2009 00:00:00",9.5,9.2
9.5,90795200.0,9.7,"Aug 19, 2009 00:00:00",9.7,9.5
9.7,177291200.0,9.7,"Aug 20, 2009 00:00:00",9.7,9.6
9.9,247379700.0,10.0,"Aug 24, 2009 00:00:00",10.25,9.9
10.0,145312000.0,10.0,"Aug 25, 2009 00:00:00",10.5,10.0
10.5,108114500.0,10.25,"Aug 26, 2009 00:00:00",10.5,10.25
10.25,81738200.0,10.5,"Sep 03, 2009 00:00:00",10.5,10.0
10.5,68275550.0,10.5,"Sep 04, 2009 00:00:00",10.5,10.25
11.0,43889000.0,11.0,"Sep 16, 2009 00:00:00",11.0,10.75
11.0,127957575.0,10.75,"Sep 17, 2009 00:00:00",11.25,10.75
10.75,89233600.0,10.75,"Sep 18, 2009 00:00:00",10.75,10.75
10.75,176858775.0,10.75,"Sep 22, 2009 00:00:00",11.0,10.75
11.0,180508075.0,11.25,"Sep 23, 2009 00:00:00",11.5,11.0
11.75,117245925.0,11.5,"Sep 30, 2009 00:00:00",12.0,11.5
11.75,148576400.0,12.0,"Oct 01, 2009 00:00:00",12.0,11.5
11.5,77011500.0,12.0,"Oct 02, 2009 00:00:00",12.0,11.5
12.0,102119600.0,11.75,"Oct 05, 2009 00:00:00",12.0,11.75
12.25,163787600.0,12.0,"Oct 06, 2009 00:00:00",12.25,11.75
12.0,90766725.0,12.25,"Oct 07, 2009 00:00:00",12.25,12.0
12.5,215855225.0,12.5,"Oct 08, 2009 00:00:00",12.5,12.0
12.5,158678350.0,12.0,"Oct 09, 2009 00:00:00",12.5,12.0
12.0,98878475.0,11.75,"Oct 12, 2009 00:00:00",12.0,11.75
11.75,48284050.0,12.0,"Oct 13, 2009 00:00:00",12.0,11.75
11.75,196491200.0,11.5,"Oct 14, 2009 00:00:00",12.0,11.5
11.75,175825800.0,11.25,"Oct 15, 2009 00:00:00",11.75,11.25
11.5,109735250.0,11.0,"Oct 16, 2009 00:00:00",11.5,11.0
11.0,73241275.0,11.0,"Oct 19, 2009 00:00:00",11.0,10.75
11.25,83644225.0,11.0,"Oct 20, 2009 00:00:00",11.25,11.0
11.25,247516700.0,11.25,"Oct 21, 2009 00:00:00",11.5,11.0
11.5,83298625.0,11.25,"Oct 22, 2009 00:00:00",11.5,11.0
11.25,219794650.0,11.5,"Oct 23, 2009 00:00:00",11.5,11.25
11.5,7871800.0,11.5,"Oct 26, 2009 00:00:00",11.5,11.25
11.5,94800125.0,11.5,"Oct 27, 2009 00:00:00",11.75,11.25
11.5,38968850.0,11.0,"Oct 28, 2009 00:00:00",11.5,11.0
10.5,169011450.0,10.5,"Oct 29, 2009 00:00:00",10.75,10.25
11.0,226470775.0,10.5,"Oct 30, 2009 00:00:00",11.0,10.5
10.5,243801600.0,10.25,"Nov 03, 2009 00:00:00",10.75,10.0
10.25,89070200.0,10.25,"Nov 04, 2009 00:00:00",10.5,10.25
10.5,50041675.0,10.75,"Nov 05, 2009 00:00:00",10.75,10.5
11.0,47454525.0,10.75,"Nov 06, 2009 00:00:00",11.0,10.5
10.75,4587475.0,10.5,"Nov 09, 2009 00:00:00",10.75,10.5
11.0,164003450.0,11.0,"Nov 10, 2009 00:00:00",11.0,10.75
11.0,56836075.0,11.5,"Nov 11, 2009 00:00:00",11.5,11.0
11.75,124033525.0,11.5,"Dec 15, 2009 00:00:00",11.75,11.5
11.5,62385075.0,11.75,"Dec 16, 2009 00:00:00",11.75,11.25
11.75,29995375.0,11.75,"Dec 17, 2009 00:00:00",11.75,11.5
11.75,69386275.0,11.25,"Dec 18, 2009 00:00:00",11.75,11.25
11.25,62017425.0,11.5,"Dec 21, 2009 00:00:00",11.5,11.25
11.25,50225325.0,11.5,"Dec 22, 2009 00:00:00",11.5,11.25
11.5,54384125.0,11.5,"Dec 23, 2009 00:00:00",11.5,11.25
11.25,37475825.0,11.25,"Dec 29, 2009 00:00:00",11.5,11.0
11.25,52167075.0,11.0,"Jan 04, 2010 00:00:00",11.25,10.75
10.75,152408775.0,10.75,"Jan 05, 2010 00:00:00",11.0,10.5
10.75,121575950.0,10.75,"Jan 06, 2010 00:00:00",10.75,10.5
10.75,39098175.0,11.25,"Jan 07, 2010 00:00:00",11.25,10.75
11.25,139631025.0,11.5,"Jan 08, 2010 00:00:00",11.5,11.0
11.5,27653125.0,11.25,"Jan 11, 2010 00:00:00",11.5,11.0
11.5,75847800.0,11.25,"Jan 12, 2010 00:00:00",11.5,11.0
11.25,61029625.0,11.5,"Jan 13, 2010 00:00:00",11.5,11.0
11.5,119934600.0,11.75,"Jan 14, 2010 00:00:00",11.75,11.25
11.75,213391150.0,11.25,"Jan 15, 2010 00:00:00",11.75,11.25
11.25,117525675.0,11.25,"Jan 18, 2010 00:00:00",11.25,11.0
11.0,147066650.0,11.0,"Jan 19, 2010 00:00:00",11.25,10.75
11.25,82665025.0,11.0,"Jan 20, 2010 00:00:00",11.25,10.75
11.0,161708375.0,11.25,"Jan 21, 2010 00:00:00",11.25,10.75
10.75,95889700.0,11.0,"Jan 22, 2010 00:00:00",11.25,10.75
10.75,67588800.0,10.75,"Jan 25, 2010 00:00:00",10.75,10.5
10.75,48546550.0,10.75,"Jan 26, 2010 00:00:00",10.75,10.5
10.75,55260300.0,10.5,"Jan 27, 2010 00:00:00",10.75,10.25
10.5,87384150.0,10.75,"Jan 28, 2010 00:00:00",11.0,10.5
10.75,101043600.0,10.5,"Jan 29, 2010 00:00:00",10.75,10.5
10.75,58600775.0,10.5,"Feb 01, 2010 00:00:00",10.75,10.25
10.5,131907225.0,10.5,"Feb 02, 2010 00:00:00",10.75,10.25
10.5,44367150.0,10.25,"Feb 03, 2010 00:00:00",10.5,10.25
10.5,91424900.0,10.5,"Feb 04, 2010 00:00:00",10.75,10.5
10.0,170158775.0,10.25,"Feb 05, 2010 00:00:00",10.5,10.0
10.25,105477925.0,10.5,"Feb 08, 2010 00:00:00",10.5,10.25
10.25,121264210.0,10.0,"Feb 09, 2010 00:00:00",10.25,9.9
10.25,54177250.0,10.25,"Feb 10, 2010 00:00:00",10.25,10.0
10.25,61998300.0,10.25,"Feb 11, 2010 00:00:00",10.5,10.25
11.25,117734725.0,11.0,"Mar 08, 2010 00:00:00",11.25,11.0
11.25,88719150.0,11.25,"Mar 12, 2010 00:00:00",11.5,11.0
11.25,14927525.0,11.25,"Mar 15, 2010 00:00:00",11.5,11.25
11.25,53080500.0,11.5,"Mar 16, 2010 00:00:00",11.5,11.0
11.25,250332850.0,11.25,"Mar 17, 2010 00:00:00",11.5,11.25
13.25,392454175.0,13.0,"Mar 31, 2010 00:00:00",13.5,12.75
13.25,172152275.0,13.0,"Apr 20, 2010 00:00:00",13.5,13.0
13.0,59860025.0,13.25,"Apr 21, 2010 00:00:00",13.5,13.0
13.5,110866325.0,13.75,"Apr 22, 2010 00:00:00",13.75,13.5
13.5,169226125.0,13.75,"Apr 23, 2010 00:00:00",14.0,13.5
13.75,65148550.0,13.75,"Apr 29, 2010 00:00:00",14.0,13.5
14.0,201719375.0,13.75,"Apr 30, 2010 00:00:00",14.0,13.75
14.0,175243900.0,14.0,"May 04, 2010 00:00:00",14.0,13.75
13.75,90890525.0,13.5,"May 05, 2010 00:00:00",13.75,13.25
13.75,272545000.0,14.75,"May 13, 2010 00:00:00",14.75,13.75
14.5,106882400.0,14.5,"May 14, 2010 00:00:00",14.5,14.25
14.25,115214325.0,13.75,"May 17, 2010 00:00:00",14.25,13.75
14.0,165399000.0,13.75,"May 18, 2010 00:00:00",14.0,13.5
13.5,41045225.0,13.5,"May 19, 2010 00:00:00",13.75,13.5
13.5,59200700.0,13.25,"May 20, 2010 00:00:00",13.75,13.25
13.0,194252275.0,13.0,"May 21, 2010 00:00:00",13.0,12.75
13.25,84722050.0,13.0,"May 24, 2010 00:00:00",13.25,12.75
13.0,126733625.0,12.5,"May 25, 2010 00:00:00",13.0,12.25
12.75,177376900.0,12.75,"May 26, 2010 00:00:00",13.0,12.5
12.75,70442075.0,13.0,"May 27, 2010 00:00:00",13.25,12.75
13.5,93644650.0,13.5,"May 28, 2010 00:00:00",13.75,13.25
13.25,141291925.0,13.5,"May 31, 2010 00:00:00",13.75,13.25
13.5,63912675.0,13.5,"Jun 01, 2010 00:00:00",13.75,13.25
13.5,210343200.0,14.0,"Jun 02, 2010 00:00:00",14.0,13.5
14.0,350557400.0,14.25,"Jun 03, 2010 00:00:00",14.5,14.0
14.25,181474650.0,14.25,"Jun 04, 2010 00:00:00",14.5,14.0
14.0,75507725.0,13.5,"Jun 07, 2010 00:00:00",14.0,13.25
13.5,39927175.0,13.5,"Jun 08, 2010 00:00:00",13.5,13.25
13.5,39547750.0,13.5,"Jun 09, 2010 00:00:00",13.75,13.25
13.5,110692850.0,13.25,"Jun 10, 2010 00:00:00",13.5,13.25
