OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.32,1473820.0,2.34,"Aug 03, 2009 00:00:00",2.34,2.3
2.34,608800.0,2.34,"Aug 04, 2009 00:00:00",2.36,2.34
2.36,306800.0,2.36,"Aug 06, 2009 00:00:00",2.36,2.36
2.34,559280.0,2.36,"Aug 07, 2009 00:00:00",2.36,2.34
2.38,119000.0,2.38,"Aug 11, 2009 00:00:00",2.38,2.38
2.38,238000.0,2.38,"Aug 12, 2009 00:00:00",2.38,2.38
2.38,178200.0,2.36,"Aug 14, 2009 00:00:00",2.38,2.36
2.36,219420.0,2.36,"Aug 17, 2009 00:00:00",2.36,2.34
2.36,70800.0,2.36,"Aug 18, 2009 00:00:00",2.36,2.36
2.34,35100.0,2.34,"Aug 19, 2009 00:00:00",2.34,2.34
2.34,82500.0,2.36,"Aug 20, 2009 00:00:00",2.36,2.34
2.36,236000.0,2.36,"Aug 24, 2009 00:00:00",2.36,2.36
2.36,514420.0,2.34,"Aug 25, 2009 00:00:00",2.36,2.34
2.34,105300.0,2.34,"Aug 26, 2009 00:00:00",2.34,2.34
2.38,238000.0,2.38,"Sep 03, 2009 00:00:00",2.38,2.38
2.36,105920.0,2.34,"Sep 04, 2009 00:00:00",2.36,2.34
2.34,234000.0,2.34,"Sep 16, 2009 00:00:00",2.34,2.34
2.34,23400.0,2.34,"Sep 18, 2009 00:00:00",2.34,2.34
2.32,58000.0,2.32,"Sep 22, 2009 00:00:00",2.32,2.32
2.3,51000.0,2.32,"Sep 30, 2009 00:00:00",2.32,2.3
2.2,101200.0,2.2,"Oct 01, 2009 00:00:00",2.2,2.2
2.2,2692460.0,2.14,"Oct 02, 2009 00:00:00",2.2,2.08
2.12,10600.0,2.12,"Oct 05, 2009 00:00:00",2.12,2.12
2.3,50600.0,2.3,"Oct 06, 2009 00:00:00",2.3,2.3
2.3,34500.0,2.3,"Oct 07, 2009 00:00:00",2.3,2.3
2.3,2300.0,2.3,"Oct 08, 2009 00:00:00",2.3,2.3
2.32,106100.0,2.3,"Oct 09, 2009 00:00:00",2.32,2.3
2.3,148660.0,2.3,"Oct 12, 2009 00:00:00",2.3,2.24
2.28,57000.0,2.28,"Oct 13, 2009 00:00:00",2.28,2.28
2.2,232960.0,2.22,"Oct 14, 2009 00:00:00",2.22,2.2
2.22,93240.0,2.22,"Oct 15, 2009 00:00:00",2.22,2.22
2.22,111000.0,2.22,"Oct 16, 2009 00:00:00",2.22,2.22
2.22,22200.0,2.22,"Oct 19, 2009 00:00:00",2.22,2.22
2.24,126560.0,2.18,"Oct 21, 2009 00:00:00",2.24,2.18
2.18,4360.0,2.18,"Oct 23, 2009 00:00:00",2.18,2.18
2.18,43600.0,2.18,"Oct 28, 2009 00:00:00",2.18,2.18
2.2,207400.0,2.18,"Oct 30, 2009 00:00:00",2.2,2.18
2.18,17440.0,2.18,"Nov 04, 2009 00:00:00",2.18,2.18
2.2,110000.0,2.2,"Nov 06, 2009 00:00:00",2.2,2.2
2.22,55500.0,2.22,"Nov 09, 2009 00:00:00",2.22,2.22
2.28,2202280.0,2.2,"Nov 10, 2009 00:00:00",2.28,2.2
2.12,127200.0,2.12,"Dec 15, 2009 00:00:00",2.12,2.12
2.1,233100.0,2.1,"Dec 16, 2009 00:00:00",2.1,2.1
2.1,8400.0,2.1,"Dec 17, 2009 00:00:00",2.1,2.1
2.1,92400.0,2.1,"Dec 18, 2009 00:00:00",2.1,2.1
2.08,31200.0,2.08,"Dec 22, 2009 00:00:00",2.08,2.08
2.1,256200.0,2.1,"Dec 23, 2009 00:00:00",2.1,2.1
2.04,261320.0,2.04,"Jan 04, 2010 00:00:00",2.06,2.04
2.08,20800.0,2.08,"Jan 05, 2010 00:00:00",2.08,2.08
2.08,739000.0,2.04,"Jan 06, 2010 00:00:00",2.08,2.02
2.06,164800.0,2.06,"Jan 07, 2010 00:00:00",2.06,2.06
2.04,195400.0,2.06,"Jan 08, 2010 00:00:00",2.06,2.04
2.06,226600.0,2.06,"Jan 11, 2010 00:00:00",2.06,2.06
2.1,4852340.0,2.14,"Jan 12, 2010 00:00:00",2.16,2.1
2.16,34560.0,2.16,"Jan 13, 2010 00:00:00",2.16,2.16
2.16,99360.0,2.16,"Jan 14, 2010 00:00:00",2.16,2.16
2.14,32100.0,2.14,"Jan 15, 2010 00:00:00",2.14,2.14
2.14,2140.0,2.14,"Jan 18, 2010 00:00:00",2.14,2.14
2.14,214000.0,2.14,"Jan 19, 2010 00:00:00",2.14,2.14
2.14,107000.0,2.14,"Jan 20, 2010 00:00:00",2.14,2.14
2.1,8400.0,2.1,"Jan 21, 2010 00:00:00",2.1,2.1
2.1,39900.0,2.1,"Jan 22, 2010 00:00:00",2.1,2.1
2.1,168000.0,2.1,"Jan 25, 2010 00:00:00",2.1,2.1
2.1,294000.0,2.1,"Jan 26, 2010 00:00:00",2.1,2.1
2.08,41600.0,2.08,"Jan 27, 2010 00:00:00",2.08,2.08
2.12,2120.0,2.12,"Jan 29, 2010 00:00:00",2.12,2.12
2.06,2060.0,2.06,"Feb 02, 2010 00:00:00",2.06,2.06
2.04,454920.0,2.04,"Feb 03, 2010 00:00:00",2.04,2.04
2.04,63240.0,2.04,"Feb 05, 2010 00:00:00",2.04,2.04
2.04,102000.0,2.04,"Feb 10, 2010 00:00:00",2.04,2.04
2.0,16000.0,2.0,"Feb 11, 2010 00:00:00",2.0,2.0
2.18,130800.0,2.18,"Mar 08, 2010 00:00:00",2.18,2.18
2.2,1163060.0,2.22,"Mar 12, 2010 00:00:00",2.22,2.2
2.18,210200.0,2.2,"Mar 15, 2010 00:00:00",2.2,2.18
2.2,579220.0,2.22,"Mar 16, 2010 00:00:00",2.26,2.2
2.26,357720.0,2.22,"Mar 17, 2010 00:00:00",2.26,2.22
2.16,129600.0,2.16,"Apr 20, 2010 00:00:00",2.16,2.16
2.18,65400.0,2.18,"Apr 22, 2010 00:00:00",2.18,2.18
2.2,221165400.0,2.18,"Apr 23, 2010 00:00:00",2.2,2.18
2.22,166800.0,2.24,"Apr 29, 2010 00:00:00",2.24,2.22
2.24,245340.0,2.26,"Apr 30, 2010 00:00:00",2.26,2.24
2.22,44400.0,2.22,"May 05, 2010 00:00:00",2.22,2.22
2.2,174800.0,2.18,"May 13, 2010 00:00:00",2.2,2.18
2.2,393720.0,2.28,"May 14, 2010 00:00:00",2.28,2.2
2.24,379780.0,2.26,"May 17, 2010 00:00:00",2.28,2.24
2.26,33760.0,2.24,"May 18, 2010 00:00:00",2.26,2.24
2.22,81080560.0,2.24,"May 19, 2010 00:00:00",2.24,2.2
2.18,178180.0,2.2,"May 20, 2010 00:00:00",2.22,2.18
2.22,539900.0,2.2,"May 21, 2010 00:00:00",2.22,2.2
2.2,132000.0,2.2,"May 25, 2010 00:00:00",2.2,2.2
2.22,24420.0,2.22,"May 26, 2010 00:00:00",2.22,2.22
2.2,22000.0,2.2,"May 27, 2010 00:00:00",2.2,2.2
2.18,65400.0,2.18,"May 28, 2010 00:00:00",2.18,2.18
2.16,32400.0,2.16,"May 31, 2010 00:00:00",2.16,2.16
2.18,43600.0,2.18,"Jun 01, 2010 00:00:00",2.18,2.18
2.18,50560.0,2.2,"Jun 03, 2010 00:00:00",2.2,2.18
2.22,79600.0,2.22,"Jun 04, 2010 00:00:00",2.22,2.2
2.22,188700.0,2.22,"Jun 07, 2010 00:00:00",2.22,2.22
2.24,179200.0,2.24,"Jun 08, 2010 00:00:00",2.24,2.24
2.2,53000.0,2.24,"Jun 09, 2010 00:00:00",2.24,2.2
2.18,37200.0,2.2,"Jun 10, 2010 00:00:00",2.2,2.18
2.2,173240.0,2.26,"Jun 11, 2010 00:00:00",2.26,2.2
2.2,371800.0,2.2,"Jun 16, 2010 00:00:00",2.2,2.2
2.28,458000.0,2.3,"Jun 21, 2010 00:00:00",2.32,2.28
2.3,230000.0,2.3,"Jun 22, 2010 00:00:00",2.3,2.3
2.3,282900.0,2.3,"Jun 23, 2010 00:00:00",2.3,2.3
2.3,302900.0,2.32,"Jun 24, 2010 00:00:00",2.32,2.3
