OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
5.6,10356600.0,5.7,"Aug 03, 2009 00:00:00",5.7,5.6
5.7,103739600.0,5.6,"Aug 04, 2009 00:00:00",5.7,5.5
5.7,19116400.0,5.4,"Aug 06, 2009 00:00:00",5.7,5.4
5.6,40255800.0,5.3,"Aug 07, 2009 00:00:00",5.6,5.3
5.5,6214900.0,5.4,"Aug 10, 2009 00:00:00",5.5,5.4
5.4,59285300.0,5.6,"Aug 11, 2009 00:00:00",5.6,5.4
5.5,33804600.0,5.5,"Aug 12, 2009 00:00:00",5.7,5.5
5.5,31725200.0,5.6,"Aug 13, 2009 00:00:00",5.7,5.5
5.5,11443500.0,5.5,"Aug 14, 2009 00:00:00",5.6,5.5
5.5,10642500.0,5.5,"Aug 17, 2009 00:00:00",5.5,5.5
5.4,27346600.0,5.5,"Aug 18, 2009 00:00:00",5.5,5.4
5.6,13851700.0,5.6,"Aug 19, 2009 00:00:00",5.6,5.5
5.6,22316900.0,5.6,"Aug 20, 2009 00:00:00",5.6,5.5
5.6,60395200.0,5.7,"Aug 24, 2009 00:00:00",5.7,5.6
5.7,15584100.0,5.8,"Aug 25, 2009 00:00:00",5.8,5.7
5.8,13838900.0,5.7,"Aug 26, 2009 00:00:00",5.8,5.7
6.1,59894800.0,6.1,"Sep 03, 2009 00:00:00",6.2,6.0
6.1,107673500.0,6.4,"Sep 04, 2009 00:00:00",6.4,6.1
6.4,20063000.0,6.3,"Sep 16, 2009 00:00:00",6.4,6.3
6.3,8275800.0,6.4,"Sep 17, 2009 00:00:00",6.4,6.3
6.5,77439100.0,6.5,"Sep 18, 2009 00:00:00",6.6,6.4
6.5,6230300.0,6.4,"Sep 22, 2009 00:00:00",6.5,6.4
6.4,18419700.0,6.5,"Sep 23, 2009 00:00:00",6.5,6.4
6.4,50710900.0,6.4,"Sep 30, 2009 00:00:00",6.5,6.3
6.3,31274600.0,6.4,"Oct 01, 2009 00:00:00",6.5,6.3
6.4,35544600.0,6.4,"Oct 02, 2009 00:00:00",6.5,6.3
6.4,105212800.0,6.8,"Oct 05, 2009 00:00:00",6.8,6.4
6.9,84757500.0,7.1,"Oct 06, 2009 00:00:00",7.2,6.9
7.2,96970000.0,7.2,"Oct 07, 2009 00:00:00",7.3,7.1
7.2,112066700.0,7.3,"Oct 08, 2009 00:00:00",7.5,7.2
7.3,65810400.0,7.3,"Oct 09, 2009 00:00:00",7.4,7.1
7.3,22855100.0,7.2,"Oct 12, 2009 00:00:00",7.4,7.2
7.2,26438300.0,7.3,"Oct 13, 2009 00:00:00",7.3,7.1
7.2,75273500.0,7.2,"Oct 14, 2009 00:00:00",7.3,7.2
7.2,41504500.0,7.3,"Oct 15, 2009 00:00:00",7.4,7.2
7.3,11173200.0,7.3,"Oct 16, 2009 00:00:00",7.3,7.2
7.2,33057500.0,7.3,"Oct 19, 2009 00:00:00",7.3,7.2
7.3,44193700.0,7.3,"Oct 20, 2009 00:00:00",7.3,7.2
7.2,19463900.0,7.2,"Oct 21, 2009 00:00:00",7.3,7.2
7.2,32233200.0,7.1,"Oct 22, 2009 00:00:00",7.2,7.1
7.1,47665000.0,7.2,"Oct 23, 2009 00:00:00",7.3,7.1
7.1,58192300.0,7.3,"Oct 26, 2009 00:00:00",7.4,7.1
7.3,64481500.0,7.5,"Oct 27, 2009 00:00:00",7.5,7.2
7.4,39816600.0,7.3,"Oct 28, 2009 00:00:00",7.5,7.3
7.2,35221700.0,7.3,"Oct 29, 2009 00:00:00",7.3,7.1
7.4,74059300.0,7.5,"Oct 30, 2009 00:00:00",7.7,7.4
7.5,101987900.0,7.7,"Nov 03, 2009 00:00:00",7.7,7.4
7.7,117788400.0,7.9,"Nov 04, 2009 00:00:00",8.2,7.7
7.9,33394800.0,7.8,"Nov 05, 2009 00:00:00",7.9,7.7
7.8,37804400.0,7.8,"Nov 06, 2009 00:00:00",7.9,7.7
7.7,12902300.0,7.8,"Nov 09, 2009 00:00:00",7.8,7.7
7.8,49337100.0,7.9,"Nov 10, 2009 00:00:00",8.0,7.8
7.9,26348600.0,7.9,"Nov 11, 2009 00:00:00",8.0,7.8
8.9,98956000.0,8.9,"Dec 15, 2009 00:00:00",9.1,8.9
8.9,93119400.0,8.8,"Dec 16, 2009 00:00:00",8.9,8.7
8.8,1458379500.0,8.6,"Dec 17, 2009 00:00:00",8.8,8.6
8.6,31202200.0,8.5,"Dec 18, 2009 00:00:00",8.6,8.5
8.6,34311200.0,8.6,"Dec 21, 2009 00:00:00",8.7,8.6
8.6,41652300.0,8.6,"Dec 22, 2009 00:00:00",8.7,8.5
8.6,156404200.0,8.6,"Dec 23, 2009 00:00:00",8.7,8.6
8.6,158737300.0,8.6,"Dec 29, 2009 00:00:00",8.6,8.5
8.6,16672300.0,8.6,"Jan 04, 2010 00:00:00",8.7,8.6
8.7,32152300.0,8.8,"Jan 05, 2010 00:00:00",8.8,8.7
8.7,23911600.0,8.8,"Jan 06, 2010 00:00:00",8.8,8.7
8.8,13319400.0,8.9,"Jan 07, 2010 00:00:00",8.9,8.8
8.9,23485000.0,8.9,"Jan 08, 2010 00:00:00",8.9,8.8
8.9,89576600.0,9.4,"Jan 11, 2010 00:00:00",9.4,8.9
9.5,62700600.0,9.4,"Jan 12, 2010 00:00:00",9.6,9.4
9.3,40830200.0,9.2,"Jan 13, 2010 00:00:00",9.5,9.2
9.2,57464900.0,9.2,"Jan 14, 2010 00:00:00",9.4,9.2
9.3,8825500.0,9.3,"Jan 15, 2010 00:00:00",9.3,9.2
9.2,13444100.0,9.2,"Jan 18, 2010 00:00:00",9.3,9.2
9.2,34315800.0,9.2,"Jan 19, 2010 00:00:00",9.3,9.1
9.4,60307000.0,9.4,"Jan 20, 2010 00:00:00",9.4,9.2
9.3,18201800.0,9.4,"Jan 21, 2010 00:00:00",9.4,9.3
9.3,128188500.0,9.6,"Jan 22, 2010 00:00:00",9.7,9.3
9.6,111192100.0,9.3,"Jan 25, 2010 00:00:00",9.6,9.3
9.4,213861700.0,9.6,"Jan 26, 2010 00:00:00",9.8,9.4
9.6,138739400.0,9.3,"Jan 27, 2010 00:00:00",9.7,9.3
9.4,37441000.0,9.6,"Jan 28, 2010 00:00:00",9.6,9.4
9.6,65181100.0,9.5,"Jan 29, 2010 00:00:00",9.6,9.4
9.5,70639500.0,9.4,"Feb 01, 2010 00:00:00",9.5,9.4
9.5,86563500.0,9.2,"Feb 02, 2010 00:00:00",9.5,9.2
9.3,86115700.0,9.5,"Feb 03, 2010 00:00:00",9.5,9.3
9.4,36110100.0,9.5,"Feb 04, 2010 00:00:00",9.7,9.4
9.4,84304100.0,9.3,"Feb 05, 2010 00:00:00",9.4,9.1
9.3,38486700.0,9.4,"Feb 08, 2010 00:00:00",9.4,9.2
9.4,77998300.0,9.5,"Feb 09, 2010 00:00:00",9.7,9.3
9.6,12449900.0,9.6,"Feb 10, 2010 00:00:00",9.6,9.5
9.7,78488400.0,9.8,"Feb 11, 2010 00:00:00",9.8,9.5
11.0,59223625.0,11.0,"Mar 08, 2010 00:00:00",11.25,11.0
12.0,107921975.0,12.0,"Mar 12, 2010 00:00:00",12.0,11.75
12.25,195653225.0,12.75,"Mar 15, 2010 00:00:00",13.0,12.25
12.75,224685950.0,12.5,"Mar 16, 2010 00:00:00",13.0,12.25
12.5,289022700.0,11.75,"Mar 17, 2010 00:00:00",12.5,11.75
12.75,164704700.0,12.25,"Mar 31, 2010 00:00:00",12.75,12.25
13.75,63397300.0,13.75,"Apr 20, 2010 00:00:00",14.0,13.5
14.0,62527900.0,14.0,"Apr 21, 2010 00:00:00",14.0,13.5
14.0,161568425.0,14.0,"Apr 22, 2010 00:00:00",14.25,13.75
14.0,82685650.0,14.0,"Apr 23, 2010 00:00:00",14.25,13.75
14.75,344963950.0,15.0,"Apr 29, 2010 00:00:00",15.5,14.75
15.5,92344150.0,15.25,"Apr 30, 2010 00:00:00",15.75,15.0
15.25,42414200.0,15.25,"May 04, 2010 00:00:00",15.25,14.5
14.75,138730175.0,14.5,"May 05, 2010 00:00:00",14.75,14.0
16.75,271738325.0,17.75,"May 13, 2010 00:00:00",18.0,16.75
