OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.5,58737970.0,2.7,"Oct 18, 2012 00:00:00",4.5,2.4
2.95,13977370.0,2.55,"Oct 19, 2012 00:00:00",2.95,2.01
2.54,3080920.0,2.27,"Oct 22, 2012 00:00:00",2.54,2.22
2.28,2788530.0,2.25,"Oct 23, 2012 00:00:00",2.3,2.2
2.25,2514930.0,2.23,"Oct 24, 2012 00:00:00",2.38,2.1
2.24,864380.0,2.11,"Oct 25, 2012 00:00:00",2.3,2.11
2.11,750760.0,2.05,"Oct 29, 2012 00:00:00",2.19,2.05
2.1,2303770.0,2.0,"Oct 30, 2012 00:00:00",2.23,1.88
1.92,369150.0,2.0,"Oct 31, 2012 00:00:00",2.0,1.9
2.0,459670.0,1.85,"Nov 05, 2012 00:00:00",2.0,1.85
1.85,512620.0,1.76,"Nov 06, 2012 00:00:00",1.85,1.75
1.74,1249560.0,1.63,"Nov 07, 2012 00:00:00",1.74,1.4
1.53,324100.0,1.43,"Nov 08, 2012 00:00:00",1.59,1.43
1.4,232280.0,1.39,"Nov 09, 2012 00:00:00",1.41,1.38
1.39,81700.0,1.34,"Nov 12, 2012 00:00:00",1.39,1.34
1.26,610610.0,1.27,"Nov 13, 2012 00:00:00",1.34,1.23
1.28,492830.0,1.21,"Nov 14, 2012 00:00:00",1.3,1.21
1.21,228520.0,1.22,"Nov 15, 2012 00:00:00",1.25,1.21
1.21,198910.0,1.19,"Nov 16, 2012 00:00:00",1.21,1.18
1.18,394860.0,1.15,"Nov 19, 2012 00:00:00",1.18,1.14
1.16,212060.0,1.16,"Nov 20, 2012 00:00:00",1.21,1.16
1.18,30280.0,1.16,"Nov 21, 2012 00:00:00",1.18,1.16
1.16,5840.0,1.2,"Nov 22, 2012 00:00:00",1.2,1.16
1.16,157950.0,1.16,"Nov 23, 2012 00:00:00",1.22,1.16
1.15,12680.0,1.15,"Nov 26, 2012 00:00:00",1.17,1.15
1.15,48099.99999999999,1.14,"Nov 27, 2012 00:00:00",1.15,1.14
1.15,188940.0,1.2,"Nov 28, 2012 00:00:00",1.21,1.15
1.2,40650.0,1.26,"Nov 29, 2012 00:00:00",1.26,1.2
1.22,6180.0,1.22,"Dec 03, 2012 00:00:00",1.26,1.22
1.25,206070.0,1.22,"Dec 04, 2012 00:00:00",1.26,1.2
1.2,128560.0,1.18,"Dec 05, 2012 00:00:00",1.2,1.18
1.18,3540.0,1.18,"Dec 06, 2012 00:00:00",1.18,1.18
1.18,139620.0,1.18,"Dec 07, 2012 00:00:00",1.18,1.17
1.18,58240.0,1.16,"Dec 10, 2012 00:00:00",1.18,1.16
1.16,57080.0,1.16,"Dec 11, 2012 00:00:00",1.17,1.16
1.16,12930.0,1.19,"Dec 12, 2012 00:00:00",1.19,1.16
1.19,10753370.0,1.65,"Dec 13, 2012 00:00:00",1.77,1.19
1.65,2355200.0,1.4,"Dec 14, 2012 00:00:00",1.65,1.34
1.4,1006970.0,1.33,"Dec 17, 2012 00:00:00",1.46,1.27
1.21,317690.0,1.29,"Dec 18, 2012 00:00:00",1.42,1.21
1.23,322230.0,1.3,"Dec 19, 2012 00:00:00",1.34,1.21
1.3,292170.0,1.35,"Dec 20, 2012 00:00:00",1.46,1.3
1.43,50170.0,1.4,"Dec 21, 2012 00:00:00",1.43,1.35
1.34,150970.0,1.3,"Dec 26, 2012 00:00:00",1.36,1.3
1.3,145520.0,1.28,"Dec 27, 2012 00:00:00",1.34,1.27
1.31,157660.0,1.25,"Dec 28, 2012 00:00:00",1.31,1.25
1.25,171220.0,1.26,"Jan 02, 2013 00:00:00",1.3,1.25
1.26,30750.0,1.31,"Jan 03, 2013 00:00:00",1.31,1.26
1.28,214530.0,1.28,"Jan 04, 2013 00:00:00",1.3,1.28
1.27,114210.0,1.26,"Jan 07, 2013 00:00:00",1.3,1.26
1.26,230580.0,1.26,"Jan 08, 2013 00:00:00",1.26,1.26
1.27,1089130.0,1.34,"Jan 09, 2013 00:00:00",1.45,1.27
1.34,180170.0,1.37,"Jan 10, 2013 00:00:00",1.37,1.3
1.3,83180.0,1.31,"Jan 11, 2013 00:00:00",1.35,1.3
1.31,91090.0,1.3,"Jan 14, 2013 00:00:00",1.31,1.3
1.3,224940.0,1.31,"Jan 15, 2013 00:00:00",1.31,1.3
1.34,77640.0,1.28,"Jan 16, 2013 00:00:00",1.34,1.28
1.28,81500.0,1.29,"Jan 17, 2013 00:00:00",1.29,1.27
1.27,19050.0,1.27,"Jan 18, 2013 00:00:00",1.27,1.27
1.28,80830.0,1.3,"Jan 21, 2013 00:00:00",1.32,1.27
1.28,8980.0,1.3,"Jan 23, 2013 00:00:00",1.3,1.28
1.29,42700.0,1.31,"Jan 24, 2013 00:00:00",1.31,1.29
1.29,166120.0,1.31,"Jan 25, 2013 00:00:00",1.32,1.29
1.34,39570.0,1.29,"Jan 28, 2013 00:00:00",1.39,1.29
1.29,428650.0,1.32,"Jan 29, 2013 00:00:00",1.35,1.29
1.33,2502840.0,1.5,"Jan 30, 2013 00:00:00",1.6,1.33
1.48,1500270.0,1.35,"Jan 31, 2013 00:00:00",1.5,1.35
1.35,132180.0,1.37,"Feb 01, 2013 00:00:00",1.39,1.34
1.44,332370.0,1.41,"Feb 04, 2013 00:00:00",1.44,1.36
1.38,109700.0,1.38,"Feb 05, 2013 00:00:00",1.42,1.38
1.4,235240.0,1.4,"Feb 06, 2013 00:00:00",1.45,1.39
1.43,250280.0,1.44,"Feb 07, 2013 00:00:00",1.46,1.43
1.44,106660.0,1.43,"Feb 08, 2013 00:00:00",1.45,1.43
1.43,33900.0,1.4,"Feb 11, 2013 00:00:00",1.43,1.4
1.39,51430.0,1.38,"Feb 12, 2013 00:00:00",1.4,1.38
1.39,72140.0,1.38,"Feb 13, 2013 00:00:00",1.4,1.38
1.37,67390.0,1.38,"Feb 14, 2013 00:00:00",1.49,1.37
1.38,561600.0,1.36,"Feb 15, 2013 00:00:00",1.38,1.36
1.35,86410.0,1.36,"Feb 18, 2013 00:00:00",1.36,1.35
1.4,142290.0,1.35,"Feb 19, 2013 00:00:00",1.4,1.35
1.35,40500.0,1.35,"Feb 20, 2013 00:00:00",1.35,1.35
1.38,56500.0,1.37,"Feb 21, 2013 00:00:00",1.4,1.37
1.34,6780.0,1.39,"Feb 22, 2013 00:00:00",1.39,1.34
1.34,180960.0,1.34,"Feb 25, 2013 00:00:00",1.37,1.34
1.34,219270.0,1.32,"Feb 26, 2013 00:00:00",1.34,1.32
1.33,55770.0,1.33,"Feb 27, 2013 00:00:00",1.33,1.32
