OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.48,24000.0,0.48,"Aug 03, 2009 00:00:00",0.48,0.48
0.42,301700.0,0.5,"Aug 10, 2009 00:00:00",0.5,0.42
0.49,204000.0,0.43,"Aug 13, 2009 00:00:00",0.49,0.35
0.42,12600.0,0.42,"Aug 20, 2009 00:00:00",0.42,0.42
0.36,859900.0,0.38,"Sep 16, 2009 00:00:00",0.43,0.36
0.39,161400.0,0.41,"Sep 17, 2009 00:00:00",0.41,0.39
0.36,164500.0,0.37,"Sep 23, 2009 00:00:00",0.37,0.36
0.36,32400.0,0.36,"Sep 30, 2009 00:00:00",0.36,0.36
0.37,194500.0,0.41,"Oct 06, 2009 00:00:00",0.41,0.37
0.41,41000.0,0.41,"Oct 08, 2009 00:00:00",0.41,0.41
0.41,164900.0,0.45,"Oct 16, 2009 00:00:00",0.45,0.41
0.44,197000.0,0.44,"Oct 23, 2009 00:00:00",0.5,0.44
0.46,146100.0,0.48,"Oct 26, 2009 00:00:00",0.48,0.45
0.48,182400.0,0.48,"Oct 27, 2009 00:00:00",0.48,0.48
0.5,2348600.0,0.51,"Oct 28, 2009 00:00:00",0.58,0.48
0.5,10000.0,0.5,"Oct 29, 2009 00:00:00",0.5,0.5
0.47,73500.0,0.46,"Oct 30, 2009 00:00:00",0.47,0.45
0.47,269800.0,0.49,"Nov 05, 2009 00:00:00",0.49,0.47
0.5,29900.0,0.49,"Nov 06, 2009 00:00:00",0.5,0.49
0.49,203800.0,0.5,"Nov 09, 2009 00:00:00",0.5,0.48
0.51,203000.0,0.5,"Nov 10, 2009 00:00:00",0.51,0.5
0.45,58500.0,0.45,"Dec 18, 2009 00:00:00",0.45,0.45
0.52,5200.0,0.52,"Dec 21, 2009 00:00:00",0.52,0.52
0.42,4200.0,0.42,"Dec 29, 2009 00:00:00",0.42,0.42
0.43,12900.0,0.43,"Jan 04, 2010 00:00:00",0.43,0.43
0.41,156900.0,0.39,"Jan 18, 2010 00:00:00",0.41,0.39
0.41,246000.0,0.41,"Jan 19, 2010 00:00:00",0.41,0.41
0.37,217400.0,0.36,"Jan 27, 2010 00:00:00",0.37,0.36
0.39,179400.0,0.39,"Jan 28, 2010 00:00:00",0.39,0.39
0.39,19500.0,0.39,"Feb 01, 2010 00:00:00",0.39,0.39
0.38,38000.0,0.38,"Feb 02, 2010 00:00:00",0.38,0.38
0.35,3500.0,0.35,"Apr 21, 2010 00:00:00",0.35,0.35
0.38,11400.0,0.38,"Apr 30, 2010 00:00:00",0.38,0.38
0.38,11400.0,0.38,"May 21, 2010 00:00:00",0.38,0.38
0.35,706200.0,0.37,"Jun 03, 2010 00:00:00",0.37,0.35
0.37,184000.0,0.37,"Jun 04, 2010 00:00:00",0.37,0.36
0.36,544700.0,0.35,"Jun 07, 2010 00:00:00",0.36,0.34
0.33,201300.0,0.33,"Jun 08, 2010 00:00:00",0.33,0.33
0.33,36300.0,0.33,"Jun 10, 2010 00:00:00",0.33,0.33
0.34,10200.0,0.34,"Jun 15, 2010 00:00:00",0.34,0.34
0.34,164300.0,0.37,"Jun 16, 2010 00:00:00",0.37,0.34
0.36,18000.0,0.36,"Jun 21, 2010 00:00:00",0.36,0.36
0.36,71000.0,0.35,"Jun 22, 2010 00:00:00",0.36,0.35
0.34,86500.0,0.36,"Jun 23, 2010 00:00:00",0.37,0.34
0.23,41100.0,0.31,"Jul 01, 2010 00:00:00",0.32,0.23
0.29,58000.0,0.29,"Jul 02, 2010 00:00:00",0.29,0.29
0.32,33200.0,0.34,"Jul 07, 2010 00:00:00",0.34,0.32
0.32,9600.0,0.32,"Jul 16, 2010 00:00:00",0.32,0.32
0.34,35300.0,0.36,"Jul 20, 2010 00:00:00",0.36,0.34
0.36,13800.0,0.34,"Jul 21, 2010 00:00:00",0.36,0.34
0.33,22700.0,0.32,"Jul 22, 2010 00:00:00",0.33,0.32
0.435,43500.0,0.435,"Sep 20, 2010 00:00:00",0.435,0.435
0.44,191700.0,0.43,"Sep 21, 2010 00:00:00",0.45,0.43
0.41,45500.0,0.45,"Sep 22, 2010 00:00:00",0.45,0.41
0.42,88700.0,0.43,"Sep 23, 2010 00:00:00",0.43,0.42
0.42,42000.0,0.42,"Sep 24, 2010 00:00:00",0.42,0.42
0.42,240900.0,0.4,"Sep 27, 2010 00:00:00",0.42,0.4
0.4,40000.0,0.4,"Sep 30, 2010 00:00:00",0.4,0.4
0.405,40500.0,0.405,"Oct 04, 2010 00:00:00",0.405,0.405
0.405,80500.0,0.4,"Oct 05, 2010 00:00:00",0.405,0.4
0.405,125550.0,0.405,"Oct 06, 2010 00:00:00",0.405,0.405
0.42,8400.0,0.42,"Oct 07, 2010 00:00:00",0.42,0.42
0.4,80000.0,0.4,"Oct 14, 2010 00:00:00",0.4,0.4
0.36,53000.0,0.35,"Oct 19, 2010 00:00:00",0.36,0.35
0.38,38000.0,0.38,"Oct 27, 2010 00:00:00",0.38,0.38
0.38,7600.0,0.38,"Nov 03, 2010 00:00:00",0.38,0.38
0.38,22800.0,0.38,"Nov 08, 2010 00:00:00",0.38,0.38
0.37,109000.0,0.36,"Nov 09, 2010 00:00:00",0.37,0.36
0.38,200800.0,0.36,"Nov 10, 2010 00:00:00",0.38,0.36
0.36,25200.0,0.36,"Nov 12, 2010 00:00:00",0.36,0.36
0.36,50400.0,0.36,"Nov 17, 2010 00:00:00",0.36,0.36
0.36,287000.0,0.35,"Nov 18, 2010 00:00:00",0.36,0.34
0.345,6900.0,0.345,"Nov 19, 2010 00:00:00",0.345,0.345
0.36,115200.0,0.36,"Nov 23, 2010 00:00:00",0.36,0.36
0.365,90500.0,0.36,"Nov 25, 2010 00:00:00",0.365,0.36
0.37,98200.0,0.355,"Nov 26, 2010 00:00:00",0.37,0.355
0.37,228500.0,0.35,"Nov 30, 2010 00:00:00",0.38,0.35
0.35,84400.0,0.36,"Dec 01, 2010 00:00:00",0.36,0.35
0.35,66500.0,0.35,"Dec 02, 2010 00:00:00",0.35,0.35
0.38,92750.0,0.355,"Dec 03, 2010 00:00:00",0.38,0.355
0.355,3550.0,0.355,"Dec 22, 2010 00:00:00",0.355,0.355
0.39,39000.0,0.39,"Dec 29, 2010 00:00:00",0.39,0.39
0.39,39000.0,0.39,"Dec 29, 2010 00:00:00",0.39,0.39
0.36,43200.0,0.36,"Jan 04, 2011 00:00:00",0.36,0.36
0.36,90500.0,0.365,"Jan 05, 2011 00:00:00",0.365,0.36
0.37,42200.0,0.385,"Jan 06, 2011 00:00:00",0.385,0.37
0.39,115500.0,0.395,"Jan 12, 2011 00:00:00",0.395,0.37
0.39,289100.0,0.39,"Jan 13, 2011 00:00:00",0.395,0.39
0.385,285500.0,0.38,"Jan 18, 2011 00:00:00",0.385,0.38
0.36,3600.0,0.36,"Jan 20, 2011 00:00:00",0.36,0.36
0.36,3600.0,0.36,"Jan 20, 2011 00:00:00",0.36,0.36
0.35,52500.0,0.35,"Jan 25, 2011 00:00:00",0.35,0.35
0.35,3500.0,0.35,"Jan 26, 2011 00:00:00",0.35,0.35
0.355,105150.0,0.35,"Jan 27, 2011 00:00:00",0.355,0.35
0.35,17500.0,0.35,"Jan 28, 2011 00:00:00",0.35,0.35
0.35,17500.0,0.35,"Jan 28, 2011 00:00:00",0.35,0.35
0.35,35000.0,0.35,"Feb 02, 2011 00:00:00",0.35,0.35
0.37,67000.0,0.375,"Feb 03, 2011 00:00:00",0.375,0.37
0.32,45200.0,0.3,"Feb 24, 2011 00:00:00",0.32,0.3
0.32,45200.0,0.3,"Feb 24, 2011 00:00:00",0.32,0.3
0.3,9000.0,0.3,"Feb 25, 2011 00:00:00",0.3,0.3
0.3,75000.0,0.3,"Mar 11, 2011 00:00:00",0.3,0.3
0.3,75000.0,0.3,"Mar 11, 2011 00:00:00",0.3,0.3
0.31,3100.0,0.31,"Mar 29, 2011 00:00:00",0.31,0.31
0.32,32000.0,0.32,"Apr 12, 2011 00:00:00",0.32,0.32
0.32,9600.0,0.32,"Apr 13, 2011 00:00:00",0.32,0.32
0.34,339700.0,0.32,"Apr 14, 2011 00:00:00",0.34,0.31
0.32,45600.0,0.33,"Apr 28, 2011 00:00:00",0.33,0.32
0.33,115500.0,0.33,"May 03, 2011 00:00:00",0.33,0.33
0.325,141050.0,0.32,"May 05, 2011 00:00:00",0.325,0.32
0.325,3250.0,0.325,"May 18, 2011 00:00:00",0.325,0.325
0.32,32000.0,0.32,"May 25, 2011 00:00:00",0.32,0.32
0.32,192000.0,0.32,"May 26, 2011 00:00:00",0.32,0.32
0.32,22400.0,0.32,"Jun 01, 2011 00:00:00",0.32,0.32
0.31,79050.0,0.345,"Jun 07, 2011 00:00:00",0.345,0.31
0.34,57800.0,0.34,"Jun 10, 2011 00:00:00",0.34,0.34
0.315,3150.0,0.315,"Jun 14, 2011 00:00:00",0.315,0.315
0.315,3150.0,0.315,"Jun 22, 2011 00:00:00",0.315,0.315
0.31,6200.0,0.31,"Jul 01, 2011 00:00:00",0.31,0.31
0.39,46800.0,0.39,"Jul 12, 2011 00:00:00",0.39,0.39
0.38,1073200.0,0.43,"Jul 15, 2011 00:00:00",0.46,0.38
0.42,163000.0,0.405,"Jul 18, 2011 00:00:00",0.42,0.4
0.405,240000.0,0.395,"Jul 19, 2011 00:00:00",0.405,0.395
0.41,82900.0,0.42,"Jul 21, 2011 00:00:00",0.42,0.41
0.4,80000.0,0.4,"Jul 25, 2011 00:00:00",0.4,0.4
0.385,38500.0,0.385,"Jul 27, 2011 00:00:00",0.385,0.385
0.39,78500.0,0.395,"Jul 28, 2011 00:00:00",0.395,0.39
0.41,81250.0,0.4,"Jul 29, 2011 00:00:00",0.415,0.4
0.41,4119850.0,0.6,"Aug 02, 2011 00:00:00",0.6,0.41
0.7,3337890.0,0.51,"Aug 03, 2011 00:00:00",0.7,0.5
0.48,728500.0,0.49,"Aug 04, 2011 00:00:00",0.49,0.45
0.45,45000.0,0.45,"Aug 05, 2011 00:00:00",0.45,0.45
0.41,187100.0,0.4,"Aug 09, 2011 00:00:00",0.45,0.4
0.4,940500.0,0.43,"Aug 10, 2011 00:00:00",0.43,0.4
0.4,212300.0,0.43,"Aug 11, 2011 00:00:00",0.43,0.4
0.43,1017000.0,0.45,"Aug 12, 2011 00:00:00",0.45,0.43
0.45,1863900.0,0.52,"Aug 15, 2011 00:00:00",0.54,0.45
0.52,474220.0,0.51,"Aug 16, 2011 00:00:00",0.55,0.5
0.5,538000.0,0.49,"Aug 17, 2011 00:00:00",0.5,0.49
0.49,143400.0,0.495,"Aug 18, 2011 00:00:00",0.5,0.49
0.495,14950.0,0.5,"Aug 19, 2011 00:00:00",0.5,0.495
0.49,19360.0,0.5,"Aug 22, 2011 00:00:00",0.5,0.46
0.5,138150.0,0.49,"Aug 23, 2011 00:00:00",0.5,0.49
0.49,103100.0,0.49,"Aug 24, 2011 00:00:00",0.5,0.49
0.49,294200.0,0.51,"Aug 26, 2011 00:00:00",0.51,0.49
0.5,18400.0,0.49,"Aug 31, 2011 00:00:00",0.5,0.49
0.45,302400.0,0.48,"Sep 01, 2011 00:00:00",0.48,0.44
0.44,83600.0,0.44,"Sep 09, 2011 00:00:00",0.44,0.44
0.44,539800.0,0.51,"Sep 13, 2011 00:00:00",0.51,0.42
0.46,147000.0,0.46,"Sep 14, 2011 00:00:00",0.49,0.46
0.46,121800.0,0.45,"Sep 15, 2011 00:00:00",0.46,0.45
0.45,36000.0,0.45,"Sep 16, 2011 00:00:00",0.45,0.45
0.46,102350.0,0.465,"Sep 19, 2011 00:00:00",0.47,0.46
0.47,1449400.0,0.54,"Sep 20, 2011 00:00:00",0.56,0.47
0.55,157350.0,0.49,"Sep 21, 2011 00:00:00",0.55,0.49
0.495,204750.0,0.48,"Sep 22, 2011 00:00:00",0.495,0.48
0.45,216000.0,0.45,"Sep 23, 2011 00:00:00",0.45,0.45
0.44,396000.0,0.44,"Sep 26, 2011 00:00:00",0.44,0.44
0.44,44000.0,0.44,"Sep 28, 2011 00:00:00",0.44,0.44
0.43,129000.0,0.43,"Sep 29, 2011 00:00:00",0.43,0.43
0.45,86600.0,0.43,"Oct 03, 2011 00:00:00",0.45,0.43
0.43,64500.0,0.43,"Oct 05, 2011 00:00:00",0.43,0.43
0.51,5100.0,0.51,"Oct 07, 2011 00:00:00",0.51,0.51
0.46,95490.0,0.49,"Oct 13, 2011 00:00:00",0.49,0.46
0.44,44000.0,0.44,"Oct 14, 2011 00:00:00",0.44,0.44
0.44,8850.0,0.445,"Oct 17, 2011 00:00:00",0.445,0.44
0.44,30800.0,0.44,"Oct 20, 2011 00:00:00",0.44,0.44
0.48,19200.0,0.48,"Oct 21, 2011 00:00:00",0.48,0.48
0.49,176400.0,0.49,"Oct 24, 2011 00:00:00",0.49,0.49
0.47,331900.0,0.5,"Oct 26, 2011 00:00:00",0.5,0.47
0.44,9350.0,0.495,"Oct 28, 2011 00:00:00",0.495,0.44
0.46,27600.0,0.46,"Nov 08, 2011 00:00:00",0.46,0.46
0.49,294000.0,0.49,"Nov 09, 2011 00:00:00",0.49,0.49
0.495,237600.0,0.495,"Nov 14, 2011 00:00:00",0.495,0.495
0.5,35000.0,0.5,"Nov 18, 2011 00:00:00",0.5,0.5
0.5,80000.0,0.49,"Nov 21, 2011 00:00:00",0.5,0.49
0.5,1309100.0,0.5,"Nov 22, 2011 00:00:00",0.6,0.49
0.47,9400.0,0.47,"Nov 23, 2011 00:00:00",0.47,0.47
0.48,14400.0,0.48,"Nov 24, 2011 00:00:00",0.48,0.48
0.46,23000.0,0.46,"Nov 25, 2011 00:00:00",0.46,0.46
0.47,47000.0,0.47,"Nov 29, 2011 00:00:00",0.47,0.47
0.43,8600.0,0.43,"Dec 05, 2011 00:00:00",0.43,0.43
0.43,103200.0,0.43,"Dec 07, 2011 00:00:00",0.43,0.43
0.43,136500.0,0.45,"Dec 13, 2011 00:00:00",0.45,0.42
0.465,18700.0,0.47,"Dec 14, 2011 00:00:00",0.47,0.465
0.425,4250.0,0.425,"Dec 15, 2011 00:00:00",0.425,0.425
