OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
27.0,832478145.0,24.9,"Aug 13, 2020 00:00:00",27.25,24.9
25.0,246878435.0,24.1,"Aug 14, 2020 00:00:00",25.7,23.85
24.65,368018435.0,25.95,"Aug 17, 2020 00:00:00",26.45,24.65
25.95,269970885.0,25.8,"Aug 18, 2020 00:00:00",25.95,25.5
25.8,120900825.0,25.95,"Aug 19, 2020 00:00:00",26.0,25.65
25.95,146593165.0,25.9,"Aug 20, 2020 00:00:00",26.1,25.75
26.0,67404640.0,25.7,"Aug 24, 2020 00:00:00",26.0,25.65
25.7,146149255.0,25.8,"Aug 25, 2020 00:00:00",25.95,25.55
25.85,125180525.0,26.05,"Aug 26, 2020 00:00:00",26.45,25.75
25.5,39151250.0,25.75,"Aug 27, 2020 00:00:00",25.85,25.05
25.75,34060905.0,25.6,"Aug 28, 2020 00:00:00",25.75,25.6
25.6,35844145.0,25.5,"Sep 01, 2020 00:00:00",25.7,25.5
25.5,34253010.0,25.4,"Sep 02, 2020 00:00:00",25.5,25.3
25.4,23976325.0,25.45,"Sep 03, 2020 00:00:00",25.45,25.4
25.4,45984685.0,25.25,"Sep 04, 2020 00:00:00",25.45,25.25
25.3,29876410.0,25.55,"Sep 07, 2020 00:00:00",25.6,25.3
25.55,34902725.0,25.8,"Sep 08, 2020 00:00:00",25.85,25.5
25.8,8577000.0,25.8,"Sep 09, 2020 00:00:00",25.8,25.75
25.8,10679140.0,25.75,"Sep 10, 2020 00:00:00",25.85,25.75
25.7,18146875.0,25.7,"Sep 11, 2020 00:00:00",25.75,25.65
25.7,9313365.0,25.65,"Sep 14, 2020 00:00:00",25.75,25.6
25.65,15766400.0,25.65,"Sep 15, 2020 00:00:00",25.7,25.6
25.65,12122670.0,25.7,"Sep 16, 2020 00:00:00",25.75,25.55
25.7,105376970.0,25.8,"Sep 17, 2020 00:00:00",26.0,25.7
25.85,15742460.0,25.95,"Sep 18, 2020 00:00:00",26.0,25.85
25.9,36171460.0,25.65,"Sep 21, 2020 00:00:00",25.95,25.6
25.65,28604495.0,25.6,"Sep 22, 2020 00:00:00",25.75,25.45
25.75,36963720.0,25.65,"Sep 23, 2020 00:00:00",25.8,25.5
25.65,28093975.0,25.6,"Sep 24, 2020 00:00:00",26.0,25.55
25.6,43430045.0,25.55,"Sep 25, 2020 00:00:00",25.65,25.5
25.55,40113130.0,25.6,"Sep 28, 2020 00:00:00",25.65,25.45
25.6,194905785.0,25.7,"Sep 29, 2020 00:00:00",25.8,25.55
25.8,9501080.0,25.8,"Sep 30, 2020 00:00:00",25.8,25.6
25.8,23446580.0,25.95,"Oct 01, 2020 00:00:00",25.95,25.6
25.9,47527120.0,25.9,"Oct 02, 2020 00:00:00",25.9,25.6
25.9,28746310.0,25.75,"Oct 05, 2020 00:00:00",25.9,25.6
25.75,46430740.0,25.6,"Oct 06, 2020 00:00:00",25.75,25.55
25.6,24354345.0,25.65,"Oct 07, 2020 00:00:00",25.7,25.5
25.6,13837195.0,25.65,"Oct 08, 2020 00:00:00",25.75,25.5
25.65,8178320.0,25.6,"Oct 09, 2020 00:00:00",25.65,25.5
25.6,27099320.0,25.65,"Oct 12, 2020 00:00:00",25.7,25.5
25.55,35297935.0,25.7,"Oct 13, 2020 00:00:00",25.75,25.55
25.7,16893370.0,25.7,"Oct 14, 2020 00:00:00",25.75,25.55
25.75,17934175.0,25.7,"Oct 15, 2020 00:00:00",25.75,25.6
25.65,12828585.0,25.8,"Oct 16, 2020 00:00:00",25.85,25.6
25.8,17223775.0,25.7,"Oct 19, 2020 00:00:00",25.85,25.7
25.7,13497175.0,25.65,"Oct 20, 2020 00:00:00",25.85,25.6
25.75,10673870.0,25.75,"Oct 21, 2020 00:00:00",25.8,25.65
25.75,12796560.0,25.7,"Oct 22, 2020 00:00:00",25.8,25.65
25.75,62062275.0,25.65,"Oct 23, 2020 00:00:00",25.75,25.5
25.7,32204060.0,25.7,"Oct 26, 2020 00:00:00",25.8,25.65
25.7,18297295.0,25.7,"Oct 27, 2020 00:00:00",25.7,25.55
25.7,9953995.0,25.75,"Oct 28, 2020 00:00:00",25.75,25.65
25.7,7747220.0,25.65,"Oct 29, 2020 00:00:00",25.7,25.6
25.65,16161600.0,25.55,"Oct 30, 2020 00:00:00",25.7,25.55
25.65,30187530.0,25.6,"Nov 03, 2020 00:00:00",25.7,25.5
25.65,42581845.0,25.65,"Nov 04, 2020 00:00:00",25.65,25.55
25.65,52614360.0,25.6,"Nov 05, 2020 00:00:00",25.65,25.5
25.65,29153560.0,25.6,"Nov 06, 2020 00:00:00",25.65,25.55
25.6,9850400.0,25.75,"Nov 09, 2020 00:00:00",25.8,25.6
25.85,60712265.0,25.9,"Nov 10, 2020 00:00:00",25.9,25.5
25.9,16774960.0,25.95,"Nov 11, 2020 00:00:00",25.95,25.85
25.95,19666365.0,26.0,"Nov 13, 2020 00:00:00",26.0,25.85
26.0,22886160.0,26.2,"Nov 16, 2020 00:00:00",26.25,25.95
26.2,55827940.0,26.1,"Nov 17, 2020 00:00:00",26.5,26.1
26.3,30789365.0,26.5,"Nov 18, 2020 00:00:00",26.5,26.3
26.5,33256355.0,26.55,"Nov 19, 2020 00:00:00",26.65,26.45
26.6,41901880.0,27.0,"Nov 20, 2020 00:00:00",27.0,26.55
27.1,45534155.0,27.5,"Nov 23, 2020 00:00:00",27.6,27.05
27.5,25053590.0,27.25,"Nov 24, 2020 00:00:00",27.55,27.15
27.5,45359620.0,27.35,"Nov 25, 2020 00:00:00",27.5,27.25
27.45,24201900.0,27.3,"Nov 26, 2020 00:00:00",27.45,27.0
27.25,23099440.0,27.35,"Nov 27, 2020 00:00:00",27.5,27.15
27.4,30897085.0,27.75,"Dec 01, 2020 00:00:00",27.95,27.4
27.45,23858290.0,27.55,"Dec 02, 2020 00:00:00",27.7,27.3
27.55,34259610.0,27.5,"Dec 03, 2020 00:00:00",27.6,27.5
27.55,18970815.0,27.55,"Dec 04, 2020 00:00:00",27.6,27.5
27.55,14639920.0,27.55,"Dec 07, 2020 00:00:00",27.7,27.5
27.75,16190995.0,27.7,"Dec 09, 2020 00:00:00",27.75,27.6
27.75,71066240.0,28.1,"Dec 10, 2020 00:00:00",28.15,27.7
28.1,37339250.0,29.0,"Dec 11, 2020 00:00:00",29.0,28.1
29.0,28110505.0,29.0,"Dec 14, 2020 00:00:00",29.2,28.95
29.0,100818550.0,29.8,"Dec 15, 2020 00:00:00",29.8,29.0
29.8,72830885.0,29.9,"Dec 16, 2020 00:00:00",30.0,29.6
30.0,35425210.0,29.9,"Dec 17, 2020 00:00:00",30.0,29.75
29.95,103206055.0,29.75,"Dec 18, 2020 00:00:00",30.0,29.75
29.75,32188470.0,29.55,"Dec 21, 2020 00:00:00",29.75,29.5
29.4,85981665.0,29.3,"Dec 22, 2020 00:00:00",29.45,28.8
29.3,88797120.0,29.2,"Dec 23, 2020 00:00:00",29.3,28.7
29.1,79775865.0,29.25,"Dec 28, 2020 00:00:00",29.25,28.45
29.3,19138025.0,29.35,"Dec 29, 2020 00:00:00",29.35,28.9
29.35,17177585.0,29.25,"Jan 04, 2021 00:00:00",29.4,29.2
29.25,78372065.0,29.0,"Jan 05, 2021 00:00:00",29.3,28.95
29.0,42086310.0,28.95,"Jan 06, 2021 00:00:00",29.15,28.9
29.0,38516420.0,29.25,"Jan 07, 2021 00:00:00",29.3,28.95
29.25,26000270.0,29.5,"Jan 08, 2021 00:00:00",29.5,29.2
29.5,46614610.0,30.0,"Jan 11, 2021 00:00:00",30.15,29.5
30.0,9568465.0,29.95,"Jan 12, 2021 00:00:00",30.0,29.9
30.0,40149600.0,30.05,"Jan 13, 2021 00:00:00",30.05,29.9
30.0,44494625.0,29.9,"Jan 14, 2021 00:00:00",30.05,29.9
30.0,17341200.0,30.15,"Jan 15, 2021 00:00:00",30.15,29.9
30.1,15618175.0,30.85,"Jan 18, 2021 00:00:00",30.9,30.1
30.9,34797885.0,31.6,"Jan 19, 2021 00:00:00",31.6,30.9
31.6,66574815.0,32.05,"Jan 20, 2021 00:00:00",33.1,31.6
32.15,33247540.0,31.9,"Jan 21, 2021 00:00:00",32.75,31.5
31.95,31928980.0,31.6,"Jan 22, 2021 00:00:00",32.25,31.6
31.6,16662595.0,32.0,"Jan 25, 2021 00:00:00",32.15,31.5
32.0,37814760.0,31.75,"Jan 26, 2021 00:00:00",32.0,31.6
31.65,110254500.0,31.5,"Jan 27, 2021 00:00:00",31.85,31.35
31.5,9608165.0,31.8,"Jan 28, 2021 00:00:00",31.9,31.3
31.8,37303495.0,32.0,"Jan 29, 2021 00:00:00",32.1,31.8
32.0,56909245.0,32.0,"Feb 01, 2021 00:00:00",32.05,31.95
32.1,46511960.0,32.9,"Feb 02, 2021 00:00:00",32.95,32.05
32.95,55272215.0,32.5,"Feb 03, 2021 00:00:00",33.0,32.4
32.5,18596625.0,32.3,"Feb 04, 2021 00:00:00",32.5,32.2
32.45,25023890.0,32.6,"Feb 05, 2021 00:00:00",32.75,32.45
32.8,35494340.0,32.9,"Feb 08, 2021 00:00:00",32.95,32.7
32.9,23816735.0,32.75,"Feb 09, 2021 00:00:00",33.0,32.6
32.8,20170045.0,33.0,"Feb 10, 2021 00:00:00",33.0,32.8
33.0,19961070.0,33.1,"Feb 11, 2021 00:00:00",33.15,32.95
33.15,29315175.0,33.9,"Feb 15, 2021 00:00:00",33.9,33.15
33.9,69521285.0,34.0,"Feb 16, 2021 00:00:00",35.0,33.85
34.0,18433210.0,34.0,"Feb 17, 2021 00:00:00",34.45,33.95
34.05,5598310.0,34.2,"Feb 18, 2021 00:00:00",34.9,34.05
34.5,23397320.0,34.45,"Feb 19, 2021 00:00:00",34.9,34.1
34.5,7974055.0,34.7,"Feb 22, 2021 00:00:00",34.9,34.5
34.5,22948225.0,34.2,"Feb 23, 2021 00:00:00",34.5,34.0
34.3,36662250.0,33.9,"Feb 24, 2021 00:00:00",34.45,33.5
34.0,46649160.0,33.7,"Feb 26, 2021 00:00:00",34.0,33.7
33.95,39944205.0,33.9,"Mar 01, 2021 00:00:00",34.4,33.9
33.9,14857690.0,34.4,"Mar 02, 2021 00:00:00",34.7,33.8
34.5,11032430.0,34.25,"Mar 03, 2021 00:00:00",34.5,34.2
34.4,26932930.0,33.95,"Mar 04, 2021 00:00:00",34.6,33.9
34.1,35057425.0,33.95,"Mar 05, 2021 00:00:00",34.4,33.95
33.95,26234435.0,33.55,"Mar 08, 2021 00:00:00",34.0,33.45
33.55,57484810.0,33.05,"Mar 09, 2021 00:00:00",34.0,32.8
33.0,17820015.0,33.0,"Mar 10, 2021 00:00:00",33.0,32.4
33.0,68979035.0,32.2,"Mar 11, 2021 00:00:00",33.0,32.0
32.05,33449760.0,32.1,"Mar 12, 2021 00:00:00",32.4,31.7
32.1,57053935.0,31.75,"Mar 15, 2021 00:00:00",32.5,31.0
31.75,19607910.0,32.5,"Mar 16, 2021 00:00:00",32.8,31.75
32.8,11121995.0,32.8,"Mar 17, 2021 00:00:00",32.8,32.0
32.85,43774730.0,33.05,"Mar 18, 2021 00:00:00",33.5,32.8
33.2,30405500.0,32.65,"Mar 19, 2021 00:00:00",33.5,32.55
32.65,13320635.0,32.5,"Mar 22, 2021 00:00:00",32.65,31.9
32.5,13628715.0,32.8,"Mar 23, 2021 00:00:00",33.0,32.4
32.8,29633600.0,33.0,"Mar 24, 2021 00:00:00",33.05,32.8
33.0,28144755.0,33.15,"Mar 25, 2021 00:00:00",33.55,33.0
33.15,36278565.0,33.2,"Mar 26, 2021 00:00:00",34.25,33.0
33.1,12142945.0,33.45,"Mar 29, 2021 00:00:00",33.5,33.0
33.4,20959665.0,33.7,"Mar 30, 2021 00:00:00",33.7,33.3
33.8,23563170.0,34.0,"Mar 31, 2021 00:00:00",34.3,33.8
34.0,26837315.0,34.65,"Apr 05, 2021 00:00:00",34.7,33.95
34.7,24463160.0,34.85,"Apr 06, 2021 00:00:00",35.0,34.7
34.95,38622950.0,34.9,"Apr 07, 2021 00:00:00",35.0,34.45
34.9,15790495.0,34.5,"Apr 08, 2021 00:00:00",34.95,34.3
34.5,39487105.0,34.0,"Apr 12, 2021 00:00:00",34.5,33.75
34.0,18565525.0,33.9,"Apr 13, 2021 00:00:00",34.1,33.7
33.9,23137490.0,34.0,"Apr 14, 2021 00:00:00",34.3,33.85
34.0,24322510.0,33.9,"Apr 15, 2021 00:00:00",34.0,33.9
33.9,11420675.0,33.9,"Apr 16, 2021 00:00:00",34.0,33.6
33.9,35492075.0,33.5,"Apr 19, 2021 00:00:00",33.9,33.5
33.5,21527245.0,33.7,"Apr 20, 2021 00:00:00",34.1,33.5
33.7,4835575.0,34.0,"Apr 21, 2021 00:00:00",34.55,33.7
34.3,13389065.0,34.0,"Apr 22, 2021 00:00:00",34.3,34.0
34.0,8523480.0,34.05,"Apr 23, 2021 00:00:00",34.2,33.95
34.05,22075195.0,34.0,"Apr 26, 2021 00:00:00",34.45,33.95
34.0,27814880.0,34.4,"Apr 27, 2021 00:00:00",34.65,34.0
34.4,37181765.0,34.5,"Apr 28, 2021 00:00:00",35.0,34.4
34.5,28183545.0,34.55,"Apr 29, 2021 00:00:00",34.6,34.4
34.0,77004200.0,34.3,"Apr 30, 2021 00:00:00",34.65,34.0
