OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
3.7,371100.0,3.7,"Aug 03, 2009 00:00:00",3.7,3.6
3.7,55500.0,3.7,"Aug 04, 2009 00:00:00",3.7,3.7
3.7,11100.0,3.7,"Aug 06, 2009 00:00:00",3.7,3.7
3.6,180000.0,3.6,"Aug 07, 2009 00:00:00",3.6,3.6
3.6,183600.0,3.6,"Aug 11, 2009 00:00:00",3.6,3.6
3.4,40800.0,3.4,"Aug 12, 2009 00:00:00",3.4,3.4
3.75,1739300.0,3.8,"Aug 14, 2009 00:00:00",3.9,3.75
3.75,18750.0,3.75,"Aug 18, 2009 00:00:00",3.75,3.75
3.75,18750.0,3.75,"Aug 19, 2009 00:00:00",3.75,3.75
3.8,374800.0,3.95,"Aug 24, 2009 00:00:00",4.0,3.8
3.9,858000.0,3.9,"Aug 25, 2009 00:00:00",3.9,3.9
3.75,92750.0,3.7,"Sep 17, 2009 00:00:00",3.75,3.7
3.65,288350.0,3.65,"Sep 18, 2009 00:00:00",3.65,3.65
3.7,48100.0,3.7,"Oct 06, 2009 00:00:00",3.7,3.7
3.7,25900.0,3.7,"Oct 08, 2009 00:00:00",3.7,3.7
3.9,329500.0,3.9,"Oct 09, 2009 00:00:00",3.9,3.7
3.75,146250.0,3.75,"Oct 14, 2009 00:00:00",3.75,3.75
3.75,37500.0,3.75,"Oct 19, 2009 00:00:00",3.75,3.75
3.6,21600.0,3.6,"Oct 27, 2009 00:00:00",3.6,3.6
3.7,3700.0,3.7,"Oct 28, 2009 00:00:00",3.7,3.7
3.65,379600.0,3.65,"Oct 29, 2009 00:00:00",3.65,3.65
3.7,225700.0,3.7,"Oct 30, 2009 00:00:00",3.7,3.7
3.8,3800.0,3.8,"Nov 03, 2009 00:00:00",3.8,3.8
3.8,76000.0,3.8,"Nov 04, 2009 00:00:00",3.8,3.8
3.85,205900.0,3.8,"Nov 05, 2009 00:00:00",3.85,3.8
3.8,652500.0,3.85,"Nov 06, 2009 00:00:00",3.85,3.8
3.85,23100.0,3.85,"Nov 09, 2009 00:00:00",3.85,3.85
3.85,462000.0,3.85,"Nov 10, 2009 00:00:00",3.85,3.85
3.85,180950.0,3.85,"Nov 11, 2009 00:00:00",3.85,3.85
3.95,387100.0,3.95,"Dec 16, 2009 00:00:00",3.95,3.95
3.95,987500.0,3.95,"Dec 17, 2009 00:00:00",3.95,3.95
3.95,335750.0,3.95,"Dec 18, 2009 00:00:00",3.95,3.95
3.9,1021800.0,3.9,"Dec 21, 2009 00:00:00",3.9,3.9
4.0,80000.0,4.0,"Dec 29, 2009 00:00:00",4.0,4.0
4.1,4100.0,4.1,"Jan 07, 2010 00:00:00",4.1,4.1
3.95,1308100.0,4.0,"Jan 11, 2010 00:00:00",4.0,3.95
4.0,20000.0,4.0,"Jan 13, 2010 00:00:00",4.0,4.0
4.0,760500.0,4.0,"Jan 18, 2010 00:00:00",4.1,4.0
4.1,276200.0,4.0,"Jan 20, 2010 00:00:00",4.1,4.0
4.0,200000.0,4.0,"Jan 21, 2010 00:00:00",4.0,4.0
4.0,200000.0,4.0,"Jan 22, 2010 00:00:00",4.0,4.0
4.0,556000.0,4.0,"Jan 25, 2010 00:00:00",4.0,4.0
4.0,971750.0,4.0,"Jan 26, 2010 00:00:00",4.0,3.95
4.0,279000.0,3.95,"Jan 29, 2010 00:00:00",4.0,3.95
4.0,119000.0,3.95,"Feb 01, 2010 00:00:00",4.0,3.95
3.95,339700.0,3.95,"Feb 03, 2010 00:00:00",3.95,3.95
3.95,3950.0,3.95,"Mar 08, 2010 00:00:00",3.95,3.95
4.0,12000.0,4.0,"Mar 12, 2010 00:00:00",4.0,4.0
4.0,16000.0,4.0,"Mar 15, 2010 00:00:00",4.0,4.0
4.1,77900.0,4.1,"Mar 31, 2010 00:00:00",4.1,4.1
4.6,414000.0,4.6,"Apr 20, 2010 00:00:00",4.6,4.6
4.6,27800.0,4.65,"Apr 21, 2010 00:00:00",4.65,4.6
4.7,761700.0,4.8,"Apr 22, 2010 00:00:00",4.8,4.7
4.9,2661400.0,5.2,"Apr 23, 2010 00:00:00",5.2,4.9
5.8,1228600.0,5.8,"Apr 29, 2010 00:00:00",5.8,5.7
5.8,1629100.0,5.5,"Apr 30, 2010 00:00:00",5.8,5.5
5.5,93800.0,5.6,"May 04, 2010 00:00:00",5.6,5.5
5.7,168900.0,5.6,"May 05, 2010 00:00:00",5.7,5.6
5.8,1282900.0,5.7,"May 13, 2010 00:00:00",5.9,5.7
5.9,3518900.0,5.7,"May 14, 2010 00:00:00",5.9,5.7
5.6,180800.0,5.6,"May 17, 2010 00:00:00",5.7,5.6
5.5,55000.0,5.5,"May 18, 2010 00:00:00",5.5,5.5
5.4,421200.0,5.4,"May 20, 2010 00:00:00",5.4,5.4
5.2,521000.0,5.4,"May 21, 2010 00:00:00",5.4,5.2
5.5,856000.0,5.5,"May 24, 2010 00:00:00",5.5,5.4
5.4,672800.0,5.2,"May 25, 2010 00:00:00",5.4,5.2
5.2,52000.0,5.2,"May 26, 2010 00:00:00",5.2,5.2
5.2,670800.0,5.2,"May 28, 2010 00:00:00",5.2,5.2
5.1,10200.0,5.1,"May 31, 2010 00:00:00",5.1,5.1
5.1,155500.0,5.3,"Jun 01, 2010 00:00:00",5.3,5.1
5.3,1480600.0,5.4,"Jun 02, 2010 00:00:00",5.4,5.3
5.5,1267200.0,5.4,"Jun 03, 2010 00:00:00",5.6,5.4
5.5,957000.0,5.5,"Jun 04, 2010 00:00:00",5.5,5.5
5.5,38500.0,5.5,"Jun 07, 2010 00:00:00",5.5,5.5
5.5,55000.0,5.5,"Jun 08, 2010 00:00:00",5.5,5.5
5.5,979000.0,5.5,"Jun 09, 2010 00:00:00",5.5,5.5
5.5,27500.0,5.5,"Jun 10, 2010 00:00:00",5.5,5.5
5.5,385000.0,5.5,"Jun 11, 2010 00:00:00",5.5,5.5
5.5,550000.0,5.5,"Jun 15, 2010 00:00:00",5.5,5.5
5.4,280400.0,5.5,"Jun 16, 2010 00:00:00",5.5,5.4
5.5,341000.0,5.5,"Jun 22, 2010 00:00:00",5.5,5.5
5.4,109000.0,5.5,"Jun 23, 2010 00:00:00",5.5,5.4
5.5,275000.0,5.5,"Jun 24, 2010 00:00:00",5.5,5.5
5.5,165000.0,5.5,"Jun 25, 2010 00:00:00",5.5,5.5
5.5,770000.0,5.5,"Jun 28, 2010 00:00:00",5.5,5.5
5.5,550000.0,5.5,"Jun 29, 2010 00:00:00",5.5,5.5
5.5,627000.0,5.5,"Jul 01, 2010 00:00:00",5.5,5.5
5.7,10163800.0,5.5,"Jul 02, 2010 00:00:00",5.7,5.5
5.5,660000.0,5.5,"Jul 06, 2010 00:00:00",5.5,5.5
5.6,830600.0,5.5,"Jul 08, 2010 00:00:00",5.6,5.5
5.6,1840800.0,5.7,"Jul 09, 2010 00:00:00",5.7,5.6
5.4,230800.0,5.5,"Jul 15, 2010 00:00:00",5.5,5.4
5.5,11000.0,5.5,"Jul 16, 2010 00:00:00",5.5,5.5
5.5,16500.0,5.5,"Jul 19, 2010 00:00:00",5.5,5.5
5.4,48600.0,5.4,"Jul 20, 2010 00:00:00",5.4,5.4
5.4,16200.0,5.4,"Jul 21, 2010 00:00:00",5.4,5.4
5.4,604000.0,5.5,"Jul 22, 2010 00:00:00",5.5,5.4
7.0,5611200.0,7.2,"Sep 20, 2010 00:00:00",7.2,7.0
7.1,2321700.0,7.1,"Sep 21, 2010 00:00:00",7.1,7.1
7.0,630000.0,7.0,"Sep 22, 2010 00:00:00",7.0,7.0
7.1,1337155.0,7.05,"Sep 23, 2010 00:00:00",7.5,7.05
7.4,74000.0,7.4,"Sep 24, 2010 00:00:00",7.4,7.4
7.4,38480.0,7.4,"Sep 27, 2010 00:00:00",7.4,7.4
7.1,781740.0,7.4,"Sep 29, 2010 00:00:00",7.4,7.1
7.26,2720026.0,7.2,"Sep 30, 2010 00:00:00",7.26,7.0
7.0,1554390.0,7.1,"Oct 01, 2010 00:00:00",7.1,7.0
7.13,244900.0,7.0,"Oct 04, 2010 00:00:00",7.13,7.0
7.1,710.0,7.1,"Oct 05, 2010 00:00:00",7.1,7.1
7.1,1500925.0,7.4,"Oct 06, 2010 00:00:00",7.5,7.1
7.5,164800.0,7.48,"Oct 07, 2010 00:00:00",7.5,7.48
7.48,97240.0,7.48,"Oct 08, 2010 00:00:00",7.48,7.48
