OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
9.0,9000.0,9.0,"Aug 10, 2009 00:00:00",9.0,9.0
9.5,47500.0,9.5,"Sep 04, 2009 00:00:00",9.5,9.5
13.75,6996625.0,15.75,"Sep 30, 2009 00:00:00",15.75,13.75
14.5,5856550.0,16.25,"Oct 01, 2009 00:00:00",16.5,14.5
16.25,1082250.0,16.25,"Oct 02, 2009 00:00:00",16.25,16.25
16.25,497000.0,16.75,"Oct 05, 2009 00:00:00",16.75,16.25
17.0,4484700.0,17.25,"Oct 06, 2009 00:00:00",17.75,17.0
17.0,1056925.0,16.5,"Oct 07, 2009 00:00:00",17.0,16.25
16.5,2745100.0,17.5,"Oct 08, 2009 00:00:00",17.5,16.5
17.25,35725.0,17.0,"Oct 09, 2009 00:00:00",17.25,17.0
17.0,1604150.0,17.0,"Oct 12, 2009 00:00:00",17.0,16.75
16.75,408950.0,16.25,"Oct 13, 2009 00:00:00",16.75,16.25
16.25,125225.0,16.75,"Oct 14, 2009 00:00:00",16.75,16.25
16.5,627925.0,16.75,"Oct 16, 2009 00:00:00",16.75,16.5
16.75,631975.0,16.75,"Oct 19, 2009 00:00:00",17.0,16.75
16.75,117250.0,16.75,"Oct 20, 2009 00:00:00",16.75,16.75
16.75,23450.0,16.75,"Oct 21, 2009 00:00:00",16.75,16.75
16.75,448900.0,16.75,"Oct 22, 2009 00:00:00",16.75,16.75
16.75,366825.0,16.75,"Oct 23, 2009 00:00:00",16.75,16.75
17.0,1700.0,17.0,"Oct 26, 2009 00:00:00",17.0,17.0
16.75,396750.0,16.25,"Oct 27, 2009 00:00:00",16.75,16.25
16.25,501500.0,16.5,"Oct 28, 2009 00:00:00",16.5,16.25
16.75,728800.0,17.5,"Oct 30, 2009 00:00:00",17.5,16.75
19.0,249800.0,18.5,"Nov 03, 2009 00:00:00",19.0,18.0
18.5,124450.0,18.75,"Nov 04, 2009 00:00:00",18.75,18.5
17.75,52025.0,19.75,"Nov 06, 2009 00:00:00",19.75,17.75
20.0,91850.0,19.75,"Nov 09, 2009 00:00:00",21.75,19.5
19.5,17550.0,19.5,"Nov 10, 2009 00:00:00",19.5,19.5
19.75,70975.0,19.5,"Nov 11, 2009 00:00:00",19.75,19.5
27.0,8100.0,27.0,"Dec 15, 2009 00:00:00",27.0,27.0
24.0,20250.0,27.5,"Dec 21, 2009 00:00:00",27.5,24.0
26.5,7950.0,26.5,"Dec 23, 2009 00:00:00",26.5,26.5
26.5,63950.0,27.0,"Dec 29, 2009 00:00:00",27.0,26.5
27.5,27500.0,27.5,"Jan 04, 2010 00:00:00",27.5,27.5
20.0,402750.0,27.5,"Jan 05, 2010 00:00:00",27.5,20.0
26.5,553250.0,27.0,"Jan 07, 2010 00:00:00",27.0,26.5
20.0,350200.0,20.0,"Jan 21, 2010 00:00:00",20.25,20.0
20.0,26000.0,20.0,"Jan 22, 2010 00:00:00",20.0,20.0
20.0,90000.0,20.0,"Jan 25, 2010 00:00:00",20.0,20.0
20.0,142000.0,20.0,"Jan 27, 2010 00:00:00",20.0,20.0
20.0,40000.0,20.0,"Jan 28, 2010 00:00:00",20.0,20.0
25.5,12750.0,25.5,"Feb 08, 2010 00:00:00",25.5,25.5
30.0,24000.0,30.0,"Mar 08, 2010 00:00:00",30.0,30.0
25.0,218325.0,20.25,"Mar 12, 2010 00:00:00",25.0,20.25
25.0,5000.0,25.0,"Mar 31, 2010 00:00:00",25.0,25.0
20.25,40500.0,20.25,"Apr 20, 2010 00:00:00",20.25,20.25
