OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.14,2237600.0,0.14,"Aug 03, 2009 00:00:00",0.145,0.14
0.14,2627300.0,0.13,"Aug 04, 2009 00:00:00",0.14,0.13
0.14,881400.0,0.12,"Aug 06, 2009 00:00:00",0.14,0.12
0.12,931200.0,0.12,"Aug 07, 2009 00:00:00",0.12,0.12
0.125,50000.0,0.125,"Aug 10, 2009 00:00:00",0.125,0.125
0.135,544900.0,0.135,"Aug 11, 2009 00:00:00",0.135,0.13
0.135,1035600.0,0.135,"Aug 12, 2009 00:00:00",0.14,0.135
0.14,893100.0,0.14,"Aug 13, 2009 00:00:00",0.14,0.135
0.145,2331550.0,0.135,"Aug 14, 2009 00:00:00",0.15,0.135
0.135,396500.0,0.13,"Aug 17, 2009 00:00:00",0.135,0.13
0.12,868300.0,0.12,"Aug 18, 2009 00:00:00",0.125,0.12
0.125,199000.0,0.125,"Aug 19, 2009 00:00:00",0.13,0.125
0.13,175050.0,0.125,"Aug 20, 2009 00:00:00",0.13,0.125
0.13,529500.0,0.13,"Aug 24, 2009 00:00:00",0.13,0.12
0.135,270000.0,0.135,"Aug 25, 2009 00:00:00",0.135,0.135
0.135,40500.0,0.135,"Aug 26, 2009 00:00:00",0.135,0.135
0.12,379200.0,0.12,"Sep 03, 2009 00:00:00",0.12,0.12
0.13,420650.0,0.12,"Sep 04, 2009 00:00:00",0.13,0.12
0.12,162000.0,0.115,"Sep 16, 2009 00:00:00",0.12,0.115
0.12,57750.0,0.115,"Sep 17, 2009 00:00:00",0.12,0.115
0.115,63250.0,0.115,"Sep 18, 2009 00:00:00",0.115,0.115
0.11,341000.0,0.11,"Sep 22, 2009 00:00:00",0.11,0.11
0.11,1349700.0,0.11,"Sep 23, 2009 00:00:00",0.11,0.11
0.105,94500.0,0.105,"Sep 30, 2009 00:00:00",0.105,0.105
0.105,160650.0,0.105,"Oct 01, 2009 00:00:00",0.105,0.105
0.1,1368150.0,0.095,"Oct 02, 2009 00:00:00",0.1,0.095
0.1,581500.0,0.095,"Oct 05, 2009 00:00:00",0.1,0.095
0.095,486000.0,0.095,"Oct 06, 2009 00:00:00",0.1,0.095
0.1,603500.0,0.105,"Oct 07, 2009 00:00:00",0.105,0.1
0.105,420000.0,0.105,"Oct 08, 2009 00:00:00",0.105,0.105
0.11,274550.0,0.1,"Oct 09, 2009 00:00:00",0.11,0.1
0.1,100000.0,0.1,"Oct 13, 2009 00:00:00",0.1,0.1
0.095,114000.0,0.095,"Oct 14, 2009 00:00:00",0.095,0.095
0.1,88000.0,0.0975,"Oct 15, 2009 00:00:00",0.1,0.0975
0.1,5749500.0,0.115,"Oct 16, 2009 00:00:00",0.12,0.1
0.115,2104850.0,0.115,"Oct 19, 2009 00:00:00",0.125,0.115
0.115,276300.0,0.11,"Oct 20, 2009 00:00:00",0.115,0.11
0.11,108500.0,0.105,"Oct 21, 2009 00:00:00",0.11,0.105
0.115,276650.0,0.105,"Oct 22, 2009 00:00:00",0.115,0.105
0.105,191100.0,0.105,"Oct 26, 2009 00:00:00",0.11,0.105
0.11,90200.0,0.11,"Oct 27, 2009 00:00:00",0.11,0.11
