OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.04,11460.0,1.06,"Aug 03, 2009 00:00:00",1.06,1.04
1.06,62720.0,1.08,"Aug 04, 2009 00:00:00",1.08,1.06
1.08,43200.0,1.08,"Aug 11, 2009 00:00:00",1.08,1.08
1.06,10600.0,1.06,"Aug 12, 2009 00:00:00",1.06,1.06
1.06,10600.0,1.06,"Aug 14, 2009 00:00:00",1.06,1.06
1.1,163400.0,1.1,"Aug 24, 2009 00:00:00",1.1,1.08
1.18,137620.0,1.22,"Aug 25, 2009 00:00:00",1.24,1.16
1.22,541980.0,1.26,"Aug 26, 2009 00:00:00",1.3,1.22
1.2,241200.0,1.2,"Sep 03, 2009 00:00:00",1.2,1.2
1.2,88800.0,1.2,"Sep 04, 2009 00:00:00",1.2,1.2
1.1,55000.0,1.1,"Sep 23, 2009 00:00:00",1.1,1.1
1.06,47700.0,1.06,"Sep 30, 2009 00:00:00",1.06,1.06
1.06,56180.0,1.06,"Oct 08, 2009 00:00:00",1.06,1.06
1.06,1060.0,1.06,"Oct 13, 2009 00:00:00",1.06,1.06
1.06,106000.0,1.06,"Oct 15, 2009 00:00:00",1.06,1.06
1.04,20800.0,1.04,"Oct 16, 2009 00:00:00",1.04,1.04
1.1,368580.0,1.32,"Oct 19, 2009 00:00:00",1.36,1.1
1.3,1300.0,1.3,"Oct 20, 2009 00:00:00",1.3,1.3
1.32,23760.0,1.32,"Oct 21, 2009 00:00:00",1.32,1.32
1.28,54860.0,1.32,"Oct 23, 2009 00:00:00",1.34,1.1
1.3,31200.0,1.3,"Oct 28, 2009 00:00:00",1.3,1.3
1.32,43040.0,1.32,"Oct 29, 2009 00:00:00",1.32,1.14
1.14,1140.0,1.14,"Oct 30, 2009 00:00:00",1.14,1.14
1.14,13680.0,1.14,"Nov 03, 2009 00:00:00",1.14,1.14
1.28,6400.0,1.28,"Nov 04, 2009 00:00:00",1.28,1.28
1.28,1280.0,1.28,"Nov 05, 2009 00:00:00",1.28,1.28
1.28,1280.0,1.28,"Nov 11, 2009 00:00:00",1.28,1.28
1.06,1060.0,1.06,"Dec 16, 2009 00:00:00",1.06,1.06
1.04,55120.0,1.04,"Dec 17, 2009 00:00:00",1.04,1.04
1.04,8320.0,1.04,"Dec 18, 2009 00:00:00",1.04,1.04
1.16,105760.0,1.2,"Dec 29, 2009 00:00:00",1.2,1.16
1.24,14880.0,1.24,"Jan 05, 2010 00:00:00",1.24,1.24
1.06,27700.0,1.2,"Jan 08, 2010 00:00:00",1.2,1.06
1.2,1200.0,1.2,"Jan 14, 2010 00:00:00",1.2,1.2
1.1,9900.0,1.1,"Jan 21, 2010 00:00:00",1.1,1.1
1.1,495000.0,1.1,"Jan 22, 2010 00:00:00",1.1,1.1
1.08,64800.0,1.08,"Jan 26, 2010 00:00:00",1.08,1.08
1.1,1100.0,1.1,"Jan 27, 2010 00:00:00",1.1,1.1
1.02,42840.0,1.02,"Jan 28, 2010 00:00:00",1.02,1.02
1.04,10400.0,1.04,"Jan 29, 2010 00:00:00",1.04,1.04
1.04,61800.0,1.02,"Feb 02, 2010 00:00:00",1.04,1.02
1.02,53040.0,1.02,"Feb 03, 2010 00:00:00",1.02,1.02
1.02,35700.0,1.02,"Feb 09, 2010 00:00:00",1.02,1.02
0.98,266100.0,1.0,"Feb 10, 2010 00:00:00",1.42,0.96
1.02,92800.0,1.04,"Feb 11, 2010 00:00:00",1.04,1.02
1.08,290480.0,1.08,"Mar 15, 2010 00:00:00",1.08,1.06
1.08,35640.0,1.08,"Mar 16, 2010 00:00:00",1.08,1.08
1.06,2120.0,1.06,"Mar 17, 2010 00:00:00",1.06,1.06
1.16,1160.0,1.16,"Mar 31, 2010 00:00:00",1.16,1.16
1.08,7560.0,1.08,"Apr 23, 2010 00:00:00",1.08,1.08
1.16,2320.0,1.16,"Apr 30, 2010 00:00:00",1.16,1.16
1.08,2160.0,1.08,"May 21, 2010 00:00:00",1.08,1.08
1.08,21600.0,1.08,"May 25, 2010 00:00:00",1.08,1.08
1.06,4240.0,1.06,"May 26, 2010 00:00:00",1.06,1.06
1.0,2000.0,1.0,"Jun 01, 2010 00:00:00",1.0,1.0
1.12,11200.0,1.12,"Jun 04, 2010 00:00:00",1.12,1.12
1.04,46800.0,1.04,"Jun 07, 2010 00:00:00",1.04,1.04
1.04,8320.0,1.04,"Jun 08, 2010 00:00:00",1.04,1.04
1.06,5300.0,1.06,"Jun 09, 2010 00:00:00",1.06,1.06
1.08,32400.0,1.08,"Jun 23, 2010 00:00:00",1.08,1.08
1.12,20160.0,1.12,"Jun 24, 2010 00:00:00",1.12,1.12
1.08,32400.0,1.08,"Jun 25, 2010 00:00:00",1.08,1.08
1.08,32400.0,1.08,"Jun 28, 2010 00:00:00",1.08,1.08
1.1,20100.0,1.12,"Jul 02, 2010 00:00:00",1.12,1.1
1.12,1120.0,1.12,"Jul 07, 2010 00:00:00",1.12,1.12
1.06,42400.0,1.06,"Jul 09, 2010 00:00:00",1.06,1.06
1.06,1060.0,1.06,"Jul 13, 2010 00:00:00",1.06,1.06
1.06,53000.0,1.06,"Jul 16, 2010 00:00:00",1.06,1.06
1.02,42840.0,1.02,"Jul 20, 2010 00:00:00",1.02,1.02
1.08,112300.0,1.08,"Jul 21, 2010 00:00:00",1.08,1.06
1.1,35200.0,1.1,"Jul 22, 2010 00:00:00",1.1,1.1
1.05,4200.0,1.05,"Sep 21, 2010 00:00:00",1.05,1.05
1.05,51300.0,1.08,"Sep 22, 2010 00:00:00",1.08,1.05
1.1,25300.0,1.1,"Sep 24, 2010 00:00:00",1.1,1.1
1.12,30240.0,1.12,"Sep 27, 2010 00:00:00",1.12,1.12
1.15,17250.0,1.15,"Sep 28, 2010 00:00:00",1.15,1.15
