OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
4.8,96000.0,4.8,"Oct 06, 2009 00:00:00",4.8,4.8
6.5,118700.0,7.1,"Oct 07, 2009 00:00:00",7.1,6.5
7.2,614400.0,10.25,"Oct 08, 2009 00:00:00",10.25,7.2
9.1,878300.0,9.0,"Oct 09, 2009 00:00:00",10.0,8.9
6.3,412000.0,6.8,"Oct 13, 2009 00:00:00",6.8,6.3
7.0,1325000.0,9.9,"Oct 14, 2009 00:00:00",10.0,7.0
9.9,1232150.0,9.3,"Oct 15, 2009 00:00:00",10.25,9.0
9.1,314100.0,9.2,"Oct 16, 2009 00:00:00",9.3,9.1
8.9,125100.0,9.0,"Oct 19, 2009 00:00:00",9.0,8.9
9.0,198000.0,9.0,"Oct 20, 2009 00:00:00",9.0,9.0
9.0,214000.0,8.9,"Oct 21, 2009 00:00:00",9.0,8.9
7.5,75000.0,7.5,"Oct 28, 2009 00:00:00",7.5,7.5
6.8,86900.0,6.4,"Nov 03, 2009 00:00:00",6.9,6.4
7.0,7000.0,7.0,"Nov 06, 2009 00:00:00",7.0,7.0
8.0,62400.0,8.0,"Nov 09, 2009 00:00:00",9.6,8.0
13.0,7850.0,13.0,"Dec 15, 2009 00:00:00",13.25,13.0
10.0,6450.0,12.5,"Dec 16, 2009 00:00:00",12.5,10.0
11.5,105775.0,10.5,"Dec 17, 2009 00:00:00",12.0,10.5
10.0,1000.0,10.0,"Dec 18, 2009 00:00:00",10.0,10.0
13.0,39000.0,13.0,"Dec 21, 2009 00:00:00",13.0,13.0
13.0,222875.0,10.0,"Dec 22, 2009 00:00:00",13.0,10.0
10.0,90000.0,10.0,"Dec 23, 2009 00:00:00",10.0,10.0
12.0,1200.0,12.0,"Dec 29, 2009 00:00:00",12.0,12.0
10.0,114920.0,10.0,"Jan 05, 2010 00:00:00",10.0,9.6
10.0,10000.0,10.0,"Jan 06, 2010 00:00:00",10.0,10.0
9.5,38000.0,9.5,"Jan 07, 2010 00:00:00",9.5,9.5
9.5,28500.0,9.5,"Jan 11, 2010 00:00:00",9.5,9.5
10.0,20000.0,10.0,"Jan 12, 2010 00:00:00",10.0,10.0
9.0,36000.0,9.0,"Jan 18, 2010 00:00:00",9.0,9.0
9.5,82600.0,7.2,"Jan 21, 2010 00:00:00",10.0,7.2
5.2,21200.0,8.0,"Jan 28, 2010 00:00:00",8.0,5.2
6.8,22100.0,8.0,"Feb 01, 2010 00:00:00",8.0,6.8
8.7,38200.0,10.5,"Feb 02, 2010 00:00:00",10.5,8.7
