OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
30.0,3000.0,30.0,"Oct 15, 2009 00:00:00",30.0,30.0
30.0,3000.0,30.0,"Dec 22, 2009 00:00:00",30.0,30.0
32.0,3200.0,32.0,"Dec 23, 2009 00:00:00",32.0,32.0
28.0,14000.0,28.0,"Jan 05, 2010 00:00:00",28.0,28.0
28.0,28000.0,28.0,"Jan 06, 2010 00:00:00",28.0,28.0
31.0,15500.0,31.0,"Jan 08, 2010 00:00:00",31.0,31.0
32.5,13900.0,37.0,"Jan 14, 2010 00:00:00",37.0,32.5
42.0,26100.0,45.0,"Jan 15, 2010 00:00:00",45.0,42.0
54.0,174350.0,67.0,"Jan 18, 2010 00:00:00",67.0,54.0
87.0,35300.0,89.0,"Jan 19, 2010 00:00:00",89.0,87.0
82.0,98400.0,82.0,"Jan 20, 2010 00:00:00",82.0,82.0
82.0,92400.0,100.0,"Jan 22, 2010 00:00:00",100.0,82.0
100.0,30000.0,100.0,"Feb 09, 2010 00:00:00",100.0,100.0
63.0,448500.0,61.5,"Apr 23, 2010 00:00:00",63.0,61.5
46.0,345920.0,92.0,"Oct 01, 2010 00:00:00",92.0,46.0
90.0,972000.0,92.0,"Oct 06, 2010 00:00:00",128.0,90.0
90.0,13500.0,90.0,"Oct 07, 2010 00:00:00",90.0,90.0
47.0,49444.5,72.0,"Jan 27, 2011 00:00:00",72.0,47.0
67.0,10050.0,67.0,"Feb 28, 2011 00:00:00",67.0,67.0
60.0,12000.0,60.0,"Apr 12, 2011 00:00:00",60.0,60.0
53.5,2450380.0,61.5,"May 09, 2011 00:00:00",61.5,53.5
61.5,21660.0,75.0,"May 10, 2011 00:00:00",75.0,61.5
75.0,14250.0,75.0,"May 11, 2011 00:00:00",75.0,75.0
60.0,102050.0,75.0,"May 13, 2011 00:00:00",75.0,60.0
55.5,1285.0,73.0,"May 16, 2011 00:00:00",73.0,55.5
79.0,37920.0,79.0,"May 17, 2011 00:00:00",79.0,79.0
88.0,2700716.0,100.0,"May 19, 2011 00:00:00",112.0,81.0
111.0,5850496.0,135.0,"May 20, 2011 00:00:00",138.0,111.0
120.0,62606.0,70.3,"May 23, 2011 00:00:00",120.0,70.3
100.0,264570.0,60.2,"May 24, 2011 00:00:00",105.0,60.2
89.9,638750.0,75.0,"May 25, 2011 00:00:00",90.0,75.0
75.0,1500.0,75.0,"May 27, 2011 00:00:00",75.0,75.0
60.0,75540.0,57.0,"Jun 03, 2011 00:00:00",60.0,56.5
55.8,5022.0,55.8,"Jun 07, 2011 00:00:00",55.8,55.8
68.0,7680.0,70.0,"Jun 08, 2011 00:00:00",70.0,68.0
70.0,4762.0,56.2,"Jun 14, 2011 00:00:00",70.0,56.2
63.0,1890.0,63.0,"Jun 16, 2011 00:00:00",63.0,63.0
56.5,565.0,56.5,"Jun 17, 2011 00:00:00",56.5,56.5
56.2,6762.0,56.2,"Jun 21, 2011 00:00:00",56.5,56.2
63.0,6460.0,67.0,"Jun 27, 2011 00:00:00",67.0,63.0
56.6,566.0,56.6,"Jul 01, 2011 00:00:00",56.6,56.6
65.0,650.0,65.0,"Jul 04, 2011 00:00:00",65.0,65.0
65.0,650.0,65.0,"Jul 28, 2011 00:00:00",65.0,65.0
56.0,560.0,56.0,"Aug 04, 2011 00:00:00",56.0,56.0
65.0,3250.0,65.0,"Aug 05, 2011 00:00:00",65.0,65.0
57.0,28060.0,56.0,"Aug 08, 2011 00:00:00",57.0,56.0
56.5,1695.0,56.5,"Aug 23, 2011 00:00:00",56.5,56.5
45.5,134600.0,45.0,"Sep 26, 2011 00:00:00",45.5,45.0
56.0,33600.0,56.0,"Oct 07, 2011 00:00:00",56.0,56.0
58.5,11700.0,58.5,"Oct 13, 2011 00:00:00",58.5,58.5
61.0,6100.0,61.0,"Oct 25, 2011 00:00:00",61.0,61.0
55.0,550.0,55.0,"Nov 10, 2011 00:00:00",55.0,55.0
55.0,2750.0,55.0,"Nov 16, 2011 00:00:00",55.0,55.0
50.5,146715.0,53.0,"Nov 17, 2011 00:00:00",55.0,50.5
68.0,25660.0,75.0,"Nov 21, 2011 00:00:00",76.0,68.0
45.2,5876.0,45.2,"Nov 25, 2011 00:00:00",45.2,45.2
54.5,27250.0,54.5,"Dec 07, 2011 00:00:00",54.5,54.5
54.5,24400.0,54.0,"Dec 29, 2011 00:00:00",54.5,54.0
54.5,545.0,54.5,"Jan 03, 2012 00:00:00",54.5,54.5
54.5,11445.0,54.5,"Jan 04, 2012 00:00:00",54.5,54.5
55.0,176970.0,72.0,"Jan 17, 2012 00:00:00",72.0,55.0
60.0,22587.0,56.0,"Jan 19, 2012 00:00:00",60.0,56.0
56.4,2256.0,56.4,"Jan 20, 2012 00:00:00",56.4,56.4
56.4,11280.0,56.4,"Jan 24, 2012 00:00:00",56.4,56.4
63.0,630.0,63.0,"Jan 25, 2012 00:00:00",63.0,63.0
62.85,628.5,62.85,"Jan 26, 2012 00:00:00",62.85,62.85
62.85,63498.5,63.85,"Jan 27, 2012 00:00:00",63.85,62.85
63.85,4491.0,66.0,"Jan 31, 2012 00:00:00",66.0,63.85
66.95,4685.5,66.9,"Feb 01, 2012 00:00:00",66.95,66.9
66.6,7991.999999999999,66.6,"Feb 17, 2012 00:00:00",66.6,66.6
66.8,1336.0,66.8,"Feb 21, 2012 00:00:00",66.8,66.8
66.9,4014.0,66.9,"Feb 22, 2012 00:00:00",66.9,66.9
64.0,2452.0,58.6,"Feb 23, 2012 00:00:00",64.0,58.6
60.3,559269.5,78.0,"Mar 28, 2012 00:00:00",85.0,60.25
82.0,53780.0,85.0,"Mar 29, 2012 00:00:00",85.0,82.0
85.0,61060.0,85.0,"Mar 30, 2012 00:00:00",85.0,76.0
84.9,8496.0,85.0,"Apr 02, 2012 00:00:00",85.0,84.9
60.2,48036.0,60.1,"Apr 03, 2012 00:00:00",60.2,60.0
60.5,8470.0,60.5,"Apr 17, 2012 00:00:00",60.5,60.5
61.0,2440.0,61.0,"Apr 18, 2012 00:00:00",61.0,61.0
60.0,40200.0,60.0,"Apr 20, 2012 00:00:00",60.0,60.0
60.35,9143.5,61.0,"Apr 26, 2012 00:00:00",61.0,60.35
61.0,1220.0,61.0,"Apr 27, 2012 00:00:00",61.0,61.0
61.15,19583.0,61.3,"May 02, 2012 00:00:00",61.3,61.15
62.0,12403.0,62.0,"May 03, 2012 00:00:00",62.05,62.0
62.05,1861.5,62.05,"May 04, 2012 00:00:00",62.05,62.05
68.0,11560.0,68.0,"May 08, 2012 00:00:00",68.0,68.0
65.0,57250.0,60.5,"May 14, 2012 00:00:00",68.0,60.5
68.0,4990.0,68.0,"May 15, 2012 00:00:00",68.0,60.5
67.0,670.0,67.0,"May 16, 2012 00:00:00",67.0,67.0
67.0,670.0,67.0,"May 17, 2012 00:00:00",67.0,67.0
60.0,13280.0,68.0,"May 25, 2012 00:00:00",68.0,60.0
48.0,24010.0,49.0,"Jun 01, 2012 00:00:00",49.0,48.0
49.0,19600.0,49.0,"Jun 04, 2012 00:00:00",49.0,49.0
52.8,26400.0,52.8,"Jun 07, 2012 00:00:00",52.8,52.8
59.95,29375.5,59.95,"Jun 08, 2012 00:00:00",59.95,59.95
60.0,5399.5,59.95,"Jun 11, 2012 00:00:00",60.0,59.95
60.0,600.0,60.0,"Jun 25, 2012 00:00:00",60.0,60.0
52.4,26154.0,52.3,"Jun 26, 2012 00:00:00",52.4,52.3
60.5,42470.0,61.0,"Jun 27, 2012 00:00:00",61.0,60.5
61.2,2448.0,61.2,"Jul 09, 2012 00:00:00",61.2,61.2
56.0,2352000.0,56.0,"Jul 19, 2012 00:00:00",56.0,56.0
60.0,18000.0,60.0,"Jul 20, 2012 00:00:00",60.0,60.0
54.0,49140.0,54.0,"Jul 25, 2012 00:00:00",54.0,54.0
52.5,366060.0,52.0,"Jul 26, 2012 00:00:00",54.0,52.0
52.0,22880.0,52.0,"Jul 31, 2012 00:00:00",52.0,52.0
52.0,2080.0,52.0,"Aug 01, 2012 00:00:00",52.0,52.0
51.0,510.0,51.0,"Aug 02, 2012 00:00:00",51.0,51.0
51.2,25510.0,51.0,"Aug 06, 2012 00:00:00",51.2,51.0
51.2,7168.0,51.2,"Aug 08, 2012 00:00:00",51.2,51.2
51.3,61425.0,51.0,"Aug 09, 2012 00:00:00",51.3,51.0
51.0,9095.0,50.5,"Aug 28, 2012 00:00:00",51.0,51.0
50.0,10000.0,50.0,"Sep 17, 2012 00:00:00",50.0,50.0
51.0,10200.0,51.0,"Sep 18, 2012 00:00:00",51.0,51.0
52.0,15600.0,52.0,"Sep 25, 2012 00:00:00",52.0,52.0
59.0,75520.0,59.0,"Oct 25, 2012 00:00:00",59.0,59.0
58.0,3480.0,58.0,"Oct 30, 2012 00:00:00",58.0,58.0
57.0,14100.0,51.0,"Nov 09, 2012 00:00:00",57.0,51.0
52.3,15630.0,52.0,"Nov 14, 2012 00:00:00",52.3,52.0
52.5,16275.0,52.5,"Nov 19, 2012 00:00:00",52.5,52.5
70.0,16990.0,58.0,"Nov 23, 2012 00:00:00",70.0,58.0
61.95,39861.0,69.8,"Dec 04, 2012 00:00:00",69.8,61.95
69.8,27920.0,69.8,"Dec 05, 2012 00:00:00",69.8,69.8
86.0,860.0,86.0,"Dec 14, 2012 00:00:00",86.0,86.0
86.0,17200.0,86.0,"Dec 17, 2012 00:00:00",86.0,86.0
55.5,501940.0,55.3,"Dec 18, 2012 00:00:00",84.0,55.3
66.0,660.0,66.0,"Dec 19, 2012 00:00:00",66.0,66.0
56.0,245747.0,57.0,"Dec 20, 2012 00:00:00",60.0,55.3
