OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
45.5,168503500.0,45.0,"Aug 03, 2009 00:00:00",46.0,45.0
45.5,75974600.0,45.5,"Aug 04, 2009 00:00:00",46.0,45.5
45.5,106933050.0,46.0,"Aug 06, 2009 00:00:00",46.0,45.5
45.5,34279150.0,45.0,"Aug 07, 2009 00:00:00",46.0,45.0
45.5,61747800.0,45.5,"Aug 10, 2009 00:00:00",45.5,45.0
46.0,32776850.0,45.5,"Aug 11, 2009 00:00:00",46.0,45.5
45.0,82708150.0,46.0,"Aug 12, 2009 00:00:00",46.0,45.0
46.0,27669650.0,46.0,"Aug 13, 2009 00:00:00",46.0,45.5
46.0,97061150.0,46.0,"Aug 14, 2009 00:00:00",46.0,45.5
46.0,41584300.0,45.5,"Aug 17, 2009 00:00:00",46.0,45.0
44.5,71225550.0,44.5,"Aug 18, 2009 00:00:00",45.5,43.0
44.0,56495200.0,43.5,"Aug 19, 2009 00:00:00",45.0,43.5
45.0,63976700.0,43.5,"Aug 20, 2009 00:00:00",45.0,43.0
44.0,171197850.0,45.5,"Aug 24, 2009 00:00:00",45.5,44.0
45.5,72329600.0,45.0,"Aug 25, 2009 00:00:00",45.5,44.5
45.0,164618800.0,45.0,"Aug 26, 2009 00:00:00",45.0,44.5
44.0,141028000.0,44.0,"Sep 03, 2009 00:00:00",44.0,43.5
44.0,55192050.0,44.5,"Sep 04, 2009 00:00:00",45.0,44.0
44.0,69625350.0,43.5,"Sep 16, 2009 00:00:00",44.0,43.5
45.0,116226400.0,44.5,"Sep 17, 2009 00:00:00",45.5,44.0
44.5,44766250.0,45.0,"Sep 18, 2009 00:00:00",45.0,44.0
44.5,76556100.0,45.0,"Sep 22, 2009 00:00:00",45.0,44.0
45.5,80879850.0,45.5,"Sep 23, 2009 00:00:00",46.0,45.0
45.0,40102650.0,45.0,"Sep 30, 2009 00:00:00",45.5,45.0
45.0,127737000.0,45.0,"Oct 01, 2009 00:00:00",45.0,45.0
44.5,68639100.0,45.0,"Oct 02, 2009 00:00:00",45.5,44.5
45.0,114954300.0,45.0,"Oct 05, 2009 00:00:00",45.5,45.0
45.5,168158050.0,45.5,"Oct 06, 2009 00:00:00",45.5,45.0
45.5,101044750.0,46.0,"Oct 07, 2009 00:00:00",46.0,45.5
45.5,28611400.0,45.5,"Oct 08, 2009 00:00:00",46.0,45.5
46.0,46433300.0,45.5,"Oct 09, 2009 00:00:00",46.0,45.5
45.5,28009500.0,45.0,"Oct 12, 2009 00:00:00",46.0,45.0
45.5,17092050.0,45.5,"Oct 13, 2009 00:00:00",45.5,45.0
45.5,101261100.0,45.5,"Oct 14, 2009 00:00:00",45.5,45.0
45.5,151787600.0,46.0,"Oct 15, 2009 00:00:00",46.0,45.5
46.0,108643600.0,46.0,"Oct 16, 2009 00:00:00",46.5,45.5
46.0,94712300.0,46.5,"Oct 19, 2009 00:00:00",47.0,46.0
47.0,298622100.0,48.0,"Oct 20, 2009 00:00:00",48.5,47.0
48.0,305368450.0,48.0,"Oct 21, 2009 00:00:00",48.5,48.0
47.5,105148950.0,46.5,"Oct 22, 2009 00:00:00",47.5,46.0
47.0,66231800.0,48.0,"Oct 23, 2009 00:00:00",48.0,47.0
47.5,114175800.0,48.0,"Oct 26, 2009 00:00:00",48.0,47.5
48.0,136292300.0,48.0,"Oct 27, 2009 00:00:00",48.5,47.5
47.5,72782350.0,46.5,"Oct 28, 2009 00:00:00",47.5,46.5
46.5,84510750.0,45.5,"Oct 29, 2009 00:00:00",46.5,45.0
46.5,80162250.0,47.0,"Oct 30, 2009 00:00:00",47.0,46.0
47.0,177324550.0,46.0,"Nov 03, 2009 00:00:00",47.0,45.5
46.0,60316200.0,45.5,"Nov 04, 2009 00:00:00",46.5,45.5
46.0,37139150.0,47.0,"Nov 05, 2009 00:00:00",47.0,45.5
47.0,25166050.0,47.0,"Nov 06, 2009 00:00:00",47.5,46.5
47.0,23388550.0,47.0,"Nov 09, 2009 00:00:00",48.0,46.5
47.5,53367650.0,48.0,"Nov 10, 2009 00:00:00",48.0,47.5
48.0,87150150.0,47.5,"Nov 11, 2009 00:00:00",48.0,47.5
48.0,112920050.0,48.5,"Dec 15, 2009 00:00:00",48.5,48.0
48.5,31712400.0,47.0,"Dec 16, 2009 00:00:00",48.5,47.0
47.0,57749700.0,47.5,"Dec 17, 2009 00:00:00",47.5,47.0
47.0,39381550.0,47.5,"Dec 18, 2009 00:00:00",48.0,47.0
47.0,25905600.0,46.5,"Dec 21, 2009 00:00:00",47.0,46.5
46.5,46563650.0,47.0,"Dec 22, 2009 00:00:00",47.5,46.5
47.5,58868400.0,47.5,"Dec 23, 2009 00:00:00",48.0,47.0
48.0,75320600.0,48.0,"Dec 29, 2009 00:00:00",48.0,47.5
47.5,19702100.0,46.5,"Jan 04, 2010 00:00:00",47.5,46.5
47.0,89156250.0,47.0,"Jan 05, 2010 00:00:00",47.5,47.0
48.0,134173300.0,48.0,"Jan 06, 2010 00:00:00",48.0,47.5
47.5,65359600.0,48.5,"Jan 07, 2010 00:00:00",48.5,47.5
48.5,54583850.0,48.0,"Jan 08, 2010 00:00:00",48.5,47.5
48.5,58969750.0,48.5,"Jan 11, 2010 00:00:00",48.5,48.0
48.5,59095950.0,48.0,"Jan 12, 2010 00:00:00",48.5,48.0
48.5,138317100.0,48.5,"Jan 13, 2010 00:00:00",48.5,48.0
48.5,64935050.0,48.5,"Jan 14, 2010 00:00:00",49.0,48.0
49.0,134125850.0,49.0,"Jan 15, 2010 00:00:00",49.5,48.5
49.0,16954750.0,49.5,"Jan 18, 2010 00:00:00",49.5,48.5
49.0,8131600.0,48.0,"Jan 19, 2010 00:00:00",49.0,48.0
49.5,59154550.0,48.0,"Jan 20, 2010 00:00:00",49.5,48.0
48.5,57267550.0,48.0,"Jan 21, 2010 00:00:00",48.5,47.5
48.0,139169750.0,45.0,"Jan 22, 2010 00:00:00",48.0,45.0
45.0,131349650.0,44.5,"Jan 25, 2010 00:00:00",45.0,43.5
44.5,55130050.0,44.0,"Jan 26, 2010 00:00:00",45.5,44.0
44.0,46669900.0,43.5,"Jan 27, 2010 00:00:00",44.5,43.5
44.5,65644350.0,45.5,"Jan 28, 2010 00:00:00",45.5,44.0
45.0,80160750.0,45.5,"Jan 29, 2010 00:00:00",45.5,44.5
45.5,124227850.0,44.5,"Feb 01, 2010 00:00:00",45.5,44.0
45.0,72481150.0,44.5,"Feb 02, 2010 00:00:00",45.0,44.0
45.0,51191300.0,43.5,"Feb 03, 2010 00:00:00",45.0,43.5
44.5,61990600.0,44.0,"Feb 04, 2010 00:00:00",44.5,43.5
43.5,169808800.0,44.0,"Feb 05, 2010 00:00:00",44.0,43.5
44.0,60225700.0,42.0,"Feb 08, 2010 00:00:00",44.0,42.0
41.5,71346950.0,40.0,"Feb 09, 2010 00:00:00",42.0,40.0
41.0,71311500.0,42.0,"Feb 10, 2010 00:00:00",42.5,41.0
42.0,24481900.0,43.5,"Feb 11, 2010 00:00:00",43.5,42.0
45.5,62983650.0,46.0,"Mar 08, 2010 00:00:00",46.5,45.5
46.0,18785500.0,45.5,"Mar 12, 2010 00:00:00",46.0,45.5
46.0,12080900.0,45.0,"Mar 15, 2010 00:00:00",46.0,45.0
45.0,10175100.0,45.5,"Mar 16, 2010 00:00:00",45.5,45.0
46.0,158523800.0,46.0,"Mar 17, 2010 00:00:00",46.5,45.5
46.0,87375450.0,45.0,"Mar 31, 2010 00:00:00",46.0,45.0
45.5,57721700.0,45.0,"Apr 20, 2010 00:00:00",45.5,45.0
45.5,43022600.0,46.0,"Apr 21, 2010 00:00:00",46.0,45.0
