OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.16,162600.0,0.16,"Aug 03, 2009 00:00:00",0.16,0.15
0.16,287300.0,0.165,"Aug 04, 2009 00:00:00",0.165,0.16
0.15,13500.0,0.15,"Aug 06, 2009 00:00:00",0.15,0.15
0.155,791250.0,0.165,"Aug 07, 2009 00:00:00",0.165,0.155
0.165,1523000.0,0.175,"Aug 11, 2009 00:00:00",0.175,0.16
0.17,73100.0,0.175,"Aug 12, 2009 00:00:00",0.175,0.165
0.165,135000.0,0.175,"Aug 13, 2009 00:00:00",0.175,0.165
0.16,11200.0,0.16,"Aug 17, 2009 00:00:00",0.16,0.16
0.17,6800.0,0.17,"Aug 18, 2009 00:00:00",0.17,0.17
0.17,42250.0,0.165,"Aug 19, 2009 00:00:00",0.17,0.165
0.16,217600.0,0.16,"Aug 20, 2009 00:00:00",0.16,0.16
0.165,1101300.0,0.16,"Aug 24, 2009 00:00:00",0.165,0.16
0.16,468800.0,0.16,"Aug 25, 2009 00:00:00",0.16,0.16
0.16,528000.0,0.16,"Aug 26, 2009 00:00:00",0.16,0.16
0.165,261100.0,0.17,"Sep 03, 2009 00:00:00",0.17,0.16
0.165,365200.0,0.175,"Sep 04, 2009 00:00:00",0.175,0.165
0.17,42250.0,0.165,"Sep 16, 2009 00:00:00",0.17,0.165
0.165,2847800.0,0.165,"Sep 17, 2009 00:00:00",0.17,0.165
0.16,3797300.0,0.155,"Sep 18, 2009 00:00:00",0.165,0.155
0.16,4800.0,0.16,"Sep 22, 2009 00:00:00",0.16,0.16
0.16,84900.0,0.16,"Sep 23, 2009 00:00:00",0.16,0.155
0.16,166400.0,0.16,"Sep 30, 2009 00:00:00",0.16,0.16
0.16,33600.0,0.16,"Oct 01, 2009 00:00:00",0.16,0.16
0.16,142400.0,0.16,"Oct 05, 2009 00:00:00",0.16,0.16
0.16,3200.0,0.16,"Oct 06, 2009 00:00:00",0.16,0.16
0.165,178300.0,0.16,"Oct 07, 2009 00:00:00",0.165,0.16
0.16,76450.0,0.165,"Oct 08, 2009 00:00:00",0.165,0.16
0.16,20850.0,0.165,"Oct 09, 2009 00:00:00",0.165,0.16
0.165,204000.0,0.155,"Oct 12, 2009 00:00:00",0.165,0.155
0.16,344250.0,0.165,"Oct 14, 2009 00:00:00",0.165,0.16
0.16,44800.0,0.16,"Oct 15, 2009 00:00:00",0.16,0.16
0.17,1863300.0,0.17,"Oct 16, 2009 00:00:00",0.19,0.17
0.17,111000.0,0.17,"Oct 19, 2009 00:00:00",0.175,0.17
0.175,815750.0,0.17,"Oct 20, 2009 00:00:00",0.175,0.17
0.175,77000.0,0.175,"Oct 21, 2009 00:00:00",0.175,0.175
0.175,314100.0,0.175,"Oct 22, 2009 00:00:00",0.18,0.17
0.175,83450.0,0.17,"Oct 23, 2009 00:00:00",0.175,0.17
0.175,148750.0,0.175,"Oct 26, 2009 00:00:00",0.175,0.17
0.17,6800.0,0.17,"Oct 27, 2009 00:00:00",0.17,0.17
