OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
11.04,1495309274.0,10.56,"Aug 08, 2017 00:00:00",11.22,10.56
10.56,582466294.0,10.04,"Aug 09, 2017 00:00:00",10.62,9.5
10.1,108316225.0,9.99,"Aug 10, 2017 00:00:00",10.38,9.95
9.97,101145253.0,9.58,"Aug 11, 2017 00:00:00",9.97,9.35
9.53,59346225.0,9.5,"Aug 14, 2017 00:00:00",9.8,9.45
9.51,95115684.0,10.12,"Aug 15, 2017 00:00:00",10.14,9.5
10.2,90510032.0,10.3,"Aug 16, 2017 00:00:00",10.46,10.14
10.36,66549790.0,10.42,"Aug 17, 2017 00:00:00",10.54,10.2
10.38,31366450.0,10.26,"Aug 18, 2017 00:00:00",10.48,10.2
10.24,31472144.0,10.0,"Aug 22, 2017 00:00:00",10.24,9.98
10.04,31271768.0,10.22,"Aug 23, 2017 00:00:00",10.34,10.0
10.24,71847884.0,10.5,"Aug 24, 2017 00:00:00",10.5,10.08
10.5,107422412.0,10.72,"Aug 25, 2017 00:00:00",10.76,10.38
10.72,54462826.0,10.42,"Aug 29, 2017 00:00:00",10.76,10.42
10.46,32790930.0,10.18,"Aug 30, 2017 00:00:00",10.54,10.18
10.18,27187288.0,10.24,"Aug 31, 2017 00:00:00",10.32,10.08
10.36,10601936.0,10.3,"Sep 04, 2017 00:00:00",10.4,10.26
10.32,61950234.0,10.5,"Sep 05, 2017 00:00:00",10.68,10.32
10.52,30910096.0,10.46,"Sep 06, 2017 00:00:00",10.68,10.46
10.46,23788304.0,10.5,"Sep 07, 2017 00:00:00",10.6,10.46
10.5,17058572.0,10.56,"Sep 08, 2017 00:00:00",10.64,10.5
10.56,224639254.0,10.78,"Sep 11, 2017 00:00:00",10.84,10.56
10.88,101429830.0,10.48,"Sep 13, 2017 00:00:00",10.9,10.48
10.48,34555048.0,10.54,"Sep 14, 2017 00:00:00",10.64,10.34
10.6,35598706.0,10.34,"Sep 15, 2017 00:00:00",10.62,10.28
10.48,24249488.0,10.36,"Sep 18, 2017 00:00:00",10.54,10.28
10.48,52090642.0,10.54,"Sep 19, 2017 00:00:00",10.7,10.4
10.64,27051590.0,10.4,"Sep 20, 2017 00:00:00",10.64,10.38
10.4,21867248.0,10.44,"Sep 21, 2017 00:00:00",10.5,10.38
10.5,46525250.0,10.22,"Sep 22, 2017 00:00:00",10.5,10.22
10.24,40097376.0,10.04,"Sep 25, 2017 00:00:00",10.36,10.04
10.04,47203272.0,9.97,"Sep 26, 2017 00:00:00",10.04,9.86
9.98,18274991.0,9.94,"Sep 27, 2017 00:00:00",10.1,9.94
9.97,18049876.0,9.9,"Sep 28, 2017 00:00:00",10.08,9.9
9.9,18570050.0,10.2,"Sep 29, 2017 00:00:00",10.2,9.9
10.28,12272286.0,10.0,"Oct 02, 2017 00:00:00",10.28,9.98
9.98,7549075.0,10.0,"Oct 03, 2017 00:00:00",10.18,9.96
9.96,10073578.0,9.95,"Oct 04, 2017 00:00:00",10.0,9.95
9.94,7557870.0,9.92,"Oct 05, 2017 00:00:00",9.99,9.92
9.95,9101699.0,9.94,"Oct 06, 2017 00:00:00",9.98,9.92
9.94,6263302.0,9.92,"Oct 09, 2017 00:00:00",9.97,9.92
9.93,45357421.0,9.7,"Oct 10, 2017 00:00:00",10.0,9.59
9.7,24850489.0,9.56,"Oct 11, 2017 00:00:00",9.73,9.56
9.56,11467762.0,9.59,"Oct 12, 2017 00:00:00",9.65,9.55
