OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.82,12740.0,1.82,"Aug 03, 2009 00:00:00",1.82,1.82
1.82,89740.0,1.84,"Aug 04, 2009 00:00:00",1.84,1.8
1.84,92000.0,1.84,"Aug 06, 2009 00:00:00",1.84,1.84
1.82,301920.0,1.82,"Aug 11, 2009 00:00:00",1.82,1.8
1.84,64400.0,1.84,"Aug 13, 2009 00:00:00",1.84,1.84
1.84,152480.0,1.82,"Aug 14, 2009 00:00:00",1.84,1.82
1.8,239400.0,1.8,"Aug 17, 2009 00:00:00",1.8,1.8
1.8,217800.0,1.8,"Aug 18, 2009 00:00:00",1.8,1.8
1.8,5400.0,1.8,"Aug 20, 2009 00:00:00",1.8,1.8
1.82,451360.0,1.82,"Aug 24, 2009 00:00:00",1.82,1.82
1.78,183340.0,1.78,"Aug 25, 2009 00:00:00",1.78,1.78
1.8,1800.0,1.8,"Aug 26, 2009 00:00:00",1.8,1.8
1.8,3698180.0,1.82,"Sep 03, 2009 00:00:00",1.82,1.8
1.98,57420.0,1.98,"Sep 04, 2009 00:00:00",1.98,1.98
1.9,3800.0,1.9,"Sep 16, 2009 00:00:00",1.9,1.9
1.9,3800.0,1.9,"Sep 17, 2009 00:00:00",1.9,1.9
1.88,47000.0,1.88,"Sep 18, 2009 00:00:00",1.88,1.88
1.86,165420.0,1.88,"Sep 22, 2009 00:00:00",1.88,1.86
1.9,287720.0,2.0,"Sep 30, 2009 00:00:00",2.0,1.9
2.0,48000.0,2.0,"Oct 02, 2009 00:00:00",2.0,2.0
2.0,34000.0,2.0,"Oct 05, 2009 00:00:00",2.0,2.0
1.88,306380.0,2.0,"Oct 06, 2009 00:00:00",2.0,1.8
1.9,388800.0,2.0,"Oct 07, 2009 00:00:00",2.0,1.9
2.0,226000.0,2.0,"Oct 08, 2009 00:00:00",2.0,2.0
1.94,194000.0,1.94,"Oct 09, 2009 00:00:00",1.94,1.94
1.9,19360.0,1.94,"Oct 13, 2009 00:00:00",1.94,1.9
1.9,13300.0,1.9,"Oct 14, 2009 00:00:00",1.9,1.9
1.92,5760.0,1.92,"Oct 15, 2009 00:00:00",1.92,1.92
1.92,22880.0,1.9,"Oct 16, 2009 00:00:00",1.92,1.9
1.9,5700.0,1.9,"Oct 19, 2009 00:00:00",1.9,1.9
2.0,43800.0,1.9,"Oct 21, 2009 00:00:00",2.0,1.9
1.9,592800.0,1.9,"Oct 22, 2009 00:00:00",1.9,1.9
1.92,319400.0,1.9,"Oct 23, 2009 00:00:00",1.92,1.9
1.9,22800.0,1.9,"Oct 26, 2009 00:00:00",1.9,1.9
1.88,28200.0,1.88,"Oct 27, 2009 00:00:00",1.88,1.88
1.88,376000.0,1.88,"Oct 28, 2009 00:00:00",1.88,1.88
1.88,98760.0,1.9,"Oct 30, 2009 00:00:00",1.9,1.88
1.88,497040.0,1.84,"Nov 03, 2009 00:00:00",1.88,1.84
1.82,65520.0,1.82,"Nov 05, 2009 00:00:00",1.82,1.82
1.84,103200.0,1.88,"Nov 06, 2009 00:00:00",1.88,1.84
1.9,28500.0,1.9,"Nov 11, 2009 00:00:00",1.9,1.9
1.84,75180.0,1.84,"Dec 17, 2009 00:00:00",1.84,1.74
1.84,679620.0,2.08,"Dec 18, 2009 00:00:00",2.08,1.84
2.0,1919520.0,2.2,"Dec 21, 2009 00:00:00",2.2,2.0
2.2,64758040.0,2.4,"Dec 22, 2009 00:00:00",2.5,2.08
2.4,80020380.0,2.28,"Dec 23, 2009 00:00:00",2.9,2.28
2.2,4480500.0,2.5,"Dec 29, 2009 00:00:00",2.5,2.2
2.14,75500.0,2.16,"Jan 04, 2010 00:00:00",2.16,2.14
2.14,406600.0,2.14,"Jan 05, 2010 00:00:00",2.14,2.14
2.12,287800.0,2.14,"Jan 06, 2010 00:00:00",2.14,2.12
2.14,57740.0,2.12,"Jan 07, 2010 00:00:00",2.14,2.12
2.12,528400.0,2.1,"Jan 08, 2010 00:00:00",2.12,2.1
2.1,18420.0,2.04,"Jan 11, 2010 00:00:00",2.1,2.04
2.04,87720.0,2.04,"Jan 12, 2010 00:00:00",2.04,2.04
2.08,237240.0,2.1,"Jan 13, 2010 00:00:00",2.1,2.08
2.08,104000.0,2.08,"Jan 14, 2010 00:00:00",2.08,2.08
2.04,137620.0,2.06,"Jan 15, 2010 00:00:00",2.06,2.04
2.08,38920.0,2.04,"Jan 19, 2010 00:00:00",2.08,2.04
2.08,10400.0,2.08,"Jan 20, 2010 00:00:00",2.08,2.08
2.08,20800.0,2.08,"Jan 22, 2010 00:00:00",2.08,2.08
2.06,53120.0,2.04,"Jan 25, 2010 00:00:00",2.06,2.04
2.04,169320.0,2.04,"Jan 26, 2010 00:00:00",2.04,2.04
2.06,205240.0,2.02,"Jan 27, 2010 00:00:00",2.06,2.0
2.02,44140.0,2.0,"Feb 01, 2010 00:00:00",2.02,2.0
1.96,35280.0,1.96,"Feb 02, 2010 00:00:00",1.96,1.96
1.96,7840.0,1.96,"Feb 03, 2010 00:00:00",1.96,1.96
1.96,72520.0,1.96,"Feb 04, 2010 00:00:00",1.96,1.96
1.94,48500.0,1.94,"Feb 05, 2010 00:00:00",1.94,1.94
1.94,62080.0,1.94,"Feb 09, 2010 00:00:00",1.94,1.94
1.9,5700.0,1.9,"Feb 10, 2010 00:00:00",1.9,1.9
1.9,5700.0,1.9,"Feb 11, 2010 00:00:00",1.9,1.9
2.0,90240.0,1.96,"Mar 08, 2010 00:00:00",2.0,1.96
2.0,50000.0,2.0,"Mar 12, 2010 00:00:00",2.0,2.0
1.96,39200.0,1.96,"Mar 16, 2010 00:00:00",1.96,1.96
1.98,37940.0,2.0,"Mar 17, 2010 00:00:00",2.0,1.98
2.1,184800.0,2.1,"Mar 31, 2010 00:00:00",2.1,2.1
2.08,278720.0,2.08,"Apr 20, 2010 00:00:00",2.08,2.08
2.06,64060.0,2.08,"Apr 21, 2010 00:00:00",2.08,2.06
2.08,310600.0,2.06,"Apr 23, 2010 00:00:00",2.08,2.06
2.12,37700.0,2.1,"Apr 29, 2010 00:00:00",2.12,2.06
2.1,159180.0,2.16,"Apr 30, 2010 00:00:00",2.16,2.1
2.2,125860.0,2.2,"May 04, 2010 00:00:00",2.22,2.2
2.16,49680.0,2.16,"May 05, 2010 00:00:00",2.16,2.16
2.1,109200.0,2.1,"May 14, 2010 00:00:00",2.1,2.1
2.04,10200.0,2.04,"May 17, 2010 00:00:00",2.04,2.04
2.04,133420.0,2.1,"May 18, 2010 00:00:00",2.1,2.04
2.1,8400.0,2.1,"May 20, 2010 00:00:00",2.1,2.1
2.08,93600.0,2.08,"May 21, 2010 00:00:00",2.08,2.08
2.12,84400.0,2.1,"May 24, 2010 00:00:00",2.12,2.1
2.08,22880.0,2.08,"May 25, 2010 00:00:00",2.08,2.08
2.06,66040.0,2.04,"May 26, 2010 00:00:00",2.08,2.04
2.06,63360.0,2.04,"May 27, 2010 00:00:00",2.06,2.04
2.1,18900.0,2.1,"May 28, 2010 00:00:00",2.1,2.1
2.02,78440.0,2.1,"May 31, 2010 00:00:00",2.1,2.02
2.04,70320.0,2.14,"Jun 01, 2010 00:00:00",2.14,2.04
2.0,18000.0,2.0,"Jun 02, 2010 00:00:00",2.0,2.0
2.04,18360.0,2.04,"Jun 03, 2010 00:00:00",2.04,2.04
2.08,18720.0,2.08,"Jun 04, 2010 00:00:00",2.08,2.08
2.08,106080.0,2.08,"Jun 07, 2010 00:00:00",2.08,2.08
2.08,93600.0,2.08,"Jun 08, 2010 00:00:00",2.08,2.08
2.08,124800.0,2.08,"Jun 09, 2010 00:00:00",2.08,2.08
2.08,210080.0,2.08,"Jun 10, 2010 00:00:00",2.08,2.08
2.12,7615040.0,2.12,"Jun 11, 2010 00:00:00",2.12,2.12
2.14,6420.0,2.14,"Jun 15, 2010 00:00:00",2.14,2.14
2.18,4340.0,2.16,"Jun 16, 2010 00:00:00",2.18,2.16
2.16,31160.0,2.24,"Jun 21, 2010 00:00:00",2.24,2.16
2.16,78920.0,2.2,"Jun 22, 2010 00:00:00",2.2,2.16
2.18,109000.0,2.18,"Jun 23, 2010 00:00:00",2.18,2.18
2.18,134280.0,2.16,"Jun 24, 2010 00:00:00",2.18,2.16
2.2,19800.0,2.2,"Jun 25, 2010 00:00:00",2.2,2.2
2.18,89380.0,2.18,"Jul 01, 2010 00:00:00",2.18,2.18
2.18,6805280.0,2.14,"Jul 02, 2010 00:00:00",2.18,2.14
2.16,268100.0,2.14,"Jul 06, 2010 00:00:00",2.16,2.14
2.14,12840.0,2.14,"Jul 09, 2010 00:00:00",2.14,2.14
2.12,14840.0,2.12,"Jul 13, 2010 00:00:00",2.12,2.12
2.16,4320.0,2.16,"Jul 15, 2010 00:00:00",2.16,2.16
2.14,225920.0,2.12,"Jul 16, 2010 00:00:00",2.14,2.12
2.18,43280.0,2.16,"Jul 20, 2010 00:00:00",2.18,2.16
2.12,57380.0,2.14,"Jul 21, 2010 00:00:00",2.14,2.12
2.14,14980.0,2.14,"Jul 22, 2010 00:00:00",2.14,2.14
2.12,14840.0,2.12,"Jul 23, 2010 00:00:00",2.12,2.12
2.24,36250.0,2.4,"Sep 20, 2010 00:00:00",2.46,2.24
2.4,18960.0,2.34,"Sep 21, 2010 00:00:00",2.4,2.34
2.3,123400.0,2.2,"Sep 23, 2010 00:00:00",2.3,2.2
2.15,81250.0,2.2,"Sep 24, 2010 00:00:00",2.2,2.15
2.15,343920.0,2.22,"Sep 27, 2010 00:00:00",2.25,2.15
2.26,89040.0,2.3,"Sep 28, 2010 00:00:00",2.3,2.26
2.3,11510.0,2.31,"Sep 29, 2010 00:00:00",2.31,2.3
2.3,94060.0,2.4,"Sep 30, 2010 00:00:00",2.4,2.29
2.2,196180.0,2.28,"Oct 04, 2010 00:00:00",2.28,2.2
2.28,237740.0,2.3,"Oct 05, 2010 00:00:00",2.34,2.28
2.32,86340.0,2.34,"Oct 06, 2010 00:00:00",2.34,2.32
2.34,147420.0,2.34,"Oct 07, 2010 00:00:00",2.34,2.34
2.34,58200.0,2.3,"Oct 08, 2010 00:00:00",2.37,2.3
2.39,153700.0,2.32,"Oct 12, 2010 00:00:00",2.39,2.32
2.34,138060.0,2.34,"Oct 13, 2010 00:00:00",2.34,2.34
2.35,270300.0,2.38,"Oct 14, 2010 00:00:00",2.4,2.35
2.36,325320.0,2.38,"Oct 15, 2010 00:00:00",2.38,2.36
2.38,35700.0,2.38,"Oct 18, 2010 00:00:00",2.38,2.38
2.36,7080.0,2.36,"Oct 19, 2010 00:00:00",2.36,2.36
2.39,76480.0,2.39,"Oct 20, 2010 00:00:00",2.39,2.39
2.4,16800.0,2.4,"Oct 21, 2010 00:00:00",2.4,2.4
2.38,69140.0,2.4,"Oct 22, 2010 00:00:00",2.4,2.38
2.2,102600.0,2.4,"Oct 26, 2010 00:00:00",2.4,2.2
