OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
26.0,43043105.0,25.85,"Nov 27, 2013 00:00:00",26.0,24.0
25.5,17495050.0,26.0,"Nov 28, 2013 00:00:00",26.0,25.5
25.95,17967470.0,25.85,"Nov 29, 2013 00:00:00",26.0,25.85
26.0,1744485.0,25.9,"Dec 02, 2013 00:00:00",26.0,25.85
25.7,2172570.0,25.5,"Dec 03, 2013 00:00:00",25.8,25.5
25.5,8905580.0,25.25,"Dec 04, 2013 00:00:00",25.5,25.25
25.25,2635325.0,25.25,"Dec 05, 2013 00:00:00",25.25,25.2
25.0,2010200.0,25.2,"Dec 06, 2013 00:00:00",25.2,25.0
25.0,1530500.0,25.0,"Dec 09, 2013 00:00:00",25.2,25.0
25.2,3554190.0,25.0,"Dec 10, 2013 00:00:00",25.2,24.8
25.0,2323490.0,24.9,"Dec 11, 2013 00:00:00",25.0,24.8
25.0,4212450.0,24.8,"Dec 12, 2013 00:00:00",25.0,24.5
24.7,7947500.0,24.0,"Dec 13, 2013 00:00:00",24.7,24.0
24.0,1198450.0,23.85,"Dec 16, 2013 00:00:00",24.0,23.85
23.85,1042190.0,24.0,"Dec 17, 2013 00:00:00",24.0,23.8
24.2,6181020.0,23.8,"Dec 18, 2013 00:00:00",24.2,23.8
24.0,7817810.0,23.8,"Dec 19, 2013 00:00:00",24.0,23.6
23.5,2509050.0,23.8,"Dec 20, 2013 00:00:00",23.8,23.4
23.9,11533010.0,23.9,"Dec 23, 2013 00:00:00",24.1,23.9
24.8,3585840.0,24.5,"Dec 26, 2013 00:00:00",24.8,24.5
24.5,7350.0,24.5,"Dec 27, 2013 00:00:00",24.5,24.5
24.95,12475.0,24.95,"Jan 02, 2014 00:00:00",24.95,24.95
23.0,48480.0,24.8,"Jan 06, 2014 00:00:00",24.8,23.0
24.75,8848750.0,24.45,"Jan 07, 2014 00:00:00",24.75,24.45
24.45,8733575.0,24.0,"Jan 08, 2014 00:00:00",24.5,24.0
23.5,2335540.0,23.0,"Jan 09, 2014 00:00:00",23.55,21.5
23.0,5176290.0,22.5,"Jan 10, 2014 00:00:00",23.0,22.3
22.6,2275110.0,22.9,"Jan 13, 2014 00:00:00",23.0,22.6
23.0,64855.0,23.35,"Jan 14, 2014 00:00:00",23.35,23.0
23.35,14310570.0,24.0,"Jan 15, 2014 00:00:00",24.0,23.35
23.8,1451395.0,23.8,"Jan 16, 2014 00:00:00",23.8,23.35
24.0,1009500.0,23.75,"Jan 17, 2014 00:00:00",24.0,23.75
24.0,1423280.0,24.0,"Jan 20, 2014 00:00:00",24.2,24.0
23.5,117500.0,23.5,"Jan 21, 2014 00:00:00",23.5,23.5
23.5,6615295.0,23.45,"Jan 22, 2014 00:00:00",23.5,23.4
23.3,955300.0,23.3,"Jan 23, 2014 00:00:00",23.3,23.3
23.0,1039610.0,23.0,"Jan 24, 2014 00:00:00",23.05,23.0
22.9,5551695.0,22.8,"Jan 27, 2014 00:00:00",23.0,22.8
22.8,10788960.0,22.8,"Jan 28, 2014 00:00:00",22.8,22.8
22.8,280440.0,22.8,"Jan 29, 2014 00:00:00",22.8,22.8
22.8,2339345.0,23.45,"Jan 30, 2014 00:00:00",23.45,22.8
23.45,2345.0,23.45,"Feb 03, 2014 00:00:00",23.45,23.45
23.45,3107150.0,23.45,"Feb 04, 2014 00:00:00",23.5,23.45
23.45,54047560.0,23.45,"Feb 05, 2014 00:00:00",23.45,23.45
23.45,147840.0,23.5,"Feb 06, 2014 00:00:00",23.5,23.45
24.0,5596585.0,25.5,"Feb 07, 2014 00:00:00",25.5,24.0
24.0,24000.0,24.0,"Feb 10, 2014 00:00:00",24.0,24.0
25.75,3727670.0,25.85,"Feb 11, 2014 00:00:00",25.95,25.75
24.95,4891700.0,25.7,"Feb 13, 2014 00:00:00",25.7,24.35
25.9,838700.0,25.8,"Feb 14, 2014 00:00:00",25.9,24.4
25.95,20565.0,25.9,"Feb 17, 2014 00:00:00",25.95,25.0
24.6,10204445.0,25.9,"Feb 18, 2014 00:00:00",25.95,24.6
25.9,2307310.0,26.05,"Feb 19, 2014 00:00:00",26.25,25.5
25.85,88365.0,26.0,"Feb 20, 2014 00:00:00",26.1,25.85
26.1,7115130.0,26.5,"Feb 21, 2014 00:00:00",26.65,26.1
26.0,16894490.0,27.0,"Feb 24, 2014 00:00:00",27.1,26.0
26.15,16973195.0,26.95,"Feb 25, 2014 00:00:00",26.95,26.15
26.95,4860460.0,26.95,"Feb 26, 2014 00:00:00",27.25,26.95
26.95,8018610.0,27.0,"Feb 27, 2014 00:00:00",27.0,26.5
26.45,1115115.0,27.4,"Feb 28, 2014 00:00:00",27.4,26.45
27.0,1919700.0,27.0,"Mar 03, 2014 00:00:00",27.0,27.0
27.0,2700640.0,27.1,"Mar 04, 2014 00:00:00",27.1,27.0
27.0,148650.0,27.1,"Mar 05, 2014 00:00:00",27.1,27.0
27.1,2521480.0,27.1,"Mar 06, 2014 00:00:00",27.1,27.0
27.2,415660.0,27.1,"Mar 07, 2014 00:00:00",27.2,27.1
27.0,67500.0,27.0,"Mar 10, 2014 00:00:00",27.0,27.0
27.0,189030.0,27.05,"Mar 11, 2014 00:00:00",27.05,27.0
27.1,275975.0,27.05,"Mar 12, 2014 00:00:00",27.1,27.05
27.0,75600.0,27.0,"Mar 13, 2014 00:00:00",27.0,27.0
27.0,480600.0,27.0,"Mar 14, 2014 00:00:00",27.0,27.0
27.1,975050.0,27.0,"Mar 17, 2014 00:00:00",27.2,27.0
27.0,758700.0,27.0,"Mar 18, 2014 00:00:00",27.0,27.0
27.0,75600.0,27.0,"Mar 19, 2014 00:00:00",27.0,27.0
27.0,9217550.0,27.0,"Mar 20, 2014 00:00:00",27.45,27.0
27.45,144245.0,27.3,"Mar 21, 2014 00:00:00",27.45,27.0
27.0,464400.0,27.0,"Mar 24, 2014 00:00:00",27.0,27.0
27.4,342500.0,27.4,"Mar 25, 2014 00:00:00",27.4,27.4
