OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
5.2,431702617.0,5.16,"Jun 02, 2017 00:00:00",5.39,5.13
5.2,431702617.0,5.16,"Jun 02, 2017 00:00:00",5.39,5.13
5.23,74467546.0,5.22,"Jun 05, 2017 00:00:00",5.27,5.17
5.22,183923179.0,5.45,"Jun 06, 2017 00:00:00",5.45,5.2
5.45,200091923.0,5.67,"Jun 07, 2017 00:00:00",5.67,5.45
5.7,125330276.0,5.62,"Jun 08, 2017 00:00:00",5.74,5.52
5.6,68560736.0,5.42,"Jun 09, 2017 00:00:00",5.62,5.41
5.43,33335529.0,5.33,"Jun 13, 2017 00:00:00",5.5,5.31
5.34,18741896.0,5.41,"Jun 14, 2017 00:00:00",5.44,5.31
5.42,48270667.0,5.46,"Jun 15, 2017 00:00:00",5.56,5.41
5.47,24969022.0,5.37,"Jun 16, 2017 00:00:00",5.49,5.33
5.37,26498018.0,5.39,"Jun 19, 2017 00:00:00",5.44,5.37
5.41,91860927.0,5.59,"Jun 20, 2017 00:00:00",5.62,5.39
5.62,196816355.0,5.9,"Jun 21, 2017 00:00:00",5.92,5.54
5.95,118950514.0,5.65,"Jun 22, 2017 00:00:00",5.98,5.64
5.69,66837188.0,5.65,"Jun 23, 2017 00:00:00",5.78,5.65
5.7,40519067.0,5.6,"Jun 27, 2017 00:00:00",5.83,5.58
5.63,47294566.0,5.54,"Jun 28, 2017 00:00:00",5.7,5.54
5.56,100750252.0,5.36,"Jun 29, 2017 00:00:00",5.64,5.31
5.36,39767773.0,5.34,"Jun 30, 2017 00:00:00",5.44,5.27
5.39,34952902.0,5.4,"Jul 03, 2017 00:00:00",5.55,5.32
5.47,14422415.0,5.41,"Jul 04, 2017 00:00:00",5.48,5.41
5.44,28959036.0,5.41,"Jul 05, 2017 00:00:00",5.47,5.35
5.4,19576160.0,5.41,"Jul 06, 2017 00:00:00",5.58,5.4
5.41,19436439.0,5.36,"Jul 07, 2017 00:00:00",5.45,5.34
5.37,13960975.0,5.38,"Jul 10, 2017 00:00:00",5.4,5.33
5.4,14169560.0,5.36,"Jul 11, 2017 00:00:00",5.45,5.33
5.34,67924275.0,5.3,"Jul 12, 2017 00:00:00",5.36,5.22
5.3,34088635.0,5.23,"Jul 13, 2017 00:00:00",5.3,5.2
5.25,24913125.0,5.31,"Jul 14, 2017 00:00:00",5.38,5.23
5.35,64499879.0,5.33,"Jul 17, 2017 00:00:00",5.51,5.33
5.34,21389295.0,5.33,"Jul 18, 2017 00:00:00",5.45,5.3
5.33,18600455.0,5.32,"Jul 19, 2017 00:00:00",5.4,5.29
