OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.008,440000.0,0.008,"Aug 03, 2009 00:00:00",0.008,0.008
0.008,605500.0,0.0085,"Aug 04, 2009 00:00:00",0.0085,0.008
0.008,76500.0,0.0075,"Aug 06, 2009 00:00:00",0.008,0.0075
0.008,128000.0,0.008,"Aug 10, 2009 00:00:00",0.008,0.008
0.008,133500.0,0.0075,"Aug 11, 2009 00:00:00",0.008,0.0075
0.0075,1731500.0,0.0075,"Aug 12, 2009 00:00:00",0.0075,0.0065
0.0075,1237500.0,0.0075,"Aug 13, 2009 00:00:00",0.0075,0.0075
0.008,600000.0,0.008,"Aug 14, 2009 00:00:00",0.008,0.008
0.007,39000.0,0.008,"Aug 17, 2009 00:00:00",0.008,0.007
0.0075,660000.0,0.0075,"Aug 19, 2009 00:00:00",0.0075,0.0075
0.0075,130000.0,0.008,"Aug 24, 2009 00:00:00",0.008,0.0075
0.008,3001000.0,0.0075,"Aug 25, 2009 00:00:00",0.0085,0.0075
0.008,1944000.0,0.008,"Aug 26, 2009 00:00:00",0.008,0.008
0.0085,1192000.0,0.009,"Sep 03, 2009 00:00:00",0.009,0.0085
0.009,1817000.0,0.009,"Sep 04, 2009 00:00:00",0.0095,0.009
0.0085,1198500.0,0.0085,"Sep 16, 2009 00:00:00",0.0085,0.0085
0.0085,42500.0,0.0085,"Sep 17, 2009 00:00:00",0.0085,0.0085
0.009,9000.0,0.009,"Sep 18, 2009 00:00:00",0.009,0.009
0.008,82500.0,0.0085,"Sep 23, 2009 00:00:00",0.0085,0.008
0.008,32000.0,0.008,"Sep 30, 2009 00:00:00",0.008,0.008
0.0085,8500.0,0.0085,"Oct 01, 2009 00:00:00",0.0085,0.0085
0.008,64000.0,0.008,"Oct 02, 2009 00:00:00",0.008,0.008
0.008,712000.0,0.008,"Oct 05, 2009 00:00:00",0.008,0.008
0.008,16000.0,0.008,"Oct 06, 2009 00:00:00",0.008,0.008
0.008,408500.0,0.0085,"Oct 07, 2009 00:00:00",0.0085,0.008
0.008,760000.0,0.008,"Oct 08, 2009 00:00:00",0.008,0.008
0.008,8000.0,0.008,"Oct 12, 2009 00:00:00",0.008,0.008
0.008,24000.0,0.008,"Oct 14, 2009 00:00:00",0.008,0.008
0.009,376000.0,0.008,"Oct 15, 2009 00:00:00",0.009,0.008
0.008,208000.0,0.008,"Oct 19, 2009 00:00:00",0.008,0.008
0.009,45000.0,0.009,"Oct 20, 2009 00:00:00",0.009,0.009
0.009,27000.0,0.009,"Oct 21, 2009 00:00:00",0.009,0.009
0.0085,17000.0,0.0085,"Oct 22, 2009 00:00:00",0.0085,0.0085
0.0085,25500.0,0.0085,"Oct 23, 2009 00:00:00",0.0085,0.0085
0.008,8000.0,0.008,"Oct 28, 2009 00:00:00",0.008,0.008
0.008,40000.0,0.008,"Oct 30, 2009 00:00:00",0.008,0.008
0.008,105500.0,0.0075,"Nov 03, 2009 00:00:00",0.008,0.0075
0.008,16000.0,0.008,"Nov 06, 2009 00:00:00",0.008,0.008
0.0085,102000.0,0.0085,"Nov 10, 2009 00:00:00",0.0085,0.0085
0.0075,15000.0,0.0075,"Dec 15, 2009 00:00:00",0.0075,0.0075
0.008,16000.0,0.008,"Dec 23, 2009 00:00:00",0.008,0.008
0.008,168000.0,0.008,"Dec 29, 2009 00:00:00",0.008,0.008
0.0075,15000.0,0.0075,"Jan 04, 2010 00:00:00",0.0075,0.0075
0.0085,16500.0,0.008,"Jan 05, 2010 00:00:00",0.0085,0.008
0.008,112000.0,0.008,"Jan 06, 2010 00:00:00",0.008,0.008
0.008,240000.0,0.008,"Jan 07, 2010 00:00:00",0.008,0.008
0.008,128000.0,0.008,"Jan 08, 2010 00:00:00",0.008,0.008
0.0085,556000.0,0.008,"Jan 12, 2010 00:00:00",0.0085,0.008
0.008,152000.0,0.008,"Jan 14, 2010 00:00:00",0.008,0.008
0.008,144000.0,0.008,"Jan 15, 2010 00:00:00",0.008,0.008
0.0085,680500.0,0.008,"Jan 18, 2010 00:00:00",0.0085,0.008
0.008,16000.0,0.008,"Jan 22, 2010 00:00:00",0.008,0.008
0.0075,60000.0,0.0075,"Jan 25, 2010 00:00:00",0.0075,0.0075
0.0075,262500.0,0.0075,"Jan 26, 2010 00:00:00",0.0075,0.0075
0.0075,52500.0,0.0075,"Jan 27, 2010 00:00:00",0.0075,0.0075
0.0075,15000.0,0.0075,"Jan 29, 2010 00:00:00",0.0075,0.0075
0.0075,135000.0,0.0075,"Feb 01, 2010 00:00:00",0.0075,0.0075
0.0075,150000.0,0.0075,"Feb 02, 2010 00:00:00",0.0075,0.0075
0.008,294500.0,0.0075,"Feb 03, 2010 00:00:00",0.008,0.0075
0.007,175500.0,0.0075,"Feb 04, 2010 00:00:00",0.0075,0.007
0.007,371000.0,0.007,"Feb 08, 2010 00:00:00",0.007,0.007
0.007,217000.0,0.007,"Feb 10, 2010 00:00:00",0.007,0.007
0.0075,75000.0,0.0075,"Mar 08, 2010 00:00:00",0.0075,0.0075
0.0075,42500.0,0.007,"Mar 12, 2010 00:00:00",0.0075,0.007
0.0075,7500.0,0.0075,"Mar 16, 2010 00:00:00",0.0075,0.0075
0.0075,67500.0,0.0075,"Mar 17, 2010 00:00:00",0.0075,0.0075
0.008,1232000.0,0.008,"Mar 31, 2010 00:00:00",0.008,0.008
0.0075,600000.0,0.0075,"Apr 21, 2010 00:00:00",0.0075,0.0075
0.008,920000.0,0.008,"Apr 22, 2010 00:00:00",0.008,0.008
0.011,4729900.0,0.011,"Apr 29, 2010 00:00:00",0.011,0.01
0.011,1100400.0,0.011,"Apr 30, 2010 00:00:00",0.011,0.01
0.01,1992200.0,0.01,"May 04, 2010 00:00:00",0.011,0.01
0.01,6685500.0,0.0095,"May 05, 2010 00:00:00",0.01,0.0095
0.0095,171000.0,0.0095,"May 13, 2010 00:00:00",0.0095,0.0095
0.0095,76000.0,0.0095,"May 14, 2010 00:00:00",0.0095,0.0095
0.0095,161500.0,0.0095,"May 17, 2010 00:00:00",0.0095,0.0095
0.0095,237500.0,0.0095,"May 18, 2010 00:00:00",0.0095,0.0095
0.009,28000.0,0.0095,"May 19, 2010 00:00:00",0.0095,0.009
0.0095,237500.0,0.0095,"May 21, 2010 00:00:00",0.0095,0.0095
0.01,1864000.0,0.011,"May 24, 2010 00:00:00",0.011,0.01
0.01,5043000.0,0.01,"May 25, 2010 00:00:00",0.01,0.01
0.011,720000.0,0.01,"May 26, 2010 00:00:00",0.011,0.01
0.01,590000.0,0.01,"May 27, 2010 00:00:00",0.01,0.01
0.011,1232000.0,0.011,"May 28, 2010 00:00:00",0.011,0.011
0.011,946000.0,0.01,"May 31, 2010 00:00:00",0.011,0.01
0.01,1570000.0,0.01,"Jun 01, 2010 00:00:00",0.01,0.01
0.01,580000.0,0.01,"Jun 02, 2010 00:00:00",0.01,0.01
0.01,650000.0,0.01,"Jun 03, 2010 00:00:00",0.01,0.01
0.01,1540000.0,0.01,"Jun 04, 2010 00:00:00",0.01,0.01
0.01,300000.0,0.01,"Jun 07, 2010 00:00:00",0.01,0.01
