OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.33,93800.0,0.32,"Aug 03, 2009 00:00:00",0.33,0.32
0.33,66000.0,0.33,"Aug 04, 2009 00:00:00",0.33,0.33
0.31,76500.0,0.31,"Aug 07, 2009 00:00:00",0.31,0.3
0.3,30000.0,0.3,"Aug 11, 2009 00:00:00",0.3,0.3
0.3,30000.0,0.3,"Aug 12, 2009 00:00:00",0.3,0.3
0.29,17400.0,0.29,"Aug 14, 2009 00:00:00",0.29,0.29
0.29,35200.0,0.31,"Aug 19, 2009 00:00:00",0.31,0.29
0.29,283800.0,0.28,"Aug 20, 2009 00:00:00",0.29,0.28
0.28,252000.0,0.28,"Aug 26, 2009 00:00:00",0.28,0.28
0.28,55000.0,0.27,"Sep 03, 2009 00:00:00",0.28,0.27
0.29,14500.0,0.29,"Sep 04, 2009 00:00:00",0.29,0.29
0.28,61600.0,0.28,"Sep 22, 2009 00:00:00",0.28,0.28
0.28,28000.0,0.28,"Oct 08, 2009 00:00:00",0.28,0.28
0.28,82100.0,0.28,"Oct 15, 2009 00:00:00",0.29,0.28
0.29,70300.0,0.28,"Oct 20, 2009 00:00:00",0.29,0.28
0.27,27000.0,0.27,"Oct 27, 2009 00:00:00",0.27,0.27
0.27,27000.0,0.27,"Oct 29, 2009 00:00:00",0.27,0.27
0.29,65100.0,0.31,"Nov 04, 2009 00:00:00",0.31,0.29
0.29,23600.0,0.3,"Nov 05, 2009 00:00:00",0.3,0.29
0.27,53100.0,0.26,"Nov 06, 2009 00:00:00",0.27,0.26
0.26,236100.0,0.29,"Nov 10, 2009 00:00:00",0.29,0.25
0.26,91500.0,0.25,"Dec 17, 2009 00:00:00",0.26,0.25
0.25,185000.0,0.25,"Dec 18, 2009 00:00:00",0.25,0.25
0.24,48000.0,0.24,"Dec 23, 2009 00:00:00",0.24,0.24
0.24,12000.0,0.24,"Jan 06, 2010 00:00:00",0.24,0.24
0.24,61000.0,0.26,"Jan 08, 2010 00:00:00",0.26,0.24
0.24,31200.0,0.24,"Jan 14, 2010 00:00:00",0.24,0.24
0.23,46000.0,0.23,"Jan 20, 2010 00:00:00",0.23,0.23
0.23,23000.0,0.23,"Jan 21, 2010 00:00:00",0.23,0.23
0.29,7900.0,0.25,"Jan 26, 2010 00:00:00",0.29,0.25
0.25,7500.0,0.25,"Feb 02, 2010 00:00:00",0.25,0.25
0.24,7200.0,0.24,"Feb 03, 2010 00:00:00",0.24,0.24
0.32,124800.0,0.32,"Mar 08, 2010 00:00:00",0.32,0.32
0.31,12200.0,0.3,"Mar 12, 2010 00:00:00",0.31,0.3
0.31,336000.0,0.32,"Mar 15, 2010 00:00:00",0.32,0.28
0.34,76700.0,0.33,"Mar 16, 2010 00:00:00",0.34,0.3
0.36,221300.0,0.33,"Mar 17, 2010 00:00:00",0.36,0.33
0.29,87000.0,0.29,"Mar 31, 2010 00:00:00",0.29,0.29
0.29,23200.0,0.29,"Apr 20, 2010 00:00:00",0.29,0.29
0.3,15000.0,0.3,"Apr 21, 2010 00:00:00",0.3,0.3
0.35,3500.0,0.35,"Apr 22, 2010 00:00:00",0.35,0.35
0.29,43500.0,0.29,"Apr 23, 2010 00:00:00",0.29,0.29
0.28,14000.0,0.28,"May 05, 2010 00:00:00",0.28,0.28
0.29,764900.0,0.28,"May 14, 2010 00:00:00",0.3,0.27
0.28,179200.0,0.28,"May 17, 2010 00:00:00",0.28,0.28
