OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.5,300000.0,1.5,"Oct 06, 2009 00:00:00",1.5,1.5
2.24,448000.0,2.24,"Oct 07, 2009 00:00:00",2.24,2.24
3.35,271919100.0,3.35,"Oct 08, 2009 00:00:00",3.35,2.9
3.55,292699800.0,4.05,"Oct 09, 2009 00:00:00",4.15,3.55
4.1,85140650.0,3.85,"Oct 12, 2009 00:00:00",4.2,3.8
3.85,112625000.0,3.45,"Oct 13, 2009 00:00:00",3.95,3.35
3.5,72300300.0,3.6,"Oct 14, 2009 00:00:00",3.6,3.4
3.65,133074500.0,3.7,"Oct 15, 2009 00:00:00",3.7,3.6
3.65,34183850.0,3.55,"Oct 16, 2009 00:00:00",3.65,3.5
3.55,85630950.0,3.6,"Oct 19, 2009 00:00:00",3.6,3.5
3.6,96745900.0,3.65,"Oct 20, 2009 00:00:00",3.65,3.6
3.55,24383900.0,3.5,"Oct 21, 2009 00:00:00",3.6,3.45
3.45,36010250.0,3.5,"Oct 22, 2009 00:00:00",3.5,3.45
3.55,60970150.0,3.5,"Oct 23, 2009 00:00:00",3.55,3.5
3.6,72137900.0,3.7,"Oct 26, 2009 00:00:00",3.7,3.6
3.7,147706350.0,3.9,"Oct 27, 2009 00:00:00",3.9,3.7
3.95,120977800.0,4.0,"Oct 28, 2009 00:00:00",4.0,3.9
3.95,85437300.0,4.05,"Oct 29, 2009 00:00:00",4.05,3.9
4.05,135568750.0,4.2,"Oct 30, 2009 00:00:00",4.2,4.05
4.2,173335150.0,4.25,"Nov 03, 2009 00:00:00",4.25,4.1
4.3,176109950.0,4.35,"Nov 04, 2009 00:00:00",4.35,4.25
4.4,191005550.0,4.4,"Nov 05, 2009 00:00:00",4.4,4.3
4.45,170195350.0,4.6,"Nov 06, 2009 00:00:00",4.6,4.45
4.6,184256800.0,4.8,"Nov 09, 2009 00:00:00",4.8,4.6
4.9,251860850.0,5.2,"Nov 10, 2009 00:00:00",5.2,4.9
5.3,214866100.0,5.7,"Nov 11, 2009 00:00:00",5.8,5.3
6.7,136015500.0,6.8,"Dec 15, 2009 00:00:00",6.8,6.7
6.8,146203800.0,7.0,"Dec 16, 2009 00:00:00",7.0,6.8
7.1,165055600.0,7.1,"Dec 17, 2009 00:00:00",7.1,7.0
6.9,151194900.0,6.9,"Dec 18, 2009 00:00:00",7.0,6.8
6.9,314217300.0,6.7,"Dec 21, 2009 00:00:00",6.9,6.5
6.5,90154000.0,6.5,"Dec 22, 2009 00:00:00",6.6,6.4
6.5,123312300.0,6.4,"Dec 23, 2009 00:00:00",6.5,6.3
6.5,81337100.0,6.5,"Dec 29, 2009 00:00:00",6.5,6.4
6.6,83934200.0,6.6,"Jan 04, 2010 00:00:00",6.6,6.5
6.6,53931700.0,6.4,"Jan 05, 2010 00:00:00",6.6,6.3
6.3,167074000.0,6.0,"Jan 06, 2010 00:00:00",6.3,5.7
6.0,56660800.0,6.1,"Jan 07, 2010 00:00:00",6.1,5.9
6.0,34971100.0,6.0,"Jan 08, 2010 00:00:00",6.0,5.9
5.9,52380800.0,6.1,"Jan 11, 2010 00:00:00",6.1,5.8
6.0,66803900.0,6.0,"Jan 12, 2010 00:00:00",6.0,5.9
6.0,33661300.0,5.9,"Jan 13, 2010 00:00:00",6.0,5.8
5.9,62709400.0,6.0,"Jan 14, 2010 00:00:00",6.0,5.9
6.0,30113400.0,5.9,"Jan 15, 2010 00:00:00",6.0,5.8
5.8,146187700.0,6.0,"Jan 18, 2010 00:00:00",6.0,5.4
6.0,117647100.0,6.0,"Jan 19, 2010 00:00:00",6.1,6.0
6.0,81059400.0,5.8,"Jan 20, 2010 00:00:00",6.0,5.7
5.7,42057300.0,5.7,"Jan 21, 2010 00:00:00",5.9,5.6
5.6,78933400.0,5.5,"Jan 22, 2010 00:00:00",5.7,5.4
5.4,40194900.0,5.4,"Jan 25, 2010 00:00:00",5.4,5.2
5.3,54213200.0,5.3,"Jan 26, 2010 00:00:00",5.5,5.2
5.2,31374850.0,5.0,"Jan 27, 2010 00:00:00",5.3,4.9
4.95,78417100.0,5.2,"Jan 28, 2010 00:00:00",5.2,4.85
5.0,43137500.0,4.9,"Jan 29, 2010 00:00:00",5.0,4.85
4.85,35237950.0,4.7,"Feb 01, 2010 00:00:00",4.9,4.6
4.75,59147850.0,4.55,"Feb 02, 2010 00:00:00",4.75,4.5
4.55,26994750.0,4.2,"Feb 03, 2010 00:00:00",4.55,4.1
4.0,47293300.0,3.6,"Feb 04, 2010 00:00:00",4.15,3.55
3.4,47636300.0,3.65,"Feb 05, 2010 00:00:00",3.7,3.2
3.7,12952900.0,3.5,"Feb 08, 2010 00:00:00",3.75,3.45
3.35,15086100.0,3.4,"Feb 09, 2010 00:00:00",3.45,3.15
3.4,29402100.0,3.4,"Feb 10, 2010 00:00:00",3.55,3.35
3.4,18599300.0,3.35,"Feb 11, 2010 00:00:00",3.5,3.3
3.25,45906900.0,3.25,"Mar 08, 2010 00:00:00",3.3,3.2
3.2,42889800.0,3.2,"Mar 12, 2010 00:00:00",3.2,3.15
3.2,38170900.0,3.2,"Mar 15, 2010 00:00:00",3.2,3.1
3.15,43889350.0,3.2,"Mar 16, 2010 00:00:00",3.2,3.15
3.2,145819900.0,3.3,"Mar 17, 2010 00:00:00",3.3,3.15
3.35,72640600.0,3.35,"Mar 31, 2010 00:00:00",3.4,3.25
3.65,202858650.0,3.55,"Apr 20, 2010 00:00:00",3.7,3.55
3.6,125415100.0,3.6,"Apr 21, 2010 00:00:00",3.65,3.5
3.55,90254350.0,3.6,"Apr 22, 2010 00:00:00",3.6,3.5
3.55,66891850.0,3.65,"Apr 23, 2010 00:00:00",3.65,3.55
3.45,48583150.0,3.35,"Apr 29, 2010 00:00:00",3.5,3.35
3.25,51548050.0,3.25,"Apr 30, 2010 00:00:00",3.3,3.15
3.2,26427450.0,3.25,"May 04, 2010 00:00:00",3.25,3.15
3.15,21006800.0,3.2,"May 05, 2010 00:00:00",3.2,3.1
3.15,80260400.0,3.2,"May 13, 2010 00:00:00",3.2,3.1
3.15,13456150.0,3.2,"May 14, 2010 00:00:00",3.2,3.1
3.15,20820300.0,3.15,"May 17, 2010 00:00:00",3.15,3.05
3.15,5669100.0,3.15,"May 18, 2010 00:00:00",3.15,3.1
3.1,14926450.0,3.05,"May 19, 2010 00:00:00",3.1,2.95
3.05,7185650.0,3.1,"May 20, 2010 00:00:00",3.1,3.05
3.0,11785000.0,3.05,"May 21, 2010 00:00:00",3.1,2.95
3.0,11793800.0,3.1,"May 24, 2010 00:00:00",3.1,3.0
3.05,8937000.0,3.0,"May 25, 2010 00:00:00",3.05,2.95
3.0,31238400.0,3.15,"May 26, 2010 00:00:00",3.15,3.0
3.05,4818400.0,3.05,"May 27, 2010 00:00:00",3.05,3.0
3.05,4688050.0,3.1,"May 28, 2010 00:00:00",3.1,3.05
3.05,3286150.0,3.05,"May 31, 2010 00:00:00",3.05,3.0
3.0,2866500.0,3.05,"Jun 01, 2010 00:00:00",3.05,3.0
3.0,4257000.0,3.0,"Jun 02, 2010 00:00:00",3.0,3.0
3.0,7040500.0,3.0,"Jun 03, 2010 00:00:00",3.05,3.0
3.0,1931000.0,3.05,"Jun 04, 2010 00:00:00",3.05,3.0
3.0,7581250.0,3.0,"Jun 07, 2010 00:00:00",3.05,2.95
2.95,7545650.0,2.95,"Jun 08, 2010 00:00:00",3.0,2.95
3.0,5355600.0,3.0,"Jun 09, 2010 00:00:00",3.0,2.9
3.0,32870950.0,3.0,"Jun 10, 2010 00:00:00",3.0,2.95
3.0,103749650.0,3.1,"Jun 11, 2010 00:00:00",3.15,3.0
3.05,58461400.0,3.05,"Jun 15, 2010 00:00:00",3.05,3.0
3.0,47093450.0,3.3,"Jun 16, 2010 00:00:00",3.3,3.0
3.2,14173350.0,3.2,"Jun 21, 2010 00:00:00",3.2,3.15
3.2,15000800.0,3.15,"Jun 22, 2010 00:00:00",3.2,3.05
3.15,3306050.0,3.15,"Jun 23, 2010 00:00:00",3.15,3.1
3.1,49202650.0,2.9,"Jun 24, 2010 00:00:00",3.1,2.9
2.9,42318550.0,3.05,"Jun 25, 2010 00:00:00",3.05,2.9
3.05,26441850.0,3.15,"Jun 28, 2010 00:00:00",3.15,3.05
3.15,23762800.0,3.15,"Jun 29, 2010 00:00:00",3.2,3.1
3.15,5932000.0,3.05,"Jul 01, 2010 00:00:00",3.15,3.05
3.05,4177750.0,3.0,"Jul 02, 2010 00:00:00",3.05,2.95
2.95,9932900.0,2.95,"Jul 06, 2010 00:00:00",3.0,2.9
2.95,16472950.0,2.95,"Jul 07, 2010 00:00:00",3.0,2.85
2.9,14181200.0,2.85,"Jul 08, 2010 00:00:00",2.9,2.8
2.85,24181400.0,2.75,"Jul 09, 2010 00:00:00",2.9,2.75
2.75,25531950.0,2.65,"Jul 13, 2010 00:00:00",2.75,2.6
2.65,15958500.0,2.6,"Jul 14, 2010 00:00:00",2.65,2.6
2.6,31402800.0,2.65,"Jul 15, 2010 00:00:00",2.65,2.55
2.65,39774650.0,2.75,"Jul 16, 2010 00:00:00",2.75,2.6
2.65,21850400.0,2.7,"Jul 19, 2010 00:00:00",2.7,2.65
2.7,14087250.0,2.7,"Jul 20, 2010 00:00:00",2.75,2.65
2.65,11988600.0,2.75,"Jul 21, 2010 00:00:00",2.75,2.65
