OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.26,1481461220.0,2.25,"Mar 24, 2021 00:00:00",2.4,2.24
2.27,460338200.0,2.24,"Mar 25, 2021 00:00:00",2.28,2.24
2.24,229590480.0,2.24,"Mar 26, 2021 00:00:00",2.25,2.24
2.24,1332478720.0,2.23,"Mar 29, 2021 00:00:00",2.25,2.15
2.21,139318380.0,2.16,"Mar 30, 2021 00:00:00",2.21,2.16
2.15,163911190.0,2.15,"Mar 31, 2021 00:00:00",2.17,2.11
2.12,58873350.0,2.15,"Apr 05, 2021 00:00:00",2.17,2.12
2.17,158051150.0,2.28,"Apr 06, 2021 00:00:00",2.3,2.16
2.28,37101450.0,2.26,"Apr 07, 2021 00:00:00",2.28,2.25
2.26,19080740.0,2.26,"Apr 08, 2021 00:00:00",2.27,2.23
2.27,28779900.0,2.25,"Apr 12, 2021 00:00:00",2.27,2.24
2.24,31985430.0,2.21,"Apr 13, 2021 00:00:00",2.24,2.2
2.21,24373240.0,2.21,"Apr 14, 2021 00:00:00",2.22,2.2
2.21,31730710.0,2.19,"Apr 15, 2021 00:00:00",2.22,2.19
2.19,33167040.0,2.19,"Apr 16, 2021 00:00:00",2.2,2.17
2.2,24227520.0,2.18,"Apr 19, 2021 00:00:00",2.2,2.17
2.18,19157920.0,2.19,"Apr 20, 2021 00:00:00",2.21,2.18
2.2,12372520.0,2.2,"Apr 21, 2021 00:00:00",2.21,2.19
2.2,19497040.0,2.19,"Apr 22, 2021 00:00:00",2.21,2.19
2.18,48502980.0,2.15,"Apr 23, 2021 00:00:00",2.18,2.14
2.15,41945080.0,2.12,"Apr 26, 2021 00:00:00",2.16,2.11
2.13,21568480.0,2.12,"Apr 27, 2021 00:00:00",2.14,2.11
2.12,26408490.0,2.11,"Apr 28, 2021 00:00:00",2.14,2.1
2.11,36003030.0,2.1,"Apr 29, 2021 00:00:00",2.12,2.09
2.11,41673410.0,2.08,"Apr 30, 2021 00:00:00",2.11,2.07
2.07,153955110.0,1.99,"May 03, 2021 00:00:00",2.08,1.98
2.0,130688410.0,1.9,"May 04, 2021 00:00:00",2.02,1.9
1.91,17513060.0,1.97,"May 05, 2021 00:00:00",1.98,1.91
1.98,15988180.0,1.95,"May 06, 2021 00:00:00",1.99,1.94
1.95,14734090.0,1.95,"May 07, 2021 00:00:00",1.97,1.93
1.94,16755000.0,1.95,"May 10, 2021 00:00:00",1.97,1.93
1.96,12697540.0,2.0,"May 11, 2021 00:00:00",2.02,1.96
2.0,24059390.0,1.95,"May 12, 2021 00:00:00",2.0,1.95
1.95,18877210.0,1.95,"May 14, 2021 00:00:00",1.97,1.95
1.96,13604810.0,1.95,"May 17, 2021 00:00:00",1.97,1.95
1.95,24673300.0,1.94,"May 18, 2021 00:00:00",1.98,1.92
1.95,14723250.0,1.96,"May 19, 2021 00:00:00",1.97,1.93
1.96,8352510.0,1.97,"May 20, 2021 00:00:00",1.97,1.94
1.98,8393790.0,1.97,"May 21, 2021 00:00:00",1.98,1.97
1.98,8084220.0,1.96,"May 24, 2021 00:00:00",1.98,1.95
1.94,9034990.0,1.95,"May 25, 2021 00:00:00",1.96,1.93
1.95,13551850.0,1.93,"May 26, 2021 00:00:00",1.96,1.93
1.94,17621240.0,1.96,"May 27, 2021 00:00:00",1.96,1.93
1.96,10985890.0,1.96,"May 28, 2021 00:00:00",1.97,1.94
1.96,13048380.0,1.94,"May 31, 2021 00:00:00",1.97,1.94
1.95,8386860.0,1.94,"Jun 01, 2021 00:00:00",1.95,1.94
1.92,30203090.0,1.94,"Jun 02, 2021 00:00:00",1.94,1.91
1.94,14716140.0,1.92,"Jun 03, 2021 00:00:00",1.94,1.92
1.92,13047790.0,1.93,"Jun 04, 2021 00:00:00",1.94,1.92
1.94,15607080.0,1.93,"Jun 07, 2021 00:00:00",1.94,1.92
1.93,16183510.0,1.93,"Jun 08, 2021 00:00:00",1.94,1.92
1.93,8974230.0,1.94,"Jun 09, 2021 00:00:00",1.94,1.92
1.94,24535130.0,1.92,"Jun 10, 2021 00:00:00",1.94,1.92
1.93,19153790.0,1.94,"Jun 11, 2021 00:00:00",1.94,1.93
1.93,38147600.0,1.95,"Jun 14, 2021 00:00:00",1.97,1.92
1.95,78767400.0,2.0,"Jun 15, 2021 00:00:00",2.04,1.94
2.01,36409860.0,2.07,"Jun 16, 2021 00:00:00",2.08,2.0
2.07,42840700.0,2.06,"Jun 17, 2021 00:00:00",2.16,2.03
2.06,27494190.0,2.11,"Jun 18, 2021 00:00:00",2.13,2.06
2.11,13871730.0,2.07,"Jun 21, 2021 00:00:00",2.13,2.06
2.06,7790140.0,2.06,"Jun 22, 2021 00:00:00",2.07,2.04
2.05,10360000.0,2.03,"Jun 23, 2021 00:00:00",2.06,2.03
2.03,18520520.0,2.01,"Jun 24, 2021 00:00:00",2.03,2.01
2.01,27357700.0,1.99,"Jun 25, 2021 00:00:00",2.02,1.98
1.99,15643530.0,2.0,"Jun 28, 2021 00:00:00",2.02,1.99
2.0,20959210.0,2.0,"Jun 29, 2021 00:00:00",2.03,2.0
2.01,22480100.0,1.99,"Jun 30, 2021 00:00:00",2.03,1.99
2.0,23452690.0,2.01,"Jul 01, 2021 00:00:00",2.02,1.98
2.01,19538430.0,1.99,"Jul 02, 2021 00:00:00",2.02,1.99
2.0,10276750.0,2.0,"Jul 05, 2021 00:00:00",2.0,1.98
2.0,11717590.0,1.99,"Jul 06, 2021 00:00:00",2.01,1.99
2.0,15278440.0,1.99,"Jul 07, 2021 00:00:00",2.01,1.99
2.0,24689730.0,2.01,"Jul 08, 2021 00:00:00",2.04,2.0
2.01,19964070.0,1.99,"Jul 09, 2021 00:00:00",2.02,1.99
2.0,19200290.0,2.0,"Jul 12, 2021 00:00:00",2.02,1.99
2.0,23376730.0,1.99,"Jul 13, 2021 00:00:00",2.01,1.99
2.0,15252610.0,1.98,"Jul 14, 2021 00:00:00",2.0,1.98
1.98,14103790.0,1.97,"Jul 15, 2021 00:00:00",1.99,1.97
1.97,23708190.0,1.94,"Jul 16, 2021 00:00:00",1.99,1.94
1.95,27674570.0,1.94,"Jul 19, 2021 00:00:00",1.96,1.92
1.93,29165830.0,1.93,"Jul 21, 2021 00:00:00",1.96,1.92
1.92,46518630.0,1.9,"Jul 22, 2021 00:00:00",1.94,1.9
1.91,34696660.0,1.87,"Jul 23, 2021 00:00:00",1.93,1.86
1.88,37485560.0,1.8,"Jul 26, 2021 00:00:00",1.89,1.76
1.82,16024250.0,1.84,"Jul 27, 2021 00:00:00",1.86,1.8
1.85,7654400.0,1.85,"Jul 28, 2021 00:00:00",1.86,1.83
1.82,13523200.0,1.83,"Jul 29, 2021 00:00:00",1.83,1.8
1.83,18792300.0,1.81,"Jul 30, 2021 00:00:00",1.83,1.79
1.78,22459200.0,1.77,"Aug 02, 2021 00:00:00",1.79,1.75
1.75,13013760.0,1.77,"Aug 03, 2021 00:00:00",1.79,1.75
1.8,10668040.0,1.82,"Aug 04, 2021 00:00:00",1.83,1.78
1.84,7448290.0,1.81,"Aug 05, 2021 00:00:00",1.84,1.8
1.8,9987490.0,1.79,"Aug 06, 2021 00:00:00",1.81,1.78
1.79,10630090.0,1.78,"Aug 09, 2021 00:00:00",1.81,1.78
1.78,13547680.0,1.8,"Aug 10, 2021 00:00:00",1.8,1.77
1.8,6825270.0,1.78,"Aug 11, 2021 00:00:00",1.8,1.78
1.79,12809140.0,1.78,"Aug 12, 2021 00:00:00",1.8,1.78
1.78,10613530.0,1.77,"Aug 13, 2021 00:00:00",1.78,1.77
1.77,27550460.0,1.77,"Aug 16, 2021 00:00:00",1.79,1.75
1.79,21047090.0,1.82,"Aug 17, 2021 00:00:00",1.84,1.78
1.82,10381020.0,1.83,"Aug 18, 2021 00:00:00",1.85,1.8
1.83,9810920.0,1.81,"Aug 19, 2021 00:00:00",1.83,1.8
1.82,11370270.0,1.83,"Aug 20, 2021 00:00:00",1.85,1.81
1.84,14708290.0,1.86,"Aug 23, 2021 00:00:00",1.88,1.84
1.87,17065600.0,1.84,"Aug 24, 2021 00:00:00",1.87,1.84
1.83,15730620.0,1.82,"Aug 25, 2021 00:00:00",1.83,1.79
1.82,14374310.0,1.8,"Aug 26, 2021 00:00:00",1.82,1.79
1.79,14134260.0,1.8,"Aug 27, 2021 00:00:00",1.81,1.78
1.8,12942400.0,1.79,"Aug 31, 2021 00:00:00",1.81,1.79
1.79,15180470.0,1.79,"Sep 01, 2021 00:00:00",1.8,1.78
1.79,14098580.0,1.78,"Sep 02, 2021 00:00:00",1.8,1.77
1.78,14376020.0,1.8,"Sep 03, 2021 00:00:00",1.8,1.78
1.8,10193300.0,1.79,"Sep 06, 2021 00:00:00",1.8,1.78
1.78,10326220.0,1.78,"Sep 07, 2021 00:00:00",1.8,1.78
1.78,10472370.0,1.8,"Sep 08, 2021 00:00:00",1.8,1.78
1.8,13915720.0,1.79,"Sep 09, 2021 00:00:00",1.8,1.78
1.8,5297320.0,1.8,"Sep 10, 2021 00:00:00",1.8,1.78
1.78,8452340.0,1.79,"Sep 13, 2021 00:00:00",1.79,1.78
1.79,38035350.0,1.84,"Sep 14, 2021 00:00:00",1.84,1.79
1.84,10405220.0,1.83,"Sep 15, 2021 00:00:00",1.84,1.81
1.84,22932620.0,1.8,"Sep 16, 2021 00:00:00",1.84,1.79
1.8,71019860.0,1.78,"Sep 17, 2021 00:00:00",1.83,1.78
1.8,9682610.0,1.78,"Sep 20, 2021 00:00:00",1.8,1.78
1.78,19416210.0,1.8,"Sep 21, 2021 00:00:00",1.84,1.77
1.8,12960880.0,1.83,"Sep 22, 2021 00:00:00",1.85,1.8
1.83,7973340.0,1.83,"Sep 23, 2021 00:00:00",1.84,1.81
1.81,5383600.0,1.81,"Sep 24, 2021 00:00:00",1.82,1.81
1.81,12510930.0,1.8,"Sep 27, 2021 00:00:00",1.81,1.79
1.81,12510930.0,1.8,"Sep 27, 2021 00:00:00",1.81,1.79
1.8,12890510.0,1.8,"Sep 28, 2021 00:00:00",1.81,1.8
1.8,9675120.0,1.8,"Sep 29, 2021 00:00:00",1.81,1.79
1.8,6707460.0,1.8,"Sep 30, 2021 00:00:00",1.82,1.8
1.8,19539690.0,1.81,"Oct 01, 2021 00:00:00",1.84,1.8
1.81,38940350.0,1.9,"Oct 04, 2021 00:00:00",1.91,1.8
1.9,20534800.0,1.89,"Oct 05, 2021 00:00:00",1.92,1.85
1.88,19785070.0,1.88,"Oct 06, 2021 00:00:00",1.9,1.86
1.89,17361900.0,1.83,"Oct 07, 2021 00:00:00",1.89,1.83
1.83,7771260.0,1.84,"Oct 08, 2021 00:00:00",1.88,1.82
1.84,11150740.0,1.87,"Oct 11, 2021 00:00:00",1.9,1.83
1.87,19928180.0,1.88,"Oct 12, 2021 00:00:00",1.89,1.87
1.88,14535330.0,1.84,"Oct 13, 2021 00:00:00",1.88,1.83
1.84,23617290.0,1.81,"Oct 14, 2021 00:00:00",1.84,1.81
1.82,14463090.0,1.82,"Oct 15, 2021 00:00:00",1.83,1.8
