OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.028,4975800.0,0.028,"Aug 03, 2009 00:00:00",0.028,0.027
0.028,8865200.0,0.029,"Aug 04, 2009 00:00:00",0.029,0.027
0.028,2091300.0,0.029,"Aug 06, 2009 00:00:00",0.029,0.028
0.028,5111100.0,0.029,"Aug 07, 2009 00:00:00",0.029,0.028
0.029,4880300.0,0.03,"Aug 10, 2009 00:00:00",0.03,0.028
0.03,7176500.0,0.031,"Aug 11, 2009 00:00:00",0.031,0.03
0.032,27355200.0,0.038,"Aug 12, 2009 00:00:00",0.039,0.032
0.039,15529500.0,0.038,"Aug 13, 2009 00:00:00",0.04,0.037
0.038,34115500.0,0.04,"Aug 14, 2009 00:00:00",0.041,0.038
0.039,11488800.0,0.039,"Aug 17, 2009 00:00:00",0.04,0.038
0.038,30205600.0,0.038,"Aug 18, 2009 00:00:00",0.038,0.036
0.038,16478600.0,0.039,"Aug 19, 2009 00:00:00",0.039,0.038
0.038,10054000.0,0.039,"Aug 20, 2009 00:00:00",0.039,0.038
0.039,15900700.0,0.04,"Aug 24, 2009 00:00:00",0.04,0.039
0.039,8625300.0,0.04,"Aug 25, 2009 00:00:00",0.04,0.039
0.039,6644100.0,0.04,"Aug 26, 2009 00:00:00",0.04,0.039
0.039,5418900.0,0.04,"Sep 03, 2009 00:00:00",0.04,0.039
0.04,13581300.0,0.041,"Sep 04, 2009 00:00:00",0.041,0.039
0.043,17479800.0,0.042,"Sep 16, 2009 00:00:00",0.043,0.041
0.042,26628300.0,0.043,"Sep 17, 2009 00:00:00",0.043,0.042
0.042,8486600.0,0.041,"Sep 18, 2009 00:00:00",0.042,0.04
0.041,10000900.0,0.04,"Sep 22, 2009 00:00:00",0.041,0.039
0.04,12269200.0,0.039,"Sep 23, 2009 00:00:00",0.04,0.038
0.036,33331700.0,0.039,"Sep 30, 2009 00:00:00",0.039,0.036
0.039,8598000.0,0.039,"Oct 01, 2009 00:00:00",0.039,0.038
0.037,11010600.0,0.039,"Oct 02, 2009 00:00:00",0.039,0.037
0.039,1636900.0,0.039,"Oct 05, 2009 00:00:00",0.039,0.038
0.039,2498000.0,0.038,"Oct 06, 2009 00:00:00",0.039,0.038
0.038,4044300.0,0.038,"Oct 07, 2009 00:00:00",0.038,0.037
0.037,276100.0,0.038,"Oct 08, 2009 00:00:00",0.038,0.037
0.038,7573700.0,0.039,"Oct 09, 2009 00:00:00",0.039,0.037
0.039,4140400.0,0.039,"Oct 12, 2009 00:00:00",0.039,0.038
0.038,287400.0,0.038,"Oct 13, 2009 00:00:00",0.038,0.037
0.037,320700.0,0.038,"Oct 14, 2009 00:00:00",0.038,0.037
0.038,759700.0,0.038,"Oct 15, 2009 00:00:00",0.038,0.037
0.038,862000.0,0.037,"Oct 16, 2009 00:00:00",0.038,0.036
0.037,1234600.0,0.037,"Oct 19, 2009 00:00:00",0.037,0.036
0.037,652500.0,0.038,"Oct 20, 2009 00:00:00",0.038,0.036
0.037,1255800.0,0.038,"Oct 21, 2009 00:00:00",0.038,0.037
