OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
11.8,450801539.0,10.26,"Jun 29, 2018 00:00:00",11.8,9.66
10.12,92498458.0,10.14,"Jul 02, 2018 00:00:00",10.64,10.06
10.2,30242584.0,10.34,"Jul 03, 2018 00:00:00",10.4,10.1
10.46,59193344.0,10.2,"Jul 04, 2018 00:00:00",10.46,10.2
10.2,30768394.0,9.8,"Jul 05, 2018 00:00:00",10.2,9.78
9.8,50392353.0,9.8,"Jul 06, 2018 00:00:00",9.81,9.08
9.81,15743025.0,9.4,"Jul 09, 2018 00:00:00",9.81,9.3
9.59,5583456.0,9.27,"Jul 10, 2018 00:00:00",9.59,9.26
9.24,31297927.0,8.75,"Jul 11, 2018 00:00:00",9.24,8.67
8.75,25727968.0,8.99,"Jul 12, 2018 00:00:00",9.1,8.73
8.95,27446648.0,9.0,"Jul 13, 2018 00:00:00",9.1,8.8
9.01,2899038.0,8.76,"Jul 16, 2018 00:00:00",9.15,8.76
8.78,3799416.0,8.74,"Jul 17, 2018 00:00:00",8.82,8.74
8.74,4373837.0,8.87,"Jul 18, 2018 00:00:00",8.92,8.74
8.79,2885155.0,8.81,"Jul 19, 2018 00:00:00",8.9,8.79
8.85,2649874.0,8.8,"Jul 20, 2018 00:00:00",8.85,8.8
8.8,2672265.0,8.84,"Jul 23, 2018 00:00:00",8.99,8.8
8.83,4926398.0,8.87,"Jul 24, 2018 00:00:00",8.92,8.82
8.88,12528400.0,9.15,"Jul 25, 2018 00:00:00",9.38,8.88
9.2,2979160.0,9.32,"Jul 26, 2018 00:00:00",9.35,9.2
9.32,15101787.0,9.7,"Jul 27, 2018 00:00:00",9.88,9.32
9.7,19776890.0,9.85,"Jul 30, 2018 00:00:00",10.0,9.52
9.85,21988353.0,9.77,"Jul 31, 2018 00:00:00",9.97,9.65
9.77,6886199.0,9.72,"Aug 01, 2018 00:00:00",9.87,9.69
9.68,4707943.0,9.74,"Aug 02, 2018 00:00:00",9.8,9.65
9.74,2923325.0,9.82,"Aug 03, 2018 00:00:00",9.85,9.7
9.73,12216901.0,10.18,"Aug 06, 2018 00:00:00",10.2,9.69
10.1,19120922.0,10.46,"Aug 07, 2018 00:00:00",10.74,10.1
10.4,4300430.0,10.16,"Aug 08, 2018 00:00:00",10.4,10.12
10.2,7795203.0,9.86,"Aug 09, 2018 00:00:00",10.26,9.8
9.86,5025655.0,10.14,"Aug 10, 2018 00:00:00",10.14,9.86
10.14,3021316.0,9.91,"Aug 13, 2018 00:00:00",10.14,9.91
9.98,1256628.0,9.89,"Aug 14, 2018 00:00:00",9.98,9.85
9.86,2595728.0,9.77,"Aug 15, 2018 00:00:00",9.93,9.7
9.75,3495656.0,10.0,"Aug 16, 2018 00:00:00",10.0,9.65
9.9,1457115.0,9.84,"Aug 17, 2018 00:00:00",9.9,9.8
9.84,1349548.0,9.95,"Aug 20, 2018 00:00:00",9.95,9.76
9.9,564863.0,9.7,"Aug 22, 2018 00:00:00",9.98,9.7
9.7,1975172.0,9.67,"Aug 23, 2018 00:00:00",9.9,9.65
9.7,3919579.0,9.55,"Aug 24, 2018 00:00:00",9.81,9.55
9.7,4650734.0,9.4,"Aug 28, 2018 00:00:00",9.75,9.4
9.38,12754259.0,9.24,"Aug 29, 2018 00:00:00",9.5,9.24
9.22,2072217.0,9.35,"Aug 30, 2018 00:00:00",9.39,9.2
9.35,4249480.0,9.2,"Aug 31, 2018 00:00:00",9.35,9.2
9.2,5985767.0,9.21,"Sep 03, 2018 00:00:00",9.27,9.2
9.22,4374836.0,9.23,"Sep 04, 2018 00:00:00",9.35,9.22
9.35,7726464.0,9.09,"Sep 05, 2018 00:00:00",9.35,9.09
9.11,8418073.0,8.8,"Sep 06, 2018 00:00:00",9.11,8.77
8.81,5713448.0,8.67,"Sep 07, 2018 00:00:00",8.81,8.67
8.67,1697634.0,8.9,"Sep 10, 2018 00:00:00",8.91,8.67
8.91,2168080.0,8.73,"Sep 11, 2018 00:00:00",9.0,8.7
8.75,443891.0,8.75,"Sep 12, 2018 00:00:00",8.82,8.75
8.75,1555192.0,8.72,"Sep 13, 2018 00:00:00",8.81,8.7
8.7,1689410.0,8.7,"Sep 14, 2018 00:00:00",8.82,8.7
8.7,1953170.0,8.79,"Sep 17, 2018 00:00:00",8.84,8.7
8.82,3034344.0,8.67,"Sep 18, 2018 00:00:00",8.85,8.67
8.7,3943579.0,8.49,"Sep 19, 2018 00:00:00",8.74,8.49
8.44,1930916.0,8.42,"Sep 20, 2018 00:00:00",8.59,8.42
8.41,6040292.0,8.08,"Sep 21, 2018 00:00:00",8.69,8.08
8.41,6040292.0,8.08,"Sep 21, 2018 00:00:00",8.69,8.08
8.09,2454745.0,8.27,"Sep 24, 2018 00:00:00",8.4,8.09
8.09,2454745.0,8.27,"Sep 24, 2018 00:00:00",8.4,8.09
8.27,3170342.0,8.53,"Sep 25, 2018 00:00:00",8.55,8.27
8.53,1101728.0,8.51,"Sep 26, 2018 00:00:00",8.67,8.51
8.53,1732931.0,8.33,"Sep 27, 2018 00:00:00",8.53,8.33
8.51,7267778.0,8.34,"Sep 28, 2018 00:00:00",8.65,8.34
8.34,566526.0,8.3,"Oct 01, 2018 00:00:00",8.34,8.25
8.3,537122.0,8.35,"Oct 02, 2018 00:00:00",8.35,8.28
8.38,1358185.0,8.33,"Oct 03, 2018 00:00:00",8.39,8.26
8.27,586649.0,8.3,"Oct 04, 2018 00:00:00",8.41,8.27
8.28,316824.0,8.29,"Oct 05, 2018 00:00:00",8.29,8.27
8.34,971942.0,8.34,"Oct 08, 2018 00:00:00",8.34,8.28
8.34,428453.0,8.36,"Oct 09, 2018 00:00:00",8.43,8.3
8.34,4794505.0,8.08,"Oct 10, 2018 00:00:00",8.34,8.05
8.02,2149977.0,7.86,"Oct 11, 2018 00:00:00",8.02,7.8
7.9,7160398.0,7.65,"Oct 12, 2018 00:00:00",7.9,7.52
7.65,2177747.0,7.8,"Oct 15, 2018 00:00:00",7.95,7.65
7.67,1785904.0,7.66,"Oct 16, 2018 00:00:00",7.69,7.63
7.67,1676967.0,7.95,"Oct 17, 2018 00:00:00",8.1,7.67
7.95,6249989.0,7.99,"Oct 18, 2018 00:00:00",8.04,7.95
7.71,3153497.0,7.99,"Oct 19, 2018 00:00:00",8.0,7.71
7.99,5219175.0,7.99,"Oct 22, 2018 00:00:00",8.08,7.99
8.1,1038772.0,8.2,"Oct 23, 2018 00:00:00",8.22,8.0
8.2,1832840.0,8.14,"Oct 24, 2018 00:00:00",8.2,8.14
8.0,22423251.0,7.87,"Oct 25, 2018 00:00:00",8.05,7.8
7.8,2756885.0,7.8,"Oct 26, 2018 00:00:00",7.87,7.8
7.8,7541129.0,7.9,"Oct 29, 2018 00:00:00",8.0,7.8
7.9,1529236.0,7.9,"Oct 30, 2018 00:00:00",7.92,7.86
7.9,812068.0,7.9,"Oct 31, 2018 00:00:00",7.9,7.88
7.89,756070.0,8.0,"Nov 05, 2018 00:00:00",8.0,7.88
7.89,970070.0,7.85,"Nov 06, 2018 00:00:00",8.0,7.84
7.99,1269433.0,7.91,"Nov 07, 2018 00:00:00",7.99,7.85
7.83,3720900.0,7.81,"Nov 08, 2018 00:00:00",7.92,7.8
7.8,2006982.0,7.79,"Nov 09, 2018 00:00:00",7.81,7.76
7.76,2752082.0,7.77,"Nov 12, 2018 00:00:00",8.1,7.76
7.76,5414223.0,7.71,"Nov 13, 2018 00:00:00",7.76,7.7
7.7,5818230.0,7.6,"Nov 14, 2018 00:00:00",7.75,7.55
7.54,5109211.0,7.55,"Nov 15, 2018 00:00:00",7.57,7.5
7.55,1189615.0,7.6,"Nov 16, 2018 00:00:00",7.65,7.55
7.58,2212459.0,7.6,"Nov 19, 2018 00:00:00",7.61,7.53
7.55,3186966.0,7.6,"Nov 20, 2018 00:00:00",7.65,7.55
7.57,1181676.0,7.6,"Nov 21, 2018 00:00:00",7.6,7.57
7.59,1542707.0,7.57,"Nov 22, 2018 00:00:00",7.59,7.5
7.56,2577743.0,7.56,"Nov 23, 2018 00:00:00",7.59,7.51
7.6,2255247.0,7.61,"Nov 26, 2018 00:00:00",7.65,7.6
7.62,2617047.0,7.63,"Nov 27, 2018 00:00:00",7.65,7.61
7.94,885405.0,7.93,"Nov 28, 2018 00:00:00",7.94,7.7
7.9,606098.0,7.85,"Nov 29, 2018 00:00:00",7.9,7.8
7.8,363336.0,7.91,"Dec 03, 2018 00:00:00",7.93,7.8
7.91,1458135.0,8.0,"Dec 04, 2018 00:00:00",8.0,7.9
8.1,3154647.0,8.06,"Dec 05, 2018 00:00:00",8.13,8.06
8.07,16254838.0,7.99,"Dec 06, 2018 00:00:00",8.07,7.99
7.99,1432686.0,8.04,"Dec 07, 2018 00:00:00",8.05,7.93
8.0,459268.0,8.05,"Dec 10, 2018 00:00:00",8.05,8.0
8.05,1204887.0,8.0,"Dec 11, 2018 00:00:00",8.05,7.99
8.0,731950.0,8.0,"Dec 12, 2018 00:00:00",8.07,8.0
7.97,585076.0,7.98,"Dec 13, 2018 00:00:00",8.08,7.94
8.0,1103820.0,7.98,"Dec 14, 2018 00:00:00",8.03,7.98
8.03,2905219.0,7.95,"Dec 17, 2018 00:00:00",8.03,7.93
7.99,949151.0,7.83,"Dec 18, 2018 00:00:00",7.99,7.82
7.83,509518.0,7.9,"Dec 19, 2018 00:00:00",7.92,7.83
7.88,2786366.0,7.9,"Dec 20, 2018 00:00:00",7.9,7.8
7.9,1109067.0,7.9,"Dec 21, 2018 00:00:00",7.9,7.82
7.99,1359956.0,7.7,"Dec 26, 2018 00:00:00",7.99,7.7
7.7,2011538.0,7.7,"Dec 27, 2018 00:00:00",7.9,7.68
7.75,7484832.0,7.8,"Dec 28, 2018 00:00:00",7.85,7.75
7.8,2928790.0,7.7,"Jan 02, 2019 00:00:00",7.84,7.7
7.85,255407.0,7.92,"Jan 03, 2019 00:00:00",7.92,7.8
7.92,643408.0,7.92,"Jan 04, 2019 00:00:00",7.92,7.7
7.9,416652.0,7.95,"Jan 07, 2019 00:00:00",7.96,7.9
7.99,673271.0,7.99,"Jan 08, 2019 00:00:00",7.99,7.92
7.99,994207.0,8.12,"Jan 09, 2019 00:00:00",8.28,7.99
8.18,1498233.0,8.13,"Jan 10, 2019 00:00:00",8.23,8.0
8.06,14450361.0,8.14,"Jan 11, 2019 00:00:00",8.2,7.96
8.15,28644099.0,8.58,"Jan 14, 2019 00:00:00",8.64,8.15
8.58,23635052.0,8.44,"Jan 15, 2019 00:00:00",8.71,8.38
8.45,17824666.0,8.6,"Jan 16, 2019 00:00:00",8.97,8.4
8.6,4596532.0,8.63,"Jan 17, 2019 00:00:00",8.8,8.6
8.64,25376587.0,8.7,"Jan 18, 2019 00:00:00",8.89,8.64
8.71,3593407.0,8.71,"Jan 21, 2019 00:00:00",8.88,8.7
8.74,2711820.0,8.75,"Jan 22, 2019 00:00:00",8.88,8.74
8.76,3331142.0,8.48,"Jan 23, 2019 00:00:00",8.76,8.38
8.52,29601878.0,8.8,"Jan 24, 2019 00:00:00",8.85,8.51
8.84,949238.0,8.67,"Jan 25, 2019 00:00:00",8.88,8.67
8.67,20406998.0,9.0,"Jan 28, 2019 00:00:00",9.21,8.67
9.0,20675892.0,8.9,"Jan 29, 2019 00:00:00",9.05,8.73
8.85,24751770.0,9.1,"Jan 30, 2019 00:00:00",9.2,8.85
9.12,14966244.0,9.0,"Jan 31, 2019 00:00:00",9.12,8.9
9.1,18645084.0,9.48,"Feb 01, 2019 00:00:00",9.49,9.01
9.48,15714507.0,9.68,"Feb 04, 2019 00:00:00",9.78,9.32
9.7,26301437.0,10.0,"Feb 06, 2019 00:00:00",10.14,9.6
10.1,18997230.0,10.28,"Feb 07, 2019 00:00:00",10.34,10.0
10.26,10210331.0,10.1,"Feb 08, 2019 00:00:00",10.26,9.86
10.1,3849556.0,10.2,"Feb 11, 2019 00:00:00",10.34,10.1
10.2,12514628.0,10.2,"Feb 12, 2019 00:00:00",10.48,10.18
10.2,15444394.0,9.96,"Feb 13, 2019 00:00:00",10.2,9.86
9.9,13922072.0,10.48,"Feb 14, 2019 00:00:00",10.48,9.88
10.46,15872542.0,10.4,"Feb 15, 2019 00:00:00",10.6,10.26
10.4,9140892.0,10.14,"Feb 18, 2019 00:00:00",10.4,10.0
10.14,6830350.0,10.24,"Feb 19, 2019 00:00:00",10.3,10.0
10.24,12393780.0,10.28,"Feb 20, 2019 00:00:00",10.36,10.02
10.28,33813146.0,10.6,"Feb 21, 2019 00:00:00",10.6,10.26
10.64,7846668.0,10.42,"Feb 22, 2019 00:00:00",10.66,10.42
10.42,11648766.0,10.14,"Feb 26, 2019 00:00:00",10.44,10.12
10.1,4831372.0,10.04,"Feb 27, 2019 00:00:00",10.14,10.04
10.12,50253877.0,9.7,"Feb 28, 2019 00:00:00",10.14,9.5
9.7,3446725.0,9.7,"Mar 01, 2019 00:00:00",9.89,9.6
9.62,7264737.0,9.62,"Mar 04, 2019 00:00:00",9.74,9.58
9.7,8244287.0,9.66,"Mar 05, 2019 00:00:00",9.87,9.66
9.6,1796076.0,9.8,"Mar 06, 2019 00:00:00",9.81,9.6
9.8,3061802.0,9.95,"Mar 07, 2019 00:00:00",9.98,9.8
9.95,2500270.0,9.94,"Mar 08, 2019 00:00:00",9.95,9.8
9.95,1375529.0,9.98,"Mar 11, 2019 00:00:00",9.98,9.89
9.99,24768194.0,10.08,"Mar 12, 2019 00:00:00",10.18,9.92
10.16,22449378.0,10.36,"Mar 13, 2019 00:00:00",10.36,10.08
10.4,6551510.0,10.26,"Mar 14, 2019 00:00:00",10.44,10.2
10.26,44080740.0,10.94,"Mar 15, 2019 00:00:00",11.0,10.26
11.06,33656542.0,11.32,"Mar 18, 2019 00:00:00",11.34,10.72
11.4,14349856.0,11.0,"Mar 19, 2019 00:00:00",11.4,10.76
10.96,7703342.0,11.26,"Mar 20, 2019 00:00:00",11.3,10.96
11.24,23813884.0,11.7,"Mar 21, 2019 00:00:00",11.76,11.24
11.72,13689484.0,11.72,"Mar 22, 2019 00:00:00",11.92,11.5
11.68,9404712.0,11.34,"Mar 25, 2019 00:00:00",11.68,11.12
11.24,7436972.0,11.5,"Mar 26, 2019 00:00:00",11.56,11.24
11.4,10980868.0,11.3,"Mar 27, 2019 00:00:00",11.5,11.2
11.3,5631788.0,11.46,"Mar 28, 2019 00:00:00",11.6,11.2
11.38,24295820.0,11.6,"Mar 29, 2019 00:00:00",11.7,11.38
11.6,51874076.0,12.06,"Apr 01, 2019 00:00:00",12.26,11.6
12.12,44167116.0,12.38,"Apr 02, 2019 00:00:00",12.46,12.04
12.38,19429090.0,12.0,"Apr 03, 2019 00:00:00",12.38,11.86
11.96,29036842.0,11.42,"Apr 04, 2019 00:00:00",12.16,11.22
11.44,16958204.0,11.46,"Apr 05, 2019 00:00:00",11.7,11.36
11.4,10058734.0,11.56,"Apr 08, 2019 00:00:00",11.56,11.1
11.6,8283432.0,11.52,"Apr 10, 2019 00:00:00",11.86,11.52
