OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
5.0,428500.0,4.5,"Sep 03, 2009 00:00:00",5.0,4.5
4.55,179050.0,4.35,"Sep 04, 2009 00:00:00",4.55,4.35
4.0,36000.0,4.0,"Sep 16, 2009 00:00:00",4.0,4.0
3.75,249700.0,3.95,"Oct 09, 2009 00:00:00",4.35,3.75
3.95,35550.0,3.95,"Oct 12, 2009 00:00:00",3.95,3.95
3.95,55700.0,3.95,"Oct 13, 2009 00:00:00",4.0,3.95
3.95,47400.0,3.95,"Oct 16, 2009 00:00:00",3.95,3.95
3.0,3000.0,3.0,"Oct 28, 2009 00:00:00",3.0,3.0
3.75,15000.0,3.75,"Nov 06, 2009 00:00:00",3.75,3.75
3.8,26600.0,3.8,"Dec 22, 2009 00:00:00",3.8,3.8
3.05,88450.0,3.05,"Jan 12, 2010 00:00:00",3.05,3.05
4.0,44000.0,4.0,"Feb 08, 2010 00:00:00",4.0,4.0
4.05,4050.0,4.05,"Mar 12, 2010 00:00:00",4.05,4.05
4.05,20250.0,4.05,"Mar 15, 2010 00:00:00",4.05,4.05
4.15,37150.0,4.1,"Mar 16, 2010 00:00:00",4.15,4.1
4.4,42800.0,4.0,"Apr 30, 2010 00:00:00",4.4,4.0
4.0,24000.0,4.0,"May 04, 2010 00:00:00",4.0,4.0
4.1,16400.0,4.1,"May 14, 2010 00:00:00",4.1,4.1
4.25,30000.0,4.3,"Jun 01, 2010 00:00:00",4.3,4.25
4.15,41500.0,4.15,"Jun 25, 2010 00:00:00",4.15,4.15
4.15,45650.0,4.15,"Jun 28, 2010 00:00:00",4.15,4.15
4.15,41500.0,4.15,"Jul 02, 2010 00:00:00",4.15,4.15
4.15,20750.0,4.15,"Jul 21, 2010 00:00:00",4.15,4.15
4.0,28000.0,4.0,"Jul 22, 2010 00:00:00",4.0,4.0
4.42,221000.0,4.42,"Sep 22, 2010 00:00:00",4.42,4.42
4.4,22000.0,4.4,"Sep 27, 2010 00:00:00",4.4,4.4
4.4,8800.0,4.4,"Oct 01, 2010 00:00:00",4.4,4.4
3.98,27860.0,3.98,"Oct 05, 2010 00:00:00",3.98,3.98
3.98,7960.0,3.98,"Oct 15, 2010 00:00:00",3.98,3.98
4.18,4180.0,4.18,"Nov 19, 2010 00:00:00",4.18,4.18
4.09,20810.0,4.18,"Dec 16, 2010 00:00:00",4.18,4.09
4.18,41800.0,4.18,"Jan 24, 2011 00:00:00",4.18,4.18
4.18,71060.0,4.18,"May 10, 2011 00:00:00",4.18,4.18
4.35,4350.0,4.35,"Jun 22, 2011 00:00:00",4.35,4.35
4.3,4300.0,4.3,"Jul 25, 2011 00:00:00",4.3,4.3
4.21,21010.0,4.2,"Aug 09, 2011 00:00:00",4.21,4.2
4.21,47660.0,4.38,"Aug 19, 2011 00:00:00",4.38,4.2
4.3,60200.0,4.3,"Aug 24, 2011 00:00:00",4.3,4.3
4.5,590080.0,4.3,"Sep 16, 2011 00:00:00",6.2,4.3
4.3,8600.0,4.3,"Sep 19, 2011 00:00:00",4.3,4.3
4.3,12900.0,4.3,"Sep 22, 2011 00:00:00",4.3,4.3
4.21,8420.0,4.21,"Oct 06, 2011 00:00:00",4.21,4.21
4.21,21010.0,4.2,"Oct 14, 2011 00:00:00",4.21,4.2
4.5,76500.0,4.5,"Oct 18, 2011 00:00:00",4.5,4.5
4.76,14280.0,4.76,"Nov 17, 2011 00:00:00",4.76,4.76
4.76,4760.0,4.76,"Nov 21, 2011 00:00:00",4.76,4.76
4.4,145200.0,4.4,"Dec 27, 2011 00:00:00",4.4,4.4
