OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
4.38,302139650.0,4.36,"Dec 12, 2012 00:00:00",4.51,4.34
4.34,123384870.0,4.44,"Dec 13, 2012 00:00:00",4.45,4.32
4.44,125578630.0,4.47,"Dec 14, 2012 00:00:00",4.55,4.41
4.5,37910000.0,4.42,"Dec 17, 2012 00:00:00",4.5,4.41
4.45,54612610.0,4.43,"Dec 18, 2012 00:00:00",4.5,4.38
4.42,16867790.0,4.4,"Dec 19, 2012 00:00:00",4.44,4.4
4.4,14370180.0,4.4,"Dec 20, 2012 00:00:00",4.45,4.39
4.4,19457820.0,4.4,"Dec 21, 2012 00:00:00",4.45,4.39
4.4,11485150.0,4.41,"Dec 26, 2012 00:00:00",4.44,4.38
4.4,11530900.0,4.41,"Dec 27, 2012 00:00:00",4.41,4.39
4.41,36847480.0,4.4,"Dec 28, 2012 00:00:00",4.42,4.36
4.37,14835210.0,4.37,"Jan 02, 2013 00:00:00",4.4,4.37
4.38,26132060.0,4.38,"Jan 03, 2013 00:00:00",4.44,4.37
4.38,15057810.0,4.36,"Jan 04, 2013 00:00:00",4.4,4.36
4.38,61644090.0,4.42,"Jan 07, 2013 00:00:00",4.45,4.38
4.42,20243730.0,4.44,"Jan 08, 2013 00:00:00",4.46,4.41
4.41,41611130.0,4.45,"Jan 09, 2013 00:00:00",4.47,4.41
4.48,160285120.0,4.61,"Jan 10, 2013 00:00:00",4.7,4.48
4.64,185475320.0,4.98,"Jan 11, 2013 00:00:00",4.99,4.61
4.99,155327590.0,5.01,"Jan 14, 2013 00:00:00",5.15,4.85
5.01,144438044.0,4.98,"Jan 15, 2013 00:00:00",5.15,4.88
5.0,74905820.0,4.98,"Jan 16, 2013 00:00:00",5.05,4.88
4.99,148329780.0,5.31,"Jan 17, 2013 00:00:00",5.34,4.99
5.32,163943313.0,5.37,"Jan 18, 2013 00:00:00",5.4,5.25
5.39,41670570.0,5.4,"Jan 21, 2013 00:00:00",5.45,5.3
5.4,74129992.0,5.34,"Jan 22, 2013 00:00:00",5.43,5.25
5.34,28011782.0,5.31,"Jan 23, 2013 00:00:00",5.4,5.24
5.29,97534384.0,5.48,"Jan 24, 2013 00:00:00",5.54,5.28
5.49,157519790.0,5.8,"Jan 25, 2013 00:00:00",5.8,5.49
5.84,90728379.0,5.83,"Jan 28, 2013 00:00:00",5.9,5.71
5.85,90640959.0,5.86,"Jan 29, 2013 00:00:00",5.9,5.84
5.85,96998976.0,5.79,"Jan 30, 2013 00:00:00",5.9,5.74
5.8,56602177.0,5.8,"Jan 31, 2013 00:00:00",5.83,5.72
5.8,90605645.0,6.11,"Feb 01, 2013 00:00:00",6.12,5.8
6.11,118198572.0,6.35,"Feb 04, 2013 00:00:00",6.37,6.11
6.35,139589765.0,6.43,"Feb 05, 2013 00:00:00",6.48,6.22
6.43,185543354.0,6.29,"Feb 06, 2013 00:00:00",6.74,6.0
6.29,147033460.0,5.97,"Feb 07, 2013 00:00:00",6.3,5.8
5.97,65352428.0,5.92,"Feb 08, 2013 00:00:00",6.0,5.88
5.92,31394767.0,6.04,"Feb 11, 2013 00:00:00",6.2,5.92
6.09,27660527.0,6.02,"Feb 12, 2013 00:00:00",6.09,5.97
6.07,38361983.0,6.0,"Feb 13, 2013 00:00:00",6.08,5.97
6.0,67565454.0,6.18,"Feb 14, 2013 00:00:00",6.21,5.97
6.16,245013566.0,6.45,"Feb 15, 2013 00:00:00",6.7,6.16
6.75,180502029.0,6.76,"Feb 18, 2013 00:00:00",6.82,6.7
6.85,180401153.0,6.95,"Feb 19, 2013 00:00:00",6.99,6.85
7.09,211912987.0,6.83,"Feb 20, 2013 00:00:00",7.19,6.81
6.9,134269081.0,6.85,"Feb 21, 2013 00:00:00",7.1,6.82
6.9,304398955.0,6.51,"Feb 22, 2013 00:00:00",6.95,6.51
6.6,89323317.0,6.6,"Feb 25, 2013 00:00:00",6.75,6.58
6.59,137619103.0,6.54,"Feb 26, 2013 00:00:00",6.74,6.48
6.57,52273352.0,6.55,"Feb 27, 2013 00:00:00",6.65,6.55
6.61,131266942.0,6.5,"Feb 28, 2013 00:00:00",6.7,6.48
6.52,67983587.0,6.76,"Mar 01, 2013 00:00:00",6.79,6.52
6.78,99781414.0,6.97,"Mar 04, 2013 00:00:00",7.0,6.72
6.98,95822015.0,7.12,"Mar 05, 2013 00:00:00",7.13,6.95
7.15,62615286.0,7.03,"Mar 06, 2013 00:00:00",7.2,7.03
7.03,26170774.0,6.96,"Mar 07, 2013 00:00:00",7.03,6.89
6.95,81251459.0,6.85,"Mar 08, 2013 00:00:00",6.98,6.82
6.85,61929853.0,6.91,"Mar 11, 2013 00:00:00",7.0,6.84
6.97,41627530.0,6.76,"Mar 12, 2013 00:00:00",7.0,6.75
6.78,75248347.0,6.71,"Mar 13, 2013 00:00:00",6.83,6.56
6.72,81783181.0,6.96,"Mar 14, 2013 00:00:00",6.96,6.65
