OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
3.28,4136430.0,2.9,"Nov 21, 2013 00:00:00",3.28,2.9
3.0,1626750.0,3.0,"Nov 22, 2013 00:00:00",3.11,2.99
2.91,811050.0,3.0,"Nov 25, 2013 00:00:00",3.0,2.91
2.91,514480.0,2.9,"Nov 26, 2013 00:00:00",2.91,2.85
2.9,587170.0,2.79,"Nov 27, 2013 00:00:00",2.9,2.7
2.7,707280.0,2.61,"Nov 28, 2013 00:00:00",2.74,2.61
2.65,360140.0,2.72,"Nov 29, 2013 00:00:00",2.75,2.65
2.62,13050.0,2.6,"Dec 02, 2013 00:00:00",2.62,2.6
2.62,299080.0,2.6,"Dec 03, 2013 00:00:00",2.62,2.6
2.7,2700.0,2.7,"Dec 04, 2013 00:00:00",2.7,2.7
2.57,148550.0,2.7,"Dec 05, 2013 00:00:00",2.7,2.57
2.57,51630.0,2.69,"Dec 06, 2013 00:00:00",2.69,2.56
2.65,5300.0,2.65,"Dec 09, 2013 00:00:00",2.65,2.65
2.56,553660.0,2.6,"Dec 10, 2013 00:00:00",2.6,2.5
2.43,275230.0,2.55,"Dec 12, 2013 00:00:00",2.58,2.42
2.55,158870.0,2.58,"Dec 13, 2013 00:00:00",2.58,2.31
2.32,216660.0,2.56,"Dec 16, 2013 00:00:00",2.56,2.3
2.31,19470.0,2.5,"Dec 17, 2013 00:00:00",2.55,2.3
2.5,18920.0,2.5,"Dec 18, 2013 00:00:00",2.5,2.32
2.5,67600.0,2.55,"Dec 19, 2013 00:00:00",2.55,2.5
2.32,4820.0,2.5,"Dec 23, 2013 00:00:00",2.5,2.32
2.32,440560.0,2.48,"Dec 27, 2013 00:00:00",2.5,2.3
2.24,192340.0,2.21,"Jan 02, 2014 00:00:00",2.46,2.2
2.21,392830.0,2.39,"Jan 03, 2014 00:00:00",2.39,2.03
2.22,79320.0,2.2,"Jan 06, 2014 00:00:00",2.22,2.2
2.2,52720.0,2.17,"Jan 07, 2014 00:00:00",2.2,2.17
2.18,13080.0,2.18,"Jan 08, 2014 00:00:00",2.18,2.18
2.18,4360.0,2.18,"Jan 09, 2014 00:00:00",2.18,2.18
2.02,94980.0,2.2,"Jan 10, 2014 00:00:00",2.28,2.0
2.01,64490.0,2.25,"Jan 13, 2014 00:00:00",2.25,2.0
2.05,10770.0,2.19,"Jan 14, 2014 00:00:00",2.25,2.05
2.02,16770.0,2.08,"Jan 15, 2014 00:00:00",2.19,2.02
2.08,408830.0,2.18,"Jan 16, 2014 00:00:00",2.18,2.0
2.01,6360.0,2.17,"Jan 17, 2014 00:00:00",2.18,2.01
2.16,8530.0,2.18,"Jan 20, 2014 00:00:00",2.18,2.03
2.05,6410.0,2.18,"Jan 21, 2014 00:00:00",2.18,2.05
2.18,25460.0,2.08,"Jan 22, 2014 00:00:00",2.18,2.08
2.04,16320.0,2.04,"Jan 23, 2014 00:00:00",2.04,2.04
2.04,8160.0,2.04,"Jan 24, 2014 00:00:00",2.04,2.04
2.04,14250.0,2.03,"Jan 27, 2014 00:00:00",2.04,2.03
2.03,100140.0,2.0,"Jan 28, 2014 00:00:00",2.03,2.0
2.0,40000.0,2.0,"Jan 29, 2014 00:00:00",2.0,2.0
2.0,59820.0,1.99,"Jan 30, 2014 00:00:00",2.0,1.99
1.99,62600.0,1.95,"Feb 03, 2014 00:00:00",1.99,1.95
1.95,35140.0,1.99,"Feb 04, 2014 00:00:00",1.99,1.95
2.0,220000.0,2.0,"Feb 06, 2014 00:00:00",2.0,2.0
1.95,1950.0,1.95,"Feb 07, 2014 00:00:00",1.95,1.95
2.0,529990.0,2.0,"Feb 10, 2014 00:00:00",2.0,1.99
1.99,979160.0,1.98,"Feb 11, 2014 00:00:00",1.99,1.8
1.89,333270.0,1.79,"Feb 12, 2014 00:00:00",1.9,1.79
1.79,400660.0,1.82,"Feb 13, 2014 00:00:00",1.88,1.79
1.76,1081910.0,1.8,"Feb 14, 2014 00:00:00",1.81,1.76
1.8,287920.0,1.79,"Feb 17, 2014 00:00:00",1.8,1.79
1.79,116940.0,1.8,"Feb 18, 2014 00:00:00",1.8,1.79
1.79,998870.0,1.8,"Feb 19, 2014 00:00:00",1.8,1.65
1.82,19930.0,1.82,"Feb 20, 2014 00:00:00",1.82,1.8
1.85,922820.0,1.8,"Feb 21, 2014 00:00:00",1.85,1.8
1.85,228470.0,1.8,"Feb 24, 2014 00:00:00",1.88,1.8
1.85,44420.0,1.85,"Feb 25, 2014 00:00:00",1.87,1.85
1.85,14760.0,1.83,"Feb 26, 2014 00:00:00",1.85,1.83
1.83,14630.0,1.82,"Feb 27, 2014 00:00:00",1.83,1.82
1.82,275070.0,1.8,"Feb 28, 2014 00:00:00",1.85,1.8
1.81,1085820.0,1.81,"Mar 03, 2014 00:00:00",1.82,1.8
1.82,1820.0,1.82,"Mar 04, 2014 00:00:00",1.82,1.82
1.82,236350.0,1.81,"Mar 05, 2014 00:00:00",1.83,1.81
1.82,281960.0,1.9,"Mar 06, 2014 00:00:00",1.9,1.82
1.88,99570.0,1.87,"Mar 07, 2014 00:00:00",1.9,1.85
1.88,193270.0,1.86,"Mar 10, 2014 00:00:00",1.88,1.82
1.85,85450.0,1.82,"Mar 11, 2014 00:00:00",1.85,1.81
1.81,30870.0,1.82,"Mar 12, 2014 00:00:00",1.82,1.81
1.81,102320.0,1.84,"Mar 13, 2014 00:00:00",1.84,1.81
1.83,44250.0,1.85,"Mar 14, 2014 00:00:00",1.85,1.83
1.85,3680.0,1.83,"Mar 17, 2014 00:00:00",1.85,1.83
1.84,123680.0,1.81,"Mar 18, 2014 00:00:00",1.85,1.81
1.8,63170.0,1.8,"Mar 20, 2014 00:00:00",1.81,1.8
1.81,3640.0,1.83,"Mar 21, 2014 00:00:00",1.83,1.81
1.84,60220.0,1.8,"Mar 24, 2014 00:00:00",1.84,1.8
1.8,27000.0,1.8,"Mar 25, 2014 00:00:00",1.8,1.8
1.81,1180900.0,1.8,"Mar 26, 2014 00:00:00",1.81,1.8
1.79,8970.0,1.8,"Mar 27, 2014 00:00:00",1.8,1.78
1.8,3600.0,1.8,"Mar 28, 2014 00:00:00",1.8,1.8
1.8,63000.0,1.8,"Mar 31, 2014 00:00:00",1.8,1.8
1.77,45670.0,1.75,"Apr 02, 2014 00:00:00",1.77,1.75
1.7,66950.0,1.79,"Apr 03, 2014 00:00:00",1.8,1.68
1.79,30430.0,1.79,"Apr 04, 2014 00:00:00",1.79,1.79
1.79,28640.0,1.79,"Apr 07, 2014 00:00:00",1.79,1.79
1.77,421190.0,1.8,"Apr 08, 2014 00:00:00",1.82,1.7
1.82,159060.0,1.83,"Apr 10, 2014 00:00:00",1.83,1.82
1.83,653770.0,1.85,"Apr 11, 2014 00:00:00",1.86,1.83
1.84,648030.0,1.87,"Apr 14, 2014 00:00:00",1.87,1.84
1.87,54230.0,1.87,"Apr 15, 2014 00:00:00",1.87,1.87
1.81,72400.0,1.81,"Apr 16, 2014 00:00:00",1.81,1.81
1.81,270200.0,1.84,"Apr 21, 2014 00:00:00",1.87,1.81
1.87,14970.0,1.88,"Apr 22, 2014 00:00:00",1.88,1.87
1.88,368200.0,1.89,"Apr 23, 2014 00:00:00",1.95,1.88
1.85,27750.0,1.85,"Apr 24, 2014 00:00:00",1.85,1.85
1.86,13020.0,1.86,"Apr 25, 2014 00:00:00",1.86,1.86
1.86,108800.0,1.83,"Apr 28, 2014 00:00:00",1.86,1.83
1.95,81750.0,1.9,"Apr 29, 2014 00:00:00",1.95,1.9
1.92,1920.0,1.92,"Apr 30, 2014 00:00:00",1.92,1.92
1.92,152610.0,1.95,"May 02, 2014 00:00:00",1.95,1.92
1.95,58500.0,1.95,"May 05, 2014 00:00:00",1.95,1.95
1.95,861650.0,2.04,"May 06, 2014 00:00:00",2.04,1.9
2.04,16370.0,2.04,"May 07, 2014 00:00:00",2.05,2.04
2.0,28000.0,2.0,"May 08, 2014 00:00:00",2.0,2.0
1.95,362790.0,2.04,"May 09, 2014 00:00:00",2.1,1.95
2.04,714650.0,2.46,"May 12, 2014 00:00:00",2.6,2.04
2.4,296100.0,2.22,"May 13, 2014 00:00:00",2.4,2.2
2.23,330550.0,2.16,"May 14, 2014 00:00:00",2.28,2.0
2.18,35020.0,2.19,"May 15, 2014 00:00:00",2.19,2.18
1.96,12560.0,2.16,"May 16, 2014 00:00:00",2.16,1.96
2.1,2100.0,2.1,"May 20, 2014 00:00:00",2.1,2.1
2.01,76360.0,2.09,"May 21, 2014 00:00:00",2.11,2.0
2.01,86230.0,2.01,"May 22, 2014 00:00:00",2.04,2.0
2.0,26000.0,2.0,"May 23, 2014 00:00:00",2.0,2.0
2.0,7950.0,2.0,"May 26, 2014 00:00:00",2.0,1.95
2.06,180120.0,2.06,"May 27, 2014 00:00:00",2.08,2.06
2.06,207250.0,2.0,"May 28, 2014 00:00:00",2.08,2.0
2.0,22000.0,2.0,"May 29, 2014 00:00:00",2.0,2.0
2.03,60730.0,2.0,"May 30, 2014 00:00:00",2.03,1.95
1.97,41150.0,1.95,"Jun 02, 2014 00:00:00",1.97,1.95
1.95,150190.0,1.95,"Jun 03, 2014 00:00:00",1.95,1.88
1.95,1494200.0,1.95,"Jun 04, 2014 00:00:00",2.0,1.95
1.95,221500.0,2.0,"Jun 05, 2014 00:00:00",2.0,1.95
2.0,9800.0,1.95,"Jun 06, 2014 00:00:00",2.0,1.95
2.05,23600.0,1.95,"Jun 09, 2014 00:00:00",2.05,1.95
1.87,379430.0,2.0,"Jun 10, 2014 00:00:00",2.0,1.86
2.0,20000.0,2.0,"Jun 11, 2014 00:00:00",2.0,2.0
1.98,664840.0,2.0,"Jun 13, 2014 00:00:00",2.0,1.82
1.9,1900.0,1.9,"Jun 17, 2014 00:00:00",1.9,1.9
1.9,3800.0,1.9,"Jun 18, 2014 00:00:00",1.9,1.9
1.86,97000.0,2.0,"Jun 19, 2014 00:00:00",2.0,1.86
2.0,20000.0,2.0,"Jun 20, 2014 00:00:00",2.0,2.0
1.85,7430.0,1.87,"Jun 24, 2014 00:00:00",1.87,1.85
2.0,2000.0,2.0,"Jun 26, 2014 00:00:00",2.0,2.0
1.9,20990.0,1.99,"Jun 27, 2014 00:00:00",1.99,1.9
1.96,50990.0,1.97,"Jun 30, 2014 00:00:00",1.97,1.96
1.86,29990.0,1.88,"Jul 02, 2014 00:00:00",1.9,1.86
1.88,113150.0,1.98,"Jul 03, 2014 00:00:00",1.98,1.87
1.86,318380.0,1.85,"Jul 04, 2014 00:00:00",1.86,1.85
1.85,3700.0,1.85,"Jul 07, 2014 00:00:00",1.85,1.85
1.85,26050.0,1.9,"Jul 08, 2014 00:00:00",1.9,1.85
1.84,901800.0,1.81,"Jul 09, 2014 00:00:00",1.9,1.8
1.81,126990.0,1.83,"Jul 10, 2014 00:00:00",1.88,1.81
1.82,429480.0,1.81,"Jul 14, 2014 00:00:00",1.82,1.8
1.8,240480.0,1.88,"Jul 15, 2014 00:00:00",1.88,1.78
1.82,1495160.0,1.82,"Jul 17, 2014 00:00:00",1.82,1.79
1.82,2293140.0,1.88,"Jul 18, 2014 00:00:00",1.94,1.82
1.81,124900.0,1.82,"Jul 21, 2014 00:00:00",1.88,1.81
1.82,3640.0,1.82,"Jul 22, 2014 00:00:00",1.82,1.82
1.81,5430.0,1.81,"Jul 23, 2014 00:00:00",1.81,1.81
1.8,25240.0,1.81,"Jul 24, 2014 00:00:00",1.81,1.8
1.81,63610.0,1.82,"Jul 25, 2014 00:00:00",1.82,1.8
1.87,175250.0,1.8,"Jul 28, 2014 00:00:00",1.87,1.8
1.8,111600.0,1.8,"Jul 30, 2014 00:00:00",1.8,1.8
1.79,146950.0,1.8,"Jul 31, 2014 00:00:00",1.8,1.78
1.8,7200.0,1.8,"Aug 01, 2014 00:00:00",1.8,1.8
1.87,12840.0,1.81,"Aug 05, 2014 00:00:00",1.87,1.81
1.78,11030.0,1.85,"Aug 06, 2014 00:00:00",1.85,1.78
1.82,282600.0,1.8,"Aug 11, 2014 00:00:00",1.82,1.8
1.78,41380.0,1.8,"Aug 12, 2014 00:00:00",1.8,1.78
1.78,87820.0,1.8,"Aug 13, 2014 00:00:00",1.8,1.78
