OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
16.0,967948294.0,15.3,"May 29, 2017 00:00:00",16.12,15.2
15.32,264585766.0,15.56,"May 30, 2017 00:00:00",15.68,15.32
15.62,188089004.0,15.62,"May 31, 2017 00:00:00",15.74,15.46
15.7,308424068.0,15.98,"Jun 01, 2017 00:00:00",16.04,15.68
15.9,134245002.0,15.78,"Jun 02, 2017 00:00:00",16.02,15.7
15.9,134245002.0,15.78,"Jun 02, 2017 00:00:00",16.02,15.7
15.8,180978308.0,15.94,"Jun 05, 2017 00:00:00",16.18,15.78
16.0,124925072.0,15.96,"Jun 06, 2017 00:00:00",16.04,15.96
16.0,131546592.0,15.98,"Jun 07, 2017 00:00:00",16.0,15.78
15.96,68643750.0,15.9,"Jun 08, 2017 00:00:00",16.0,15.86
15.96,23813510.0,15.8,"Jun 09, 2017 00:00:00",15.96,15.8
15.8,80724518.0,15.58,"Jun 13, 2017 00:00:00",15.86,15.58
15.6,21345704.0,15.6,"Jun 14, 2017 00:00:00",15.66,15.58
15.68,57131730.0,15.66,"Jun 15, 2017 00:00:00",15.8,15.6
15.68,45161396.0,15.58,"Jun 16, 2017 00:00:00",15.7,15.52
15.6,49852392.0,15.56,"Jun 19, 2017 00:00:00",15.6,15.4
15.58,217799662.0,16.24,"Jun 20, 2017 00:00:00",16.24,15.56
16.22,217771668.0,16.1,"Jun 21, 2017 00:00:00",16.56,16.1
16.12,71350674.0,16.1,"Jun 22, 2017 00:00:00",16.4,16.04
16.1,25598364.0,16.08,"Jun 23, 2017 00:00:00",16.28,16.04
16.12,36663912.0,16.2,"Jun 27, 2017 00:00:00",16.2,16.08
16.12,120230270.0,16.3,"Jun 28, 2017 00:00:00",16.36,16.12
16.36,233318530.0,16.0,"Jun 29, 2017 00:00:00",16.6,16.0
16.02,116650982.0,15.8,"Jun 30, 2017 00:00:00",16.04,15.76
15.8,28449514.0,15.8,"Jul 03, 2017 00:00:00",15.94,15.8
15.9,52390574.0,15.9,"Jul 04, 2017 00:00:00",16.0,15.86
15.9,33512574.0,15.78,"Jul 05, 2017 00:00:00",15.9,15.76
15.8,29198744.0,15.84,"Jul 06, 2017 00:00:00",15.92,15.78
15.96,13100794.0,15.86,"Jul 07, 2017 00:00:00",15.96,15.84
15.92,22074832.0,15.8,"Jul 10, 2017 00:00:00",15.92,15.78
15.8,72880554.0,15.6,"Jul 11, 2017 00:00:00",15.8,15.58
15.6,42049280.0,15.6,"Jul 12, 2017 00:00:00",15.64,15.5
15.6,46377782.0,15.52,"Jul 13, 2017 00:00:00",15.6,15.52
15.6,34387600.0,15.54,"Jul 14, 2017 00:00:00",15.6,15.52
15.56,41438186.0,15.52,"Jul 17, 2017 00:00:00",15.56,15.5
15.5,56115868.0,15.4,"Jul 18, 2017 00:00:00",15.5,15.34
15.42,39413178.0,15.42,"Jul 19, 2017 00:00:00",15.6,15.4
15.48,57740360.0,15.58,"Jul 20, 2017 00:00:00",15.7,15.44
15.68,17663276.0,15.64,"Jul 21, 2017 00:00:00",15.7,15.58
15.66,25120160.0,15.6,"Jul 24, 2017 00:00:00",15.66,15.54
15.6,29644826.0,15.4,"Jul 25, 2017 00:00:00",15.66,15.4
15.4,88943208.0,15.42,"Jul 26, 2017 00:00:00",15.54,15.34
15.42,158207510.0,14.98,"Jul 27, 2017 00:00:00",15.44,14.76
14.98,72710068.0,14.92,"Jul 28, 2017 00:00:00",14.98,14.86
14.92,31714994.0,14.94,"Jul 31, 2017 00:00:00",14.98,14.86
14.96,20123258.0,14.88,"Aug 01, 2017 00:00:00",14.96,14.84
14.88,20745094.0,14.9,"Aug 02, 2017 00:00:00",14.9,14.86
14.94,18458230.0,14.94,"Aug 03, 2017 00:00:00",14.96,14.9
14.94,33546980.0,15.2,"Aug 04, 2017 00:00:00",15.22,14.94
15.22,13127662.0,15.2,"Aug 07, 2017 00:00:00",15.24,14.96
15.18,29957402.0,15.0,"Aug 08, 2017 00:00:00",15.18,14.96
15.0,33152240.0,15.02,"Aug 09, 2017 00:00:00",15.1,14.78
15.06,6252988.0,15.0,"Aug 10, 2017 00:00:00",15.08,14.98
