OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.2,22500.0,2.3,"Aug 18, 2009 00:00:00",2.3,2.2
2.32,34800.0,2.32,"Aug 26, 2009 00:00:00",2.32,2.32
2.24,6720.0,2.24,"Oct 19, 2009 00:00:00",2.24,2.24
2.24,56000.0,2.24,"Oct 20, 2009 00:00:00",2.24,2.24
2.4,102900.0,2.7,"Oct 26, 2009 00:00:00",3.0,2.4
2.2,42500.0,2.1,"Oct 29, 2009 00:00:00",2.2,2.1
2.26,15820.0,2.26,"Oct 30, 2009 00:00:00",2.26,2.26
2.38,4760.0,2.38,"Jun 09, 2010 00:00:00",2.38,2.38
2.38,2380.0,2.38,"Jun 11, 2010 00:00:00",2.38,2.38
2.04,28560.0,2.04,"Sep 30, 2010 00:00:00",2.04,2.04
2.12,2120.0,2.12,"Oct 01, 2010 00:00:00",2.12,2.12
1.78,1780.0,1.78,"Nov 10, 2010 00:00:00",1.78,1.78
1.72,1720.0,1.72,"Dec 22, 2010 00:00:00",1.72,1.72
1.8,3600.0,1.8,"Jan 11, 2011 00:00:00",1.8,1.8
1.8,3600.0,1.8,"Jan 11, 2011 00:00:00",1.8,1.8
1.7,25500.0,1.7,"Mar 16, 2011 00:00:00",1.7,1.7
1.7,42500.0,1.7,"Mar 17, 2011 00:00:00",1.7,1.7
1.7,15300.0,1.7,"May 04, 2011 00:00:00",1.7,1.7
1.76,19360.0,1.76,"Aug 16, 2011 00:00:00",1.76,1.76
1.45,2137000.0,2.1,"Sep 22, 2011 00:00:00",2.1,1.45
1.65,3490910.0,1.75,"Sep 23, 2011 00:00:00",1.75,1.65
1.62,1706760.0,1.62,"Sep 26, 2011 00:00:00",1.63,1.62
1.62,601540.0,1.6,"Oct 03, 2011 00:00:00",1.66,1.6
1.6,723240.0,1.62,"Oct 04, 2011 00:00:00",1.62,1.6
1.62,367780.0,1.64,"Oct 05, 2011 00:00:00",1.64,1.62
1.64,574000.0,1.64,"Oct 06, 2011 00:00:00",1.64,1.64
1.63,4890.0,1.63,"Oct 07, 2011 00:00:00",1.63,1.63
1.63,265660.0,1.64,"Oct 11, 2011 00:00:00",1.64,1.63
1.63,73350.0,1.63,"Oct 12, 2011 00:00:00",1.63,1.63
1.63,489000.0,1.63,"Oct 13, 2011 00:00:00",1.63,1.63
1.62,324000.0,1.62,"Oct 14, 2011 00:00:00",1.62,1.62
1.62,341820.0,1.62,"Oct 17, 2011 00:00:00",1.62,1.62
1.62,4860.0,1.62,"Oct 18, 2011 00:00:00",1.62,1.62
1.63,564160.0,1.66,"Oct 19, 2011 00:00:00",1.66,1.63
1.64,692080.0,1.64,"Oct 20, 2011 00:00:00",1.64,1.64
1.64,4920.0,1.64,"Oct 21, 2011 00:00:00",1.64,1.64
1.64,24600.0,1.64,"Oct 25, 2011 00:00:00",1.64,1.64
1.64,1640.0,1.64,"Nov 02, 2011 00:00:00",1.64,1.64
1.64,8200.0,1.64,"Nov 03, 2011 00:00:00",1.64,1.64
1.64,8200.0,1.64,"Nov 04, 2011 00:00:00",1.64,1.64
1.64,18040.0,1.64,"Nov 09, 2011 00:00:00",1.64,1.64
1.64,8200.0,1.64,"Nov 14, 2011 00:00:00",1.64,1.64
1.66,16800.0,1.7,"Nov 15, 2011 00:00:00",1.7,1.66
1.7,44250.0,1.8,"Nov 16, 2011 00:00:00",1.8,1.7
1.82,175460.0,2.7,"Nov 18, 2011 00:00:00",2.7,1.82
4.05,769500.0,4.05,"Nov 21, 2011 00:00:00",4.05,4.05
5.5,546750.0,4.1,"Nov 22, 2011 00:00:00",5.9,3.0
4.1,174100.0,3.6,"Nov 23, 2011 00:00:00",4.1,3.55
3.0,12000.0,3.0,"Nov 24, 2011 00:00:00",3.0,3.0
3.6,3600.0,3.6,"Nov 25, 2011 00:00:00",3.6,3.6
2.06,82790.0,1.9,"Nov 28, 2011 00:00:00",2.06,1.8
1.92,107880.0,1.88,"Nov 29, 2011 00:00:00",1.92,1.88
1.9,3800.0,1.9,"Dec 01, 2011 00:00:00",1.9,1.9
1.8,43200.0,1.8,"Dec 02, 2011 00:00:00",1.8,1.8
1.77,5290.0,1.76,"Dec 05, 2011 00:00:00",1.77,1.76
1.76,3520.0,1.76,"Dec 06, 2011 00:00:00",1.76,1.76
1.77,1770.0,1.77,"Dec 07, 2011 00:00:00",1.77,1.77
1.76,20660.0,2.0,"Dec 08, 2011 00:00:00",2.1,1.76
2.4,2400.0,2.4,"Dec 09, 2011 00:00:00",2.4,2.4
2.3,36360.0,2.76,"Dec 13, 2011 00:00:00",2.76,2.3
2.0,20000.0,2.0,"Jan 04, 2012 00:00:00",2.0,2.0
2.0,2000.0,2.0,"Jan 06, 2012 00:00:00",2.0,2.0
1.9,11400.0,1.9,"Jan 09, 2012 00:00:00",1.9,1.9
1.8,5500.0,1.9,"Jan 10, 2012 00:00:00",1.9,1.8
2.0,2000.0,2.0,"Jan 24, 2012 00:00:00",2.0,2.0
2.08,2080.0,2.08,"Jan 26, 2012 00:00:00",2.08,2.08
2.08,61580.0,2.25,"Jan 30, 2012 00:00:00",2.25,2.08
2.25,27000.0,2.25,"Jan 31, 2012 00:00:00",2.25,2.25
2.25,36000.0,2.25,"Feb 01, 2012 00:00:00",2.25,2.25
2.3,13800.0,2.3,"Feb 03, 2012 00:00:00",2.3,2.3
2.4,2400.0,2.4,"Feb 10, 2012 00:00:00",2.4,2.4
2.09,36100.0,2.0,"Feb 14, 2012 00:00:00",2.09,2.0
2.0,8000.0,2.0,"Feb 20, 2012 00:00:00",2.0,2.0
2.01,60110.0,2.0,"Feb 22, 2012 00:00:00",2.01,2.0
2.01,24020.0,2.0,"Feb 24, 2012 00:00:00",2.01,2.0
2.01,20010.0,2.0,"Mar 15, 2012 00:00:00",2.01,2.0
2.4,115640.0,2.6,"Mar 22, 2012 00:00:00",3.0,2.4
