OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.32,5173760.0,2.24,"Aug 03, 2009 00:00:00",2.32,2.22
2.24,12658600.0,2.3,"Aug 04, 2009 00:00:00",2.36,2.24
2.36,1388580.0,2.28,"Aug 06, 2009 00:00:00",2.36,2.28
2.26,1598240.0,2.24,"Aug 07, 2009 00:00:00",2.26,2.24
2.26,2580900.0,2.28,"Aug 10, 2009 00:00:00",2.3,2.26
2.32,2569220.0,2.3,"Aug 11, 2009 00:00:00",2.32,2.3
2.3,2619260.0,2.28,"Aug 12, 2009 00:00:00",2.3,2.28
2.32,5476720.0,2.3,"Aug 13, 2009 00:00:00",2.32,2.3
2.32,1189100.0,2.3,"Aug 14, 2009 00:00:00",2.32,2.3
2.3,3310860.0,2.22,"Aug 17, 2009 00:00:00",2.3,2.2
2.1,6309400.0,2.18,"Aug 18, 2009 00:00:00",2.18,2.1
2.2,2819760.0,2.24,"Aug 19, 2009 00:00:00",2.24,2.2
2.24,1112500.0,2.22,"Aug 20, 2009 00:00:00",2.26,2.22
2.26,5569020.0,2.3,"Aug 24, 2009 00:00:00",2.32,2.26
2.32,2148960.0,2.3,"Aug 25, 2009 00:00:00",2.32,2.3
2.3,15680620.0,2.38,"Aug 26, 2009 00:00:00",2.42,2.28
2.36,4433320.0,2.34,"Sep 03, 2009 00:00:00",2.36,2.32
2.38,5081720.0,2.36,"Sep 04, 2009 00:00:00",2.38,2.34
2.46,4770980.0,2.38,"Sep 16, 2009 00:00:00",2.46,2.38
2.48,1627640.0,2.44,"Sep 17, 2009 00:00:00",2.48,2.44
2.44,4505360.0,2.5,"Sep 18, 2009 00:00:00",2.5,2.42
2.48,1611100.0,2.46,"Sep 22, 2009 00:00:00",2.5,2.46
2.46,871300.0,2.46,"Sep 23, 2009 00:00:00",2.48,2.44
2.38,4360680.0,2.32,"Sep 30, 2009 00:00:00",2.38,2.32
2.32,1087500.0,2.34,"Oct 01, 2009 00:00:00",2.34,2.32
2.3,4641480.0,2.28,"Oct 02, 2009 00:00:00",2.3,2.26
2.28,3728620.0,2.3,"Oct 05, 2009 00:00:00",2.3,2.28
2.32,1413740.0,2.36,"Oct 06, 2009 00:00:00",2.36,2.3
2.38,4419900.0,2.42,"Oct 07, 2009 00:00:00",2.42,2.38
2.4,16913060.0,2.5,"Oct 08, 2009 00:00:00",2.5,2.4
2.5,3030880.0,2.46,"Oct 09, 2009 00:00:00",2.5,2.46
2.44,1327100.0,2.42,"Oct 12, 2009 00:00:00",2.44,2.42
2.42,4384500.0,2.4,"Oct 13, 2009 00:00:00",2.44,2.4
2.4,976900.0,2.4,"Oct 14, 2009 00:00:00",2.42,2.4
2.42,7025740.0,2.48,"Oct 15, 2009 00:00:00",2.48,2.42
2.48,1540080.0,2.48,"Oct 16, 2009 00:00:00",2.48,2.48
2.48,1044080.0,2.48,"Oct 19, 2009 00:00:00",2.48,2.48
2.48,1631140.0,2.44,"Oct 20, 2009 00:00:00",2.48,2.44
