OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
125.0,2281990.0,123.0,"Mar 08, 2010 00:00:00",130.0,121.0
111.0,97270.0,108.0,"Mar 12, 2010 00:00:00",111.0,108.0
109.0,171120.0,106.0,"Mar 15, 2010 00:00:00",113.0,104.0
102.0,83610.0,105.0,"Mar 16, 2010 00:00:00",109.0,102.0
108.0,302900.0,104.0,"Mar 17, 2010 00:00:00",110.0,100.0
88.0,97500.0,90.5,"Mar 31, 2010 00:00:00",91.5,86.0
62.0,704700.0,56.0,"Apr 20, 2010 00:00:00",63.0,56.0
56.0,536800.0,56.5,"Apr 21, 2010 00:00:00",59.0,56.0
56.0,482900.0,56.0,"Apr 22, 2010 00:00:00",56.5,56.0
59.0,17500.0,58.0,"Apr 23, 2010 00:00:00",59.0,58.0
45.0,909700.0,41.5,"Apr 29, 2010 00:00:00",45.0,41.0
41.0,102400.0,51.0,"Apr 30, 2010 00:00:00",51.0,41.0
43.0,24421000.0,50.0,"May 05, 2010 00:00:00",51.0,40.0
49.5,513850.0,48.0,"May 13, 2010 00:00:00",49.5,48.0
48.0,96000.0,48.0,"May 14, 2010 00:00:00",48.0,48.0
48.0,28600.0,46.0,"May 19, 2010 00:00:00",48.0,46.0
46.0,46000.0,46.0,"May 20, 2010 00:00:00",46.0,46.0
45.0,183400.0,44.0,"May 21, 2010 00:00:00",45.0,44.0
44.0,17600.0,44.0,"May 24, 2010 00:00:00",44.0,44.0
41.5,83150.0,41.5,"May 26, 2010 00:00:00",42.0,41.5
41.5,69700.0,45.0,"May 31, 2010 00:00:00",46.0,41.5
41.5,29850.0,46.0,"Jun 02, 2010 00:00:00",46.0,41.5
42.0,33600.0,42.0,"Jun 03, 2010 00:00:00",42.0,42.0
42.0,108900.0,41.5,"Jun 04, 2010 00:00:00",42.0,41.5
41.0,110700.0,41.0,"Jun 07, 2010 00:00:00",41.0,41.0
41.0,74400.0,41.5,"Jun 09, 2010 00:00:00",41.5,41.0
42.0,52050.0,43.5,"Jun 11, 2010 00:00:00",43.5,42.0
43.5,8700.0,43.5,"Jun 15, 2010 00:00:00",43.5,43.5
41.0,54400.0,44.0,"Jun 23, 2010 00:00:00",44.0,41.0
41.5,102750.0,40.5,"Jul 02, 2010 00:00:00",41.5,40.5
45.0,301400.0,43.5,"Jul 06, 2010 00:00:00",51.0,43.5
46.5,23250.0,46.5,"Jul 08, 2010 00:00:00",46.5,46.5
47.0,23500.0,47.0,"Jul 09, 2010 00:00:00",47.0,47.0
47.0,168950.0,49.0,"Jul 13, 2010 00:00:00",51.0,47.0
52.0,10400.0,52.0,"Jul 14, 2010 00:00:00",52.0,52.0
47.0,336250.0,52.0,"Jul 19, 2010 00:00:00",52.0,45.0
52.0,135200.0,52.0,"Jul 20, 2010 00:00:00",52.0,52.0
52.0,182000.0,52.0,"Jul 21, 2010 00:00:00",52.0,52.0
52.0,119600.0,52.0,"Jul 22, 2010 00:00:00",52.0,52.0
52.0,78000.0,52.0,"Jul 23, 2010 00:00:00",52.0,52.0
84.6,15046.0,70.0,"Sep 21, 2010 00:00:00",84.6,70.0
61.05,31115.0,59.0,"Sep 22, 2010 00:00:00",61.05,59.0
70.0,42700.0,70.0,"Sep 23, 2010 00:00:00",70.0,70.0
74.5,15785.0,84.0,"Sep 24, 2010 00:00:00",84.0,74.5
68.0,5650.0,77.0,"Sep 27, 2010 00:00:00",79.0,68.0
77.0,3850.0,77.0,"Sep 28, 2010 00:00:00",77.0,77.0
83.95,839.5,83.95,"Sep 30, 2010 00:00:00",83.95,83.95
83.9,1175638.0,84.0,"Oct 01, 2010 00:00:00",84.0,83.9
