OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.48,4556000.0,0.48,"Aug 03, 2009 00:00:00",0.49,0.45
0.48,3739600.0,0.48,"Aug 04, 2009 00:00:00",0.48,0.46
0.47,2200900.0,0.46,"Aug 06, 2009 00:00:00",0.47,0.45
0.46,3362100.0,0.45,"Aug 07, 2009 00:00:00",0.47,0.45
0.46,902700.0,0.46,"Aug 10, 2009 00:00:00",0.47,0.45
0.46,892400.0,0.46,"Aug 11, 2009 00:00:00",0.46,0.46
0.45,3837500.0,0.45,"Aug 12, 2009 00:00:00",0.46,0.44
0.46,1738200.0,0.45,"Aug 13, 2009 00:00:00",0.46,0.45
0.45,499500.0,0.45,"Aug 14, 2009 00:00:00",0.45,0.45
0.44,1072600.0,0.43,"Aug 17, 2009 00:00:00",0.44,0.42
0.42,725100.0,0.44,"Aug 18, 2009 00:00:00",0.44,0.42
0.45,697500.0,0.45,"Aug 19, 2009 00:00:00",0.45,0.45
0.45,2470500.0,0.45,"Aug 20, 2009 00:00:00",0.45,0.45
0.46,2907200.0,0.46,"Aug 24, 2009 00:00:00",0.46,0.46
0.46,16261500.0,0.49,"Aug 25, 2009 00:00:00",0.52,0.46
0.51,5546900.0,0.5,"Aug 26, 2009 00:00:00",0.52,0.49
0.47,1393800.0,0.48,"Sep 03, 2009 00:00:00",0.48,0.47
0.48,4844600.0,0.48,"Sep 04, 2009 00:00:00",0.48,0.47
0.46,1520500.0,0.48,"Sep 16, 2009 00:00:00",0.48,0.46
0.48,1508300.0,0.48,"Sep 17, 2009 00:00:00",0.49,0.48
0.47,1136400.0,0.48,"Sep 18, 2009 00:00:00",0.48,0.47
0.48,240000.0,0.48,"Sep 22, 2009 00:00:00",0.48,0.48
0.49,581100.0,0.48,"Sep 23, 2009 00:00:00",0.49,0.48
0.46,23000.0,0.46,"Sep 30, 2009 00:00:00",0.46,0.46
0.46,46000.0,0.46,"Oct 01, 2009 00:00:00",0.46,0.46
0.46,1764800.0,0.47,"Oct 02, 2009 00:00:00",0.47,0.46
0.46,376600.0,0.46,"Oct 05, 2009 00:00:00",0.47,0.46
0.46,1235800.0,0.47,"Oct 06, 2009 00:00:00",0.47,0.46
0.48,2587200.0,0.48,"Oct 07, 2009 00:00:00",0.48,0.48
0.49,1391600.0,0.49,"Oct 08, 2009 00:00:00",0.49,0.49
0.48,1075200.0,0.48,"Oct 09, 2009 00:00:00",0.48,0.48
0.48,960000.0,0.48,"Oct 12, 2009 00:00:00",0.48,0.48
0.48,707500.0,0.47,"Oct 13, 2009 00:00:00",0.48,0.47
0.47,1437900.0,0.47,"Oct 14, 2009 00:00:00",0.48,0.47
0.48,974400.0,0.48,"Oct 15, 2009 00:00:00",0.48,0.48
0.48,417600.0,0.48,"Oct 16, 2009 00:00:00",0.48,0.48
0.48,1030800.0,0.46,"Oct 19, 2009 00:00:00",0.48,0.46
0.46,2783000.0,0.46,"Oct 20, 2009 00:00:00",0.46,0.46
0.46,875000.0,0.46,"Oct 21, 2009 00:00:00",0.47,0.46
0.46,5588000.0,0.45,"Oct 22, 2009 00:00:00",0.46,0.45
0.46,1894500.0,0.45,"Oct 23, 2009 00:00:00",0.47,0.45
0.46,1621300.0,0.46,"Oct 26, 2009 00:00:00",0.47,0.46
0.46,281200.0,0.45,"Oct 27, 2009 00:00:00",0.46,0.45
0.44,1035400.0,0.44,"Oct 28, 2009 00:00:00",0.46,0.44
0.44,352000.0,0.44,"Oct 29, 2009 00:00:00",0.44,0.44
0.45,162000.0,0.45,"Oct 30, 2009 00:00:00",0.45,0.45
0.45,504000.0,0.45,"Nov 03, 2009 00:00:00",0.45,0.45
0.44,112300.0,0.45,"Nov 04, 2009 00:00:00",0.45,0.44
0.45,378000.0,0.45,"Nov 06, 2009 00:00:00",0.45,0.45
0.45,742500.0,0.45,"Nov 09, 2009 00:00:00",0.45,0.45
0.45,534000.0,0.45,"Nov 10, 2009 00:00:00",0.46,0.45
0.45,1364800.0,0.46,"Nov 11, 2009 00:00:00",0.46,0.44
0.42,696800.0,0.42,"Dec 15, 2009 00:00:00",0.42,0.41
0.43,43000.0,0.43,"Dec 16, 2009 00:00:00",0.43,0.43
0.42,95300.0,0.41,"Dec 18, 2009 00:00:00",0.42,0.41
0.42,309200.0,0.43,"Dec 21, 2009 00:00:00",0.43,0.42
0.42,667800.0,0.42,"Dec 22, 2009 00:00:00",0.42,0.42
0.42,4200.0,0.42,"Dec 23, 2009 00:00:00",0.42,0.42
0.43,21500.0,0.43,"Dec 29, 2009 00:00:00",0.43,0.43
0.4,159700.0,0.41,"Jan 04, 2010 00:00:00",0.41,0.4
0.43,172000.0,0.43,"Jan 05, 2010 00:00:00",0.43,0.43
0.42,159600.0,0.42,"Jan 06, 2010 00:00:00",0.42,0.42
0.42,403200.0,0.42,"Jan 07, 2010 00:00:00",0.42,0.42
0.43,604100.0,0.42,"Jan 08, 2010 00:00:00",0.43,0.42
0.41,721600.0,0.41,"Jan 11, 2010 00:00:00",0.41,0.41
0.42,478800.0,0.42,"Jan 12, 2010 00:00:00",0.42,0.42
0.42,483000.0,0.42,"Jan 13, 2010 00:00:00",0.42,0.42
0.41,1340700.0,0.41,"Jan 14, 2010 00:00:00",0.41,0.41
0.41,184500.0,0.41,"Jan 15, 2010 00:00:00",0.41,0.41
0.41,754500.0,0.42,"Jan 18, 2010 00:00:00",0.42,0.41
0.41,1996200.0,0.42,"Jan 19, 2010 00:00:00",0.42,0.41
0.41,410000.0,0.41,"Jan 20, 2010 00:00:00",0.41,0.41
0.41,649000.0,0.4,"Jan 21, 2010 00:00:00",0.41,0.4
0.4,3245000.0,0.4,"Jan 22, 2010 00:00:00",0.4,0.39
0.39,717600.0,0.39,"Jan 25, 2010 00:00:00",0.39,0.39
0.39,39000.0,0.39,"Jan 26, 2010 00:00:00",0.39,0.39
0.38,405300.0,0.37,"Jan 27, 2010 00:00:00",0.38,0.37
0.37,244200.0,0.37,"Jan 28, 2010 00:00:00",0.37,0.37
0.37,659200.0,0.38,"Jan 29, 2010 00:00:00",0.38,0.37
0.38,190000.0,0.38,"Feb 01, 2010 00:00:00",0.38,0.38
0.38,778000.0,0.37,"Feb 02, 2010 00:00:00",0.38,0.37
0.37,825600.0,0.37,"Feb 03, 2010 00:00:00",0.38,0.37
0.37,834800.0,0.38,"Feb 04, 2010 00:00:00",0.38,0.37
0.37,237200.0,0.36,"Feb 08, 2010 00:00:00",0.37,0.36
0.37,29100.0,0.36,"Feb 09, 2010 00:00:00",0.37,0.36
0.36,1114900.0,0.36,"Feb 10, 2010 00:00:00",0.37,0.36
0.36,326300.0,0.37,"Feb 11, 2010 00:00:00",0.37,0.36
0.4,444000.0,0.4,"Mar 08, 2010 00:00:00",0.4,0.4
0.41,303400.0,0.41,"Mar 12, 2010 00:00:00",0.41,0.41
0.41,824100.0,0.41,"Mar 15, 2010 00:00:00",0.41,0.41
0.41,229600.0,0.41,"Mar 16, 2010 00:00:00",0.41,0.41
0.41,988100.0,0.41,"Mar 17, 2010 00:00:00",0.41,0.41
0.41,463300.0,0.41,"Mar 31, 2010 00:00:00",0.41,0.41
0.43,743900.0,0.43,"Apr 20, 2010 00:00:00",0.43,0.43
0.43,958900.0,0.43,"Apr 21, 2010 00:00:00",0.43,0.43
0.44,220000.0,0.44,"Apr 22, 2010 00:00:00",0.44,0.44
0.44,305800.0,0.43,"Apr 23, 2010 00:00:00",0.44,0.43
0.42,735500.0,0.42,"Apr 29, 2010 00:00:00",0.43,0.42
0.42,327600.0,0.42,"Apr 30, 2010 00:00:00",0.42,0.42
0.42,676200.0,0.42,"May 04, 2010 00:00:00",0.42,0.42
0.42,541800.0,0.42,"May 05, 2010 00:00:00",0.42,0.42
0.42,424200.0,0.42,"May 13, 2010 00:00:00",0.42,0.42
0.42,420000.0,0.42,"May 14, 2010 00:00:00",0.42,0.42
0.42,464000.0,0.42,"May 17, 2010 00:00:00",0.43,0.42
0.42,309600.0,0.43,"May 18, 2010 00:00:00",0.43,0.42
0.42,256200.0,0.42,"May 19, 2010 00:00:00",0.42,0.42
0.42,8400.0,0.42,"May 20, 2010 00:00:00",0.42,0.42
0.42,937800.0,0.41,"May 21, 2010 00:00:00",0.42,0.41
0.4,57100.0,0.41,"May 24, 2010 00:00:00",0.41,0.4
0.41,82000.0,0.41,"May 25, 2010 00:00:00",0.41,0.41
0.41,69700.0,0.41,"May 26, 2010 00:00:00",0.41,0.41
0.41,82000.0,0.41,"May 27, 2010 00:00:00",0.41,0.41
0.41,86100.0,0.41,"May 28, 2010 00:00:00",0.41,0.41
0.4,277000.0,0.41,"May 31, 2010 00:00:00",0.41,0.4
0.4,40000.0,0.4,"Jun 01, 2010 00:00:00",0.4,0.4
0.4,730500.0,0.39,"Jun 02, 2010 00:00:00",0.4,0.39
0.41,12100.0,0.4,"Jun 04, 2010 00:00:00",0.41,0.4
0.4,44000.0,0.4,"Jun 08, 2010 00:00:00",0.4,0.4
0.4,209700.0,0.39,"Jun 09, 2010 00:00:00",0.4,0.39
0.38,562700.0,0.42,"Jun 11, 2010 00:00:00",0.42,0.38
0.41,151500.0,0.41,"Jun 15, 2010 00:00:00",0.41,0.4
0.41,852400.0,0.43,"Jun 16, 2010 00:00:00",0.43,0.41
0.45,993200.0,0.44,"Jun 21, 2010 00:00:00",0.45,0.43
0.44,418000.0,0.44,"Jun 22, 2010 00:00:00",0.44,0.44
0.45,242100.0,0.44,"Jun 23, 2010 00:00:00",0.45,0.44
0.43,430000.0,0.43,"Jun 24, 2010 00:00:00",0.43,0.43
0.43,155000.0,0.44,"Jun 25, 2010 00:00:00",0.44,0.43
0.44,88000.0,0.44,"Jun 28, 2010 00:00:00",0.44,0.44
0.44,158400.0,0.44,"Jun 29, 2010 00:00:00",0.44,0.44
0.43,456000.0,0.43,"Jul 02, 2010 00:00:00",0.44,0.43
0.44,26200.0,0.43,"Jul 06, 2010 00:00:00",0.44,0.43
0.44,1714300.0,0.45,"Jul 07, 2010 00:00:00",0.45,0.44
0.45,626500.0,0.44,"Jul 08, 2010 00:00:00",0.45,0.44
0.45,457400.0,0.44,"Jul 09, 2010 00:00:00",0.45,0.43
