OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.28,2587800.0,2.32,"Aug 03, 2009 00:00:00",2.4,2.28
2.34,655980.0,2.3,"Aug 04, 2009 00:00:00",2.4,2.3
2.32,778500.0,2.24,"Aug 06, 2009 00:00:00",2.32,2.24
2.24,268640.0,2.18,"Aug 07, 2009 00:00:00",2.24,2.18
2.2,937400.0,2.3,"Aug 10, 2009 00:00:00",2.3,2.2
2.24,790900.0,2.2,"Aug 11, 2009 00:00:00",2.24,2.2
2.2,204600.0,2.2,"Aug 12, 2009 00:00:00",2.2,2.2
2.2,862260.0,2.2,"Aug 13, 2009 00:00:00",2.28,2.2
2.2,1168540.0,2.18,"Aug 14, 2009 00:00:00",2.2,2.18
2.16,1450500.0,2.1,"Aug 17, 2009 00:00:00",2.16,2.1
2.06,177620.0,2.1,"Aug 18, 2009 00:00:00",2.1,2.04
2.12,135080.0,2.2,"Aug 19, 2009 00:00:00",2.2,2.12
2.12,616920.0,2.12,"Aug 20, 2009 00:00:00",2.12,2.12
2.2,936380.0,2.24,"Aug 24, 2009 00:00:00",2.24,2.16
2.24,2095760.0,2.3,"Aug 25, 2009 00:00:00",2.3,2.18
2.28,7256960.0,2.3,"Aug 26, 2009 00:00:00",2.38,2.28
2.18,132000.0,2.16,"Sep 03, 2009 00:00:00",2.18,2.16
2.2,252200.0,2.18,"Sep 04, 2009 00:00:00",2.28,2.18
2.2,1444800.0,2.26,"Sep 16, 2009 00:00:00",2.26,2.18
2.2,994400.0,2.2,"Sep 17, 2009 00:00:00",2.2,2.2
2.18,8720.0,2.18,"Sep 18, 2009 00:00:00",2.18,2.18
2.16,1242880.0,2.16,"Sep 22, 2009 00:00:00",2.16,2.12
2.14,1964480.0,2.14,"Sep 23, 2009 00:00:00",2.16,2.12
2.1,253100.0,2.1,"Sep 30, 2009 00:00:00",2.1,2.08
2.1,109200.0,2.1,"Oct 01, 2009 00:00:00",2.1,2.1
2.1,489300.0,2.1,"Oct 02, 2009 00:00:00",2.1,2.1
2.08,998400.0,2.08,"Oct 05, 2009 00:00:00",2.08,2.08
2.08,448400.0,2.1,"Oct 06, 2009 00:00:00",2.1,2.08
2.08,262700.0,2.16,"Oct 07, 2009 00:00:00",2.18,2.08
2.14,269540.0,2.18,"Oct 08, 2009 00:00:00",2.18,2.14
2.18,735020.0,2.18,"Oct 09, 2009 00:00:00",2.2,2.18
2.18,392700.0,2.2,"Oct 12, 2009 00:00:00",2.2,2.14
2.18,143540.0,2.14,"Oct 13, 2009 00:00:00",2.2,2.14
2.1,86100.0,2.1,"Oct 15, 2009 00:00:00",2.1,2.1
2.1,323400.0,2.1,"Oct 16, 2009 00:00:00",2.1,2.1
2.1,77700.0,2.1,"Oct 20, 2009 00:00:00",2.1,2.1
2.1,319000.0,2.1,"Oct 21, 2009 00:00:00",2.1,2.08
2.08,189280.0,2.08,"Oct 22, 2009 00:00:00",2.08,2.08
2.1,147900.0,2.22,"Oct 23, 2009 00:00:00",2.22,2.1
2.14,4280.0,2.14,"Oct 27, 2009 00:00:00",2.14,2.14
2.1,52300.0,2.08,"Oct 28, 2009 00:00:00",2.1,2.08
2.06,103000.0,2.06,"Oct 29, 2009 00:00:00",2.06,2.06
2.16,43200.0,2.16,"Oct 30, 2009 00:00:00",2.16,2.16
2.1,27300.0,2.1,"Nov 04, 2009 00:00:00",2.1,2.1
2.06,4120.0,2.06,"Nov 05, 2009 00:00:00",2.06,2.06
2.06,154780.0,2.1,"Nov 06, 2009 00:00:00",2.1,2.06
2.1,46220.0,2.12,"Nov 10, 2009 00:00:00",2.12,2.1
2.08,250600.0,2.1,"Nov 11, 2009 00:00:00",2.1,2.08
2.02,60600.0,2.02,"Dec 15, 2009 00:00:00",2.02,2.02
2.02,441000.0,2.0,"Dec 16, 2009 00:00:00",2.02,2.0
2.0,214000.0,2.0,"Dec 17, 2009 00:00:00",2.0,2.0
2.0,48608000.0,2.0,"Dec 21, 2009 00:00:00",2.0,2.0
2.0,1115960.0,2.0,"Dec 23, 2009 00:00:00",2.0,1.98
2.08,12480.0,2.08,"Dec 29, 2009 00:00:00",2.08,2.08
2.0,990020.0,2.0,"Jan 04, 2010 00:00:00",2.02,2.0
2.0,284080.0,2.0,"Jan 05, 2010 00:00:00",2.04,2.0
2.06,62200.0,2.08,"Jan 06, 2010 00:00:00",2.08,2.06
2.08,2542900.0,2.0,"Jan 07, 2010 00:00:00",2.14,2.0
2.06,41560.0,2.08,"Jan 08, 2010 00:00:00",2.08,2.06
2.0,40000.0,2.0,"Jan 11, 2010 00:00:00",2.0,2.0
2.08,54020.0,2.02,"Jan 12, 2010 00:00:00",2.08,2.02
2.02,1355940.0,2.0,"Jan 13, 2010 00:00:00",2.02,2.0
2.0,1050000.0,2.02,"Jan 14, 2010 00:00:00",2.02,2.0
2.02,1034240.0,2.02,"Jan 15, 2010 00:00:00",2.02,2.02
2.02,1010040.0,2.0,"Jan 18, 2010 00:00:00",2.02,2.0
2.0,404040.0,1.98,"Jan 19, 2010 00:00:00",2.0,1.98
2.0,20000.0,2.0,"Jan 20, 2010 00:00:00",2.0,2.0
2.0,70000.0,2.0,"Jan 21, 2010 00:00:00",2.0,2.0
2.08,20800.0,2.08,"Jan 22, 2010 00:00:00",2.08,2.08
2.02,382000.0,2.0,"Jan 26, 2010 00:00:00",2.02,2.0
1.98,650260.0,1.88,"Jan 27, 2010 00:00:00",1.98,1.88
1.88,80840.0,1.88,"Jan 28, 2010 00:00:00",1.88,1.88
1.88,362800.0,1.86,"Jan 29, 2010 00:00:00",1.88,1.86
1.82,91000.0,1.82,"Feb 01, 2010 00:00:00",1.82,1.82
1.84,148140.0,1.82,"Feb 02, 2010 00:00:00",1.84,1.82
1.82,41860.0,1.82,"Feb 03, 2010 00:00:00",1.82,1.82
1.8,522000.0,1.8,"Feb 04, 2010 00:00:00",1.8,1.8
1.8,232200.0,1.8,"Feb 09, 2010 00:00:00",1.8,1.8
1.76,661920.0,1.82,"Feb 10, 2010 00:00:00",1.84,1.76
1.8,1171800.0,1.8,"Feb 11, 2010 00:00:00",1.8,1.8
2.0,376760.0,1.96,"Mar 08, 2010 00:00:00",2.0,1.96
1.9,7600.0,1.9,"Mar 12, 2010 00:00:00",1.9,1.9
1.96,58800.0,1.96,"Mar 15, 2010 00:00:00",1.96,1.96
1.94,9700.0,1.94,"Mar 16, 2010 00:00:00",1.94,1.94
1.94,65840.0,1.92,"Mar 17, 2010 00:00:00",1.94,1.92
2.02,298960.0,2.02,"Apr 20, 2010 00:00:00",2.02,2.02
2.02,652400.0,2.06,"Apr 21, 2010 00:00:00",2.08,2.02
2.06,41200.0,2.06,"Apr 22, 2010 00:00:00",2.06,2.06
2.04,234600.0,2.04,"Apr 23, 2010 00:00:00",2.04,2.04
2.14,85600.0,2.14,"Apr 29, 2010 00:00:00",2.14,2.14
2.1,4200.0,2.1,"May 05, 2010 00:00:00",2.1,2.1
2.18,1973400.0,2.16,"May 13, 2010 00:00:00",2.18,2.14
2.18,518560.0,2.16,"May 14, 2010 00:00:00",2.18,2.16
2.1,52500.0,2.1,"May 17, 2010 00:00:00",2.1,2.1
2.1,12600.0,2.1,"May 18, 2010 00:00:00",2.1,2.1
2.12,439400.0,2.12,"May 20, 2010 00:00:00",2.16,2.12
2.1,84400.0,2.12,"May 21, 2010 00:00:00",2.12,2.1
2.1,109180.0,2.1,"May 24, 2010 00:00:00",2.1,2.08
2.06,47380.0,2.06,"May 25, 2010 00:00:00",2.06,2.06
2.1,20800.0,2.06,"May 26, 2010 00:00:00",2.1,2.06
2.1,46200.0,2.1,"May 27, 2010 00:00:00",2.1,2.1
2.1,516680.0,2.1,"May 28, 2010 00:00:00",2.12,2.1
2.1,191100.0,2.1,"May 31, 2010 00:00:00",2.1,2.1
2.1,29400.0,2.1,"Jun 01, 2010 00:00:00",2.1,2.1
2.1,259080.0,2.08,"Jun 02, 2010 00:00:00",2.1,2.08
2.1,390340.0,2.14,"Jun 03, 2010 00:00:00",2.14,2.1
2.14,393760.0,2.14,"Jun 04, 2010 00:00:00",2.14,2.14
2.04,2040.0,2.04,"Jun 07, 2010 00:00:00",2.04,2.04
2.14,1312200.0,2.08,"Jun 08, 2010 00:00:00",2.14,2.08
2.1,866600.0,2.12,"Jun 09, 2010 00:00:00",2.12,2.1
2.08,2041160.0,2.28,"Jun 10, 2010 00:00:00",2.32,2.08
2.3,32682380.0,2.85,"Jun 11, 2010 00:00:00",2.9,2.3
2.75,9615000.0,2.7,"Jun 15, 2010 00:00:00",2.95,2.65
2.75,3086200.0,2.85,"Jun 16, 2010 00:00:00",2.85,2.7
3.2,9577350.0,3.4,"Jun 21, 2010 00:00:00",3.5,3.2
3.45,4219350.0,3.4,"Jun 22, 2010 00:00:00",3.5,3.3
3.35,3765400.0,3.4,"Jun 23, 2010 00:00:00",3.45,3.35
3.5,16317250.0,3.7,"Jun 24, 2010 00:00:00",3.85,3.45
3.7,6361850.0,3.65,"Jun 25, 2010 00:00:00",3.95,3.65
3.75,1143600.0,3.6,"Jun 28, 2010 00:00:00",3.75,3.6
3.6,3599200.0,3.6,"Jun 29, 2010 00:00:00",3.6,3.45
3.5,1292500.0,3.5,"Jul 01, 2010 00:00:00",3.55,3.45
3.5,396000.0,3.4,"Jul 02, 2010 00:00:00",3.5,3.35
3.5,2782450.0,3.4,"Jul 06, 2010 00:00:00",3.55,3.4
3.4,2146300.0,3.55,"Jul 07, 2010 00:00:00",3.6,3.35
3.6,1218600.0,3.55,"Jul 08, 2010 00:00:00",3.65,3.5
3.4,1839200.0,3.5,"Jul 09, 2010 00:00:00",3.55,3.4
3.5,6093550.0,3.65,"Jul 13, 2010 00:00:00",3.7,3.45
3.65,1313900.0,3.65,"Jul 14, 2010 00:00:00",3.75,3.65
3.7,1188300.0,3.6,"Jul 15, 2010 00:00:00",3.7,3.55
3.55,1602050.0,3.55,"Jul 16, 2010 00:00:00",3.6,3.5
3.45,1932600.0,3.45,"Jul 19, 2010 00:00:00",3.45,3.4
3.5,2014600.0,3.4,"Jul 20, 2010 00:00:00",3.5,3.35
3.45,599500.0,3.4,"Jul 21, 2010 00:00:00",3.5,3.4
3.4,588750.0,3.35,"Jul 22, 2010 00:00:00",3.4,3.35
3.4,2105600.0,3.25,"Jul 23, 2010 00:00:00",3.4,3.2
4.07,748240.0,4.13,"Sep 20, 2010 00:00:00",4.25,4.07
4.25,7174630.0,4.15,"Sep 21, 2010 00:00:00",4.28,4.14
4.19,2248750.0,4.16,"Sep 22, 2010 00:00:00",4.19,4.15
4.15,10599930.0,4.22,"Sep 23, 2010 00:00:00",4.23,4.15
4.25,29899080.0,4.7,"Sep 24, 2010 00:00:00",4.8,4.25
5.0,39134130.0,5.1,"Sep 27, 2010 00:00:00",5.2,5.0
5.2,23129515.0,5.21,"Sep 28, 2010 00:00:00",5.47,5.2
5.2,15719534.0,5.21,"Sep 29, 2010 00:00:00",5.3,5.1
5.21,44923590.0,5.25,"Sep 30, 2010 00:00:00",5.79,5.21
5.25,9099348.0,5.34,"Oct 01, 2010 00:00:00",5.5,5.25
5.4,8380985.0,5.47,"Oct 04, 2010 00:00:00",5.55,5.3
5.47,1593203.0,5.47,"Oct 05, 2010 00:00:00",5.48,5.4
5.54,6662949.0,5.4,"Oct 06, 2010 00:00:00",5.6,5.4
5.49,8162445.0,5.27,"Oct 07, 2010 00:00:00",5.5,5.22
5.25,4617045.0,5.25,"Oct 08, 2010 00:00:00",5.25,5.19
5.17,4048680.0,5.05,"Oct 12, 2010 00:00:00",5.2,5.0
5.19,1498785.0,5.14,"Oct 13, 2010 00:00:00",5.19,5.0
5.2,5514165.0,5.22,"Oct 14, 2010 00:00:00",5.25,5.15
5.2,12002.0,5.22,"Oct 15, 2010 00:00:00",5.22,5.2
5.39,3118120.0,5.3,"Oct 18, 2010 00:00:00",5.6,5.3
5.37,912690.0,5.2,"Oct 19, 2010 00:00:00",5.37,5.2
5.2,2247620.0,5.2,"Oct 20, 2010 00:00:00",5.2,5.1
5.4,3093690.0,5.19,"Oct 21, 2010 00:00:00",5.4,5.0
5.0,10983564.0,5.15,"Oct 22, 2010 00:00:00",5.19,4.8
5.06,1633445.0,5.16,"Oct 26, 2010 00:00:00",5.16,5.05
5.06,1630025.0,5.06,"Oct 27, 2010 00:00:00",5.1,5.05
5.06,2902671.0,5.07,"Oct 28, 2010 00:00:00",5.08,5.03
5.07,2531657.0,5.11,"Oct 29, 2010 00:00:00",5.15,5.06
5.11,15230.0,5.06,"Nov 02, 2010 00:00:00",5.11,5.06
5.1,2692033.0,5.08,"Nov 03, 2010 00:00:00",5.2,5.05
5.15,1265200.0,5.12,"Nov 04, 2010 00:00:00",5.15,5.1
5.14,1602034.0,5.11,"Nov 08, 2010 00:00:00",5.17,5.11
5.14,1785907.0,5.11,"Nov 09, 2010 00:00:00",5.14,5.1
5.06,2242248.0,5.05,"Nov 10, 2010 00:00:00",5.06,5.0
5.05,1717225.0,5.05,"Nov 11, 2010 00:00:00",5.1,4.95
4.9,1111475.0,4.85,"Nov 12, 2010 00:00:00",4.9,4.8
4.8,245000.0,5.0,"Nov 15, 2010 00:00:00",5.0,4.8
4.9,255300.0,4.95,"Nov 17, 2010 00:00:00",4.95,4.9
5.0,1028450.0,5.1,"Nov 18, 2010 00:00:00",5.3,5.0
5.1,735762.0,5.05,"Nov 19, 2010 00:00:00",5.1,5.0
5.2,390420.0,5.0,"Nov 22, 2010 00:00:00",5.25,5.0
5.08,2820908.0,4.9,"Nov 23, 2010 00:00:00",5.1,4.9
4.9,5599820.0,4.6,"Nov 24, 2010 00:00:00",4.9,4.5
4.6,1424600.0,4.49,"Nov 25, 2010 00:00:00",4.6,4.4
4.6,4943300.0,4.45,"Nov 26, 2010 00:00:00",4.6,4.45
4.5,3553320.0,4.45,"Nov 30, 2010 00:00:00",4.6,4.4
4.45,3612760.0,4.62,"Dec 01, 2010 00:00:00",5.05,4.45
4.56,28670.0,4.85,"Dec 02, 2010 00:00:00",5.0,4.56
4.86,2074720.0,4.56,"Dec 03, 2010 00:00:00",4.87,4.56
4.95,2576050.0,4.9,"Dec 06, 2010 00:00:00",5.0,4.78
5.0,3209750.0,4.92,"Dec 07, 2010 00:00:00",5.09,4.92
5.02,4375150.0,5.0,"Dec 08, 2010 00:00:00",5.05,5.0
5.29,3620457.0,5.35,"Dec 16, 2010 00:00:00",5.4,5.2
5.16,419102.0,5.2,"Dec 22, 2010 00:00:00",5.38,5.16
5.25,1003449.0,5.1,"Dec 23, 2010 00:00:00",5.25,5.1
5.1,1874180.0,5.1,"Dec 28, 2010 00:00:00",5.11,5.02
5.1,1874180.0,5.1,"Dec 28, 2010 00:00:00",5.11,5.02
5.1,1874180.0,5.1,"Dec 28, 2010 00:00:00",5.11,5.02
5.1,1874180.0,5.1,"Dec 28, 2010 00:00:00",5.11,5.02
5.1,1874180.0,5.1,"Dec 28, 2010 00:00:00",5.11,5.02
5.1,1874180.0,5.1,"Dec 28, 2010 00:00:00",5.11,5.02
5.1,1874180.0,5.1,"Dec 28, 2010 00:00:00",5.11,5.02
5.1,1874180.0,5.1,"Dec 28, 2010 00:00:00",5.11,5.02
5.1,1874180.0,5.1,"Dec 28, 2010 00:00:00",5.11,5.02
5.1,1874180.0,5.1,"Dec 28, 2010 00:00:00",5.11,5.02
5.1,1874180.0,5.1,"Dec 28, 2010 00:00:00",5.11,5.02
5.1,1874180.0,5.1,"Dec 28, 2010 00:00:00",5.11,5.02
5.1,1874180.0,5.1,"Dec 28, 2010 00:00:00",5.11,5.02
5.1,1874180.0,5.1,"Dec 28, 2010 00:00:00",5.11,5.02
5.1,1874180.0,5.1,"Dec 28, 2010 00:00:00",5.11,5.02
5.1,1874180.0,5.1,"Dec 28, 2010 00:00:00",5.11,5.02
5.1,1874180.0,5.1,"Dec 28, 2010 00:00:00",5.11,5.02
5.1,1874180.0,5.1,"Dec 28, 2010 00:00:00",5.11,5.02
5.1,1874180.0,5.1,"Dec 28, 2010 00:00:00",5.11,5.02
5.1,1874180.0,5.1,"Dec 28, 2010 00:00:00",5.11,5.02
5.1,1874180.0,5.1,"Dec 28, 2010 00:00:00",5.11,5.02
5.4,623797.0,5.13,"Dec 29, 2010 00:00:00",5.4,5.1
5.4,623797.0,5.13,"Dec 29, 2010 00:00:00",5.4,5.1
5.2,1925630.0,5.2,"Jan 03, 2011 00:00:00",5.2,5.1
5.2,1925630.0,5.2,"Jan 03, 2011 00:00:00",5.2,5.1
5.2,1925630.0,5.2,"Jan 03, 2011 00:00:00",5.2,5.1
5.2,130100.0,5.1,"Jan 04, 2011 00:00:00",5.2,5.1
5.1,11360031.0,5.32,"Jan 05, 2011 00:00:00",5.32,5.1
5.4,47223083.0,5.89,"Jan 06, 2011 00:00:00",6.0,5.4
5.95,36822263.0,5.66,"Jan 07, 2011 00:00:00",6.2,5.5
5.7,12981264.0,5.82,"Jan 10, 2011 00:00:00",5.9,5.6
5.84,7910100.0,5.7,"Jan 11, 2011 00:00:00",5.84,5.64
5.84,7910100.0,5.7,"Jan 11, 2011 00:00:00",5.84,5.64
5.85,8571598.0,5.74,"Jan 12, 2011 00:00:00",5.85,5.63
5.74,73848435.0,6.05,"Jan 13, 2011 00:00:00",6.05,5.68
6.35,76709229.0,6.05,"Jan 14, 2011 00:00:00",6.35,5.9
6.05,24260253.0,6.1,"Jan 17, 2011 00:00:00",6.1,6.0
5.99,6170753.0,5.64,"Jan 18, 2011 00:00:00",5.99,5.64
5.5,18206775.0,5.6,"Jan 19, 2011 00:00:00",5.6,5.0
5.5,18206775.0,5.6,"Jan 19, 2011 00:00:00",5.6,5.0
5.48,7775732.0,5.18,"Jan 20, 2011 00:00:00",5.5,5.18
5.48,7775732.0,5.18,"Jan 20, 2011 00:00:00",5.5,5.18
4.6,6461338.0,4.46,"Jan 24, 2011 00:00:00",4.89,4.3
4.46,3627080.0,4.52,"Jan 25, 2011 00:00:00",4.77,4.46
4.53,4230280.0,4.27,"Jan 26, 2011 00:00:00",4.53,4.1
4.28,4545540.0,4.51,"Jan 27, 2011 00:00:00",4.51,4.15
4.51,1816530.0,4.56,"Jan 28, 2011 00:00:00",4.6,4.4
4.51,1816530.0,4.56,"Jan 28, 2011 00:00:00",4.6,4.4
4.4,2262860.0,4.6,"Jan 31, 2011 00:00:00",4.6,4.3
4.4,2262860.0,4.6,"Jan 31, 2011 00:00:00",4.6,4.3
4.6,372150.0,4.3,"Feb 01, 2011 00:00:00",4.6,4.3
4.6,372150.0,4.3,"Feb 01, 2011 00:00:00",4.6,4.3
4.49,1538610.0,4.4,"Feb 02, 2011 00:00:00",4.49,4.31
4.4,21245160.0,4.5,"Feb 03, 2011 00:00:00",4.65,4.4
4.4,8940.0,4.54,"Feb 14, 2011 00:00:00",4.54,4.4
4.5,44820.0,4.48,"Feb 16, 2011 00:00:00",4.5,4.48
4.5,44820.0,4.48,"Feb 16, 2011 00:00:00",4.5,4.48
4.48,2445510.0,4.36,"Feb 17, 2011 00:00:00",4.48,4.36
4.36,2118950.0,4.5,"Feb 18, 2011 00:00:00",4.54,4.36
4.51,263480.0,4.42,"Feb 21, 2011 00:00:00",4.51,4.42
4.51,263480.0,4.42,"Feb 21, 2011 00:00:00",4.51,4.42
4.32,524880.0,4.3,"Feb 22, 2011 00:00:00",4.32,4.3
4.32,524880.0,4.3,"Feb 22, 2011 00:00:00",4.32,4.3
4.29,1015230.0,4.41,"Feb 23, 2011 00:00:00",4.42,4.24
4.29,1015230.0,4.41,"Feb 23, 2011 00:00:00",4.42,4.24
4.41,4410.0,4.41,"Feb 24, 2011 00:00:00",4.41,4.41
4.41,4410.0,4.41,"Feb 24, 2011 00:00:00",4.41,4.41
4.2,924690.0,4.4,"Feb 25, 2011 00:00:00",4.4,4.19
4.4,39580.0,4.39,"Feb 28, 2011 00:00:00",4.4,4.39
4.35,979260.0,4.39,"Mar 03, 2011 00:00:00",4.42,4.32
4.32,385520.0,4.4,"Mar 04, 2011 00:00:00",4.4,4.3
4.32,385520.0,4.4,"Mar 04, 2011 00:00:00",4.4,4.3
4.31,1042150.0,4.43,"Mar 07, 2011 00:00:00",4.43,4.29
4.36,438710.0,4.29,"Mar 08, 2011 00:00:00",4.36,4.29
4.36,438710.0,4.29,"Mar 08, 2011 00:00:00",4.36,4.29
4.32,762660.0,4.43,"Mar 11, 2011 00:00:00",4.43,4.32
4.32,762660.0,4.43,"Mar 11, 2011 00:00:00",4.43,4.32
4.22,316700.0,4.22,"Mar 16, 2011 00:00:00",4.23,4.22
4.22,1123700.0,4.15,"Mar 17, 2011 00:00:00",4.22,4.15
3.13,673030.0,4.08,"Mar 18, 2011 00:00:00",4.14,3.13
4.07,120820.0,4.0,"Mar 21, 2011 00:00:00",4.07,4.0
4.02,769040.0,4.28,"Mar 22, 2011 00:00:00",4.28,4.02
4.27,627190.0,4.15,"Mar 23, 2011 00:00:00",4.35,4.15
4.1,569910.0,4.15,"Mar 24, 2011 00:00:00",4.27,4.1
4.27,1599360.0,4.34,"Mar 25, 2011 00:00:00",4.34,4.16
4.34,1778490.0,4.45,"Mar 28, 2011 00:00:00",4.47,4.34
4.45,846200.0,4.46,"Mar 29, 2011 00:00:00",4.46,4.22
4.44,141400.0,4.28,"Mar 30, 2011 00:00:00",4.44,4.28
4.4,918130.0,4.42,"Mar 31, 2011 00:00:00",4.44,4.3
4.4,489770.0,4.41,"Apr 01, 2011 00:00:00",4.41,4.3
4.39,1637470.0,4.46,"Apr 04, 2011 00:00:00",4.47,4.31
4.47,872050.0,4.45,"Apr 05, 2011 00:00:00",4.48,4.4
4.44,5206700.0,4.7,"Apr 06, 2011 00:00:00",4.7,4.44
4.75,1153980.0,4.7,"Apr 07, 2011 00:00:00",4.8,4.7
4.6,2544200.0,4.65,"Apr 08, 2011 00:00:00",4.75,4.6
4.7,660760.0,4.7,"Apr 11, 2011 00:00:00",4.7,4.61
4.82,8545110.0,4.85,"Apr 12, 2011 00:00:00",5.0,4.8
4.88,15760220.0,5.0,"Apr 13, 2011 00:00:00",5.01,4.88
5.1,2814815.0,5.0,"Apr 14, 2011 00:00:00",5.1,5.0
5.0,544969.0,5.0,"Apr 15, 2011 00:00:00",5.0,4.97
5.07,3764492.0,5.01,"Apr 26, 2011 00:00:00",5.07,5.0
5.07,2248267.0,5.07,"Apr 27, 2011 00:00:00",5.13,5.02
5.07,7969423.0,5.07,"Apr 28, 2011 00:00:00",5.07,5.01
5.06,3466436.0,5.14,"Apr 29, 2011 00:00:00",5.15,5.06
5.15,5265593.0,5.17,"May 02, 2011 00:00:00",5.2,5.14
5.17,3305809.0,5.16,"May 03, 2011 00:00:00",5.17,5.11
5.17,2167640.0,5.15,"May 04, 2011 00:00:00",5.18,5.15
5.16,11877254.0,5.15,"May 05, 2011 00:00:00",5.16,5.14
