OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
5.5,11000.0,5.5,"Aug 20, 2009 00:00:00",5.5,5.5
5.5,5500.0,5.5,"Oct 06, 2009 00:00:00",5.5,5.5
5.6,5600.0,5.6,"Oct 08, 2009 00:00:00",5.6,5.6
5.7,11400.0,5.7,"Oct 13, 2009 00:00:00",5.7,5.7
5.4,16200.0,5.4,"Oct 14, 2009 00:00:00",5.4,5.4
5.5,28300.0,5.7,"Oct 15, 2009 00:00:00",5.7,5.5
5.7,52700.0,5.9,"Oct 19, 2009 00:00:00",5.9,5.7
5.8,5800.0,5.8,"Oct 22, 2009 00:00:00",5.8,5.8
6.0,99000.0,6.2,"Oct 27, 2009 00:00:00",6.2,6.0
5.9,5900.0,5.9,"Dec 18, 2009 00:00:00",5.9,5.9
5.8,5800.0,5.8,"Jan 18, 2010 00:00:00",5.8,5.8
5.2,15600.0,5.2,"Jan 28, 2010 00:00:00",5.2,5.2
6.0,65000.0,5.9,"Apr 21, 2010 00:00:00",6.0,5.9
5.6,5600.0,5.6,"May 20, 2010 00:00:00",5.6,5.6
5.8,17400.0,5.8,"Jun 04, 2010 00:00:00",5.8,5.8
5.9,183000.0,6.0,"Jun 07, 2010 00:00:00",6.0,5.9
5.9,5900.0,5.9,"Jun 10, 2010 00:00:00",5.9,5.9
5.9,129800.0,5.9,"Jul 07, 2010 00:00:00",5.9,5.9
5.6,11400.0,5.8,"Jul 13, 2010 00:00:00",5.8,5.6
6.0,96000.0,6.0,"Jul 21, 2010 00:00:00",6.0,6.0
6.28,53051.0,6.45,"Sep 20, 2010 00:00:00",6.45,6.22
6.22,9330.0,6.22,"Sep 22, 2010 00:00:00",6.22,6.22
6.25,3750.0,6.25,"Sep 23, 2010 00:00:00",6.25,6.25
6.32,1896.0,6.32,"Sep 27, 2010 00:00:00",6.32,6.32
6.6,70144.0,6.34,"Sep 28, 2010 00:00:00",6.6,6.34
6.45,14340.0,6.55,"Sep 29, 2010 00:00:00",6.55,6.45
6.85,90140.0,6.9,"Oct 01, 2010 00:00:00",6.9,6.85
6.45,1935.0,6.45,"Oct 05, 2010 00:00:00",6.45,6.45
6.46,5814.0,6.46,"Oct 06, 2010 00:00:00",6.46,6.46
6.45,1935.0,6.45,"Oct 07, 2010 00:00:00",6.45,6.45
6.45,128883.0,6.32,"Oct 08, 2010 00:00:00",6.45,6.32
6.35,7620.0,6.35,"Oct 13, 2010 00:00:00",6.35,6.35
6.36,19060.0,6.35,"Oct 14, 2010 00:00:00",6.36,6.35
6.35,1905.0,6.35,"Oct 15, 2010 00:00:00",6.35,6.35
6.4,5760.0,6.4,"Oct 18, 2010 00:00:00",6.4,6.4
6.33,1899.0,6.33,"Oct 19, 2010 00:00:00",6.33,6.33
6.35,2540.0,6.35,"Oct 20, 2010 00:00:00",6.35,6.35
6.6,33000.0,6.6,"Oct 21, 2010 00:00:00",6.6,6.6
6.35,1905.0,6.35,"Oct 26, 2010 00:00:00",6.35,6.35
6.35,3810.0,6.35,"Oct 27, 2010 00:00:00",6.35,6.35
6.36,6360.0,6.36,"Nov 03, 2010 00:00:00",6.36,6.36
6.36,1908.0,6.36,"Nov 04, 2010 00:00:00",6.36,6.36
6.35,3175.0,6.35,"Nov 08, 2010 00:00:00",6.35,6.35
6.35,3810.0,6.35,"Nov 09, 2010 00:00:00",6.35,6.35
6.35,69730.0,6.35,"Nov 11, 2010 00:00:00",6.35,6.33
6.33,1899.0,6.33,"Nov 17, 2010 00:00:00",6.33,6.33
6.33,1899.0,6.33,"Nov 19, 2010 00:00:00",6.33,6.33
6.33,1899.0,6.33,"Nov 23, 2010 00:00:00",6.33,6.33
6.5,3250.0,6.5,"Nov 24, 2010 00:00:00",6.5,6.5
6.35,4505.0,6.5,"Nov 25, 2010 00:00:00",6.5,6.35
6.33,1899.0,6.33,"Nov 26, 2010 00:00:00",6.33,6.33
6.35,10148.0,6.33,"Dec 01, 2010 00:00:00",6.35,6.33
6.33,15825.0,6.33,"Dec 02, 2010 00:00:00",6.33,6.33
6.35,47625.0,6.35,"Dec 08, 2010 00:00:00",6.35,6.35
6.75,1350.0,6.75,"Dec 22, 2010 00:00:00",6.75,6.75
6.8,109200.0,6.75,"Dec 23, 2010 00:00:00",7.25,6.75
6.85,2740.0,6.85,"Dec 28, 2010 00:00:00",6.85,6.85
6.85,2740.0,6.85,"Dec 28, 2010 00:00:00",6.85,6.85
6.85,2740.0,6.85,"Dec 28, 2010 00:00:00",6.85,6.85
6.85,2740.0,6.85,"Dec 28, 2010 00:00:00",6.85,6.85
6.85,2740.0,6.85,"Dec 28, 2010 00:00:00",6.85,6.85
6.85,2740.0,6.85,"Dec 28, 2010 00:00:00",6.85,6.85
6.85,2740.0,6.85,"Dec 28, 2010 00:00:00",6.85,6.85
6.85,2740.0,6.85,"Dec 28, 2010 00:00:00",6.85,6.85
6.85,2740.0,6.85,"Dec 28, 2010 00:00:00",6.85,6.85
6.85,2740.0,6.85,"Dec 28, 2010 00:00:00",6.85,6.85
6.85,2740.0,6.85,"Dec 28, 2010 00:00:00",6.85,6.85
6.85,2740.0,6.85,"Dec 28, 2010 00:00:00",6.85,6.85
6.85,2740.0,6.85,"Dec 28, 2010 00:00:00",6.85,6.85
6.85,2740.0,6.85,"Dec 28, 2010 00:00:00",6.85,6.85
6.85,2740.0,6.85,"Dec 28, 2010 00:00:00",6.85,6.85
