OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
22.5,24204625.0,22.25,"Aug 03, 2009 00:00:00",22.5,22.0
22.5,143204900.0,22.5,"Aug 04, 2009 00:00:00",22.75,22.25
22.5,40854700.0,22.25,"Aug 06, 2009 00:00:00",22.5,22.0
22.25,44744000.0,22.0,"Aug 07, 2009 00:00:00",22.25,21.75
22.25,79393450.0,22.5,"Aug 10, 2009 00:00:00",22.5,22.0
22.5,30520325.0,22.25,"Aug 11, 2009 00:00:00",22.75,22.0
22.0,77208175.0,21.5,"Aug 12, 2009 00:00:00",22.0,21.5
21.75,73259775.0,21.25,"Aug 13, 2009 00:00:00",22.0,21.0
21.25,77139675.0,20.5,"Aug 14, 2009 00:00:00",21.25,20.25
20.25,91548275.0,19.5,"Aug 17, 2009 00:00:00",20.5,19.25
19.25,100829875.0,20.75,"Aug 18, 2009 00:00:00",20.75,19.0
21.5,58457125.0,20.5,"Aug 19, 2009 00:00:00",21.5,20.5
20.5,14696550.0,20.5,"Aug 20, 2009 00:00:00",20.75,20.0
21.0,8007475.0,21.0,"Aug 24, 2009 00:00:00",21.0,20.5
21.0,20623925.0,20.25,"Aug 25, 2009 00:00:00",21.0,20.25
20.5,7256675.0,20.5,"Aug 26, 2009 00:00:00",20.75,20.25
23.25,89702850.0,23.25,"Sep 03, 2009 00:00:00",23.5,22.75
23.75,244421225.0,24.5,"Sep 04, 2009 00:00:00",24.5,23.75
17.75,113020125.0,16.75,"Sep 16, 2009 00:00:00",17.75,16.25
17.25,48717500.0,17.25,"Sep 17, 2009 00:00:00",17.5,16.75
17.0,8443625.0,17.0,"Sep 18, 2009 00:00:00",17.0,16.75
17.0,48679800.0,17.0,"Sep 22, 2009 00:00:00",17.0,16.25
17.0,22719075.0,17.0,"Sep 23, 2009 00:00:00",17.25,16.75
15.75,8827250.0,16.0,"Sep 30, 2009 00:00:00",16.25,15.75
16.0,20870250.0,16.0,"Oct 01, 2009 00:00:00",16.25,15.75
15.5,28521325.0,15.5,"Oct 02, 2009 00:00:00",15.5,15.25
15.5,19150600.0,15.5,"Oct 05, 2009 00:00:00",15.75,15.25
15.75,89050650.0,16.0,"Oct 06, 2009 00:00:00",16.25,15.75
16.0,99018675.0,16.5,"Oct 07, 2009 00:00:00",16.75,16.0
16.25,49139200.0,16.0,"Oct 08, 2009 00:00:00",16.5,16.0
16.25,144306750.0,17.0,"Oct 09, 2009 00:00:00",17.5,16.0
17.0,51425975.0,16.25,"Oct 12, 2009 00:00:00",17.0,16.0
16.25,54425775.0,16.25,"Oct 13, 2009 00:00:00",16.75,16.0
16.75,111019625.0,16.75,"Oct 14, 2009 00:00:00",17.0,16.5
17.25,50507825.0,16.75,"Oct 15, 2009 00:00:00",17.25,16.25
16.75,40553100.0,16.75,"Oct 16, 2009 00:00:00",16.75,16.5
16.5,14779525.0,16.5,"Oct 19, 2009 00:00:00",16.5,16.25
16.5,51629000.0,16.5,"Oct 20, 2009 00:00:00",16.75,16.25
16.5,26475600.0,16.25,"Oct 21, 2009 00:00:00",16.5,16.0
16.25,21883125.0,16.0,"Oct 22, 2009 00:00:00",16.25,15.75
16.25,42712000.0,15.75,"Oct 23, 2009 00:00:00",16.25,15.75
15.75,63442225.0,16.25,"Oct 26, 2009 00:00:00",16.25,15.5
16.0,136453575.0,16.25,"Oct 27, 2009 00:00:00",16.5,15.75
16.25,43161025.0,16.0,"Oct 28, 2009 00:00:00",16.5,15.5
15.75,61499475.0,15.75,"Oct 29, 2009 00:00:00",16.0,15.5
16.0,29568275.0,16.0,"Oct 30, 2009 00:00:00",16.0,15.75
16.0,26039025.0,15.75,"Nov 03, 2009 00:00:00",16.25,15.5
15.75,23335000.0,16.0,"Nov 04, 2009 00:00:00",16.0,15.5
16.0,131070575.0,16.75,"Nov 05, 2009 00:00:00",16.75,15.75
17.25,398203400.0,18.0,"Nov 06, 2009 00:00:00",18.25,16.75
17.75,95310800.0,17.25,"Nov 09, 2009 00:00:00",18.0,17.0
17.25,55609650.0,17.25,"Nov 10, 2009 00:00:00",17.75,17.0
16.75,44771850.0,17.0,"Nov 11, 2009 00:00:00",17.0,16.5
14.75,52187200.0,15.0,"Dec 15, 2009 00:00:00",15.25,14.75
15.25,127806500.0,16.0,"Dec 16, 2009 00:00:00",16.0,14.75
16.25,148338325.0,16.75,"Dec 17, 2009 00:00:00",17.0,16.25
16.5,52298975.0,16.5,"Dec 18, 2009 00:00:00",16.75,16.25
16.25,203086200.0,15.75,"Dec 21, 2009 00:00:00",16.25,15.5
10.75,86117900.0,10.0,"Dec 22, 2009 00:00:00",10.75,9.9
10.0,65394400.0,9.8,"Dec 23, 2009 00:00:00",10.0,9.6
9.7,65619200.0,9.7,"Dec 29, 2009 00:00:00",9.8,9.6
9.7,31871500.0,9.5,"Jan 04, 2010 00:00:00",9.7,9.4
9.5,119198600.0,9.9,"Jan 05, 2010 00:00:00",10.25,9.4
9.8,98005100.0,10.0,"Jan 06, 2010 00:00:00",10.0,9.7
10.25,67605750.0,10.5,"Jan 07, 2010 00:00:00",10.5,10.25
10.25,79525675.0,10.25,"Jan 08, 2010 00:00:00",10.5,10.0
10.25,43386650.0,10.25,"Jan 11, 2010 00:00:00",10.25,10.0
10.25,38929750.0,10.0,"Jan 12, 2010 00:00:00",10.5,10.0
10.0,61142500.0,10.25,"Jan 13, 2010 00:00:00",10.25,10.0
10.0,75491750.0,10.25,"Jan 14, 2010 00:00:00",10.5,10.0
10.25,39264300.0,10.25,"Jan 15, 2010 00:00:00",10.25,10.0
10.25,28116825.0,10.25,"Jan 18, 2010 00:00:00",10.5,10.25
10.25,60452825.0,10.5,"Jan 19, 2010 00:00:00",10.5,10.25
10.75,86029700.0,10.75,"Jan 20, 2010 00:00:00",11.0,10.5
10.5,25666625.0,10.5,"Jan 21, 2010 00:00:00",10.5,10.25
10.0,174272035.0,10.0,"Jan 22, 2010 00:00:00",10.25,9.9
9.9,83695900.0,9.7,"Jan 25, 2010 00:00:00",9.9,9.6
9.7,92304800.0,9.6,"Jan 26, 2010 00:00:00",9.9,9.5
9.5,83332300.0,9.3,"Jan 27, 2010 00:00:00",9.6,9.0
9.2,71477100.0,9.7,"Jan 28, 2010 00:00:00",9.7,9.2
9.4,56356200.0,9.7,"Jan 29, 2010 00:00:00",9.7,9.4
9.7,43632700.0,9.5,"Feb 01, 2010 00:00:00",9.7,9.4
9.6,48392200.0,9.2,"Feb 02, 2010 00:00:00",9.7,9.0
9.3,46798500.0,9.3,"Feb 03, 2010 00:00:00",9.4,9.2
9.3,26838800.0,9.4,"Feb 04, 2010 00:00:00",9.6,9.3
9.1,103357000.0,9.2,"Feb 05, 2010 00:00:00",9.2,8.9
9.2,36504900.0,9.2,"Feb 08, 2010 00:00:00",9.2,9.1
9.0,109623300.0,8.8,"Feb 09, 2010 00:00:00",9.1,8.7
9.0,70413200.0,9.0,"Feb 10, 2010 00:00:00",9.1,8.9
9.0,49452200.0,9.4,"Feb 11, 2010 00:00:00",9.4,9.0
9.5,60416100.0,9.6,"Mar 08, 2010 00:00:00",9.6,9.5
10.0,64850450.0,10.0,"Mar 12, 2010 00:00:00",10.25,9.9
10.0,32516350.0,10.25,"Mar 15, 2010 00:00:00",10.25,9.9
10.25,4857350.0,10.25,"Mar 16, 2010 00:00:00",10.25,10.0
10.25,39534875.0,10.0,"Mar 17, 2010 00:00:00",10.25,10.0
10.75,52383825.0,11.0,"Mar 31, 2010 00:00:00",11.0,10.5
10.25,27021400.0,10.0,"Apr 20, 2010 00:00:00",10.25,9.9
10.0,39344500.0,10.25,"Apr 21, 2010 00:00:00",10.25,9.9
10.0,33040380.0,10.0,"Apr 22, 2010 00:00:00",10.0,9.9
10.0,65415400.0,10.0,"Apr 23, 2010 00:00:00",10.0,9.9
10.0,117761750.0,10.25,"Apr 29, 2010 00:00:00",10.5,10.0
10.5,36533325.0,10.25,"Apr 30, 2010 00:00:00",10.5,10.25
10.25,33242900.0,10.5,"May 04, 2010 00:00:00",10.5,10.0
10.0,146847595.0,9.9,"May 05, 2010 00:00:00",10.25,9.8
10.75,504827450.0,11.25,"May 13, 2010 00:00:00",11.5,10.5
11.25,216722225.0,11.5,"May 14, 2010 00:00:00",12.0,11.25
11.25,261391250.0,11.25,"May 17, 2010 00:00:00",11.75,11.0
11.5,171128100.0,11.25,"May 18, 2010 00:00:00",11.75,11.0
10.75,115306800.0,10.75,"May 19, 2010 00:00:00",11.0,10.75
10.75,83879850.0,11.0,"May 20, 2010 00:00:00",11.0,10.75
10.5,171431650.0,10.25,"May 21, 2010 00:00:00",10.75,10.25
10.75,102746450.0,10.75,"May 24, 2010 00:00:00",10.75,10.5
10.5,113309465.0,10.25,"May 25, 2010 00:00:00",10.5,9.9
10.0,29378925.0,10.25,"May 26, 2010 00:00:00",10.25,10.0
10.25,51290875.0,10.75,"May 27, 2010 00:00:00",10.75,10.25
