OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
100.0,63784694.0,100.0,"Dec 02, 2013 00:00:00",100.0,99.95
101.5,12714667.0,99.75,"Dec 03, 2013 00:00:00",101.5,99.6
99.8,4418984.0,99.6,"Dec 04, 2013 00:00:00",99.85,99.6
100.0,1281097.0,99.2,"Dec 05, 2013 00:00:00",100.0,99.0
99.2,4776654.0,97.15,"Dec 06, 2013 00:00:00",99.2,97.0
99.0,3123720.0,97.05,"Dec 09, 2013 00:00:00",99.0,97.05
97.05,5356448.5,97.15,"Dec 10, 2013 00:00:00",97.2,97.0
97.15,673507.5,97.0,"Dec 11, 2013 00:00:00",97.15,97.0
96.8,828859.0,96.0,"Dec 12, 2013 00:00:00",96.9,95.5
95.5,955630.0,95.95,"Dec 13, 2013 00:00:00",97.0,95.5
96.5,2741629.0,95.8,"Dec 16, 2013 00:00:00",96.95,95.05
95.8,2039569.0,95.8,"Dec 17, 2013 00:00:00",95.8,95.7
95.8,945402.0,95.8,"Dec 18, 2013 00:00:00",95.8,95.5
96.1,10387436.5,96.0,"Dec 19, 2013 00:00:00",97.3,95.95
97.5,2693739.5,94.5,"Dec 20, 2013 00:00:00",97.5,94.0
94.8,228019.0,95.5,"Dec 23, 2013 00:00:00",95.6,94.8
95.5,494970.0,95.5,"Dec 26, 2013 00:00:00",95.5,95.0
95.5,749675.0,95.5,"Dec 27, 2013 00:00:00",95.5,95.5
96.0,656104.0,96.0,"Jan 02, 2014 00:00:00",96.0,95.5
96.1,395912.0,95.5,"Jan 03, 2014 00:00:00",96.1,95.5
96.0,1060218.0,95.7,"Jan 06, 2014 00:00:00",96.0,95.5
95.8,776907.0,95.7,"Jan 07, 2014 00:00:00",95.8,95.5
95.5,1340710.0,95.65,"Jan 08, 2014 00:00:00",95.65,95.5
96.3,244490.5,95.65,"Jan 09, 2014 00:00:00",96.3,95.65
96.0,1089168.5,95.6,"Jan 10, 2014 00:00:00",96.0,95.0
95.6,2930499.0,95.5,"Jan 13, 2014 00:00:00",95.6,95.0
95.6,1757903.0,95.0,"Jan 14, 2014 00:00:00",95.6,94.8
95.0,1023324.0,95.0,"Jan 15, 2014 00:00:00",95.5,95.0
95.5,1007711.0,95.5,"Jan 16, 2014 00:00:00",95.8,95.5
95.5,355531.0,95.8,"Jan 17, 2014 00:00:00",95.8,95.4
95.8,323104.5,95.5,"Jan 20, 2014 00:00:00",95.9,95.5
96.0,341330.5,96.1,"Jan 21, 2014 00:00:00",96.1,95.6
95.6,1251955.0,98.2,"Jan 22, 2014 00:00:00",98.2,95.6
98.25,696938.0,98.6,"Jan 23, 2014 00:00:00",98.6,97.9
98.6,378974.0,98.9,"Jan 24, 2014 00:00:00",98.9,97.9
97.0,401142.0,97.6,"Jan 27, 2014 00:00:00",97.6,96.0
97.6,110703.0,97.0,"Jan 28, 2014 00:00:00",97.6,96.6
97.0,118376.0,97.2,"Jan 29, 2014 00:00:00",97.2,96.8
98.8,599509.0,97.0,"Jan 30, 2014 00:00:00",98.8,96.5
96.9,303882.0,97.0,"Feb 03, 2014 00:00:00",97.2,96.5
97.0,601013.0,95.0,"Feb 04, 2014 00:00:00",97.0,95.0
95.5,100873.0,95.0,"Feb 05, 2014 00:00:00",95.5,95.0
95.0,62864.0,95.0,"Feb 06, 2014 00:00:00",95.4,95.0
96.0,225211.0,96.6,"Feb 07, 2014 00:00:00",96.6,96.0
96.6,497522.0,96.9,"Feb 10, 2014 00:00:00",97.0,96.6
97.3,111273.0,98.0,"Feb 11, 2014 00:00:00",98.0,97.3
98.0,610068.5,98.2,"Feb 12, 2014 00:00:00",98.2,97.2
98.2,63444.0,98.0,"Feb 13, 2014 00:00:00",98.2,97.5
97.7,30230.0,97.8,"Feb 14, 2014 00:00:00",97.8,97.4
97.9,129379.0,98.1,"Feb 17, 2014 00:00:00",98.1,97.6
98.5,500122.0,98.5,"Feb 18, 2014 00:00:00",98.5,98.1
98.5,1005014.0,98.5,"Feb 19, 2014 00:00:00",98.8,98.3
98.5,3005062.0,101.4,"Feb 20, 2014 00:00:00",101.4,98.5
101.4,427537.0,101.0,"Feb 21, 2014 00:00:00",101.4,100.0
