OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
6.8,2928600.0,6.8,"Aug 03, 2009 00:00:00",6.8,6.7
6.9,11590600.0,6.9,"Aug 04, 2009 00:00:00",7.1,6.8
7.0,2510600.0,6.7,"Aug 06, 2009 00:00:00",7.0,6.7
6.8,3769100.0,6.7,"Aug 07, 2009 00:00:00",6.8,6.7
6.8,1072900.0,6.7,"Aug 10, 2009 00:00:00",6.8,6.7
6.7,2343500.0,6.7,"Aug 11, 2009 00:00:00",6.9,6.7
6.8,1704900.0,6.7,"Aug 12, 2009 00:00:00",6.8,6.7
6.8,34940200.0,7.8,"Aug 13, 2009 00:00:00",7.8,6.8
7.8,8749400.0,7.4,"Aug 14, 2009 00:00:00",8.0,7.4
7.5,4135500.0,7.2,"Aug 17, 2009 00:00:00",7.5,7.2
7.0,3593700.0,7.2,"Aug 18, 2009 00:00:00",7.2,6.9
7.2,7007000.0,7.4,"Aug 19, 2009 00:00:00",7.4,7.1
7.4,2516700.0,7.5,"Aug 20, 2009 00:00:00",7.5,7.4
7.6,2955300.0,7.6,"Aug 24, 2009 00:00:00",7.6,7.5
7.6,3077900.0,7.5,"Aug 25, 2009 00:00:00",7.6,7.4
7.5,4280100.0,7.6,"Aug 26, 2009 00:00:00",7.6,7.5
7.8,3393100.0,7.9,"Sep 03, 2009 00:00:00",7.9,7.7
7.9,15934400.0,8.3,"Sep 04, 2009 00:00:00",8.5,7.9
8.3,1817900.0,8.3,"Sep 16, 2009 00:00:00",8.4,8.3
8.3,1441800.0,8.2,"Sep 17, 2009 00:00:00",8.3,8.2
8.2,3744400.0,8.2,"Sep 18, 2009 00:00:00",8.3,8.1
8.3,1619500.0,8.3,"Sep 22, 2009 00:00:00",8.3,8.2
8.2,4786800.0,8.4,"Sep 23, 2009 00:00:00",8.5,8.2
8.2,4916400.0,8.2,"Sep 30, 2009 00:00:00",8.2,8.1
8.2,1025700.0,8.3,"Oct 01, 2009 00:00:00",8.3,8.2
8.2,2113900.0,8.2,"Oct 02, 2009 00:00:00",8.2,8.1
8.2,278800.0,8.2,"Oct 05, 2009 00:00:00",8.2,8.2
8.3,2772600.0,8.2,"Oct 06, 2009 00:00:00",8.3,8.1
8.2,2406800.0,8.3,"Oct 07, 2009 00:00:00",8.3,8.2
8.3,3614600.0,8.4,"Oct 08, 2009 00:00:00",8.4,8.3
8.4,1050000.0,8.4,"Oct 09, 2009 00:00:00",8.4,8.4
8.3,987700.0,8.3,"Oct 12, 2009 00:00:00",8.3,8.3
8.3,1646900.0,8.3,"Oct 13, 2009 00:00:00",8.5,8.2
8.3,1506500.0,8.4,"Oct 14, 2009 00:00:00",8.4,8.3
8.4,770600.0,8.3,"Oct 15, 2009 00:00:00",8.4,8.3
8.3,3333800.0,8.4,"Oct 16, 2009 00:00:00",8.4,8.3
8.4,292900.0,8.3,"Oct 19, 2009 00:00:00",8.4,8.3
8.4,4930200.0,8.3,"Oct 20, 2009 00:00:00",8.4,8.3
8.4,616000.0,8.3,"Oct 21, 2009 00:00:00",8.4,8.3
8.4,2124900.0,8.2,"Oct 22, 2009 00:00:00",8.4,8.2
8.2,710800.0,8.3,"Oct 23, 2009 00:00:00",8.3,8.2
8.3,1617400.0,8.2,"Oct 26, 2009 00:00:00",8.3,8.0
8.1,2365700.0,8.1,"Oct 27, 2009 00:00:00",8.2,8.0
8.0,320500.0,8.0,"Oct 28, 2009 00:00:00",8.1,8.0
8.0,1571100.0,7.8,"Oct 29, 2009 00:00:00",8.0,7.8
8.0,2834200.0,8.0,"Oct 30, 2009 00:00:00",8.1,8.0
8.0,1755300.0,7.9,"Nov 03, 2009 00:00:00",8.0,7.9
7.8,515600.0,7.8,"Nov 04, 2009 00:00:00",7.9,7.8
7.9,898100.0,7.8,"Nov 05, 2009 00:00:00",7.9,7.8
7.9,1445000.0,7.9,"Nov 06, 2009 00:00:00",8.0,7.8
7.9,568800.0,7.9,"Nov 09, 2009 00:00:00",7.9,7.9
7.9,5430100.0,8.0,"Nov 10, 2009 00:00:00",8.0,7.9
8.0,2478200.0,7.9,"Nov 11, 2009 00:00:00",8.0,7.9
7.7,154500.0,7.8,"Dec 15, 2009 00:00:00",7.8,7.7
7.8,139800.0,7.7,"Dec 16, 2009 00:00:00",7.8,7.7
7.7,739200.0,7.7,"Dec 17, 2009 00:00:00",7.7,7.7
7.7,569800.0,7.7,"Dec 18, 2009 00:00:00",7.7,7.7
7.8,285800.0,7.7,"Dec 21, 2009 00:00:00",7.8,7.7
7.7,184800.0,7.7,"Dec 22, 2009 00:00:00",7.7,7.7
7.7,1063700.0,7.7,"Dec 23, 2009 00:00:00",7.8,7.7
7.6,3201600.0,7.8,"Dec 29, 2009 00:00:00",7.8,7.6
7.7,993100.0,7.7,"Jan 04, 2010 00:00:00",7.7,7.6
7.8,4196600.0,7.7,"Jan 05, 2010 00:00:00",7.8,7.7
7.7,5485300.0,7.6,"Jan 06, 2010 00:00:00",7.7,7.6
7.6,3328700.0,7.6,"Jan 07, 2010 00:00:00",7.6,7.5
7.6,750900.0,7.5,"Jan 08, 2010 00:00:00",7.6,7.5
7.6,3917600.0,7.6,"Jan 11, 2010 00:00:00",7.7,7.6
7.6,5187900.0,7.7,"Jan 12, 2010 00:00:00",7.7,7.6
7.7,1024100.0,7.7,"Jan 13, 2010 00:00:00",7.7,7.7
7.7,816200.0,7.7,"Jan 14, 2010 00:00:00",7.7,7.7
7.7,869600.0,7.7,"Jan 15, 2010 00:00:00",7.7,7.6
7.6,730000.0,7.7,"Jan 18, 2010 00:00:00",7.7,7.6
7.6,2135600.0,7.6,"Jan 19, 2010 00:00:00",7.6,7.6
7.6,45300.0,7.5,"Jan 20, 2010 00:00:00",7.6,7.5
7.5,2038900.0,7.6,"Jan 21, 2010 00:00:00",7.6,7.5
7.5,2407300.0,7.6,"Jan 22, 2010 00:00:00",7.6,7.5
7.5,2035100.0,7.4,"Jan 25, 2010 00:00:00",7.5,7.3
7.4,2421700.0,7.3,"Jan 26, 2010 00:00:00",7.4,7.2
7.3,2171000.0,7.1,"Jan 27, 2010 00:00:00",7.3,7.0
7.0,577600.0,7.3,"Jan 28, 2010 00:00:00",7.3,7.0
7.3,939500.0,7.4,"Jan 29, 2010 00:00:00",7.4,7.3
7.4,2466700.0,7.2,"Feb 01, 2010 00:00:00",7.4,7.2
7.6,1197500.0,7.3,"Feb 02, 2010 00:00:00",7.6,7.3
7.2,273600.0,7.2,"Feb 03, 2010 00:00:00",7.2,7.2
7.2,2082300.0,7.1,"Feb 04, 2010 00:00:00",7.2,7.1
7.1,4609900.0,7.1,"Feb 05, 2010 00:00:00",7.1,7.0
7.1,1420000.0,7.1,"Feb 08, 2010 00:00:00",7.1,7.1
7.0,518000.0,7.0,"Feb 09, 2010 00:00:00",7.0,7.0
