OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.125,3405800.0,0.13,"Aug 03, 2009 00:00:00",0.13,0.12
0.125,3230500.0,0.13,"Aug 04, 2009 00:00:00",0.13,0.125
0.125,1585300.0,0.13,"Aug 06, 2009 00:00:00",0.13,0.125
0.125,6689550.0,0.125,"Aug 07, 2009 00:00:00",0.13,0.12
0.12,2339100.0,0.125,"Aug 10, 2009 00:00:00",0.125,0.12
0.125,8274750.0,0.125,"Aug 11, 2009 00:00:00",0.125,0.12
0.12,10385700.0,0.12,"Aug 12, 2009 00:00:00",0.12,0.115
0.12,3126350.0,0.125,"Aug 13, 2009 00:00:00",0.125,0.12
0.12,1300300.0,0.115,"Aug 14, 2009 00:00:00",0.125,0.115
0.12,4266600.0,0.12,"Aug 17, 2009 00:00:00",0.12,0.11
0.12,555150.0,0.12,"Aug 18, 2009 00:00:00",0.12,0.115
0.115,656800.0,0.12,"Aug 19, 2009 00:00:00",0.12,0.115
0.12,5737300.0,0.125,"Aug 20, 2009 00:00:00",0.125,0.115
0.12,3692000.0,0.125,"Aug 24, 2009 00:00:00",0.125,0.115
0.125,2618600.0,0.125,"Aug 25, 2009 00:00:00",0.125,0.115
0.125,924300.0,0.125,"Aug 26, 2009 00:00:00",0.125,0.12
0.12,5142500.0,0.125,"Sep 03, 2009 00:00:00",0.125,0.12
0.125,4435450.0,0.125,"Sep 04, 2009 00:00:00",0.125,0.115
0.12,8675600.0,0.125,"Sep 16, 2009 00:00:00",0.13,0.12
0.125,13599550.0,0.13,"Sep 17, 2009 00:00:00",0.13,0.12
0.125,16293100.0,0.13,"Sep 18, 2009 00:00:00",0.13,0.12
0.125,3548250.0,0.13,"Sep 22, 2009 00:00:00",0.13,0.125
0.125,2999100.0,0.13,"Sep 23, 2009 00:00:00",0.13,0.12
0.125,7341250.0,0.125,"Sep 30, 2009 00:00:00",0.125,0.115
0.125,5938450.0,0.12,"Oct 01, 2009 00:00:00",0.125,0.115
0.115,1382150.0,0.115,"Oct 02, 2009 00:00:00",0.12,0.115
0.12,7355600.0,0.11,"Oct 05, 2009 00:00:00",0.12,0.11
0.105,5149300.0,0.115,"Oct 06, 2009 00:00:00",0.115,0.105
0.115,692400.0,0.115,"Oct 07, 2009 00:00:00",0.115,0.11
0.11,5833150.0,0.115,"Oct 08, 2009 00:00:00",0.115,0.105
0.11,273100.0,0.115,"Oct 09, 2009 00:00:00",0.115,0.11
0.115,1361900.0,0.115,"Oct 12, 2009 00:00:00",0.115,0.11
0.115,1915000.0,0.115,"Oct 13, 2009 00:00:00",0.115,0.11
0.11,274000.0,0.115,"Oct 14, 2009 00:00:00",0.115,0.11
0.115,854400.0,0.115,"Oct 15, 2009 00:00:00",0.115,0.11
0.11,18552150.0,0.125,"Oct 16, 2009 00:00:00",0.125,0.11
0.12,2667750.0,0.125,"Oct 19, 2009 00:00:00",0.125,0.12
0.12,4300800.0,0.125,"Oct 20, 2009 00:00:00",0.125,0.115
0.12,8049500.0,0.125,"Oct 21, 2009 00:00:00",0.125,0.115
0.115,5336600.0,0.125,"Oct 22, 2009 00:00:00",0.125,0.115
0.12,2060900.0,0.125,"Oct 23, 2009 00:00:00",0.125,0.12
0.125,1978700.0,0.125,"Oct 26, 2009 00:00:00",0.125,0.12
0.12,3103450.0,0.125,"Oct 27, 2009 00:00:00",0.125,0.12
0.12,10384600.0,0.125,"Oct 28, 2009 00:00:00",0.13,0.12
0.125,5658300.0,0.125,"Oct 29, 2009 00:00:00",0.125,0.115
0.12,1572500.0,0.125,"Oct 30, 2009 00:00:00",0.125,0.12
0.115,12197000.0,0.12,"Nov 03, 2009 00:00:00",0.13,0.115
0.115,8417650.0,0.125,"Nov 04, 2009 00:00:00",0.125,0.115
0.115,11036800.0,0.115,"Nov 05, 2009 00:00:00",0.125,0.115
0.12,964000.0,0.12,"Nov 06, 2009 00:00:00",0.12,0.115
0.115,1460750.0,0.12,"Nov 09, 2009 00:00:00",0.12,0.115
0.12,11747750.0,0.13,"Nov 10, 2009 00:00:00",0.13,0.12
0.125,3270800.0,0.13,"Nov 11, 2009 00:00:00",0.13,0.125
0.115,945550.0,0.115,"Dec 15, 2009 00:00:00",0.12,0.115
0.12,623750.0,0.12,"Dec 16, 2009 00:00:00",0.12,0.115
0.115,956200.0,0.12,"Dec 17, 2009 00:00:00",0.12,0.115
0.12,712050.0,0.12,"Dec 18, 2009 00:00:00",0.12,0.115
0.115,700950.0,0.12,"Dec 21, 2009 00:00:00",0.12,0.115
0.115,2176350.0,0.12,"Dec 22, 2009 00:00:00",0.12,0.115
0.11,188000.0,0.12,"Dec 23, 2009 00:00:00",0.12,0.11
0.115,17900.0,0.12,"Dec 29, 2009 00:00:00",0.12,0.115
0.115,1392000.0,0.12,"Jan 04, 2010 00:00:00",0.12,0.115
0.115,499800.0,0.12,"Jan 05, 2010 00:00:00",0.12,0.115
0.12,363850.0,0.12,"Jan 06, 2010 00:00:00",0.12,0.115
0.115,301800.0,0.12,"Jan 07, 2010 00:00:00",0.12,0.115
0.115,1052500.0,0.12,"Jan 11, 2010 00:00:00",0.12,0.115
0.12,3600.0,0.12,"Jan 12, 2010 00:00:00",0.12,0.12
0.115,237900.0,0.12,"Jan 13, 2010 00:00:00",0.12,0.11
0.115,148450.0,0.12,"Jan 14, 2010 00:00:00",0.12,0.115
0.11,17000.0,0.12,"Jan 15, 2010 00:00:00",0.12,0.11
0.115,231200.0,0.12,"Jan 18, 2010 00:00:00",0.12,0.115
0.11,410500.0,0.12,"Jan 19, 2010 00:00:00",0.12,0.11
0.115,461200.0,0.12,"Jan 20, 2010 00:00:00",0.12,0.115
0.11,1843750.0,0.12,"Jan 21, 2010 00:00:00",0.12,0.11
0.115,2767250.0,0.115,"Jan 22, 2010 00:00:00",0.115,0.11
0.11,2836100.0,0.115,"Jan 25, 2010 00:00:00",0.115,0.105
0.11,2290350.0,0.115,"Jan 26, 2010 00:00:00",0.115,0.105
0.11,2096050.0,0.115,"Jan 27, 2010 00:00:00",0.115,0.105
0.11,3904500.0,0.115,"Jan 29, 2010 00:00:00",0.115,0.105
0.105,839450.0,0.115,"Feb 01, 2010 00:00:00",0.115,0.105
0.11,3414250.0,0.11,"Feb 02, 2010 00:00:00",0.115,0.1
0.1,448350.0,0.11,"Feb 03, 2010 00:00:00",0.11,0.1
0.105,7162850.0,0.105,"Feb 04, 2010 00:00:00",0.11,0.1
0.1,839900.0,0.105,"Feb 05, 2010 00:00:00",0.105,0.1
0.0975,223025.0,0.105,"Feb 08, 2010 00:00:00",0.105,0.0975
0.1,1370100.0,0.105,"Feb 09, 2010 00:00:00",0.105,0.0975
0.1,440400.0,0.105,"Feb 10, 2010 00:00:00",0.105,0.0975
0.1,408450.0,0.105,"Feb 11, 2010 00:00:00",0.105,0.1
0.1,1220200.0,0.1,"Mar 08, 2010 00:00:00",0.105,0.1
0.1,3750450.0,0.1,"Mar 12, 2010 00:00:00",0.105,0.0975
0.1,2201000.0,0.105,"Mar 15, 2010 00:00:00",0.105,0.1
0.1,4551050.0,0.105,"Mar 16, 2010 00:00:00",0.105,0.0975
0.1,2060625.0,0.105,"Mar 17, 2010 00:00:00",0.105,0.0975
0.0925,163500.0,0.0975,"Mar 31, 2010 00:00:00",0.0975,0.0925
0.0925,4216000.0,0.095,"Apr 20, 2010 00:00:00",0.095,0.09
0.0925,4408750.0,0.095,"Apr 21, 2010 00:00:00",0.095,0.09
0.09,4666500.0,0.0925,"Apr 22, 2010 00:00:00",0.0925,0.09
