OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
500.0,3312679758.0,492.0,"Apr 20, 2012 00:00:00",500.0,481.2
491.0,543599384.0,492.2,"Apr 23, 2012 00:00:00",495.0,490.0
491.0,335361640.0,491.2,"Apr 24, 2012 00:00:00",492.0,486.6
491.8,710712399.0,513.0,"Apr 25, 2012 00:00:00",516.5,491.8
515.0,211630410.0,508.0,"Apr 26, 2012 00:00:00",520.0,506.0
510.0,323535795.0,502.5,"Apr 27, 2012 00:00:00",510.0,501.0
503.5,101982790.0,509.0,"Apr 30, 2012 00:00:00",510.0,501.0
510.0,168251290.0,510.0,"May 02, 2012 00:00:00",515.0,510.0
509.0,657467754.0,500.5,"May 03, 2012 00:00:00",510.0,494.6
501.0,236945405.0,511.5,"May 04, 2012 00:00:00",512.0,501.0
510.0,204811180.0,500.0,"May 07, 2012 00:00:00",510.0,500.0
500.0,91789390.0,503.0,"May 08, 2012 00:00:00",506.0,500.0
503.0,105264805.0,502.0,"May 09, 2012 00:00:00",504.0,500.5
500.0,188380888.0,493.0,"May 10, 2012 00:00:00",501.0,489.0
493.0,104004334.0,491.0,"May 11, 2012 00:00:00",500.0,490.0
490.0,99059510.0,470.0,"May 14, 2012 00:00:00",490.0,468.4
470.0,356682382.0,465.6,"May 15, 2012 00:00:00",470.0,455.4
470.0,109480180.0,470.0,"May 16, 2012 00:00:00",480.0,467.0
475.0,106750484.0,482.0,"May 17, 2012 00:00:00",493.0,470.0
475.0,84573722.0,465.0,"May 18, 2012 00:00:00",475.0,463.0
462.2,131692270.0,472.0,"May 21, 2012 00:00:00",478.0,460.8
480.0,67334506.0,472.2,"May 22, 2012 00:00:00",490.0,472.2
479.0,56011810.0,480.0,"May 23, 2012 00:00:00",480.0,476.0
468.0,25294010.0,479.0,"May 24, 2012 00:00:00",480.0,468.0
479.0,112839274.0,479.0,"May 25, 2012 00:00:00",479.8,478.0
480.0,33027300.0,483.0,"May 28, 2012 00:00:00",483.0,478.0
483.2,375934466.0,498.0,"May 29, 2012 00:00:00",501.0,481.0
498.0,172034514.0,500.0,"May 30, 2012 00:00:00",500.0,495.0
495.0,83145948.0,500.0,"May 31, 2012 00:00:00",503.0,482.0
498.0,73823318.0,499.0,"Jun 01, 2012 00:00:00",499.6,497.0
497.0,50726404.0,476.2,"Jun 04, 2012 00:00:00",497.0,476.0
476.4,52101712.0,477.0,"Jun 05, 2012 00:00:00",481.0,476.4
478.0,26648732.0,478.0,"Jun 06, 2012 00:00:00",481.0,477.0
478.2,102522002.0,479.0,"Jun 07, 2012 00:00:00",488.0,478.2
475.2,4923602.0,481.0,"Jun 08, 2012 00:00:00",483.0,475.2
479.0,22785690.0,483.0,"Jun 11, 2012 00:00:00",483.0,479.0
483.0,20351040.0,484.2,"Jun 13, 2012 00:00:00",490.0,483.0
484.0,60749718.0,484.0,"Jun 14, 2012 00:00:00",487.0,484.0
482.0,17660740.0,482.0,"Jun 15, 2012 00:00:00",482.6,482.0
482.2,122800322.0,496.2,"Jun 18, 2012 00:00:00",499.6,482.2
497.0,5646412.0,492.2,"Jun 19, 2012 00:00:00",497.0,490.0
493.0,72227030.0,493.0,"Jun 20, 2012 00:00:00",493.6,493.0
492.0,67134976.0,494.0,"Jun 21, 2012 00:00:00",495.0,492.0
492.0,294161250.0,490.0,"Jun 22, 2012 00:00:00",495.0,490.0
494.0,3839620.0,489.0,"Jun 25, 2012 00:00:00",494.0,489.0
481.4,30649942.0,488.0,"Jun 26, 2012 00:00:00",492.8,481.4
484.0,270309573.0,504.0,"Jun 27, 2012 00:00:00",504.0,484.0
500.0,87231635.0,505.0,"Jun 28, 2012 00:00:00",510.0,500.0
505.0,72734075.0,505.0,"Jun 29, 2012 00:00:00",508.5,505.0
507.0,167371060.0,510.0,"Jul 02, 2012 00:00:00",515.5,507.0
510.0,152769540.0,516.5,"Jul 03, 2012 00:00:00",517.5,510.0
517.0,80985865.0,515.0,"Jul 04, 2012 00:00:00",517.0,513.5
510.0,30775580.0,516.0,"Jul 05, 2012 00:00:00",516.0,510.0
513.0,94609160.0,514.0,"Jul 06, 2012 00:00:00",515.5,513.0
513.0,15445825.0,510.0,"Jul 09, 2012 00:00:00",513.0,501.0
500.0,46972090.0,509.0,"Jul 10, 2012 00:00:00",509.0,499.0
507.0,104045475.0,507.0,"Jul 11, 2012 00:00:00",507.0,505.5
510.0,394857855.0,531.5,"Jul 12, 2012 00:00:00",532.0,510.0
523.0,173053070.0,535.0,"Jul 13, 2012 00:00:00",542.0,523.0
540.0,181379935.0,540.0,"Jul 16, 2012 00:00:00",546.0,538.0
540.0,120599190.0,535.0,"Jul 17, 2012 00:00:00",544.0,535.0
532.0,37498905.0,526.0,"Jul 18, 2012 00:00:00",535.0,525.0
528.5,139407995.0,528.5,"Jul 19, 2012 00:00:00",536.0,526.0
529.0,246015870.0,538.0,"Jul 20, 2012 00:00:00",543.0,529.0
538.0,28154465.0,530.0,"Jul 23, 2012 00:00:00",538.0,528.5
529.5,52304805.0,527.0,"Jul 24, 2012 00:00:00",530.0,525.0
527.0,61668345.0,525.0,"Jul 25, 2012 00:00:00",527.0,525.0
528.0,153129625.0,525.0,"Jul 26, 2012 00:00:00",528.0,524.5
528.0,14112065.0,531.0,"Jul 27, 2012 00:00:00",534.0,528.0
538.0,136991910.0,544.5,"Jul 30, 2012 00:00:00",548.0,538.0
544.5,177126255.0,546.0,"Jul 31, 2012 00:00:00",549.0,541.0
546.0,190413800.0,551.0,"Aug 01, 2012 00:00:00",552.0,546.0
551.0,72714100.0,548.0,"Aug 02, 2012 00:00:00",551.0,548.0
545.0,15005835.0,548.0,"Aug 03, 2012 00:00:00",549.0,540.0
550.0,27424870.0,548.0,"Aug 06, 2012 00:00:00",555.0,547.0
548.0,111655640.0,554.0,"Aug 08, 2012 00:00:00",556.0,540.0
550.0,34140860.0,548.0,"Aug 09, 2012 00:00:00",550.0,548.0
548.0,51574800.0,542.0,"Aug 10, 2012 00:00:00",548.0,538.0
545.0,29308080.0,542.5,"Aug 13, 2012 00:00:00",545.0,542.0
542.0,8729010.0,543.0,"Aug 14, 2012 00:00:00",543.5,541.0
543.0,5900050.0,543.5,"Aug 15, 2012 00:00:00",547.0,543.0
548.0,88402785.0,541.5,"Aug 16, 2012 00:00:00",548.0,538.0
541.5,36899660.0,538.0,"Aug 17, 2012 00:00:00",543.5,528.0
538.0,72333180.0,535.0,"Aug 22, 2012 00:00:00",538.0,532.0
538.0,33409695.0,547.0,"Aug 23, 2012 00:00:00",548.0,537.0
545.0,43095530.0,543.5,"Aug 24, 2012 00:00:00",545.0,542.0
547.0,25298975.0,536.0,"Aug 28, 2012 00:00:00",547.0,536.0
536.0,41010260.0,540.0,"Aug 29, 2012 00:00:00",541.0,536.0
540.0,28522270.0,536.0,"Aug 30, 2012 00:00:00",540.0,535.0
535.0,26924890.0,537.0,"Aug 31, 2012 00:00:00",538.5,535.0
537.0,14505035.0,537.0,"Sep 03, 2012 00:00:00",539.5,536.0
537.0,125258130.0,537.5,"Sep 04, 2012 00:00:00",540.0,537.0
537.5,168872895.0,538.0,"Sep 05, 2012 00:00:00",540.0,536.5
537.5,14589605.0,538.5,"Sep 06, 2012 00:00:00",540.0,537.5
540.0,115775880.0,550.0,"Sep 07, 2012 00:00:00",554.0,540.0
551.0,35111510.0,558.0,"Sep 10, 2012 00:00:00",564.0,551.0
558.0,52391210.0,558.0,"Sep 11, 2012 00:00:00",559.0,555.0
559.0,137762270.0,560.0,"Sep 12, 2012 00:00:00",562.0,558.0
560.0,55099655.0,562.5,"Sep 13, 2012 00:00:00",563.0,560.0
563.0,131202935.0,563.0,"Sep 14, 2012 00:00:00",565.0,562.5
563.0,123833710.0,550.0,"Sep 17, 2012 00:00:00",564.0,550.0
556.0,11646115.0,551.0,"Sep 18, 2012 00:00:00",564.0,549.0
550.0,49452420.0,545.0,"Sep 19, 2012 00:00:00",565.0,545.0
545.0,69682545.0,541.0,"Sep 20, 2012 00:00:00",545.0,540.0
540.0,70043285.0,550.0,"Sep 21, 2012 00:00:00",550.0,540.0
545.0,17919920.0,545.0,"Sep 24, 2012 00:00:00",549.5,545.0
550.0,28441510.0,550.0,"Sep 25, 2012 00:00:00",550.5,549.0
560.0,103497605.0,554.0,"Sep 26, 2012 00:00:00",560.0,548.5
554.0,26907160.0,545.0,"Sep 27, 2012 00:00:00",554.0,545.0
555.0,128395355.0,545.0,"Sep 28, 2012 00:00:00",559.0,545.0
545.0,26478905.0,548.0,"Oct 01, 2012 00:00:00",555.0,545.0
553.5,66269410.0,550.0,"Oct 02, 2012 00:00:00",553.5,546.0
553.5,19556240.0,555.0,"Oct 03, 2012 00:00:00",555.0,550.0
555.0,87492960.0,558.0,"Oct 04, 2012 00:00:00",559.0,555.0
556.0,114778530.0,557.0,"Oct 05, 2012 00:00:00",558.0,555.0
556.0,38363005.0,556.0,"Oct 08, 2012 00:00:00",556.0,555.0
558.0,102436080.0,555.0,"Oct 09, 2012 00:00:00",558.0,555.0
550.0,42356530.0,550.0,"Oct 10, 2012 00:00:00",555.0,540.0
548.0,3727350.0,547.5,"Oct 11, 2012 00:00:00",549.5,547.5
545.0,12958650.0,543.5,"Oct 12, 2012 00:00:00",545.5,542.5
554.5,18355765.0,544.5,"Oct 15, 2012 00:00:00",555.0,543.5
