OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
11.62,2844636664.0,11.56,"Oct 10, 2019 00:00:00",11.62,11.42
11.52,342197856.0,11.54,"Oct 11, 2019 00:00:00",11.54,11.48
11.56,199514336.0,11.56,"Oct 14, 2019 00:00:00",11.72,11.54
11.56,219309470.0,11.5,"Oct 15, 2019 00:00:00",11.56,11.48
11.5,182794484.0,11.56,"Oct 16, 2019 00:00:00",11.56,11.46
11.54,174547824.0,11.5,"Oct 17, 2019 00:00:00",11.56,11.48
11.5,149807328.0,11.58,"Oct 18, 2019 00:00:00",11.58,11.48
11.52,66100800.0,11.58,"Oct 21, 2019 00:00:00",11.58,11.52
11.54,77489928.0,11.56,"Oct 22, 2019 00:00:00",11.58,11.52
11.56,67191816.0,11.56,"Oct 23, 2019 00:00:00",11.56,11.52
11.54,190800734.0,11.5,"Oct 24, 2019 00:00:00",11.58,11.5
11.52,66750864.0,11.5,"Oct 25, 2019 00:00:00",11.52,11.48
11.5,177564444.0,11.5,"Oct 28, 2019 00:00:00",11.52,11.46
11.5,182609724.0,11.5,"Oct 29, 2019 00:00:00",11.5,11.46
11.5,147651446.0,11.5,"Oct 30, 2019 00:00:00",11.5,11.48
11.5,138170220.0,11.48,"Oct 31, 2019 00:00:00",11.5,11.48
11.5,128942086.0,11.48,"Nov 04, 2019 00:00:00",11.5,11.46
11.48,307986732.0,11.48,"Nov 05, 2019 00:00:00",11.48,11.38
11.48,131711078.0,11.42,"Nov 06, 2019 00:00:00",11.48,11.4
11.42,146116132.0,11.38,"Nov 07, 2019 00:00:00",11.44,11.3
11.4,109209732.0,11.38,"Nov 08, 2019 00:00:00",11.42,11.3
11.38,78193760.0,11.3,"Nov 11, 2019 00:00:00",11.38,11.2
11.34,104080100.0,11.36,"Nov 12, 2019 00:00:00",11.36,11.2
11.34,60678518.0,11.34,"Nov 13, 2019 00:00:00",11.34,11.24
11.3,60647986.0,11.38,"Nov 14, 2019 00:00:00",11.38,11.3
11.36,369336050.0,11.48,"Nov 15, 2019 00:00:00",11.48,11.36
11.48,102786484.0,11.52,"Nov 18, 2019 00:00:00",11.54,11.46
11.54,95345070.0,11.6,"Nov 19, 2019 00:00:00",11.6,11.5
11.6,185771970.0,11.66,"Nov 20, 2019 00:00:00",11.82,11.6
11.64,91069402.0,11.5,"Nov 21, 2019 00:00:00",11.64,11.46
11.5,67403528.0,11.56,"Nov 22, 2019 00:00:00",11.56,11.48
11.56,31551088.0,11.54,"Nov 25, 2019 00:00:00",11.56,11.5
11.56,32430288.0,11.5,"Nov 26, 2019 00:00:00",11.56,11.46
11.5,23726194.0,11.54,"Nov 27, 2019 00:00:00",11.54,11.46
11.5,17117754.0,11.52,"Nov 28, 2019 00:00:00",11.52,11.44
11.52,39712274.0,11.52,"Nov 29, 2019 00:00:00",11.52,11.4
11.5,36660078.0,11.48,"Dec 02, 2019 00:00:00",11.5,11.4
11.48,41422724.0,11.5,"Dec 03, 2019 00:00:00",11.5,11.42
11.5,63222392.0,11.5,"Dec 04, 2019 00:00:00",11.5,11.46
11.46,50091692.0,11.52,"Dec 05, 2019 00:00:00",11.52,11.46
11.52,29616704.0,11.52,"Dec 06, 2019 00:00:00",11.52,11.48
11.46,32902128.0,11.5,"Dec 09, 2019 00:00:00",11.5,11.46
11.5,31405822.0,11.5,"Dec 10, 2019 00:00:00",11.5,11.44
11.44,38667760.0,11.48,"Dec 11, 2019 00:00:00",11.5,11.44
11.46,26504066.0,11.5,"Dec 12, 2019 00:00:00",11.5,11.44
11.46,21747622.0,11.48,"Dec 13, 2019 00:00:00",11.5,11.46
11.46,28005244.0,11.48,"Dec 16, 2019 00:00:00",11.48,11.42
11.48,27383472.0,11.48,"Dec 17, 2019 00:00:00",11.48,11.4
11.42,21357964.0,11.48,"Dec 18, 2019 00:00:00",11.48,11.4
11.5,20355914.0,11.48,"Dec 19, 2019 00:00:00",11.5,11.42
