OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
12.5,1250.0,12.5,"Aug 06, 2009 00:00:00",12.5,12.5
10.0,4342000.0,10.0,"Sep 04, 2009 00:00:00",10.0,10.0
10.0,50000.0,10.0,"Sep 23, 2009 00:00:00",10.0,10.0
7.2,92800.0,8.0,"Dec 23, 2009 00:00:00",8.0,7.2
9.0,73000.0,9.0,"Dec 29, 2009 00:00:00",10.0,8.5
10.0,32500.0,12.5,"Jan 05, 2010 00:00:00",12.5,10.0
9.8,3920.0,9.8,"Jan 06, 2010 00:00:00",9.8,9.8
8.0,8000.0,8.0,"Jan 21, 2010 00:00:00",8.0,8.0
8.0,32000.0,8.0,"Mar 31, 2010 00:00:00",8.0,8.0
5.0,1000.0,5.0,"Sep 20, 2010 00:00:00",5.0,5.0
5.0,36000.0,5.0,"Sep 21, 2010 00:00:00",5.0,5.0
7.0,76300.0,7.0,"Sep 24, 2010 00:00:00",7.0,6.5
6.5,20900.0,6.0,"Sep 28, 2010 00:00:00",6.5,6.0
6.0,130000.0,6.0,"Sep 29, 2010 00:00:00",6.0,5.5
5.5,56100.0,5.5,"Oct 04, 2010 00:00:00",5.5,5.5
5.5,2200.0,5.5,"Oct 08, 2010 00:00:00",5.5,5.5
5.5,5500.0,5.5,"Oct 15, 2010 00:00:00",5.5,5.5
5.5,5500.0,5.5,"Oct 22, 2010 00:00:00",5.5,5.5
5.5,2200.0,5.5,"Nov 08, 2010 00:00:00",5.5,5.5
5.5,5500.0,5.5,"Nov 24, 2010 00:00:00",5.5,5.5
5.5,33550.0,5.5,"Nov 25, 2010 00:00:00",5.5,5.5
5.5,1100.0,5.5,"Nov 30, 2010 00:00:00",5.5,5.5
5.5,5500.0,5.5,"Dec 02, 2010 00:00:00",5.5,5.5
5.5,3850.0,5.5,"Dec 07, 2010 00:00:00",5.5,5.5
7.5,6000.0,7.5,"Dec 16, 2010 00:00:00",7.5,7.5
7.01,2802.0,7.0,"Dec 23, 2010 00:00:00",7.01,7.0
7.0,13300.0,7.0,"Dec 28, 2010 00:00:00",7.0,7.0
7.0,13300.0,7.0,"Dec 28, 2010 00:00:00",7.0,7.0
7.0,13300.0,7.0,"Dec 28, 2010 00:00:00",7.0,7.0
7.0,13300.0,7.0,"Dec 28, 2010 00:00:00",7.0,7.0
7.0,13300.0,7.0,"Dec 28, 2010 00:00:00",7.0,7.0
7.0,13300.0,7.0,"Dec 28, 2010 00:00:00",7.0,7.0
7.0,13300.0,7.0,"Dec 28, 2010 00:00:00",7.0,7.0
7.0,13300.0,7.0,"Dec 28, 2010 00:00:00",7.0,7.0
7.0,13300.0,7.0,"Dec 28, 2010 00:00:00",7.0,7.0
7.0,13300.0,7.0,"Dec 28, 2010 00:00:00",7.0,7.0
7.0,13300.0,7.0,"Dec 28, 2010 00:00:00",7.0,7.0
7.0,13300.0,7.0,"Dec 28, 2010 00:00:00",7.0,7.0
7.0,13300.0,7.0,"Dec 28, 2010 00:00:00",7.0,7.0
7.0,13300.0,7.0,"Dec 28, 2010 00:00:00",7.0,7.0
7.0,13300.0,7.0,"Dec 28, 2010 00:00:00",7.0,7.0
7.0,13300.0,7.0,"Dec 28, 2010 00:00:00",7.0,7.0
7.0,13300.0,7.0,"Dec 28, 2010 00:00:00",7.0,7.0
7.0,13300.0,7.0,"Dec 28, 2010 00:00:00",7.0,7.0
7.0,13300.0,7.0,"Dec 28, 2010 00:00:00",7.0,7.0
7.0,13300.0,7.0,"Dec 28, 2010 00:00:00",7.0,7.0
7.0,13300.0,7.0,"Dec 28, 2010 00:00:00",7.0,7.0
6.0,6000.0,6.0,"Feb 16, 2011 00:00:00",6.0,6.0
6.0,6000.0,6.0,"Feb 16, 2011 00:00:00",6.0,6.0
6.0,6000.0,6.0,"Feb 21, 2011 00:00:00",6.0,6.0
6.0,6000.0,6.0,"Feb 21, 2011 00:00:00",6.0,6.0
5.5,2750.0,5.5,"Feb 22, 2011 00:00:00",5.5,5.5
5.5,2750.0,5.5,"Feb 22, 2011 00:00:00",5.5,5.5
6.0,12000.0,6.0,"Mar 11, 2011 00:00:00",6.0,6.0
6.0,12000.0,6.0,"Mar 11, 2011 00:00:00",6.0,6.0
5.0,25000.0,5.0,"Mar 29, 2011 00:00:00",5.0,5.0
5.0,1500.0,5.0,"Mar 31, 2011 00:00:00",5.0,5.0
5.0,1000.0,5.0,"Apr 05, 2011 00:00:00",5.0,5.0
5.0,10000.0,5.0,"Apr 06, 2011 00:00:00",5.0,5.0
5.0,52500.0,5.0,"Apr 26, 2011 00:00:00",5.0,5.0
5.0,10000.0,5.0,"Apr 29, 2011 00:00:00",5.0,5.0
5.0,5000.0,5.0,"May 03, 2011 00:00:00",5.0,5.0
5.0,95000.0,5.0,"May 19, 2011 00:00:00",5.0,5.0
5.0,22500.0,5.0,"May 20, 2011 00:00:00",5.0,5.0
5.0,80000.0,5.0,"May 24, 2011 00:00:00",5.0,5.0
5.0,10000.0,5.0,"May 25, 2011 00:00:00",5.0,5.0
5.0,10000.0,5.0,"May 26, 2011 00:00:00",5.0,5.0
5.0,4000.0,5.0,"May 31, 2011 00:00:00",5.0,5.0
5.0,1000.0,5.0,"Jun 06, 2011 00:00:00",5.0,5.0
5.0,41000.0,5.0,"Jun 24, 2011 00:00:00",5.0,5.0
5.0,5000.0,5.0,"Jul 07, 2011 00:00:00",5.0,5.0
5.0,14000.0,5.0,"Jul 11, 2011 00:00:00",5.0,5.0
5.0,50000.0,5.0,"Jul 12, 2011 00:00:00",5.0,5.0
5.0,25000.0,5.0,"Jul 14, 2011 00:00:00",5.0,5.0
5.0,1000.0,5.0,"Jul 15, 2011 00:00:00",5.0,5.0
5.0,85000.0,5.0,"Jul 19, 2011 00:00:00",5.0,5.0
5.0,40000.0,5.0,"Jul 20, 2011 00:00:00",5.0,5.0
5.0,50000.0,5.0,"Jul 21, 2011 00:00:00",5.0,5.0
5.0,1000.0,5.0,"Jul 26, 2011 00:00:00",5.0,5.0
5.0,193500.0,5.0,"Jul 27, 2011 00:00:00",5.0,5.0
5.0,5000.0,5.0,"Jul 28, 2011 00:00:00",5.0,5.0
5.0,5000.0,5.0,"Jul 29, 2011 00:00:00",5.0,5.0
5.0,30000.0,5.0,"Aug 11, 2011 00:00:00",5.0,5.0
5.0,50500.0,5.0,"Aug 22, 2011 00:00:00",5.0,5.0
5.0,50000.0,5.0,"Aug 26, 2011 00:00:00",5.0,5.0
5.0,11000.0,5.0,"Sep 08, 2011 00:00:00",5.0,5.0
6.99,3498.0,7.0,"Sep 09, 2011 00:00:00",7.0,6.99
7.4,1480.0,7.4,"Sep 13, 2011 00:00:00",7.4,7.4
7.4,2220.0,7.4,"Sep 14, 2011 00:00:00",7.4,7.4
7.0,4200.0,7.0,"Sep 15, 2011 00:00:00",7.0,7.0
6.5,67800.0,7.0,"Sep 16, 2011 00:00:00",7.0,6.5
7.0,4800.0,6.5,"Sep 21, 2011 00:00:00",7.0,6.5
7.0,16500.0,7.0,"Sep 22, 2011 00:00:00",7.0,6.5
6.5,1950.0,6.5,"Sep 23, 2011 00:00:00",6.5,6.5
6.5,1300.0,6.5,"Sep 26, 2011 00:00:00",6.5,6.5
6.5,1300.0,6.5,"Oct 03, 2011 00:00:00",6.5,6.5
6.5,1300.0,6.5,"Oct 05, 2011 00:00:00",6.5,6.5
