OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.34,146840.0,1.32,"Aug 03, 2009 00:00:00",1.34,1.32
1.4,91160.0,1.36,"Aug 04, 2009 00:00:00",1.4,1.32
1.36,4080.0,1.36,"Aug 06, 2009 00:00:00",1.36,1.36
1.3,168360.0,1.36,"Aug 07, 2009 00:00:00",1.36,1.28
1.28,64000.0,1.28,"Aug 10, 2009 00:00:00",1.28,1.28
1.28,75720.0,1.3,"Aug 11, 2009 00:00:00",1.3,1.28
1.38,462180.0,1.3,"Aug 12, 2009 00:00:00",1.38,1.28
1.26,63000.0,1.26,"Aug 14, 2009 00:00:00",1.26,1.26
1.26,3780.0,1.26,"Aug 17, 2009 00:00:00",1.26,1.26
1.26,2242680.0,1.34,"Aug 18, 2009 00:00:00",1.36,1.26
1.26,79060.0,1.32,"Aug 19, 2009 00:00:00",1.32,1.24
1.28,194560.0,1.28,"Aug 20, 2009 00:00:00",1.28,1.28
1.38,244480.0,1.32,"Aug 24, 2009 00:00:00",1.38,1.24
1.28,493240.0,1.3,"Aug 25, 2009 00:00:00",1.32,1.28
1.26,139960.0,1.36,"Aug 26, 2009 00:00:00",1.36,1.26
1.22,36600.0,1.22,"Sep 03, 2009 00:00:00",1.22,1.22
1.34,41560.0,1.34,"Sep 04, 2009 00:00:00",1.34,1.2
1.28,93060.0,1.28,"Sep 17, 2009 00:00:00",1.28,1.2
1.2,1200.0,1.2,"Sep 18, 2009 00:00:00",1.2,1.2
1.2,24000.0,1.2,"Sep 22, 2009 00:00:00",1.2,1.2
1.3,9180.0,1.32,"Sep 23, 2009 00:00:00",1.32,1.3
1.32,197280.0,1.3,"Sep 30, 2009 00:00:00",1.32,1.22
1.32,1526160.0,1.4,"Oct 01, 2009 00:00:00",1.4,1.3
1.34,1091180.0,1.4,"Oct 02, 2009 00:00:00",1.4,1.34
1.42,177400.0,1.4,"Oct 05, 2009 00:00:00",1.42,1.4
1.36,238960.0,1.42,"Oct 06, 2009 00:00:00",1.42,1.36
1.42,7100.0,1.42,"Oct 07, 2009 00:00:00",1.42,1.42
1.4,1663440.0,1.54,"Oct 09, 2009 00:00:00",1.58,1.4
1.54,590720.0,1.5,"Oct 12, 2009 00:00:00",1.58,1.5
1.5,541080.0,1.52,"Oct 13, 2009 00:00:00",1.52,1.46
1.5,4984880.0,1.76,"Oct 14, 2009 00:00:00",1.76,1.5
1.8,2265580.0,1.76,"Oct 15, 2009 00:00:00",1.82,1.72
1.76,9001620.0,2.08,"Oct 16, 2009 00:00:00",2.26,1.76
2.08,1142060.0,2.0,"Oct 19, 2009 00:00:00",2.1,1.92
2.0,1143680.0,1.98,"Oct 20, 2009 00:00:00",2.08,1.94
1.98,1354880.0,1.9,"Oct 21, 2009 00:00:00",1.98,1.9
1.84,362600.0,1.84,"Oct 22, 2009 00:00:00",1.9,1.82
1.84,41400.0,1.88,"Oct 23, 2009 00:00:00",1.88,1.7
1.84,8960.0,1.84,"Oct 26, 2009 00:00:00",1.84,1.72
1.68,95760.0,1.68,"Oct 28, 2009 00:00:00",1.68,1.68
1.6,81800.0,1.8,"Oct 29, 2009 00:00:00",1.8,1.6
1.74,455980.0,1.78,"Oct 30, 2009 00:00:00",1.78,1.72
1.62,27740.0,1.72,"Nov 04, 2009 00:00:00",1.72,1.62
1.72,68800.0,1.72,"Nov 05, 2009 00:00:00",1.72,1.72
