OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.95,281850.0,3.0,"Aug 06, 2009 00:00:00",3.0,2.95
3.05,762500.0,3.05,"Aug 07, 2009 00:00:00",3.05,3.05
3.0,846000.0,3.0,"Aug 10, 2009 00:00:00",3.0,3.0
3.0,198000.0,3.0,"Aug 11, 2009 00:00:00",3.0,3.0
3.05,552550.0,3.3,"Aug 13, 2009 00:00:00",3.3,3.05
3.15,315000.0,3.15,"Aug 18, 2009 00:00:00",3.15,3.15
3.15,630000.0,3.15,"Aug 19, 2009 00:00:00",3.15,3.15
3.15,18900.0,3.15,"Aug 20, 2009 00:00:00",3.15,3.15
3.15,3150.0,3.15,"Aug 24, 2009 00:00:00",3.15,3.15
3.2,1223750.0,3.4,"Aug 25, 2009 00:00:00",3.4,3.15
3.25,984950.0,3.4,"Aug 26, 2009 00:00:00",3.4,3.25
3.4,812600.0,3.4,"Sep 04, 2009 00:00:00",3.4,3.4
3.1,31000.0,3.1,"Sep 30, 2009 00:00:00",3.1,3.1
3.2,40800.0,3.1,"Oct 05, 2009 00:00:00",3.2,3.1
3.1,1432200.0,3.1,"Oct 09, 2009 00:00:00",3.1,3.1
3.1,15500.0,3.1,"Oct 12, 2009 00:00:00",3.1,3.1
3.1,34100.0,3.1,"Oct 13, 2009 00:00:00",3.1,3.1
3.1,96100.0,3.1,"Oct 14, 2009 00:00:00",3.1,3.1
3.1,424700.0,3.1,"Oct 15, 2009 00:00:00",3.1,3.1
3.1,49600.0,3.1,"Oct 16, 2009 00:00:00",3.1,3.1
3.1,24800.0,3.1,"Oct 20, 2009 00:00:00",3.1,3.1
3.1,34100.0,3.1,"Oct 22, 2009 00:00:00",3.1,3.1
3.1,1069500.0,3.1,"Oct 23, 2009 00:00:00",3.1,3.1
3.1,465000.0,3.1,"Oct 28, 2009 00:00:00",3.1,3.1
3.25,162500.0,3.25,"Dec 18, 2009 00:00:00",3.25,3.25
3.25,32500.0,3.25,"Dec 22, 2009 00:00:00",3.25,3.25
3.25,130000.0,3.25,"Dec 23, 2009 00:00:00",3.25,3.25
3.3,214500.0,3.3,"Jan 05, 2010 00:00:00",3.3,3.3
3.35,351100.0,3.4,"Jan 06, 2010 00:00:00",3.4,3.35
3.4,1337350.0,3.5,"Jan 08, 2010 00:00:00",3.5,3.4
3.6,720000.0,3.6,"Jan 11, 2010 00:00:00",3.6,3.6
3.6,39600.0,3.6,"Jan 12, 2010 00:00:00",3.6,3.6
3.6,10800.0,3.6,"Jan 13, 2010 00:00:00",3.6,3.6
