OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
50.5,78423700.0,51.0,"Aug 03, 2009 00:00:00",51.0,50.5
51.5,25574700.0,51.5,"Aug 04, 2009 00:00:00",52.0,51.0
51.5,46603700.0,51.5,"Aug 06, 2009 00:00:00",52.0,51.5
51.0,11389600.0,51.0,"Aug 07, 2009 00:00:00",51.5,51.0
51.0,8875300.0,51.0,"Aug 10, 2009 00:00:00",51.0,50.5
51.0,28067150.0,51.5,"Aug 11, 2009 00:00:00",51.5,50.5
51.0,36669500.0,51.0,"Aug 12, 2009 00:00:00",51.0,50.5
51.0,58983050.0,51.0,"Aug 13, 2009 00:00:00",51.0,50.0
51.0,9512850.0,51.5,"Aug 14, 2009 00:00:00",52.0,50.5
52.0,6642150.0,51.0,"Aug 17, 2009 00:00:00",52.0,50.5
51.0,12092000.0,52.0,"Aug 18, 2009 00:00:00",52.0,50.0
52.0,40834350.0,51.5,"Aug 19, 2009 00:00:00",52.0,51.0
51.5,23999700.0,50.0,"Aug 20, 2009 00:00:00",51.5,50.0
51.0,51920350.0,52.0,"Aug 24, 2009 00:00:00",52.0,50.5
51.5,23281300.0,51.5,"Aug 25, 2009 00:00:00",51.5,51.0
51.5,18830400.0,51.0,"Aug 26, 2009 00:00:00",51.5,50.5
50.0,17642350.0,50.0,"Sep 03, 2009 00:00:00",50.0,49.5
50.0,47746700.0,49.5,"Sep 04, 2009 00:00:00",50.0,49.5
49.5,15669000.0,50.0,"Sep 16, 2009 00:00:00",50.0,49.5
50.0,39531400.0,50.5,"Sep 17, 2009 00:00:00",50.5,50.0
50.0,14361550.0,50.5,"Sep 18, 2009 00:00:00",50.5,49.5
50.0,66807750.0,51.5,"Sep 22, 2009 00:00:00",51.5,50.0
51.5,62483150.0,51.5,"Sep 23, 2009 00:00:00",51.5,51.0
51.0,22038050.0,49.5,"Sep 30, 2009 00:00:00",51.0,49.0
49.5,41134500.0,50.0,"Oct 01, 2009 00:00:00",51.0,49.5
49.5,11778450.0,50.0,"Oct 02, 2009 00:00:00",50.0,49.5
49.5,10912000.0,50.0,"Oct 05, 2009 00:00:00",50.0,49.5
50.5,6603150.0,51.0,"Oct 06, 2009 00:00:00",51.0,50.5
51.0,66022850.0,52.5,"Oct 07, 2009 00:00:00",52.5,51.0
51.5,10668600.0,51.5,"Oct 08, 2009 00:00:00",52.0,51.5
52.0,41343800.0,52.5,"Oct 09, 2009 00:00:00",52.5,52.0
52.5,9684950.0,51.0,"Oct 12, 2009 00:00:00",52.5,51.0
51.0,31584300.0,51.0,"Oct 13, 2009 00:00:00",51.0,51.0
51.0,33129600.0,51.0,"Oct 14, 2009 00:00:00",51.0,51.0
52.0,19201550.0,52.0,"Oct 15, 2009 00:00:00",52.0,51.5
52.0,67775550.0,52.0,"Oct 16, 2009 00:00:00",52.5,52.0
52.0,43619250.0,52.5,"Oct 19, 2009 00:00:00",52.5,52.0
52.5,57759000.0,53.0,"Oct 20, 2009 00:00:00",53.0,52.5
53.0,38112300.0,53.0,"Oct 21, 2009 00:00:00",53.0,52.0
53.0,11628450.0,53.0,"Oct 22, 2009 00:00:00",53.0,52.5
53.5,13696950.0,52.5,"Oct 23, 2009 00:00:00",53.5,52.5
52.0,1242800.0,52.0,"Oct 26, 2009 00:00:00",52.0,52.0
52.0,29119900.0,52.0,"Oct 27, 2009 00:00:00",52.5,51.5
51.5,1172800.0,52.5,"Oct 28, 2009 00:00:00",52.5,51.5
51.5,60868050.0,51.5,"Oct 29, 2009 00:00:00",52.0,50.5
51.5,12958150.0,51.0,"Oct 30, 2009 00:00:00",52.5,51.0
51.0,84357150.0,49.5,"Nov 03, 2009 00:00:00",51.0,49.0
50.0,7886300.0,49.5,"Nov 04, 2009 00:00:00",50.5,49.5
49.5,16115000.0,50.5,"Nov 05, 2009 00:00:00",50.5,49.5
51.0,11185500.0,51.0,"Nov 06, 2009 00:00:00",51.0,50.5
50.5,3250850.0,50.0,"Nov 09, 2009 00:00:00",51.0,50.0
50.5,33710400.0,52.0,"Nov 10, 2009 00:00:00",52.0,50.5
52.5,33388900.0,52.5,"Nov 11, 2009 00:00:00",52.5,52.0
53.0,31552800.0,53.5,"Dec 15, 2009 00:00:00",55.0,53.0
53.5,6649250.0,54.0,"Dec 16, 2009 00:00:00",54.5,53.5
53.5,2812350.0,55.0,"Dec 17, 2009 00:00:00",55.0,53.5
55.0,21002900.0,54.5,"Dec 18, 2009 00:00:00",55.0,54.5
54.5,37152900.0,55.0,"Dec 21, 2009 00:00:00",55.0,54.5
55.0,12368200.0,54.0,"Dec 22, 2009 00:00:00",55.0,54.0
55.0,6847800.0,54.0,"Dec 23, 2009 00:00:00",55.0,54.0
54.5,24115800.0,55.0,"Dec 29, 2009 00:00:00",55.0,54.5
55.5,14598650.0,55.5,"Jan 04, 2010 00:00:00",55.5,55.0
55.5,99016300.0,59.0,"Jan 05, 2010 00:00:00",59.0,55.5
59.0,25933550.0,59.0,"Jan 06, 2010 00:00:00",59.0,58.5
59.0,23334500.0,59.0,"Jan 07, 2010 00:00:00",59.0,59.0
59.5,12325150.0,59.0,"Jan 08, 2010 00:00:00",59.5,59.0
59.0,6760000.0,56.5,"Jan 11, 2010 00:00:00",59.0,56.5
56.5,17541400.0,58.0,"Jan 12, 2010 00:00:00",58.5,56.5
57.5,79477600.0,57.5,"Jan 13, 2010 00:00:00",57.5,56.0
58.0,37915250.0,58.0,"Jan 14, 2010 00:00:00",58.0,57.5
58.0,78754250.0,58.5,"Jan 15, 2010 00:00:00",58.5,58.0
