OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.68,6800.0,0.68,"Jun 22, 2010 00:00:00",0.68,0.68
0.99,9900.0,0.99,"Jun 23, 2010 00:00:00",0.99,0.99
0.89,17800.0,0.89,"Sep 28, 2010 00:00:00",0.89,0.89
0.79,23700.0,0.79,"Oct 18, 2010 00:00:00",0.79,0.79
0.7,21000.0,0.7,"Nov 24, 2010 00:00:00",0.7,0.7
0.7,21000.0,0.7,"Nov 26, 2010 00:00:00",0.7,0.7
0.61,66800.0,0.6,"Jan 17, 2011 00:00:00",0.61,0.6
0.51,18870.0,0.51,"Feb 16, 2011 00:00:00",0.51,0.51
0.51,18870.0,0.51,"Feb 16, 2011 00:00:00",0.51,0.51
0.74,7400.0,0.74,"Feb 21, 2011 00:00:00",0.74,0.74
0.74,7400.0,0.74,"Feb 21, 2011 00:00:00",0.74,0.74
0.54,2700.0,0.54,"Mar 17, 2011 00:00:00",0.54,0.54
0.6,1200.0,0.6,"Apr 07, 2011 00:00:00",0.6,0.6
0.82,4100.0,0.82,"May 18, 2011 00:00:00",0.82,0.82
0.82,820.0,0.82,"May 31, 2011 00:00:00",0.82,0.82
0.75,15000.0,0.75,"Jul 15, 2011 00:00:00",0.75,0.75
0.84,54550.0,1.02,"Jul 19, 2011 00:00:00",1.02,0.84
0.84,21040.0,0.92,"Jul 20, 2011 00:00:00",0.92,0.84
1.02,25640.0,1.04,"Aug 01, 2011 00:00:00",1.04,1.02
0.8,118630.0,1.04,"Aug 04, 2011 00:00:00",1.04,0.75
0.82,48740.0,1.02,"Nov 17, 2011 00:00:00",1.02,0.82
1.05,66800.0,1.1,"Nov 24, 2011 00:00:00",1.1,1.05
1.65,265650.0,1.65,"Nov 29, 2011 00:00:00",1.65,1.65
2.47,197600.0,2.47,"Dec 01, 2011 00:00:00",2.47,2.47
3.7,381100.0,3.7,"Dec 02, 2011 00:00:00",3.7,3.7
5.0,1992580.0,3.01,"Dec 05, 2011 00:00:00",5.0,3.01
2.1,424570.0,2.8,"Dec 06, 2011 00:00:00",2.98,2.1
2.24,13770.0,2.57,"Dec 07, 2011 00:00:00",2.57,2.24
2.57,21350.0,2.3,"Dec 08, 2011 00:00:00",2.88,2.3
2.7,10960.0,2.78,"Dec 19, 2011 00:00:00",2.78,2.7
2.47,12350.0,2.47,"Dec 21, 2011 00:00:00",2.47,2.47
1.6,13620.0,1.52,"Dec 27, 2011 00:00:00",1.6,1.5
2.28,383060.0,2.28,"Dec 28, 2011 00:00:00",2.28,2.0
3.2,243200.0,3.2,"Dec 29, 2011 00:00:00",3.2,3.2
3.2,6400.0,3.2,"Jan 02, 2012 00:00:00",3.2,3.2
3.2,6400.0,3.2,"Jan 05, 2012 00:00:00",3.2,3.2
2.0,10300.0,2.1,"Jan 09, 2012 00:00:00",2.1,2.0
2.3,9200.0,2.3,"Jan 10, 2012 00:00:00",2.3,2.3
2.6,92150.0,3.2,"Jan 11, 2012 00:00:00",3.2,2.6
3.19,2331770.0,3.99,"Jan 13, 2012 00:00:00",4.8,3.19
3.5,722670.0,2.93,"Jan 16, 2012 00:00:00",3.99,2.92
3.04,233370.0,2.49,"Jan 17, 2012 00:00:00",3.04,2.13
2.55,61050.0,2.15,"Jan 18, 2012 00:00:00",2.55,2.13
2.75,216590.0,2.41,"Jan 19, 2012 00:00:00",2.75,2.22
2.54,33360.0,2.4,"Jan 24, 2012 00:00:00",2.54,2.33
2.52,2520.0,2.52,"Jan 25, 2012 00:00:00",2.52,2.52
2.22,2220.0,2.22,"Jan 26, 2012 00:00:00",2.22,2.22
2.4,315790.0,2.81,"Jan 27, 2012 00:00:00",2.99,2.4
2.97,229480.0,2.99,"Jan 30, 2012 00:00:00",3.0,2.8
2.99,1402430.0,4.05,"Jan 31, 2012 00:00:00",4.2,2.99
4.25,1414120.0,4.5,"Feb 01, 2012 00:00:00",4.68,4.0
4.65,3848700.0,5.41,"Feb 02, 2012 00:00:00",5.45,4.62
5.7,3039766.0,5.0,"Feb 03, 2012 00:00:00",5.85,4.5
5.0,775245.0,5.0,"Feb 06, 2012 00:00:00",5.25,4.8
5.2,432285.0,5.2,"Feb 07, 2012 00:00:00",5.3,5.06
5.2,1669652.0,5.57,"Feb 08, 2012 00:00:00",5.8,5.2
5.57,2274647.0,6.48,"Feb 09, 2012 00:00:00",6.6,5.0
6.8,2724639.0,5.2,"Feb 10, 2012 00:00:00",6.95,5.2
5.25,1124100.0,5.0,"Feb 13, 2012 00:00:00",5.25,4.3
5.0,42743.0,5.1,"Feb 14, 2012 00:00:00",5.11,5.0
5.1,396814.0,4.4,"Feb 15, 2012 00:00:00",5.1,4.0
4.01,1769980.0,5.42,"Feb 16, 2012 00:00:00",5.45,4.0
5.45,875803.0,5.1,"Feb 17, 2012 00:00:00",5.68,4.6
4.55,102890.0,4.65,"Feb 20, 2012 00:00:00",5.1,4.55
4.65,717870.0,4.57,"Feb 21, 2012 00:00:00",4.65,4.56
4.75,845560.0,4.95,"Feb 22, 2012 00:00:00",5.05,4.7
4.66,1515750.0,5.12,"Feb 23, 2012 00:00:00",5.56,4.65
5.15,602097.0,4.8,"Feb 24, 2012 00:00:00",5.15,4.8
4.51,86060.0,4.53,"Feb 27, 2012 00:00:00",4.6,4.5
4.0,69670.0,4.33,"Feb 28, 2012 00:00:00",4.84,4.0
4.75,630850.0,4.65,"Feb 29, 2012 00:00:00",4.75,4.51
4.77,2737250.0,5.86,"Mar 01, 2012 00:00:00",5.95,4.77
5.89,1196474.0,5.45,"Mar 02, 2012 00:00:00",5.9,5.02
4.95,589786.0,5.42,"Mar 05, 2012 00:00:00",5.45,4.95
5.44,988212.0,5.58,"Mar 06, 2012 00:00:00",5.75,5.31
5.6,96630.0,5.5,"Mar 07, 2012 00:00:00",5.6,5.27
5.6,1391111.0,5.36,"Mar 08, 2012 00:00:00",5.6,4.8
5.35,312950.0,5.0,"Mar 09, 2012 00:00:00",5.35,5.0
4.81,11297.0,5.2,"Mar 12, 2012 00:00:00",5.2,4.81
4.77,142875.0,4.78,"Mar 13, 2012 00:00:00",5.0,4.75
