OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.27,95365700.0,0.3,"Aug 03, 2009 00:00:00",0.31,0.27
0.31,65587400.0,0.29,"Aug 04, 2009 00:00:00",0.32,0.28
0.29,42808000.0,0.29,"Aug 06, 2009 00:00:00",0.29,0.27
0.29,34145000.0,0.29,"Aug 07, 2009 00:00:00",0.3,0.28
0.29,53025200.0,0.31,"Aug 10, 2009 00:00:00",0.31,0.29
0.3,51134900.0,0.32,"Aug 11, 2009 00:00:00",0.32,0.29
0.31,34525900.0,0.3,"Aug 12, 2009 00:00:00",0.32,0.3
0.31,20149700.0,0.31,"Aug 13, 2009 00:00:00",0.31,0.3
0.31,7643500.0,0.3,"Aug 14, 2009 00:00:00",0.31,0.29
0.3,11952900.0,0.29,"Aug 17, 2009 00:00:00",0.3,0.28
0.27,17630900.0,0.28,"Aug 18, 2009 00:00:00",0.28,0.26
0.28,27680300.0,0.29,"Aug 19, 2009 00:00:00",0.3,0.28
0.29,19061400.0,0.28,"Aug 20, 2009 00:00:00",0.29,0.27
0.28,10026900.0,0.29,"Aug 24, 2009 00:00:00",0.29,0.27
0.28,17393600.0,0.29,"Aug 25, 2009 00:00:00",0.29,0.27
0.28,2659800.0,0.29,"Aug 26, 2009 00:00:00",0.29,0.28
0.27,11451000.0,0.28,"Sep 03, 2009 00:00:00",0.28,0.27
0.28,26811600.0,0.29,"Sep 04, 2009 00:00:00",0.29,0.28
0.28,6424000.0,0.28,"Sep 16, 2009 00:00:00",0.28,0.27
0.28,56612800.0,0.29,"Sep 17, 2009 00:00:00",0.3,0.28
0.29,13374600.0,0.29,"Sep 18, 2009 00:00:00",0.3,0.28
0.28,8777900.0,0.29,"Sep 22, 2009 00:00:00",0.29,0.28
0.29,4407400.0,0.29,"Sep 23, 2009 00:00:00",0.29,0.28
0.26,27673600.0,0.25,"Sep 30, 2009 00:00:00",0.26,0.245
0.25,9806650.0,0.245,"Oct 01, 2009 00:00:00",0.26,0.24
0.24,12392150.0,0.235,"Oct 02, 2009 00:00:00",0.24,0.235
0.245,8362500.0,0.245,"Oct 05, 2009 00:00:00",0.245,0.24
0.245,9435350.0,0.25,"Oct 06, 2009 00:00:00",0.26,0.245
0.26,9993000.0,0.25,"Oct 07, 2009 00:00:00",0.27,0.25
0.26,3703100.0,0.26,"Oct 08, 2009 00:00:00",0.26,0.25
0.25,1069200.0,0.26,"Oct 09, 2009 00:00:00",0.26,0.25
0.25,3352500.0,0.25,"Oct 12, 2009 00:00:00",0.25,0.25
0.25,3896350.0,0.245,"Oct 13, 2009 00:00:00",0.25,0.24
0.245,3346900.0,0.25,"Oct 14, 2009 00:00:00",0.25,0.24
0.25,1808450.0,0.25,"Oct 15, 2009 00:00:00",0.25,0.245
0.25,1241500.0,0.25,"Oct 16, 2009 00:00:00",0.25,0.245
0.245,1515900.0,0.25,"Oct 19, 2009 00:00:00",0.25,0.24
0.245,2832750.0,0.245,"Oct 20, 2009 00:00:00",0.245,0.24
0.24,4379250.0,0.235,"Oct 21, 2009 00:00:00",0.24,0.235
0.235,816750.0,0.245,"Oct 22, 2009 00:00:00",0.245,0.235
0.245,3801650.0,0.245,"Oct 23, 2009 00:00:00",0.245,0.24
0.245,5007500.0,0.25,"Oct 26, 2009 00:00:00",0.25,0.245
0.245,2094000.0,0.245,"Oct 27, 2009 00:00:00",0.245,0.24
0.245,12211700.0,0.245,"Oct 28, 2009 00:00:00",0.26,0.235
0.24,1792300.0,0.24,"Oct 29, 2009 00:00:00",0.24,0.235
0.245,5770550.0,0.245,"Oct 30, 2009 00:00:00",0.245,0.235
0.235,2933700.0,0.235,"Nov 03, 2009 00:00:00",0.245,0.23
0.235,2345050.0,0.23,"Nov 04, 2009 00:00:00",0.235,0.23
0.23,9803050.0,0.22,"Nov 05, 2009 00:00:00",0.23,0.22
0.225,21568150.0,0.23,"Nov 06, 2009 00:00:00",0.235,0.215
0.235,28496250.0,0.24,"Nov 09, 2009 00:00:00",0.24,0.23
0.245,28651400.0,0.245,"Nov 10, 2009 00:00:00",0.27,0.245
0.25,24987500.0,0.25,"Nov 11, 2009 00:00:00",0.25,0.245
0.245,35732700.0,0.25,"Dec 15, 2009 00:00:00",0.26,0.245
0.25,11333800.0,0.245,"Dec 16, 2009 00:00:00",0.25,0.245
0.25,5587450.0,0.25,"Dec 17, 2009 00:00:00",0.26,0.245
0.245,2244300.0,0.245,"Dec 18, 2009 00:00:00",0.25,0.245
0.245,643100.0,0.245,"Dec 21, 2009 00:00:00",0.245,0.24
0.24,7562850.0,0.245,"Dec 22, 2009 00:00:00",0.245,0.235
0.24,1585100.0,0.24,"Dec 23, 2009 00:00:00",0.24,0.235
0.245,27361550.0,0.26,"Dec 29, 2009 00:00:00",0.26,0.24
0.25,3546200.0,0.25,"Jan 04, 2010 00:00:00",0.25,0.245
0.25,1057350.0,0.25,"Jan 05, 2010 00:00:00",0.25,0.245
0.25,4989300.0,0.25,"Jan 06, 2010 00:00:00",0.25,0.245
0.25,26411400.0,0.26,"Jan 07, 2010 00:00:00",0.27,0.25
0.25,2446600.0,0.26,"Jan 08, 2010 00:00:00",0.26,0.25
0.25,6309500.0,0.26,"Jan 11, 2010 00:00:00",0.26,0.25
0.26,22462300.0,0.25,"Jan 12, 2010 00:00:00",0.26,0.25
0.26,83931100.0,0.27,"Jan 13, 2010 00:00:00",0.28,0.26
0.26,28139000.0,0.27,"Jan 14, 2010 00:00:00",0.28,0.26
0.27,15657000.0,0.26,"Jan 15, 2010 00:00:00",0.27,0.26
0.25,7960100.0,0.26,"Jan 18, 2010 00:00:00",0.26,0.25
0.26,7154900.0,0.26,"Jan 19, 2010 00:00:00",0.26,0.25
0.26,23817100.0,0.27,"Jan 20, 2010 00:00:00",0.27,0.26
0.26,9991200.0,0.27,"Jan 21, 2010 00:00:00",0.27,0.25
0.26,11148000.0,0.26,"Jan 22, 2010 00:00:00",0.26,0.25
0.25,11664800.0,0.25,"Jan 25, 2010 00:00:00",0.25,0.245
0.25,3477950.0,0.25,"Jan 26, 2010 00:00:00",0.25,0.245
0.245,16399450.0,0.245,"Jan 27, 2010 00:00:00",0.245,0.24
0.245,2246750.0,0.25,"Jan 28, 2010 00:00:00",0.25,0.245
0.245,15179850.0,0.25,"Jan 29, 2010 00:00:00",0.25,0.24
0.245,4166000.0,0.24,"Feb 01, 2010 00:00:00",0.245,0.235
0.24,3430850.0,0.24,"Feb 02, 2010 00:00:00",0.24,0.235
0.24,12964750.0,0.235,"Feb 03, 2010 00:00:00",0.24,0.23
0.23,10933400.0,0.245,"Feb 04, 2010 00:00:00",0.245,0.23
0.23,8478350.0,0.245,"Feb 05, 2010 00:00:00",0.245,0.23
0.245,588000.0,0.245,"Feb 08, 2010 00:00:00",0.245,0.245
0.23,6324100.0,0.24,"Feb 09, 2010 00:00:00",0.24,0.225
0.235,1724750.0,0.24,"Feb 10, 2010 00:00:00",0.24,0.23
0.235,7716950.0,0.24,"Feb 11, 2010 00:00:00",0.24,0.235
0.225,5674200.0,0.225,"Mar 08, 2010 00:00:00",0.23,0.22
0.22,7602400.0,0.225,"Mar 12, 2010 00:00:00",0.225,0.22
0.225,2516550.0,0.22,"Mar 15, 2010 00:00:00",0.225,0.22
0.22,695050.0,0.22,"Mar 16, 2010 00:00:00",0.225,0.215
0.22,2118050.0,0.22,"Mar 17, 2010 00:00:00",0.22,0.215
0.215,3726200.0,0.22,"Mar 31, 2010 00:00:00",0.22,0.21
0.225,9693050.0,0.225,"Apr 20, 2010 00:00:00",0.23,0.225
0.225,1149900.0,0.23,"Apr 21, 2010 00:00:00",0.23,0.225
0.23,1521450.0,0.23,"Apr 22, 2010 00:00:00",0.23,0.225
0.225,1203550.0,0.225,"Apr 23, 2010 00:00:00",0.225,0.22
0.215,2215350.0,0.22,"Apr 29, 2010 00:00:00",0.22,0.215
0.22,24116100.0,0.22,"Apr 30, 2010 00:00:00",0.22,0.215
0.22,8080600.0,0.22,"May 04, 2010 00:00:00",0.22,0.22
0.22,1408250.0,0.22,"May 05, 2010 00:00:00",0.22,0.215
0.23,12013250.0,0.235,"May 13, 2010 00:00:00",0.24,0.23
0.235,1767350.0,0.24,"May 14, 2010 00:00:00",0.24,0.23
0.235,3228300.0,0.235,"May 17, 2010 00:00:00",0.235,0.23
0.23,4202200.0,0.235,"May 18, 2010 00:00:00",0.235,0.23
0.23,545500.0,0.23,"May 19, 2010 00:00:00",0.23,0.225
0.225,1269500.0,0.23,"May 20, 2010 00:00:00",0.23,0.225
0.225,5655150.0,0.225,"May 21, 2010 00:00:00",0.225,0.22
0.225,33750.0,0.225,"May 24, 2010 00:00:00",0.225,0.225
0.22,970750.0,0.22,"May 25, 2010 00:00:00",0.225,0.215
0.22,5238550.0,0.23,"May 26, 2010 00:00:00",0.23,0.22
0.225,1375300.0,0.23,"May 27, 2010 00:00:00",0.23,0.225
0.23,5411800.0,0.235,"May 28, 2010 00:00:00",0.235,0.23
0.225,4412500.0,0.23,"May 31, 2010 00:00:00",0.23,0.225
0.225,4282400.0,0.22,"Jun 01, 2010 00:00:00",0.225,0.215
0.22,4337650.0,0.22,"Jun 02, 2010 00:00:00",0.22,0.215
0.22,1248400.0,0.22,"Jun 03, 2010 00:00:00",0.225,0.215
0.215,2516200.0,0.225,"Jun 04, 2010 00:00:00",0.225,0.215
0.215,1820150.0,0.22,"Jun 07, 2010 00:00:00",0.22,0.215
0.215,1447950.0,0.22,"Jun 08, 2010 00:00:00",0.22,0.215
0.215,1905950.0,0.22,"Jun 09, 2010 00:00:00",0.22,0.215
0.215,4395200.0,0.22,"Jun 10, 2010 00:00:00",0.22,0.215
0.22,89200.0,0.22,"Jun 11, 2010 00:00:00",0.22,0.215
0.215,667050.0,0.22,"Jun 15, 2010 00:00:00",0.22,0.215
0.22,2548450.0,0.225,"Jun 16, 2010 00:00:00",0.225,0.22
0.22,458900.0,0.23,"Jun 21, 2010 00:00:00",0.23,0.22
0.225,2126250.0,0.23,"Jun 22, 2010 00:00:00",0.23,0.225
0.225,732250.0,0.225,"Jun 23, 2010 00:00:00",0.23,0.225
0.235,50328700.0,0.245,"Jun 24, 2010 00:00:00",0.245,0.235
0.25,98239900.0,0.26,"Jun 25, 2010 00:00:00",0.27,0.25
0.27,21274100.0,0.27,"Jun 28, 2010 00:00:00",0.27,0.26
0.26,15912500.0,0.25,"Jun 29, 2010 00:00:00",0.26,0.245
0.25,4269050.0,0.245,"Jul 01, 2010 00:00:00",0.25,0.24
0.245,5130800.0,0.25,"Jul 02, 2010 00:00:00",0.25,0.245
0.25,3183000.0,0.25,"Jul 06, 2010 00:00:00",0.25,0.245
0.25,894850.0,0.25,"Jul 07, 2010 00:00:00",0.25,0.245
0.25,9224100.0,0.25,"Jul 08, 2010 00:00:00",0.25,0.245
0.25,3285650.0,0.245,"Jul 09, 2010 00:00:00",0.25,0.245
0.25,5122600.0,0.25,"Jul 13, 2010 00:00:00",0.26,0.25
0.25,751000.0,0.26,"Jul 14, 2010 00:00:00",0.26,0.25
0.25,2366000.0,0.26,"Jul 15, 2010 00:00:00",0.26,0.25
0.25,1327400.0,0.26,"Jul 16, 2010 00:00:00",0.26,0.25
0.25,3642000.0,0.26,"Jul 19, 2010 00:00:00",0.26,0.25
0.26,2496600.0,0.26,"Jul 20, 2010 00:00:00",0.26,0.25
0.25,3391100.0,0.26,"Jul 21, 2010 00:00:00",0.26,0.25
0.25,1700200.0,0.26,"Jul 22, 2010 00:00:00",0.26,0.25
0.26,2456000.0,0.26,"Jul 23, 2010 00:00:00",0.26,0.25
0.41,172941450.0,0.38,"Sep 21, 2010 00:00:00",0.44,0.37
0.38,164424850.0,0.42,"Sep 22, 2010 00:00:00",0.425,0.35
0.425,630454500.0,0.56,"Sep 23, 2010 00:00:00",0.58,0.42
0.6,611361570.0,0.57,"Sep 24, 2010 00:00:00",0.64,0.56
0.58,275679560.0,0.53,"Sep 27, 2010 00:00:00",0.59,0.51
0.53,304306035.0,0.5,"Sep 28, 2010 00:00:00",0.54,0.49
0.51,163486950.0,0.51,"Sep 29, 2010 00:00:00",0.54,0.5
0.52,106796985.0,0.5,"Sep 30, 2010 00:00:00",0.53,0.495
0.5,70585490.0,0.51,"Oct 01, 2010 00:00:00",0.52,0.5
0.51,100696370.0,0.485,"Oct 04, 2010 00:00:00",0.52,0.485
0.48,163601150.0,0.455,"Oct 05, 2010 00:00:00",0.48,0.455
0.465,122513300.0,0.465,"Oct 06, 2010 00:00:00",0.49,0.46
0.47,65778300.0,0.45,"Oct 07, 2010 00:00:00",0.475,0.445
0.445,131659200.0,0.425,"Oct 08, 2010 00:00:00",0.445,0.42
0.435,96707500.0,0.435,"Oct 12, 2010 00:00:00",0.45,0.41
