OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.84,287040.0,1.84,"Jul 02, 2010 00:00:00",1.84,1.84
2.76,231020.0,1.84,"Dec 26, 2011 00:00:00",2.76,1.84
1.86,5244210.0,1.62,"Dec 27, 2011 00:00:00",2.6,1.62
1.66,28728010.0,1.32,"Dec 28, 2011 00:00:00",1.66,1.04
1.32,845540.0,1.21,"Dec 29, 2011 00:00:00",1.32,1.21
1.17,760680.0,1.21,"Jan 02, 2012 00:00:00",1.3,1.17
1.31,106950.0,1.32,"Jan 03, 2012 00:00:00",1.32,1.24
1.23,3657750.0,1.69,"Jan 04, 2012 00:00:00",1.72,1.22
1.75,6321430.0,2.11,"Jan 05, 2012 00:00:00",2.34,1.75
2.0,1559270.0,1.84,"Jan 06, 2012 00:00:00",2.27,1.8
1.9,947400.0,1.97,"Jan 09, 2012 00:00:00",1.99,1.8
1.98,4490300.0,1.89,"Jan 10, 2012 00:00:00",2.3,1.89
1.96,1931180.0,1.74,"Jan 11, 2012 00:00:00",1.96,1.74
1.73,607370.0,1.74,"Jan 12, 2012 00:00:00",1.79,1.66
1.77,126290.0,1.7,"Jan 13, 2012 00:00:00",1.77,1.68
1.7,67320.0,1.68,"Jan 16, 2012 00:00:00",1.7,1.66
1.67,394040.0,1.6,"Jan 17, 2012 00:00:00",1.67,1.6
1.61,510950.0,1.72,"Jan 18, 2012 00:00:00",1.85,1.6
1.72,110100.0,1.62,"Jan 19, 2012 00:00:00",1.75,1.62
1.63,191790.0,1.62,"Jan 20, 2012 00:00:00",1.73,1.62
1.61,166860.0,1.7,"Jan 24, 2012 00:00:00",1.73,1.6
1.63,6386700.0,2.2,"Jan 25, 2012 00:00:00",2.38,1.6
2.2,9409640.0,2.45,"Jan 26, 2012 00:00:00",2.51,2.2
2.45,10394590.0,3.01,"Jan 27, 2012 00:00:00",3.01,2.38
3.3,15059430.0,4.48,"Jan 30, 2012 00:00:00",4.48,3.2
5.25,27477620.0,6.6,"Jan 31, 2012 00:00:00",6.65,5.25
7.75,81410260.0,8.0,"Feb 01, 2012 00:00:00",8.4,6.5
8.17,112497148.0,7.2,"Feb 02, 2012 00:00:00",8.2,6.8
7.2,12803114.0,6.0,"Feb 03, 2012 00:00:00",7.2,6.0
6.0,946546.0,6.05,"Feb 06, 2012 00:00:00",6.3,6.0
6.5,10922922.0,5.98,"Mar 05, 2012 00:00:00",7.24,5.98
