OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
10.0,13429150.0,10.25,"Aug 03, 2009 00:00:00",10.25,9.9
10.25,3967500.0,10.0,"Aug 04, 2009 00:00:00",10.25,9.9
9.9,14263000.0,9.2,"Aug 06, 2009 00:00:00",9.9,9.0
9.0,5790500.0,9.1,"Aug 07, 2009 00:00:00",9.2,8.8
9.0,12035500.0,9.3,"Aug 10, 2009 00:00:00",9.4,8.8
9.1,7461800.0,9.3,"Aug 11, 2009 00:00:00",9.3,8.8
9.2,25623300.0,9.3,"Aug 12, 2009 00:00:00",9.7,9.2
9.3,11257500.0,9.4,"Aug 13, 2009 00:00:00",9.5,9.2
9.3,30666700.0,10.0,"Aug 14, 2009 00:00:00",10.0,9.0
10.0,16674800.0,9.8,"Aug 17, 2009 00:00:00",10.0,9.4
9.3,9187900.0,9.4,"Aug 18, 2009 00:00:00",9.4,9.1
9.3,11321800.0,9.5,"Aug 19, 2009 00:00:00",9.5,9.3
9.4,7032400.0,9.3,"Aug 20, 2009 00:00:00",9.5,8.9
9.2,6961200.0,9.4,"Aug 24, 2009 00:00:00",9.4,9.1
9.3,12243400.0,9.5,"Aug 25, 2009 00:00:00",9.5,9.3
9.4,26845200.0,9.7,"Aug 26, 2009 00:00:00",9.9,9.4
11.5,17249000.0,11.5,"Sep 03, 2009 00:00:00",11.5,11.0
11.25,21170200.0,11.5,"Sep 04, 2009 00:00:00",12.0,11.25
9.0,20602700.0,9.3,"Sep 16, 2009 00:00:00",9.3,8.7
9.3,25295800.0,9.8,"Sep 17, 2009 00:00:00",9.9,9.3
9.7,11197300.0,10.0,"Sep 18, 2009 00:00:00",10.0,9.7
10.0,10101500.0,10.25,"Sep 22, 2009 00:00:00",10.25,10.0
10.25,11207100.0,10.5,"Sep 23, 2009 00:00:00",10.5,10.0
10.0,28556275.0,10.5,"Sep 30, 2009 00:00:00",10.5,9.8
10.25,5999100.0,10.0,"Oct 01, 2009 00:00:00",10.25,9.9
9.8,3642200.0,10.0,"Oct 02, 2009 00:00:00",10.0,9.7
9.9,4821150.0,9.9,"Oct 05, 2009 00:00:00",10.25,9.8
10.0,9094900.0,10.25,"Oct 06, 2009 00:00:00",10.25,9.8
9.8,6972070.0,10.25,"Oct 07, 2009 00:00:00",10.25,9.8
10.0,7498525.0,10.0,"Oct 08, 2009 00:00:00",10.25,9.8
9.8,3335300.0,10.0,"Oct 09, 2009 00:00:00",10.0,9.8
9.8,2929400.0,10.0,"Oct 12, 2009 00:00:00",10.0,9.8
9.7,3610400.0,9.8,"Oct 13, 2009 00:00:00",9.9,9.7
9.6,2529500.0,9.8,"Oct 14, 2009 00:00:00",9.9,9.6
9.5,4365400.0,9.7,"Oct 15, 2009 00:00:00",9.8,9.5
9.7,3897200.0,9.8,"Oct 16, 2009 00:00:00",9.8,9.6
9.7,21166800.0,10.0,"Oct 19, 2009 00:00:00",10.0,9.7
10.0,47890250.0,10.5,"Oct 20, 2009 00:00:00",10.5,10.0
10.5,47011550.0,10.75,"Oct 21, 2009 00:00:00",11.0,10.5
10.5,43639525.0,11.0,"Oct 22, 2009 00:00:00",11.0,10.25
11.0,40809775.0,11.25,"Oct 23, 2009 00:00:00",11.25,10.75
