OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
3.2,25600.0,3.2,"Aug 19, 2009 00:00:00",3.2,3.2
3.2,144300.0,3.2,"Aug 20, 2009 00:00:00",3.5,3.2
2.55,406100.0,2.6,"Aug 24, 2009 00:00:00",3.0,2.55
2.6,280900.0,2.65,"Aug 25, 2009 00:00:00",2.65,2.6
3.0,150000.0,3.0,"Sep 18, 2009 00:00:00",3.0,3.0
2.12,35600.0,2.5,"Oct 05, 2009 00:00:00",2.5,2.12
2.5,27600.0,2.6,"Oct 07, 2009 00:00:00",2.6,2.5
3.0,49500.0,3.25,"Oct 12, 2009 00:00:00",3.25,3.0
2.6,26000.0,2.6,"Nov 06, 2009 00:00:00",2.6,2.6
2.6,72800.0,2.6,"Nov 09, 2009 00:00:00",2.6,2.6
2.7,75600.0,2.7,"Dec 16, 2009 00:00:00",2.7,2.7
2.9,55100.0,2.9,"Feb 04, 2010 00:00:00",2.9,2.9
2.6,2600.0,2.6,"Feb 10, 2010 00:00:00",2.6,2.6
3.0,36350.0,3.2,"Mar 15, 2010 00:00:00",3.2,3.0
2.9,72500.0,2.9,"Mar 16, 2010 00:00:00",2.9,2.9
3.0,6000.0,3.0,"Mar 17, 2010 00:00:00",3.0,3.0
2.85,19950.0,2.85,"Mar 31, 2010 00:00:00",2.85,2.85
3.0,150000.0,3.0,"Apr 23, 2010 00:00:00",3.0,3.0
3.0,30000.0,3.0,"Apr 30, 2010 00:00:00",3.0,3.0
3.0,180000.0,3.0,"May 04, 2010 00:00:00",3.0,3.0
3.0,30000.0,3.0,"May 05, 2010 00:00:00",3.0,3.0
2.9,145000.0,2.9,"May 14, 2010 00:00:00",2.9,2.9
2.9,2900.0,2.9,"May 20, 2010 00:00:00",2.9,2.9
2.85,34200.0,2.85,"May 21, 2010 00:00:00",2.85,2.85
2.85,85500.0,2.85,"May 24, 2010 00:00:00",2.85,2.85
2.85,142500.0,2.85,"May 25, 2010 00:00:00",2.85,2.85
2.85,171000.0,2.85,"May 26, 2010 00:00:00",2.85,2.85
2.85,456000.0,2.85,"May 27, 2010 00:00:00",2.85,2.85
2.8,171000.0,2.75,"May 28, 2010 00:00:00",2.8,2.75
2.7,40500.0,2.7,"Jun 01, 2010 00:00:00",2.7,2.7
2.6,182000.0,2.6,"Jun 02, 2010 00:00:00",2.6,2.6
2.6,15600.0,2.6,"Jun 03, 2010 00:00:00",2.6,2.6
2.5,262500.0,2.5,"Jun 08, 2010 00:00:00",2.5,2.5
1.56,129040.0,2.5,"Jun 09, 2010 00:00:00",2.5,1.56
2.34,185200.0,2.3,"Jun 10, 2010 00:00:00",2.34,2.3
2.4,362400.0,2.4,"Jun 15, 2010 00:00:00",2.4,2.4
2.4,91200.0,2.4,"Jun 21, 2010 00:00:00",2.4,2.4
2.4,24000.0,2.4,"Jun 22, 2010 00:00:00",2.4,2.4
2.36,118000.0,2.36,"Jun 24, 2010 00:00:00",2.36,2.36
2.5,25000.0,2.5,"Jul 13, 2010 00:00:00",2.5,2.5
2.5,50000.0,2.5,"Jul 14, 2010 00:00:00",2.5,2.5
2.46,31980.0,2.46,"Jul 16, 2010 00:00:00",2.46,2.46
2.46,36900.0,2.46,"Jul 19, 2010 00:00:00",2.46,2.46
2.34,35100.0,2.34,"Jul 20, 2010 00:00:00",2.34,2.34
2.42,53840.0,2.46,"Jul 21, 2010 00:00:00",2.46,2.42
2.4,43200.0,2.4,"Jul 22, 2010 00:00:00",2.4,2.4
2.4,1517040.0,2.4,"Jul 23, 2010 00:00:00",2.42,2.4
2.38,47600.0,2.38,"Sep 21, 2010 00:00:00",2.38,2.38
3.35,6700.0,3.35,"Sep 22, 2010 00:00:00",3.35,3.35
2.4,128550.0,2.55,"Sep 23, 2010 00:00:00",2.55,2.4
2.55,61200.0,2.55,"Sep 24, 2010 00:00:00",2.55,2.55
2.57,163520.0,2.55,"Sep 27, 2010 00:00:00",2.57,2.55
2.8,5600.0,2.8,"Sep 28, 2010 00:00:00",2.8,2.8
2.6,36400.0,2.6,"Sep 30, 2010 00:00:00",2.6,2.6
2.56,43400.0,2.55,"Oct 04, 2010 00:00:00",2.56,2.55
2.55,66300.0,2.55,"Oct 05, 2010 00:00:00",2.55,2.55
2.6,18200.0,2.6,"Oct 06, 2010 00:00:00",2.6,2.6
2.75,27500.0,2.75,"Oct 08, 2010 00:00:00",2.75,2.75
2.82,141950.0,2.99,"Oct 12, 2010 00:00:00",2.99,2.8
2.9,173100.0,2.81,"Oct 13, 2010 00:00:00",2.9,2.81
