OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.75,1224750.0,2.75,"Aug 03, 2009 00:00:00",2.8,2.75
2.85,225000.0,2.8,"Aug 04, 2009 00:00:00",2.85,2.75
2.8,765450.0,2.8,"Aug 06, 2009 00:00:00",2.85,2.8
2.8,456550.0,2.75,"Aug 07, 2009 00:00:00",2.8,2.75
2.75,667050.0,2.75,"Aug 10, 2009 00:00:00",2.75,2.7
2.75,571250.0,2.7,"Aug 11, 2009 00:00:00",2.75,2.7
2.8,2935150.0,2.85,"Aug 12, 2009 00:00:00",2.9,2.8
2.9,2784000.0,3.0,"Aug 13, 2009 00:00:00",3.1,2.85
3.0,676400.0,2.95,"Aug 14, 2009 00:00:00",3.05,2.9
2.8,519200.0,2.95,"Aug 17, 2009 00:00:00",2.95,2.8
2.8,293450.0,2.9,"Aug 18, 2009 00:00:00",2.9,2.8
2.95,1673250.0,3.0,"Aug 19, 2009 00:00:00",3.0,2.95
2.95,677000.0,2.9,"Aug 20, 2009 00:00:00",2.95,2.9
2.9,475700.0,2.9,"Aug 24, 2009 00:00:00",2.95,2.9
2.9,1493100.0,2.9,"Aug 25, 2009 00:00:00",3.0,2.9
2.9,1358850.0,3.05,"Aug 26, 2009 00:00:00",3.05,2.9
2.85,416150.0,2.85,"Sep 03, 2009 00:00:00",2.9,2.85
2.85,452150.0,2.9,"Sep 04, 2009 00:00:00",2.9,2.85
2.9,1259550.0,2.9,"Sep 16, 2009 00:00:00",2.9,2.85
2.9,269700.0,2.9,"Sep 17, 2009 00:00:00",2.9,2.9
2.9,601750.0,2.95,"Sep 18, 2009 00:00:00",2.95,2.9
2.95,483850.0,2.95,"Sep 22, 2009 00:00:00",3.0,2.95
2.95,652300.0,3.0,"Sep 23, 2009 00:00:00",3.0,2.95
2.85,171000.0,2.85,"Sep 30, 2009 00:00:00",2.85,2.85
2.85,142500.0,2.85,"Oct 01, 2009 00:00:00",2.85,2.85
2.85,145400.0,2.9,"Oct 02, 2009 00:00:00",2.9,2.85
2.9,1048950.0,2.85,"Oct 07, 2009 00:00:00",2.9,2.85
2.9,490300.0,2.85,"Oct 08, 2009 00:00:00",2.9,2.85
2.9,458200.0,2.9,"Oct 09, 2009 00:00:00",2.9,2.9
2.85,912000.0,2.85,"Oct 12, 2009 00:00:00",2.85,2.85
2.85,681550.0,2.85,"Oct 13, 2009 00:00:00",2.9,2.85
2.9,270800.0,2.85,"Oct 14, 2009 00:00:00",2.9,2.85
2.8,484850.0,2.85,"Oct 15, 2009 00:00:00",2.85,2.8
2.85,228100.0,2.85,"Oct 16, 2009 00:00:00",2.9,2.85
2.85,262200.0,2.85,"Oct 19, 2009 00:00:00",2.85,2.85
2.9,560100.0,2.85,"Oct 20, 2009 00:00:00",2.9,2.85
2.85,205200.0,2.85,"Oct 21, 2009 00:00:00",2.85,2.85
2.9,551000.0,2.9,"Oct 22, 2009 00:00:00",2.9,2.9
2.95,20350.0,2.9,"Oct 23, 2009 00:00:00",2.95,2.9
2.85,1463100.0,2.9,"Oct 26, 2009 00:00:00",2.9,2.85
2.85,5700.0,2.85,"Oct 27, 2009 00:00:00",2.85,2.85
2.8,268800.0,2.8,"Oct 28, 2009 00:00:00",2.8,2.8
2.75,145750.0,2.75,"Oct 29, 2009 00:00:00",2.75,2.75
2.85,185250.0,2.85,"Oct 30, 2009 00:00:00",2.85,2.85
2.85,561000.0,2.8,"Nov 03, 2009 00:00:00",2.85,2.8
2.8,238000.0,2.8,"Nov 04, 2009 00:00:00",2.8,2.8
2.7,13500.0,2.7,"Nov 06, 2009 00:00:00",2.7,2.7
2.7,5400.0,2.7,"Nov 09, 2009 00:00:00",2.7,2.7
2.7,402300.0,2.7,"Nov 10, 2009 00:00:00",2.7,2.7
2.7,1204250.0,2.75,"Nov 11, 2009 00:00:00",2.75,2.7
2.8,294000.0,2.8,"Dec 15, 2009 00:00:00",2.8,2.8
2.85,157350.0,2.85,"Dec 17, 2009 00:00:00",2.85,2.8
2.75,49500.0,2.75,"Dec 18, 2009 00:00:00",2.75,2.75
2.8,84000.0,2.8,"Dec 21, 2009 00:00:00",2.8,2.8
3.0,180200.0,3.0,"Dec 29, 2009 00:00:00",3.2,2.8
2.95,2043800.0,3.0,"Jan 05, 2010 00:00:00",3.05,2.95
3.0,1381500.0,2.95,"Jan 06, 2010 00:00:00",3.0,2.95
3.0,1188550.0,3.0,"Jan 07, 2010 00:00:00",3.0,2.95
2.95,289500.0,2.9,"Jan 08, 2010 00:00:00",2.95,2.9
2.9,287100.0,2.9,"Jan 11, 2010 00:00:00",2.9,2.9
2.85,521900.0,2.85,"Jan 12, 2010 00:00:00",2.9,2.85
2.85,71250.0,2.85,"Jan 13, 2010 00:00:00",2.85,2.85
2.95,88500.0,2.95,"Jan 14, 2010 00:00:00",2.95,2.95
2.95,88650.0,2.85,"Jan 15, 2010 00:00:00",2.95,2.85
2.9,356550.0,2.8,"Jan 18, 2010 00:00:00",2.9,2.8
2.85,19850.0,2.8,"Jan 19, 2010 00:00:00",2.85,2.8
2.8,102400.0,2.85,"Jan 21, 2010 00:00:00",2.9,2.8
2.85,457600.0,2.95,"Jan 26, 2010 00:00:00",2.95,2.85
2.75,137500.0,2.75,"Jan 27, 2010 00:00:00",2.75,2.75
2.8,140000.0,2.8,"Jan 28, 2010 00:00:00",2.8,2.8
2.75,55000.0,2.75,"Jan 29, 2010 00:00:00",2.75,2.75
2.75,299750.0,2.75,"Feb 01, 2010 00:00:00",2.75,2.75
2.75,286700.0,2.7,"Feb 02, 2010 00:00:00",2.8,2.7
2.65,26500.0,2.65,"Feb 03, 2010 00:00:00",2.65,2.65
2.65,206450.0,2.7,"Feb 08, 2010 00:00:00",2.7,2.65
2.55,215600.0,2.6,"Feb 09, 2010 00:00:00",2.6,2.55
2.65,195350.0,2.6,"Feb 10, 2010 00:00:00",2.65,2.6
2.85,11400.0,2.85,"Mar 08, 2010 00:00:00",2.85,2.85
2.8,2800.0,2.8,"Mar 15, 2010 00:00:00",2.8,2.8
2.8,5600.0,2.8,"Mar 16, 2010 00:00:00",2.8,2.8
2.8,92500.0,2.85,"Mar 17, 2010 00:00:00",2.85,2.8
2.7,340550.0,2.75,"Mar 31, 2010 00:00:00",2.8,2.7
2.9,37100.0,2.85,"Apr 20, 2010 00:00:00",2.9,2.85
2.85,79300.0,2.85,"Apr 21, 2010 00:00:00",2.85,2.8
2.9,20050.0,2.85,"Apr 22, 2010 00:00:00",2.9,2.85
2.9,14500.0,2.9,"Apr 23, 2010 00:00:00",2.9,2.9
2.85,990600.0,2.85,"Apr 29, 2010 00:00:00",2.9,2.8
2.85,79100.0,2.85,"Apr 30, 2010 00:00:00",2.9,2.8
2.9,348200.0,2.85,"May 04, 2010 00:00:00",2.9,2.85
2.85,85500.0,2.85,"May 14, 2010 00:00:00",2.85,2.85
2.85,11400.0,2.85,"May 20, 2010 00:00:00",2.85,2.85
2.85,285000.0,2.85,"May 24, 2010 00:00:00",2.85,2.85
2.8,114800.0,2.8,"May 25, 2010 00:00:00",2.8,2.8
2.85,509650.0,2.8,"May 27, 2010 00:00:00",2.85,2.8
2.85,433050.0,2.8,"May 28, 2010 00:00:00",2.85,2.75
2.8,30850.0,2.85,"May 31, 2010 00:00:00",2.85,2.8
2.75,277800.0,2.8,"Jun 03, 2010 00:00:00",2.8,2.75
2.8,124500.0,2.75,"Jun 04, 2010 00:00:00",2.8,2.75
2.8,70000.0,2.8,"Jun 08, 2010 00:00:00",2.8,2.8
2.85,2850.0,2.85,"Jun 11, 2010 00:00:00",2.85,2.85
2.8,212800.0,2.8,"Jun 16, 2010 00:00:00",2.8,2.8
2.85,5700.0,2.85,"Jun 21, 2010 00:00:00",2.85,2.85
2.8,148550.0,2.85,"Jun 28, 2010 00:00:00",2.85,2.8
2.5,789000.0,2.6,"Jul 02, 2010 00:00:00",2.75,2.5
2.7,186350.0,2.7,"Jul 06, 2010 00:00:00",2.75,2.7
2.6,50900.0,2.7,"Jul 07, 2010 00:00:00",2.7,2.6
2.75,1534450.0,2.7,"Jul 08, 2010 00:00:00",2.8,2.7
2.7,27900.0,2.8,"Jul 09, 2010 00:00:00",2.8,2.7
2.75,834200.0,2.85,"Jul 13, 2010 00:00:00",2.9,2.7
2.85,836650.0,2.85,"Jul 14, 2010 00:00:00",2.95,2.85
2.75,136100.0,2.7,"Jul 15, 2010 00:00:00",2.8,2.7
2.8,86850.0,2.8,"Jul 16, 2010 00:00:00",2.85,2.8
2.8,75600.0,2.8,"Jul 19, 2010 00:00:00",2.8,2.8
2.85,2077900.0,2.9,"Jul 20, 2010 00:00:00",2.95,2.85
2.95,772550.0,2.95,"Jul 21, 2010 00:00:00",2.95,2.85
2.95,2918000.0,3.0,"Jul 22, 2010 00:00:00",3.05,2.95
3.0,955700.0,3.0,"Jul 23, 2010 00:00:00",3.0,2.95
3.1,577330.0,3.03,"Sep 20, 2010 00:00:00",3.1,2.98
3.05,2815410.0,3.05,"Sep 21, 2010 00:00:00",3.1,3.0
3.0,238200.0,2.94,"Sep 22, 2010 00:00:00",3.0,2.94
3.0,630450.0,3.15,"Sep 23, 2010 00:00:00",3.15,3.0
3.2,869540.0,3.15,"Sep 24, 2010 00:00:00",3.24,3.1
3.15,965000.0,3.0,"Sep 27, 2010 00:00:00",3.15,3.0
3.0,585260.0,2.96,"Sep 28, 2010 00:00:00",3.1,2.96
2.97,294620.0,2.98,"Sep 29, 2010 00:00:00",2.98,2.96
2.93,152360.0,2.93,"Sep 30, 2010 00:00:00",2.93,2.93
3.0,15000.0,3.0,"Oct 01, 2010 00:00:00",3.0,3.0
3.01,108340.0,3.05,"Oct 05, 2010 00:00:00",3.05,3.0
3.15,1218900.0,3.0,"Oct 06, 2010 00:00:00",3.19,3.0
3.05,2524510.0,3.2,"Oct 07, 2010 00:00:00",3.25,3.05
3.25,3856640.0,3.58,"Oct 08, 2010 00:00:00",3.6,3.2
3.25,335000.0,3.4,"Oct 12, 2010 00:00:00",3.4,3.25
3.35,1730710.0,3.37,"Oct 13, 2010 00:00:00",3.4,3.25
3.25,553800.0,3.3,"Oct 14, 2010 00:00:00",3.4,3.2
3.32,67770.0,3.25,"Oct 15, 2010 00:00:00",3.32,3.21
3.35,229450.0,3.3,"Oct 18, 2010 00:00:00",3.35,3.25
3.35,210300.0,3.33,"Oct 19, 2010 00:00:00",3.35,3.25
3.2,54400.0,3.2,"Oct 20, 2010 00:00:00",3.2,3.2
3.2,156800.0,3.2,"Oct 22, 2010 00:00:00",3.2,3.2
3.25,35250.0,3.2,"Oct 26, 2010 00:00:00",3.25,3.2
