OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.19,157700.0,0.19,"Aug 03, 2009 00:00:00",0.19,0.19
0.19,79800.0,0.19,"Aug 04, 2009 00:00:00",0.19,0.19
0.19,190000.0,0.19,"Aug 06, 2009 00:00:00",0.19,0.19
0.19,57000.0,0.19,"Aug 07, 2009 00:00:00",0.19,0.19
0.19,190000.0,0.19,"Aug 10, 2009 00:00:00",0.19,0.19
0.185,18500.0,0.185,"Aug 11, 2009 00:00:00",0.185,0.185
0.18,23400.0,0.18,"Aug 17, 2009 00:00:00",0.18,0.18
0.18,50400.0,0.18,"Aug 18, 2009 00:00:00",0.18,0.18
0.18,3600.0,0.18,"Aug 25, 2009 00:00:00",0.18,0.18
0.18,50400.0,0.18,"Aug 26, 2009 00:00:00",0.18,0.18
0.19,30400.0,0.19,"Sep 03, 2009 00:00:00",0.19,0.19
0.19,231300.0,0.19,"Sep 04, 2009 00:00:00",0.19,0.185
0.2,127500.0,0.22,"Sep 16, 2009 00:00:00",0.23,0.2
0.2,160000.0,0.2,"Sep 17, 2009 00:00:00",0.2,0.2
0.21,82450.0,0.22,"Sep 18, 2009 00:00:00",0.22,0.21
0.225,93750.0,0.22,"Sep 23, 2009 00:00:00",0.225,0.22
0.225,134500.0,0.22,"Sep 30, 2009 00:00:00",0.225,0.22
0.22,57200.0,0.22,"Oct 01, 2009 00:00:00",0.22,0.22
0.22,77000.0,0.22,"Oct 02, 2009 00:00:00",0.22,0.22
0.225,11250.0,0.225,"Oct 05, 2009 00:00:00",0.225,0.225
0.24,213500.0,0.25,"Oct 06, 2009 00:00:00",0.25,0.24
0.27,757700.0,0.33,"Oct 07, 2009 00:00:00",0.34,0.27
0.37,1649900.0,0.49,"Oct 08, 2009 00:00:00",0.49,0.37
0.62,2603800.0,0.54,"Oct 09, 2009 00:00:00",0.66,0.52
0.54,435800.0,0.5,"Oct 12, 2009 00:00:00",0.54,0.5
0.48,1887200.0,0.36,"Oct 13, 2009 00:00:00",0.48,0.36
0.39,3506500.0,0.54,"Oct 14, 2009 00:00:00",0.54,0.36
0.6,29592600.0,0.81,"Oct 15, 2009 00:00:00",0.81,0.6
0.86,39426200.0,0.74,"Oct 16, 2009 00:00:00",0.9,0.71
0.71,8087000.0,0.73,"Oct 19, 2009 00:00:00",0.75,0.65
0.71,10193300.0,0.69,"Oct 20, 2009 00:00:00",0.74,0.66
0.7,7087300.0,0.6,"Oct 21, 2009 00:00:00",0.71,0.6
0.56,3833200.0,0.57,"Oct 22, 2009 00:00:00",0.59,0.55
0.56,10591100.0,0.64,"Oct 23, 2009 00:00:00",0.66,0.52
0.64,3372500.0,0.59,"Oct 26, 2009 00:00:00",0.64,0.59
0.6,3683000.0,0.56,"Oct 27, 2009 00:00:00",0.62,0.55
0.58,9791800.0,0.59,"Oct 28, 2009 00:00:00",0.63,0.58
0.59,3098300.0,0.59,"Oct 29, 2009 00:00:00",0.62,0.58
0.63,4776200.0,0.62,"Oct 30, 2009 00:00:00",0.67,0.62
0.62,4140000.0,0.64,"Nov 03, 2009 00:00:00",0.68,0.62
0.64,89200.0,0.62,"Nov 04, 2009 00:00:00",0.64,0.62
0.62,925100.0,0.61,"Nov 05, 2009 00:00:00",0.62,0.58
0.57,1263400.0,0.56,"Nov 06, 2009 00:00:00",0.58,0.56
0.56,540900.0,0.57,"Nov 09, 2009 00:00:00",0.57,0.55
0.55,1090400.0,0.53,"Nov 10, 2009 00:00:00",0.56,0.53
0.52,810000.0,0.55,"Nov 11, 2009 00:00:00",0.57,0.52
0.39,78500.0,0.4,"Dec 15, 2009 00:00:00",0.4,0.39
0.42,143800.0,0.46,"Dec 16, 2009 00:00:00",0.46,0.4
0.43,122100.0,0.41,"Dec 17, 2009 00:00:00",0.43,0.41
0.41,174200.0,0.42,"Dec 18, 2009 00:00:00",0.42,0.41
0.44,4400.0,0.44,"Dec 22, 2009 00:00:00",0.44,0.44
0.36,987400.0,0.37,"Dec 29, 2009 00:00:00",0.39,0.35
0.38,2188500.0,0.47,"Jan 04, 2010 00:00:00",0.48,0.38
0.48,9521100.0,0.48,"Jan 05, 2010 00:00:00",0.59,0.48
0.49,2213600.0,0.5,"Jan 06, 2010 00:00:00",0.52,0.48
0.52,2307900.0,0.49,"Jan 07, 2010 00:00:00",0.55,0.49
0.49,1100200.0,0.45,"Jan 08, 2010 00:00:00",0.49,0.45
0.45,487200.0,0.47,"Jan 11, 2010 00:00:00",0.47,0.45
0.45,49500.0,0.45,"Jan 12, 2010 00:00:00",0.45,0.45
0.45,238100.0,0.44,"Jan 13, 2010 00:00:00",0.45,0.44
0.45,400300.0,0.46,"Jan 14, 2010 00:00:00",0.46,0.45
0.47,420600.0,0.46,"Jan 15, 2010 00:00:00",0.48,0.46
0.46,975600.0,0.48,"Jan 18, 2010 00:00:00",0.48,0.44
0.48,183600.0,0.48,"Jan 19, 2010 00:00:00",0.49,0.48
0.46,122100.0,0.45,"Jan 20, 2010 00:00:00",0.46,0.45
0.44,406200.0,0.46,"Jan 21, 2010 00:00:00",0.47,0.44
0.45,119800.0,0.44,"Jan 22, 2010 00:00:00",0.45,0.44
0.44,118700.0,0.47,"Jan 26, 2010 00:00:00",0.47,0.44
0.47,104400.0,0.47,"Jan 27, 2010 00:00:00",0.48,0.47
0.46,887600.0,0.49,"Feb 01, 2010 00:00:00",0.5,0.46
0.44,108000.0,0.43,"Feb 02, 2010 00:00:00",0.44,0.43
0.44,122400.0,0.43,"Feb 03, 2010 00:00:00",0.44,0.43
0.42,231000.0,0.42,"Feb 04, 2010 00:00:00",0.42,0.42
0.41,82000.0,0.41,"Feb 05, 2010 00:00:00",0.41,0.41
0.4,104200.0,0.4,"Feb 08, 2010 00:00:00",0.42,0.4
0.4,1158200.0,0.4,"Feb 10, 2010 00:00:00",0.41,0.39
0.4,1069600.0,0.4,"Feb 11, 2010 00:00:00",0.43,0.39
0.4,128000.0,0.4,"Mar 08, 2010 00:00:00",0.4,0.4
0.38,136800.0,0.38,"Mar 12, 2010 00:00:00",0.38,0.38
0.38,7600.0,0.38,"Mar 15, 2010 00:00:00",0.38,0.38
0.38,856200.0,0.38,"Mar 17, 2010 00:00:00",0.38,0.36
0.37,181800.0,0.37,"Mar 31, 2010 00:00:00",0.38,0.37
0.38,15900.0,0.41,"Apr 21, 2010 00:00:00",0.41,0.38
0.4,40000.0,0.4,"Apr 22, 2010 00:00:00",0.4,0.4
0.37,40700.0,0.37,"May 04, 2010 00:00:00",0.37,0.37
0.37,14800.0,0.37,"May 05, 2010 00:00:00",0.37,0.37
0.37,147300.0,0.38,"May 13, 2010 00:00:00",0.38,0.36
0.36,116200.0,0.37,"May 14, 2010 00:00:00",0.37,0.36
0.37,11300.0,0.38,"May 19, 2010 00:00:00",0.38,0.37
0.37,60200.0,0.38,"May 24, 2010 00:00:00",0.38,0.37
0.37,62900.0,0.37,"May 25, 2010 00:00:00",0.37,0.37
0.37,233000.0,0.36,"May 27, 2010 00:00:00",0.37,0.35
0.37,21700.0,0.36,"May 28, 2010 00:00:00",0.37,0.36
0.36,230200.0,0.34,"May 31, 2010 00:00:00",0.36,0.34
0.37,3700.0,0.37,"Jun 01, 2010 00:00:00",0.37,0.37
0.37,294700.0,0.39,"Jun 02, 2010 00:00:00",0.39,0.37
0.39,85900.0,0.39,"Jun 04, 2010 00:00:00",0.4,0.39
0.37,7400.0,0.37,"Jun 10, 2010 00:00:00",0.37,0.37
0.37,3700.0,0.37,"Jun 11, 2010 00:00:00",0.37,0.37
0.4,4000.0,0.4,"Jun 15, 2010 00:00:00",0.4,0.4
0.41,28300.0,0.39,"Jun 22, 2010 00:00:00",0.41,0.39
0.39,46800.0,0.39,"Jun 25, 2010 00:00:00",0.39,0.39
0.37,44400.0,0.37,"Jun 28, 2010 00:00:00",0.37,0.37
0.37,59200.0,0.37,"Jun 29, 2010 00:00:00",0.37,0.37
0.38,2799700.0,0.43,"Jul 01, 2010 00:00:00",0.46,0.38
0.4,384100.0,0.41,"Jul 02, 2010 00:00:00",0.41,0.4
0.39,128700.0,0.39,"Jul 06, 2010 00:00:00",0.39,0.39
0.39,167700.0,0.4,"Jul 07, 2010 00:00:00",0.41,0.39
0.41,964000.0,0.4,"Jul 08, 2010 00:00:00",0.42,0.4
0.4,108000.0,0.4,"Jul 09, 2010 00:00:00",0.4,0.4
0.4,20000.0,0.4,"Jul 13, 2010 00:00:00",0.4,0.4
0.39,1315200.0,0.39,"Jul 15, 2010 00:00:00",0.42,0.39
0.41,13875400.0,0.58,"Jul 19, 2010 00:00:00",0.58,0.41
0.58,10840500.0,0.52,"Jul 20, 2010 00:00:00",0.6,0.52
0.52,1025000.0,0.49,"Jul 21, 2010 00:00:00",0.52,0.49
0.49,1631600.0,0.45,"Jul 22, 2010 00:00:00",0.49,0.44
0.45,328500.0,0.45,"Jul 23, 2010 00:00:00",0.45,0.45
0.6,5833550.0,0.36,"Mar 19, 2013 00:00:00",0.6,0.36
0.33,8612470.0,0.28,"Mar 20, 2013 00:00:00",0.33,0.2
0.27,6524750.0,0.27,"Mar 21, 2013 00:00:00",0.345,0.25
0.3,13757550.0,0.385,"Mar 22, 2013 00:00:00",0.405,0.295
0.41,43013250.0,0.53,"Mar 25, 2013 00:00:00",0.56,0.39
0.57,89396690.0,0.58,"Mar 26, 2013 00:00:00",0.73,0.55
0.58,24223810.0,0.6,"Mar 27, 2013 00:00:00",0.65,0.52
0.62,23251800.0,0.63,"Apr 01, 2013 00:00:00",0.7,0.6
0.63,5192970.0,0.61,"Apr 02, 2013 00:00:00",0.65,0.6
0.62,3355860.0,0.58,"Apr 03, 2013 00:00:00",0.63,0.58
0.6,5982460.0,0.57,"Apr 04, 2013 00:00:00",0.63,0.56
0.57,6511380.0,0.54,"Apr 05, 2013 00:00:00",0.58,0.5
0.55,1609150.0,0.52,"Apr 08, 2013 00:00:00",0.56,0.51
0.52,3960780.0,0.485,"Apr 10, 2013 00:00:00",0.53,0.46
0.48,2619300.0,0.49,"Apr 11, 2013 00:00:00",0.49,0.47
0.495,6765350.0,0.52,"Apr 12, 2013 00:00:00",0.55,0.495
0.54,1308680.0,0.51,"Apr 15, 2013 00:00:00",0.54,0.51
0.495,1593760.0,0.5,"Apr 16, 2013 00:00:00",0.52,0.495
0.51,2471600.0,0.48,"Apr 17, 2013 00:00:00",0.52,0.48
0.48,1838350.0,0.47,"Apr 18, 2013 00:00:00",0.48,0.46
0.465,1652850.0,0.46,"Apr 19, 2013 00:00:00",0.475,0.46
0.47,1138450.0,0.46,"Apr 22, 2013 00:00:00",0.47,0.455
0.46,3399150.0,0.43,"Apr 23, 2013 00:00:00",0.47,0.42
0.43,1680050.0,0.42,"Apr 24, 2013 00:00:00",0.44,0.42
0.43,2208750.0,0.46,"Apr 25, 2013 00:00:00",0.49,0.43
0.45,495450.0,0.455,"Apr 26, 2013 00:00:00",0.46,0.42
0.45,535500.0,0.425,"Apr 29, 2013 00:00:00",0.45,0.425
0.43,5040900.0,0.445,"Apr 30, 2013 00:00:00",0.52,0.43
0.45,765100.0,0.465,"May 02, 2013 00:00:00",0.49,0.45
0.47,364500.0,0.46,"May 03, 2013 00:00:00",0.485,0.455
0.46,403000.0,0.445,"May 06, 2013 00:00:00",0.46,0.43
0.435,1104150.0,0.44,"May 07, 2013 00:00:00",0.445,0.43
0.43,678100.0,0.44,"May 08, 2013 00:00:00",0.475,0.43
0.475,13673250.0,0.51,"May 09, 2013 00:00:00",0.54,0.475
0.5,2599870.0,0.46,"May 10, 2013 00:00:00",0.5,0.45
0.46,751200.0,0.48,"May 14, 2013 00:00:00",0.48,0.44
0.46,1057900.0,0.45,"May 15, 2013 00:00:00",0.46,0.445
0.45,793000.0,0.44,"May 16, 2013 00:00:00",0.46,0.44
0.435,782750.0,0.44,"May 17, 2013 00:00:00",0.44,0.42
0.425,483500.0,0.44,"May 20, 2013 00:00:00",0.45,0.425
0.425,517200.0,0.43,"May 21, 2013 00:00:00",0.435,0.42
0.435,251600.0,0.425,"May 22, 2013 00:00:00",0.435,0.42
0.425,410150.0,0.425,"May 23, 2013 00:00:00",0.43,0.42
0.42,130400.0,0.42,"May 24, 2013 00:00:00",0.425,0.42
0.42,430950.0,0.42,"May 27, 2013 00:00:00",0.42,0.415
0.41,336250.0,0.415,"May 28, 2013 00:00:00",0.415,0.41
0.41,86750.0,0.42,"May 29, 2013 00:00:00",0.42,0.41
0.405,92050.0,0.4,"May 30, 2013 00:00:00",0.405,0.4
0.4,284000.0,0.4,"May 31, 2013 00:00:00",0.4,0.4
0.39,430900.0,0.39,"Jun 03, 2013 00:00:00",0.39,0.37
0.375,384350.0,0.36,"Jun 04, 2013 00:00:00",0.375,0.315
0.36,63000.0,0.33,"Jun 06, 2013 00:00:00",0.36,0.33
0.35,251350.0,0.355,"Jun 07, 2013 00:00:00",0.355,0.35
0.36,357400.0,0.38,"Jun 10, 2013 00:00:00",0.38,0.34
0.39,1589900.0,0.395,"Jun 11, 2013 00:00:00",0.44,0.39
0.395,185700.0,0.395,"Jun 13, 2013 00:00:00",0.395,0.35
0.355,21700.0,0.395,"Jun 14, 2013 00:00:00",0.395,0.355
0.39,256350.0,0.4,"Jun 18, 2013 00:00:00",0.4,0.35
0.36,331300.0,0.34,"Jun 19, 2013 00:00:00",0.37,0.31
0.375,46000.0,0.35,"Jun 20, 2013 00:00:00",0.375,0.35
0.33,121900.0,0.335,"Jun 21, 2013 00:00:00",0.375,0.33
0.33,422050.0,0.3,"Jun 24, 2013 00:00:00",0.33,0.3
0.3,273900.0,0.295,"Jun 25, 2013 00:00:00",0.3,0.29
0.3,236600.0,0.31,"Jun 26, 2013 00:00:00",0.31,0.3
0.31,271300.0,0.3,"Jun 27, 2013 00:00:00",0.31,0.3
0.31,163400.0,0.3,"Jun 28, 2013 00:00:00",0.31,0.3
0.3,294100.0,0.3,"Jul 01, 2013 00:00:00",0.31,0.3
0.295,274700.0,0.295,"Jul 02, 2013 00:00:00",0.295,0.26
0.295,23000.0,0.285,"Jul 03, 2013 00:00:00",0.295,0.285
0.3,630800.0,0.315,"Jul 04, 2013 00:00:00",0.35,0.3
0.31,2151200.0,0.345,"Jul 05, 2013 00:00:00",0.375,0.3
0.35,436000.0,0.33,"Jul 08, 2013 00:00:00",0.37,0.33
0.305,570400.0,0.305,"Jul 09, 2013 00:00:00",0.315,0.3
0.305,475850.0,0.3,"Jul 10, 2013 00:00:00",0.305,0.3
0.3,337350.0,0.31,"Jul 11, 2013 00:00:00",0.31,0.3
0.31,196000.0,0.3,"Jul 12, 2013 00:00:00",0.31,0.3
0.29,203050.0,0.29,"Jul 15, 2013 00:00:00",0.295,0.29
0.3,682150.0,0.295,"Jul 16, 2013 00:00:00",0.31,0.29
0.295,73750.0,0.295,"Jul 17, 2013 00:00:00",0.295,0.295
0.29,84850.0,0.295,"Jul 18, 2013 00:00:00",0.295,0.29
0.295,482700.0,0.295,"Jul 19, 2013 00:00:00",0.305,0.295
0.295,8950.0,0.3,"Jul 22, 2013 00:00:00",0.3,0.295
0.29,88450.0,0.3,"Jul 23, 2013 00:00:00",0.3,0.29
0.29,118900.0,0.29,"Jul 24, 2013 00:00:00",0.29,0.29
0.29,163300.0,0.3,"Jul 25, 2013 00:00:00",0.3,0.29
0.295,53100.0,0.295,"Jul 26, 2013 00:00:00",0.295,0.295
0.295,158000.0,0.3,"Jul 29, 2013 00:00:00",0.3,0.295
0.295,2950.0,0.295,"Jul 30, 2013 00:00:00",0.295,0.295
0.295,82600.0,0.295,"Jul 31, 2013 00:00:00",0.295,0.295
0.29,175600.0,0.29,"Aug 01, 2013 00:00:00",0.295,0.29
0.29,49300.0,0.29,"Aug 02, 2013 00:00:00",0.29,0.29
0.3,142050.0,0.295,"Aug 05, 2013 00:00:00",0.31,0.295
0.305,3050.0,0.305,"Aug 06, 2013 00:00:00",0.305,0.305
0.295,129800.0,0.295,"Aug 08, 2013 00:00:00",0.295,0.295
0.285,210900.0,0.285,"Aug 12, 2013 00:00:00",0.285,0.285
0.295,650250.0,0.26,"Aug 13, 2013 00:00:00",0.295,0.26
0.27,65800.0,0.275,"Aug 14, 2013 00:00:00",0.275,0.27
0.275,19250.0,0.275,"Aug 15, 2013 00:00:00",0.275,0.275
0.27,13800.0,0.295,"Aug 16, 2013 00:00:00",0.295,0.27
0.27,24300.0,0.27,"Aug 22, 2013 00:00:00",0.27,0.27
0.27,32400.000000000004,0.27,"Aug 23, 2013 00:00:00",0.27,0.27
0.27,714100.0,0.25,"Aug 27, 2013 00:00:00",0.27,0.25
0.24,10200.0,0.27,"Aug 28, 2013 00:00:00",0.27,0.24
0.27,37700.0,0.27,"Aug 29, 2013 00:00:00",0.285,0.265
0.25,7500.0,0.25,"Aug 30, 2013 00:00:00",0.25,0.25
0.25,27700.0,0.27,"Sep 02, 2013 00:00:00",0.27,0.25
0.25,46700.0,0.245,"Sep 04, 2013 00:00:00",0.25,0.245
0.255,40700.0,0.25,"Sep 05, 2013 00:00:00",0.27,0.25
0.26,20800.0,0.26,"Sep 09, 2013 00:00:00",0.26,0.26
0.245,75000.0,0.26,"Sep 13, 2013 00:00:00",0.26,0.245
0.24,87130.0,0.241,"Sep 17, 2013 00:00:00",0.25,0.24
0.242,38630.0,0.242,"Sep 18, 2013 00:00:00",0.242,0.241
0.255,15300.0,0.255,"Sep 19, 2013 00:00:00",0.255,0.255
0.245,90500.0,0.25,"Sep 20, 2013 00:00:00",0.25,0.24
0.255,99250.0,0.25,"Sep 23, 2013 00:00:00",0.255,0.25
0.265,105090.0,0.25,"Sep 24, 2013 00:00:00",0.265,0.241
0.25,5000.0,0.25,"Sep 25, 2013 00:00:00",0.25,0.25
0.245,103350.0,0.24,"Sep 27, 2013 00:00:00",0.25,0.24
0.24,2400.0,0.24,"Sep 30, 2013 00:00:00",0.24,0.24
0.235,61850.0,0.24,"Oct 01, 2013 00:00:00",0.24,0.235
0.235,25850.0,0.235,"Oct 02, 2013 00:00:00",0.235,0.235
0.24,70850.0,0.255,"Oct 03, 2013 00:00:00",0.255,0.235
0.235,21750.0,0.26,"Oct 17, 2013 00:00:00",0.26,0.235
0.25,74900.0,0.24,"Oct 18, 2013 00:00:00",0.25,0.24
0.241,40900.0,0.237,"Oct 21, 2013 00:00:00",0.249,0.237
0.245,24500.0,0.245,"Oct 23, 2013 00:00:00",0.245,0.245
0.24,93350.0,0.23,"Oct 24, 2013 00:00:00",0.24,0.23
0.23,9000.0,0.22,"Oct 25, 2013 00:00:00",0.23,0.22
0.22,11000.0,0.22,"Oct 30, 2013 00:00:00",0.22,0.22
0.215,27950.0,0.215,"Nov 04, 2013 00:00:00",0.215,0.215
0.217,2170.0,0.217,"Nov 05, 2013 00:00:00",0.217,0.217
0.217,2170.0,0.217,"Nov 08, 2013 00:00:00",0.217,0.217
0.217,17260.0,0.215,"Nov 11, 2013 00:00:00",0.217,0.215
0.235,16910.0,0.244,"Nov 12, 2013 00:00:00",0.244,0.235
0.225,123550.0,0.225,"Nov 13, 2013 00:00:00",0.225,0.221
0.22,89650.0,0.215,"Nov 14, 2013 00:00:00",0.22,0.215
0.216,118370.0,0.215,"Nov 15, 2013 00:00:00",0.217,0.215
0.211,82000.0,0.21,"Nov 19, 2013 00:00:00",0.211,0.21
0.21,203700.0,0.21,"Nov 20, 2013 00:00:00",0.21,0.21
0.21,77100.0,0.201,"Nov 21, 2013 00:00:00",0.21,0.201
0.2,4000.0,0.2,"Nov 26, 2013 00:00:00",0.2,0.2
0.2,2000.0,0.2,"Nov 27, 2013 00:00:00",0.2,0.2
0.2,10100.0,0.21,"Nov 29, 2013 00:00:00",0.21,0.2
0.18,1800.0,0.18,"Dec 06, 2013 00:00:00",0.18,0.18
0.18,21600.0,0.18,"Dec 10, 2013 00:00:00",0.18,0.18
0.182,41860.0,0.182,"Dec 11, 2013 00:00:00",0.182,0.182
0.24,2400.0,0.24,"Dec 13, 2013 00:00:00",0.24,0.24
0.224,26270.0,0.218,"Dec 16, 2013 00:00:00",0.224,0.218
0.216,8640.0,0.216,"Dec 17, 2013 00:00:00",0.216,0.216
0.2,15040.0,0.218,"Dec 18, 2013 00:00:00",0.218,0.2
0.215,156200.0,0.197,"Dec 20, 2013 00:00:00",0.215,0.196
0.195,31220.0,0.195,"Dec 23, 2013 00:00:00",0.197,0.195
0.195,9750.0,0.195,"Dec 26, 2013 00:00:00",0.195,0.195
0.191,43600.0,0.205,"Dec 27, 2013 00:00:00",0.205,0.191
0.19,9500.0,0.19,"Jan 02, 2014 00:00:00",0.19,0.19
0.185,165220.0,0.178,"Jan 06, 2014 00:00:00",0.19,0.175
0.194,2152380.0,0.23,"Jan 07, 2014 00:00:00",0.249,0.194
0.24,1307840.0,0.255,"Jan 08, 2014 00:00:00",0.26,0.236
0.255,166220.0,0.236,"Jan 09, 2014 00:00:00",0.255,0.236
0.21,414550.0,0.238,"Jan 10, 2014 00:00:00",0.255,0.21
0.22,80300.0,0.215,"Jan 14, 2014 00:00:00",0.22,0.215
0.225,273180.0,0.247,"Jan 15, 2014 00:00:00",0.25,0.225
