OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.4,211901500.0,1.44,"Aug 03, 2009 00:00:00",1.46,1.38
1.48,282862540.0,1.36,"Aug 04, 2009 00:00:00",1.48,1.36
1.34,199770280.0,1.34,"Aug 06, 2009 00:00:00",1.38,1.3
1.34,112200540.0,1.34,"Aug 07, 2009 00:00:00",1.36,1.32
1.36,136745700.0,1.38,"Aug 10, 2009 00:00:00",1.4,1.34
1.38,70286820.0,1.36,"Aug 11, 2009 00:00:00",1.4,1.34
1.34,113217860.0,1.34,"Aug 12, 2009 00:00:00",1.36,1.32
1.36,168227200.0,1.38,"Aug 13, 2009 00:00:00",1.42,1.36
1.4,63077520.0,1.38,"Aug 14, 2009 00:00:00",1.4,1.36
1.34,240914560.0,1.28,"Aug 17, 2009 00:00:00",1.36,1.28
1.22,196406200.0,1.26,"Aug 18, 2009 00:00:00",1.28,1.22
1.3,86890000.0,1.28,"Aug 19, 2009 00:00:00",1.32,1.28
1.32,70751720.0,1.24,"Aug 20, 2009 00:00:00",1.32,1.24
1.32,292387500.0,1.42,"Aug 24, 2009 00:00:00",1.42,1.32
1.4,479758960.0,1.5,"Aug 25, 2009 00:00:00",1.54,1.4
1.52,311129700.0,1.54,"Aug 26, 2009 00:00:00",1.58,1.52
1.48,357283640.0,1.48,"Sep 03, 2009 00:00:00",1.52,1.44
1.52,191193300.0,1.54,"Sep 04, 2009 00:00:00",1.54,1.52
1.52,109736840.0,1.5,"Sep 16, 2009 00:00:00",1.52,1.48
1.54,152744080.0,1.52,"Sep 17, 2009 00:00:00",1.54,1.5
1.5,126935720.0,1.56,"Sep 18, 2009 00:00:00",1.56,1.48
1.54,105694320.0,1.54,"Sep 22, 2009 00:00:00",1.54,1.52
1.56,132526260.0,1.54,"Sep 23, 2009 00:00:00",1.58,1.52
1.48,20699900.0,1.5,"Sep 30, 2009 00:00:00",1.5,1.48
1.5,32370120.0,1.52,"Oct 01, 2009 00:00:00",1.54,1.5
1.48,29694620.0,1.5,"Oct 02, 2009 00:00:00",1.5,1.46
1.5,41394580.0,1.52,"Oct 05, 2009 00:00:00",1.52,1.48
1.52,300392280.0,1.6,"Oct 06, 2009 00:00:00",1.6,1.52
1.64,241247660.0,1.68,"Oct 07, 2009 00:00:00",1.68,1.64
1.68,213680620.0,1.72,"Oct 08, 2009 00:00:00",1.74,1.68
1.72,123866120.0,1.66,"Oct 09, 2009 00:00:00",1.72,1.64
1.68,69338000.0,1.64,"Oct 12, 2009 00:00:00",1.7,1.62
1.64,75988560.0,1.64,"Oct 13, 2009 00:00:00",1.68,1.62
1.64,44294120.0,1.66,"Oct 14, 2009 00:00:00",1.68,1.64
1.68,257242180.0,1.72,"Oct 15, 2009 00:00:00",1.74,1.68
1.72,42234660.0,1.66,"Oct 16, 2009 00:00:00",1.72,1.66
1.66,42073580.0,1.68,"Oct 19, 2009 00:00:00",1.7,1.66
1.68,56683980.0,1.68,"Oct 20, 2009 00:00:00",1.7,1.66
1.68,106606300.0,1.64,"Oct 21, 2009 00:00:00",1.68,1.64
1.64,112286540.0,1.64,"Oct 22, 2009 00:00:00",1.66,1.62
1.66,84368560.0,1.66,"Oct 23, 2009 00:00:00",1.66,1.64
1.64,30438700.0,1.64,"Oct 26, 2009 00:00:00",1.66,1.64
1.64,86646760.0,1.64,"Oct 27, 2009 00:00:00",1.64,1.6
1.64,105913520.0,1.58,"Oct 28, 2009 00:00:00",1.64,1.56
1.54,202522560.0,1.52,"Oct 29, 2009 00:00:00",1.54,1.5
1.56,77035920.0,1.54,"Oct 30, 2009 00:00:00",1.56,1.52
1.5,133138440.0,1.48,"Nov 03, 2009 00:00:00",1.52,1.46
1.48,131533940.0,1.5,"Nov 04, 2009 00:00:00",1.52,1.44
1.5,42050260.0,1.52,"Nov 05, 2009 00:00:00",1.54,1.48
1.56,66267240.0,1.54,"Nov 06, 2009 00:00:00",1.56,1.52
1.54,30140000.0,1.5,"Nov 09, 2009 00:00:00",1.54,1.48
1.54,86085720.0,1.56,"Nov 10, 2009 00:00:00",1.56,1.52
1.56,173988420.0,1.62,"Nov 11, 2009 00:00:00",1.64,1.52
1.42,47999740.0,1.44,"Dec 15, 2009 00:00:00",1.44,1.42
1.44,65188780.0,1.46,"Dec 16, 2009 00:00:00",1.48,1.42
1.48,64810880.0,1.42,"Dec 17, 2009 00:00:00",1.48,1.4
1.4,48101900.0,1.38,"Dec 18, 2009 00:00:00",1.42,1.38
1.4,37281520.0,1.38,"Dec 21, 2009 00:00:00",1.4,1.38
1.4,59511960.0,1.38,"Dec 22, 2009 00:00:00",1.4,1.32
1.38,19659400.0,1.36,"Dec 23, 2009 00:00:00",1.38,1.34
1.4,183005660.0,1.48,"Dec 29, 2009 00:00:00",1.48,1.4
