OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.22,5280560.0,2.2,"Aug 03, 2009 00:00:00",2.22,2.18
2.2,3879960.0,2.24,"Aug 04, 2009 00:00:00",2.24,2.2
2.26,30309280.0,2.32,"Aug 06, 2009 00:00:00",2.44,2.26
2.32,7344440.0,2.26,"Aug 07, 2009 00:00:00",2.32,2.24
2.28,23945960.0,2.3,"Aug 10, 2009 00:00:00",2.34,2.22
2.36,39971340.0,2.4,"Aug 11, 2009 00:00:00",2.48,2.34
2.4,12080160.0,2.34,"Aug 12, 2009 00:00:00",2.4,2.32
2.38,18938480.0,2.36,"Aug 13, 2009 00:00:00",2.44,2.36
2.4,7395080.0,2.32,"Aug 14, 2009 00:00:00",2.4,2.32
2.3,11887460.0,2.2,"Aug 17, 2009 00:00:00",2.3,2.2
2.14,4547240.0,2.2,"Aug 18, 2009 00:00:00",2.24,2.12
2.2,4056180.0,2.18,"Aug 19, 2009 00:00:00",2.22,2.18
2.18,4600360.0,2.16,"Aug 20, 2009 00:00:00",2.18,2.12
2.2,3795900.0,2.18,"Aug 24, 2009 00:00:00",2.2,2.18
2.18,10745640.0,2.2,"Aug 25, 2009 00:00:00",2.26,2.18
2.22,1283860.0,2.22,"Aug 26, 2009 00:00:00",2.24,2.2
2.16,2088620.0,2.18,"Sep 03, 2009 00:00:00",2.18,2.14
2.2,6369340.0,2.16,"Sep 04, 2009 00:00:00",2.2,2.16
2.18,2892040.0,2.16,"Sep 16, 2009 00:00:00",2.18,2.14
2.16,2344540.0,2.14,"Sep 17, 2009 00:00:00",2.18,2.14
2.16,1554360.0,2.16,"Sep 18, 2009 00:00:00",2.16,2.14
2.16,327720.0,2.14,"Sep 22, 2009 00:00:00",2.16,2.14
2.14,1538960.0,2.12,"Sep 23, 2009 00:00:00",2.14,2.12
1.9,687440.0,1.86,"Sep 30, 2009 00:00:00",1.9,1.82
1.84,781800.0,1.84,"Oct 01, 2009 00:00:00",1.84,1.82
1.82,843420.0,1.82,"Oct 02, 2009 00:00:00",1.84,1.8
1.86,206240.0,1.86,"Oct 05, 2009 00:00:00",1.86,1.84
1.88,1296260.0,1.86,"Oct 06, 2009 00:00:00",1.9,1.86
1.9,430260.0,1.92,"Oct 07, 2009 00:00:00",1.92,1.9
1.92,600340.0,1.96,"Oct 08, 2009 00:00:00",1.96,1.92
1.96,377320.0,1.94,"Oct 09, 2009 00:00:00",1.98,1.94
1.94,1069760.0,1.9,"Oct 12, 2009 00:00:00",1.94,1.9
1.86,195300.0,1.86,"Oct 13, 2009 00:00:00",1.86,1.86
1.86,31840.0,1.88,"Oct 14, 2009 00:00:00",1.88,1.86
1.86,122100.0,1.88,"Oct 15, 2009 00:00:00",1.88,1.86
1.86,307340.0,1.84,"Oct 19, 2009 00:00:00",1.86,1.84
1.82,739440.0,1.82,"Oct 20, 2009 00:00:00",1.84,1.82
1.8,457000.0,1.8,"Oct 21, 2009 00:00:00",1.8,1.78
1.8,90000.0,1.8,"Oct 22, 2009 00:00:00",1.8,1.8
1.8,474400.0,1.8,"Oct 23, 2009 00:00:00",1.82,1.8
1.8,403200.0,1.8,"Oct 26, 2009 00:00:00",1.8,1.8
1.8,2723020.0,1.76,"Oct 27, 2009 00:00:00",1.8,1.76
1.76,2293380.0,1.7,"Oct 28, 2009 00:00:00",1.76,1.7
1.7,465320.0,1.66,"Oct 29, 2009 00:00:00",1.7,1.66
1.6,2190900.0,1.66,"Oct 30, 2009 00:00:00",1.74,1.6
1.66,127680.0,1.64,"Nov 03, 2009 00:00:00",1.68,1.62
1.64,420760.0,1.6,"Nov 04, 2009 00:00:00",1.64,1.58
1.62,119180.0,1.64,"Nov 05, 2009 00:00:00",1.7,1.62
1.76,2855180.0,1.8,"Nov 06, 2009 00:00:00",1.8,1.7
1.8,904780.0,1.7,"Nov 09, 2009 00:00:00",1.8,1.7
1.7,685020.0,1.7,"Nov 10, 2009 00:00:00",1.72,1.7
1.66,677720.0,1.66,"Nov 11, 2009 00:00:00",1.68,1.66
1.52,1446540.0,1.56,"Dec 15, 2009 00:00:00",1.62,1.52
1.62,15780.0,1.56,"Dec 16, 2009 00:00:00",1.62,1.56
1.54,323600.0,1.54,"Dec 17, 2009 00:00:00",1.56,1.54
1.52,192240.0,1.54,"Dec 18, 2009 00:00:00",1.54,1.52
1.54,205160.0,1.56,"Dec 21, 2009 00:00:00",1.58,1.54
1.58,23780.0,1.62,"Dec 22, 2009 00:00:00",1.62,1.58
1.6,80000.0,1.6,"Dec 23, 2009 00:00:00",1.6,1.6
1.56,358800.0,1.56,"Dec 29, 2009 00:00:00",1.56,1.56
1.56,593480.0,1.54,"Jan 05, 2010 00:00:00",1.56,1.54
1.54,154000.0,1.54,"Jan 06, 2010 00:00:00",1.54,1.54
1.54,991300.0,1.6,"Jan 07, 2010 00:00:00",1.62,1.54
1.58,60040.0,1.58,"Jan 08, 2010 00:00:00",1.58,1.58
1.58,236140.0,1.54,"Jan 11, 2010 00:00:00",1.58,1.54
1.56,195140.0,1.58,"Jan 12, 2010 00:00:00",1.6,1.56
1.6,2001600.0,1.7,"Jan 13, 2010 00:00:00",1.72,1.6
1.74,7441960.0,1.88,"Jan 14, 2010 00:00:00",2.0,1.74
1.86,1400040.0,1.84,"Jan 15, 2010 00:00:00",1.92,1.84
1.94,430300.0,1.8,"Jan 18, 2010 00:00:00",1.94,1.72
1.76,860580.0,1.76,"Jan 19, 2010 00:00:00",1.82,1.74
1.74,239900.0,1.7,"Jan 20, 2010 00:00:00",1.76,1.7
1.7,84420.0,1.7,"Jan 21, 2010 00:00:00",1.7,1.68
1.64,1304020.0,1.6,"Jan 22, 2010 00:00:00",1.66,1.6
1.6,247080.0,1.62,"Jan 25, 2010 00:00:00",1.62,1.6
1.58,7900.0,1.58,"Jan 26, 2010 00:00:00",1.58,1.58
1.58,451680.0,1.56,"Jan 27, 2010 00:00:00",1.58,1.56
1.52,74360.0,1.58,"Jan 28, 2010 00:00:00",1.6,1.52
1.58,347600.0,1.58,"Jan 29, 2010 00:00:00",1.58,1.58
1.66,2011180.0,1.6,"Feb 01, 2010 00:00:00",1.66,1.58
1.62,2885160.0,1.66,"Feb 02, 2010 00:00:00",1.76,1.62
1.74,7192680.0,1.8,"Feb 03, 2010 00:00:00",1.86,1.7
2.0,36966400.0,2.0,"Feb 04, 2010 00:00:00",2.1,1.96
1.9,8514400.0,1.94,"Feb 05, 2010 00:00:00",2.0,1.86
1.98,2653720.0,1.84,"Feb 08, 2010 00:00:00",2.0,1.84
1.82,4153320.0,1.76,"Feb 09, 2010 00:00:00",1.84,1.74
1.84,4024860.0,1.86,"Feb 10, 2010 00:00:00",1.9,1.82
1.86,1418260.0,1.84,"Feb 11, 2010 00:00:00",1.88,1.84
2.1,10345620.0,1.98,"Mar 08, 2010 00:00:00",2.1,1.98
1.94,1141200.0,1.9,"Mar 12, 2010 00:00:00",1.94,1.88
1.9,4359400.0,1.84,"Mar 15, 2010 00:00:00",1.9,1.82
1.84,707660.0,1.86,"Mar 16, 2010 00:00:00",1.86,1.82
1.86,2512240.0,1.86,"Mar 17, 2010 00:00:00",1.88,1.84
1.84,356800.0,1.84,"Mar 31, 2010 00:00:00",1.86,1.82
1.76,959280.0,1.78,"Apr 20, 2010 00:00:00",1.8,1.76
1.78,2561460.0,1.8,"Apr 21, 2010 00:00:00",1.8,1.78
1.8,62440.0,1.8,"Apr 22, 2010 00:00:00",1.8,1.78
1.78,455680.0,1.78,"Apr 23, 2010 00:00:00",1.78,1.78
1.68,1598600.0,1.68,"Apr 29, 2010 00:00:00",1.7,1.64
1.62,493980.0,1.64,"Apr 30, 2010 00:00:00",1.7,1.62
1.68,127460.0,1.64,"May 04, 2010 00:00:00",1.68,1.62
1.64,884440.0,1.58,"May 05, 2010 00:00:00",1.64,1.56
1.54,867200.0,1.56,"May 13, 2010 00:00:00",1.58,1.52
1.56,414340.0,1.54,"May 14, 2010 00:00:00",1.58,1.52
1.58,627080.0,1.52,"May 17, 2010 00:00:00",1.58,1.5
1.52,1596140.0,1.5,"May 18, 2010 00:00:00",1.52,1.46
1.48,1311820.0,1.48,"May 19, 2010 00:00:00",1.48,1.44
1.44,858200.0,1.44,"May 20, 2010 00:00:00",1.46,1.42
1.44,1300980.0,1.42,"May 21, 2010 00:00:00",1.44,1.38
1.4,1611260.0,1.42,"May 24, 2010 00:00:00",1.42,1.38
1.38,2259800.0,1.4,"May 25, 2010 00:00:00",1.4,1.3
1.4,285480.0,1.38,"May 26, 2010 00:00:00",1.4,1.34
1.4,506440.0,1.4,"May 27, 2010 00:00:00",1.4,1.38
1.4,735500.0,1.44,"May 28, 2010 00:00:00",1.48,1.4
1.4,637620.0,1.42,"May 31, 2010 00:00:00",1.42,1.38
1.42,184600.0,1.42,"Jun 01, 2010 00:00:00",1.42,1.42
1.42,667360.0,1.42,"Jun 02, 2010 00:00:00",1.42,1.4
1.4,936600.0,1.4,"Jun 03, 2010 00:00:00",1.4,1.4
1.4,440660.0,1.4,"Jun 04, 2010 00:00:00",1.4,1.38
1.38,165400.0,1.4,"Jun 07, 2010 00:00:00",1.4,1.36
1.38,691200.0,1.36,"Jun 09, 2010 00:00:00",1.38,1.34
1.36,85680.0,1.36,"Jun 10, 2010 00:00:00",1.36,1.36
1.34,265740.0,1.38,"Jun 11, 2010 00:00:00",1.38,1.34
1.36,341360.0,1.36,"Jun 15, 2010 00:00:00",1.36,1.36
1.36,270060.0,1.38,"Jun 16, 2010 00:00:00",1.38,1.36
1.44,465440.0,1.46,"Jun 21, 2010 00:00:00",1.5,1.44
1.44,726800.0,1.42,"Jun 22, 2010 00:00:00",1.46,1.4
1.4,635600.0,1.4,"Jun 23, 2010 00:00:00",1.4,1.4
1.4,125880.0,1.38,"Jun 24, 2010 00:00:00",1.4,1.38
1.38,1084380.0,1.38,"Jun 25, 2010 00:00:00",1.4,1.38
1.36,293980.0,1.38,"Jun 28, 2010 00:00:00",1.38,1.36
1.36,272000.0,1.36,"Jun 29, 2010 00:00:00",1.36,1.36
1.38,59340.0,1.38,"Jul 01, 2010 00:00:00",1.38,1.38
1.36,659840.0,1.38,"Jul 02, 2010 00:00:00",1.38,1.32
1.48,114360.0,1.36,"Jul 06, 2010 00:00:00",1.48,1.36
1.36,193120.0,1.36,"Jul 07, 2010 00:00:00",1.36,1.36
1.36,87040.0,1.36,"Jul 08, 2010 00:00:00",1.36,1.36
1.36,88400.0,1.36,"Jul 09, 2010 00:00:00",1.36,1.36
1.38,287340.0,1.4,"Jul 13, 2010 00:00:00",1.42,1.38
1.38,179400.0,1.38,"Jul 15, 2010 00:00:00",1.38,1.38
1.38,168460.0,1.34,"Jul 19, 2010 00:00:00",1.38,1.34
1.32,3152960.0,1.36,"Jul 20, 2010 00:00:00",1.44,1.32
1.42,1118640.0,1.38,"Jul 21, 2010 00:00:00",1.42,1.38
1.4,751340.0,1.36,"Jul 22, 2010 00:00:00",1.4,1.36
1.36,428920.0,1.36,"Jul 23, 2010 00:00:00",1.36,1.34
1.4,9510960.0,1.4,"Sep 20, 2010 00:00:00",1.45,1.39
1.45,6506900.0,1.48,"Sep 21, 2010 00:00:00",1.6,1.45
1.5,6311840.0,1.54,"Sep 22, 2010 00:00:00",1.57,1.48
1.6,3499920.0,1.54,"Sep 23, 2010 00:00:00",1.6,1.52
1.56,1950560.0,1.5,"Sep 24, 2010 00:00:00",1.56,1.5
1.5,1971600.0,1.41,"Sep 27, 2010 00:00:00",1.52,1.41
1.41,341720.0,1.42,"Sep 28, 2010 00:00:00",1.44,1.41
1.41,1020110.0,1.4,"Sep 29, 2010 00:00:00",1.43,1.4
1.39,366170.0,1.35,"Sep 30, 2010 00:00:00",1.39,1.35
1.38,268030.0,1.36,"Oct 01, 2010 00:00:00",1.39,1.35
1.38,172720.0,1.38,"Oct 04, 2010 00:00:00",1.38,1.36
1.4,627440.0,1.36,"Oct 05, 2010 00:00:00",1.41,1.36
1.37,918020.0,1.39,"Oct 06, 2010 00:00:00",1.39,1.37
1.4,679540.0,1.38,"Oct 07, 2010 00:00:00",1.4,1.36
1.36,658000.0,1.36,"Oct 08, 2010 00:00:00",1.36,1.35
1.42,141400.0,1.36,"Oct 12, 2010 00:00:00",1.42,1.36
1.36,461420.0,1.38,"Oct 13, 2010 00:00:00",1.38,1.36
1.39,20785520.0,1.51,"Oct 14, 2010 00:00:00",1.55,1.36
1.54,13267160.0,1.68,"Oct 15, 2010 00:00:00",1.7,1.5
1.68,4975000.0,1.61,"Oct 18, 2010 00:00:00",1.74,1.56
1.62,454780.0,1.56,"Oct 19, 2010 00:00:00",1.67,1.53
1.51,3041910.0,1.6,"Oct 20, 2010 00:00:00",1.65,1.51
1.71,17721000.0,1.6,"Oct 21, 2010 00:00:00",1.74,1.58
1.65,7752360.0,1.67,"Oct 22, 2010 00:00:00",1.68,1.6
1.75,34324380.0,1.87,"Oct 26, 2010 00:00:00",1.88,1.72
1.92,35131260.0,1.85,"Oct 27, 2010 00:00:00",1.94,1.82
1.88,13527180.0,1.86,"Oct 28, 2010 00:00:00",1.9,1.84
1.91,11357120.0,1.83,"Oct 29, 2010 00:00:00",1.92,1.83
1.85,3285910.0,1.82,"Nov 02, 2010 00:00:00",1.85,1.81
1.82,5402720.0,1.78,"Nov 03, 2010 00:00:00",1.82,1.76
1.77,2563110.0,1.81,"Nov 04, 2010 00:00:00",1.84,1.75
1.8,1983610.0,1.76,"Nov 08, 2010 00:00:00",1.84,1.74
1.76,2109070.0,1.72,"Nov 09, 2010 00:00:00",1.77,1.72
1.76,3015430.0,1.7,"Nov 10, 2010 00:00:00",1.8,1.69
1.7,908390.0,1.68,"Nov 11, 2010 00:00:00",1.76,1.6
1.66,2866720.0,1.6,"Nov 12, 2010 00:00:00",1.66,1.6
1.62,1474570.0,1.66,"Nov 15, 2010 00:00:00",1.67,1.62
1.65,282660.0,1.63,"Nov 17, 2010 00:00:00",1.65,1.6
1.63,705340.0,1.63,"Nov 18, 2010 00:00:00",1.63,1.61
1.62,1223350.0,1.66,"Nov 19, 2010 00:00:00",1.69,1.62
1.62,1486790.0,1.6,"Nov 22, 2010 00:00:00",1.64,1.59
1.58,1020300.0,1.59,"Nov 23, 2010 00:00:00",1.6,1.58
1.56,1028070.0,1.58,"Nov 24, 2010 00:00:00",1.6,1.52
1.64,1140360.0,1.54,"Nov 25, 2010 00:00:00",1.64,1.54
1.54,2321440.0,1.48,"Nov 26, 2010 00:00:00",1.54,1.48
1.48,767100.0,1.4,"Nov 30, 2010 00:00:00",1.48,1.4
1.38,4136480.0,1.36,"Dec 01, 2010 00:00:00",1.4,1.28
1.36,2897090.0,1.38,"Dec 02, 2010 00:00:00",1.45,1.36
1.38,2127340.0,1.44,"Dec 03, 2010 00:00:00",1.44,1.36
1.47,13418870.0,1.7,"Dec 06, 2010 00:00:00",1.7,1.47
1.74,7840850.0,1.57,"Dec 07, 2010 00:00:00",1.77,1.56
1.6,2045650.0,1.53,"Dec 08, 2010 00:00:00",1.6,1.48
1.3,1862320.0,1.28,"Dec 16, 2010 00:00:00",1.3,1.26
1.31,863530.0,1.32,"Dec 22, 2010 00:00:00",1.38,1.3
1.32,241320.0,1.34,"Dec 23, 2010 00:00:00",1.34,1.32
1.26,342810.0,1.32,"Dec 28, 2010 00:00:00",1.35,1.26
1.26,342810.0,1.32,"Dec 28, 2010 00:00:00",1.35,1.26
1.26,342810.0,1.32,"Dec 28, 2010 00:00:00",1.35,1.26
1.26,342810.0,1.32,"Dec 28, 2010 00:00:00",1.35,1.26
1.26,342810.0,1.32,"Dec 28, 2010 00:00:00",1.35,1.26
1.26,342810.0,1.32,"Dec 28, 2010 00:00:00",1.35,1.26
1.26,342810.0,1.32,"Dec 28, 2010 00:00:00",1.35,1.26
1.26,342810.0,1.32,"Dec 28, 2010 00:00:00",1.35,1.26
1.26,342810.0,1.32,"Dec 28, 2010 00:00:00",1.35,1.26
1.26,342810.0,1.32,"Dec 28, 2010 00:00:00",1.35,1.26
1.26,342810.0,1.32,"Dec 28, 2010 00:00:00",1.35,1.26
1.26,342810.0,1.32,"Dec 28, 2010 00:00:00",1.35,1.26
1.26,342810.0,1.32,"Dec 28, 2010 00:00:00",1.35,1.26
1.26,342810.0,1.32,"Dec 28, 2010 00:00:00",1.35,1.26
