OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
13.48,3215755116.0,13.48,"Jun 01, 2021 00:00:00",13.56,13.46
13.48,925889904.0,13.48,"Jun 02, 2021 00:00:00",13.5,13.46
13.5,1956805658.0,13.1,"Jun 03, 2021 00:00:00",13.5,12.68
13.1,301505780.0,13.4,"Jun 04, 2021 00:00:00",13.42,13.1
13.4,107596098.0,13.46,"Jun 07, 2021 00:00:00",13.48,13.38
13.46,132596134.0,13.46,"Jun 08, 2021 00:00:00",13.48,13.38
13.46,395501156.0,13.7,"Jun 09, 2021 00:00:00",13.76,13.42
13.78,332593100.0,13.92,"Jun 10, 2021 00:00:00",14.16,13.74
13.92,87118870.0,14.04,"Jun 11, 2021 00:00:00",14.1,13.8
14.1,166249346.0,14.68,"Jun 14, 2021 00:00:00",14.7,14.06
14.66,199090818.0,14.66,"Jun 15, 2021 00:00:00",14.76,14.42
14.7,144383876.0,14.74,"Jun 16, 2021 00:00:00",14.76,14.5
14.76,126083214.0,14.6,"Jun 17, 2021 00:00:00",14.78,14.42
14.6,46002452.0,14.3,"Jun 18, 2021 00:00:00",14.66,14.3
14.3,53414982.0,14.5,"Jun 21, 2021 00:00:00",14.54,14.3
14.48,155515888.0,14.58,"Jun 22, 2021 00:00:00",14.58,14.32
14.58,149883804.0,14.74,"Jun 23, 2021 00:00:00",14.76,14.52
14.76,471663576.0,15.34,"Jun 24, 2021 00:00:00",15.6,14.76
15.6,338775236.0,15.34,"Jun 25, 2021 00:00:00",15.98,15.24
15.5,64331354.0,15.6,"Jun 28, 2021 00:00:00",15.8,15.5
15.62,369807684.0,16.04,"Jun 29, 2021 00:00:00",16.08,15.62
16.12,495712002.0,16.52,"Jun 30, 2021 00:00:00",16.8,16.12
16.68,642162224.0,17.0,"Jul 01, 2021 00:00:00",17.0,16.52
16.86,188686396.0,17.0,"Jul 02, 2021 00:00:00",17.16,16.84
17.0,232876312.0,16.88,"Jul 05, 2021 00:00:00",17.12,16.74
16.9,218282364.0,16.44,"Jul 06, 2021 00:00:00",17.0,16.3
16.5,134475846.0,16.2,"Jul 07, 2021 00:00:00",16.58,16.18
16.2,167557576.0,16.7,"Jul 08, 2021 00:00:00",16.7,16.2
16.7,279879050.0,17.0,"Jul 09, 2021 00:00:00",17.06,16.4
16.9,85519166.0,16.92,"Jul 12, 2021 00:00:00",17.02,16.8
16.92,167510072.0,16.64,"Jul 13, 2021 00:00:00",16.94,16.42
16.64,118279840.0,16.34,"Jul 14, 2021 00:00:00",16.64,16.24
16.36,104011926.0,16.4,"Jul 15, 2021 00:00:00",16.6,16.22
16.48,301356876.0,15.68,"Jul 16, 2021 00:00:00",16.56,15.56
15.68,550134530.0,15.18,"Jul 19, 2021 00:00:00",15.68,14.42
15.1,213839342.0,15.02,"Jul 21, 2021 00:00:00",15.1,14.66
15.02,108784616.0,15.26,"Jul 22, 2021 00:00:00",15.52,15.02
15.38,119258314.0,15.0,"Jul 23, 2021 00:00:00",15.4,14.88
15.06,69785526.0,14.9,"Jul 26, 2021 00:00:00",15.06,14.74
14.9,76647566.0,15.08,"Jul 27, 2021 00:00:00",15.18,14.88
14.9,61382764.0,14.88,"Jul 28, 2021 00:00:00",15.0,14.76
14.88,248642980.0,15.26,"Jul 29, 2021 00:00:00",15.46,14.86
15.26,202743066.0,14.78,"Jul 30, 2021 00:00:00",15.46,14.66
14.8,94755256.0,14.78,"Aug 02, 2021 00:00:00",15.06,14.68
14.84,121669914.0,15.0,"Aug 03, 2021 00:00:00",15.18,14.78
15.12,108561886.0,15.58,"Aug 04, 2021 00:00:00",15.6,15.12
15.58,74438402.0,15.3,"Aug 05, 2021 00:00:00",15.58,15.1
15.34,335374720.0,15.7,"Aug 06, 2021 00:00:00",15.98,15.34
15.72,350601352.0,16.78,"Aug 09, 2021 00:00:00",16.96,15.72
16.78,539661662.0,16.92,"Aug 10, 2021 00:00:00",16.96,16.52
16.96,465857350.0,17.0,"Aug 11, 2021 00:00:00",17.4,16.72
16.88,197124950.0,16.52,"Aug 12, 2021 00:00:00",16.9,16.28
15.92,455261510.0,15.54,"Aug 13, 2021 00:00:00",16.1,15.4
15.4,232083180.0,15.9,"Aug 16, 2021 00:00:00",16.0,15.2
15.92,83512392.0,15.98,"Aug 17, 2021 00:00:00",16.2,15.88
16.08,116770414.0,16.04,"Aug 18, 2021 00:00:00",16.36,15.9
16.04,107878706.0,16.4,"Aug 19, 2021 00:00:00",16.46,16.04
16.46,246741996.0,16.8,"Aug 20, 2021 00:00:00",16.86,16.22
16.8,97074870.0,16.76,"Aug 23, 2021 00:00:00",16.88,16.54
16.76,104849298.0,16.76,"Aug 24, 2021 00:00:00",16.76,16.66
16.76,86957086.0,16.62,"Aug 25, 2021 00:00:00",16.76,16.58
16.62,209077518.0,16.3,"Aug 26, 2021 00:00:00",16.68,16.22
16.34,119315112.0,16.74,"Aug 27, 2021 00:00:00",16.88,16.34
16.74,186085562.0,16.84,"Aug 31, 2021 00:00:00",16.96,16.7
16.84,178478184.0,16.6,"Sep 01, 2021 00:00:00",16.96,16.44
16.6,262399902.0,16.5,"Sep 02, 2021 00:00:00",16.6,16.38
16.76,120811826.0,16.7,"Sep 03, 2021 00:00:00",16.76,16.5
16.7,106884036.0,16.72,"Sep 06, 2021 00:00:00",16.96,16.68
16.74,650788038.0,17.68,"Sep 07, 2021 00:00:00",17.7,16.74
17.5,383873066.0,17.2,"Sep 08, 2021 00:00:00",17.5,17.12
17.22,274265426.0,17.36,"Sep 09, 2021 00:00:00",17.46,17.22
17.38,209217146.0,17.48,"Sep 10, 2021 00:00:00",17.68,17.36
17.46,218655160.0,17.58,"Sep 13, 2021 00:00:00",17.86,17.4
17.66,527480674.0,18.26,"Sep 14, 2021 00:00:00",18.26,17.58
18.3,542506548.0,19.0,"Sep 15, 2021 00:00:00",19.0,18.26
18.98,673198816.0,18.96,"Sep 16, 2021 00:00:00",19.5,18.84
19.0,918824310.0,19.5,"Sep 17, 2021 00:00:00",19.84,18.88
19.3,441447430.0,19.3,"Sep 20, 2021 00:00:00",19.7,18.6
18.92,438018718.0,18.94,"Sep 21, 2021 00:00:00",19.16,18.76
19.1,174413532.0,19.42,"Sep 22, 2021 00:00:00",19.52,19.04
19.7,541089048.0,19.6,"Sep 23, 2021 00:00:00",20.0,19.46
19.68,664790014.0,19.92,"Sep 24, 2021 00:00:00",20.1,19.68
20.0,465113245.0,20.25,"Sep 27, 2021 00:00:00",20.7,19.98
20.0,465113245.0,20.25,"Sep 27, 2021 00:00:00",20.7,19.98
19.3,2183472476.0,18.62,"Sep 28, 2021 00:00:00",19.34,18.62
18.62,1773559566.0,17.82,"Sep 29, 2021 00:00:00",18.78,17.54
18.1,814034986.0,18.8,"Sep 30, 2021 00:00:00",18.86,18.1
18.74,645575178.0,18.8,"Oct 01, 2021 00:00:00",19.1,18.62
19.0,265693942.0,19.06,"Oct 04, 2021 00:00:00",19.14,18.76
19.0,703468226.0,18.8,"Oct 05, 2021 00:00:00",19.06,18.76
18.8,217303548.0,19.0,"Oct 06, 2021 00:00:00",19.14,18.76
