OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.26,1149100.0,0.26,"Aug 03, 2009 00:00:00",0.27,0.25
0.26,669400.0,0.26,"Aug 04, 2009 00:00:00",0.27,0.26
0.26,531000.0,0.25,"Aug 06, 2009 00:00:00",0.26,0.25
0.25,142500.0,0.25,"Aug 07, 2009 00:00:00",0.25,0.25
0.26,2600.0,0.26,"Aug 10, 2009 00:00:00",0.26,0.26
0.26,233700.0,0.26,"Aug 11, 2009 00:00:00",0.26,0.25
0.24,307800.0,0.25,"Aug 12, 2009 00:00:00",0.25,0.24
0.25,649000.0,0.27,"Aug 13, 2009 00:00:00",0.27,0.25
0.25,137500.0,0.25,"Aug 17, 2009 00:00:00",0.25,0.25
0.25,57500.0,0.25,"Aug 18, 2009 00:00:00",0.25,0.25
0.25,82500.0,0.25,"Aug 19, 2009 00:00:00",0.25,0.25
0.25,174500.0,0.27,"Aug 24, 2009 00:00:00",0.27,0.25
0.245,608900.0,0.26,"Aug 26, 2009 00:00:00",0.26,0.245
0.25,243050.0,0.25,"Sep 03, 2009 00:00:00",0.25,0.245
0.235,2350.0,0.235,"Sep 17, 2009 00:00:00",0.235,0.235
0.24,68650.0,0.24,"Sep 18, 2009 00:00:00",0.24,0.235
0.225,56250.0,0.225,"Sep 23, 2009 00:00:00",0.225,0.225
0.22,397250.0,0.225,"Sep 30, 2009 00:00:00",0.225,0.21
0.21,26850.0,0.225,"Oct 01, 2009 00:00:00",0.225,0.21
0.21,304050.0,0.22,"Oct 02, 2009 00:00:00",0.22,0.205
0.205,10750.0,0.22,"Oct 05, 2009 00:00:00",0.22,0.205
0.21,564350.0,0.22,"Oct 06, 2009 00:00:00",0.22,0.21
0.225,237850.0,0.225,"Oct 07, 2009 00:00:00",0.235,0.215
0.225,245200.0,0.24,"Oct 08, 2009 00:00:00",0.24,0.225
0.24,54150.0,0.235,"Oct 09, 2009 00:00:00",0.24,0.23
0.22,171250.0,0.225,"Oct 12, 2009 00:00:00",0.23,0.22
0.235,2350.0,0.235,"Oct 13, 2009 00:00:00",0.235,0.235
0.22,100450.0,0.235,"Oct 14, 2009 00:00:00",0.24,0.22
0.24,2400.0,0.24,"Oct 15, 2009 00:00:00",0.24,0.24
0.24,9884800.0,0.36,"Oct 16, 2009 00:00:00",0.36,0.24
0.46,23696700.0,0.42,"Oct 19, 2009 00:00:00",0.49,0.38
0.41,9028100.0,0.39,"Oct 20, 2009 00:00:00",0.43,0.37
0.39,2893200.0,0.35,"Oct 21, 2009 00:00:00",0.39,0.35
0.35,2365500.0,0.33,"Oct 22, 2009 00:00:00",0.35,0.31
0.35,6139000.0,0.38,"Oct 23, 2009 00:00:00",0.38,0.33
0.37,3515600.0,0.37,"Oct 26, 2009 00:00:00",0.39,0.36
0.36,504800.0,0.36,"Oct 27, 2009 00:00:00",0.38,0.36
0.36,1518900.0,0.35,"Oct 28, 2009 00:00:00",0.37,0.34
0.34,1484900.0,0.32,"Oct 29, 2009 00:00:00",0.34,0.31
0.33,364900.0,0.34,"Oct 30, 2009 00:00:00",0.35,0.33
0.34,487900.0,0.31,"Nov 03, 2009 00:00:00",0.34,0.3
0.3,460300.0,0.29,"Nov 04, 2009 00:00:00",0.3,0.29
0.33,606700.0,0.29,"Nov 05, 2009 00:00:00",0.34,0.29
0.3,305900.0,0.3,"Nov 06, 2009 00:00:00",0.3,0.29
0.29,422000.0,0.31,"Nov 09, 2009 00:00:00",0.31,0.29
0.31,446700.0,0.31,"Nov 10, 2009 00:00:00",0.32,0.3
0.29,587500.0,0.29,"Nov 11, 2009 00:00:00",0.31,0.29
0.32,482400.0,0.32,"Dec 15, 2009 00:00:00",0.32,0.31
0.32,32000.0,0.32,"Dec 16, 2009 00:00:00",0.32,0.32
0.32,2530400.0,0.33,"Dec 17, 2009 00:00:00",0.36,0.32
0.33,737100.0,0.34,"Dec 18, 2009 00:00:00",0.34,0.33
0.33,127100.0,0.32,"Dec 21, 2009 00:00:00",0.33,0.32
0.32,16100.0,0.33,"Dec 22, 2009 00:00:00",0.33,0.32
0.33,64400.0,0.33,"Dec 23, 2009 00:00:00",0.33,0.32
0.34,3920300.0,0.36,"Dec 29, 2009 00:00:00",0.37,0.34
0.37,42348900.0,0.54,"Jan 04, 2010 00:00:00",0.54,0.37
0.6,89494000.0,0.67,"Jan 05, 2010 00:00:00",0.79,0.59
0.71,70616700.0,0.75,"Jan 06, 2010 00:00:00",0.77,0.64
0.86,74001100.0,0.77,"Jan 07, 2010 00:00:00",0.88,0.76
0.75,43456800.0,0.62,"Jan 08, 2010 00:00:00",0.76,0.6
0.62,32858400.0,0.67,"Jan 11, 2010 00:00:00",0.69,0.61
0.67,7594000.0,0.66,"Jan 12, 2010 00:00:00",0.67,0.63
0.66,4295500.0,0.64,"Jan 13, 2010 00:00:00",0.66,0.63
0.63,3641400.0,0.64,"Jan 14, 2010 00:00:00",0.65,0.62
0.65,18473000.0,0.69,"Jan 15, 2010 00:00:00",0.7,0.64
0.69,31145200.0,0.74,"Jan 18, 2010 00:00:00",0.74,0.69
0.74,43882000.0,0.75,"Jan 19, 2010 00:00:00",0.78,0.72
0.76,27440000.0,0.72,"Jan 20, 2010 00:00:00",0.77,0.68
0.68,6043900.0,0.72,"Jan 21, 2010 00:00:00",0.72,0.68
0.72,11357600.0,0.7,"Jan 22, 2010 00:00:00",0.72,0.68
0.68,5118800.0,0.69,"Jan 25, 2010 00:00:00",0.69,0.66
0.69,32740600.0,0.7,"Jan 26, 2010 00:00:00",0.76,0.69
0.71,12037600.0,0.71,"Jan 27, 2010 00:00:00",0.72,0.66
0.71,10441700.0,0.72,"Jan 28, 2010 00:00:00",0.73,0.7
0.69,16510800.0,0.74,"Jan 29, 2010 00:00:00",0.76,0.69
0.73,61191200.0,0.79,"Feb 01, 2010 00:00:00",0.82,0.73
0.81,36479100.0,0.8,"Feb 02, 2010 00:00:00",0.84,0.79
0.83,24542600.0,0.82,"Feb 03, 2010 00:00:00",0.84,0.8
0.82,17755400.0,0.83,"Feb 04, 2010 00:00:00",0.85,0.82
0.8,12738600.0,0.8,"Feb 05, 2010 00:00:00",0.81,0.78
0.82,1930100.0,0.8,"Feb 08, 2010 00:00:00",0.82,0.78
0.8,6934300.0,0.76,"Feb 09, 2010 00:00:00",0.8,0.74
0.77,29241700.0,0.84,"Feb 10, 2010 00:00:00",0.84,0.77
0.85,56962000.0,0.96,"Feb 11, 2010 00:00:00",0.96,0.85
0.94,48167000.0,1.04,"Mar 08, 2010 00:00:00",1.08,0.94
0.99,7904400.0,1.02,"Mar 12, 2010 00:00:00",1.04,0.99
1.04,6339200.0,1.04,"Mar 15, 2010 00:00:00",1.04,1.0
1.02,4323120.0,1.04,"Mar 16, 2010 00:00:00",1.04,1.0
1.04,25708300.0,1.08,"Mar 17, 2010 00:00:00",1.1,1.04
0.97,2450100.0,1.0,"Mar 31, 2010 00:00:00",1.0,0.97
0.89,2084100.0,0.91,"Apr 20, 2010 00:00:00",0.91,0.87
0.9,2764400.0,0.92,"Apr 21, 2010 00:00:00",0.92,0.88
0.9,2333600.0,0.91,"Apr 22, 2010 00:00:00",0.91,0.88
0.88,1501300.0,0.9,"Apr 23, 2010 00:00:00",0.9,0.87
0.86,9099800.0,0.87,"Apr 29, 2010 00:00:00",0.87,0.81
0.85,4825100.0,0.84,"Apr 30, 2010 00:00:00",0.85,0.81
0.82,2946200.0,0.84,"May 04, 2010 00:00:00",0.84,0.81
0.81,1215900.0,0.8,"May 05, 2010 00:00:00",0.83,0.79
0.84,3476900.0,0.85,"May 13, 2010 00:00:00",0.85,0.8
0.83,1063400.0,0.83,"May 14, 2010 00:00:00",0.84,0.81
0.81,5462600.0,0.85,"May 17, 2010 00:00:00",0.85,0.8
0.82,13248700.0,0.85,"May 18, 2010 00:00:00",0.87,0.79
0.82,19034900.0,0.84,"May 19, 2010 00:00:00",0.84,0.77
0.81,1971600.0,0.83,"May 20, 2010 00:00:00",0.83,0.79
0.8,1646000.0,0.82,"May 21, 2010 00:00:00",0.82,0.78
0.82,606800.0,0.82,"May 24, 2010 00:00:00",0.82,0.79
0.8,1709600.0,0.8,"May 25, 2010 00:00:00",0.81,0.78
0.8,436400.0,0.8,"May 26, 2010 00:00:00",0.81,0.78
0.79,442500.0,0.8,"May 27, 2010 00:00:00",0.8,0.79
0.8,897100.0,0.82,"May 28, 2010 00:00:00",0.82,0.8
0.79,952500.0,0.78,"May 31, 2010 00:00:00",0.82,0.78
0.81,859200.0,0.81,"Jun 01, 2010 00:00:00",0.82,0.79
0.78,597700.0,0.82,"Jun 02, 2010 00:00:00",0.82,0.78
0.8,588800.0,0.82,"Jun 03, 2010 00:00:00",0.82,0.8
0.79,1213300.0,0.82,"Jun 04, 2010 00:00:00",0.82,0.79
0.78,2697100.0,0.82,"Jun 08, 2010 00:00:00",0.82,0.76
0.78,2824100.0,0.79,"Jun 09, 2010 00:00:00",0.79,0.76
0.76,1034200.0,0.78,"Jun 10, 2010 00:00:00",0.78,0.75
0.78,899300.0,0.78,"Jun 11, 2010 00:00:00",0.78,0.75
0.78,1712700.0,0.78,"Jun 15, 2010 00:00:00",0.78,0.75
0.77,779900.0,0.78,"Jun 16, 2010 00:00:00",0.78,0.76
0.79,1049100.0,0.79,"Jun 21, 2010 00:00:00",0.79,0.77
0.77,882500.0,0.78,"Jun 22, 2010 00:00:00",0.78,0.76
0.76,1268500.0,0.75,"Jun 24, 2010 00:00:00",0.76,0.75
0.77,1237400.0,0.77,"Jun 25, 2010 00:00:00",0.77,0.75
0.77,654700.0,0.78,"Jun 28, 2010 00:00:00",0.78,0.77
0.77,477100.0,0.78,"Jun 29, 2010 00:00:00",0.78,0.75
0.75,1400700.0,0.77,"Jul 01, 2010 00:00:00",0.78,0.74
0.74,1863100.0,0.72,"Jul 02, 2010 00:00:00",0.76,0.71
0.72,1850200.0,0.76,"Jul 06, 2010 00:00:00",0.77,0.72
0.76,7804200.0,0.75,"Jul 07, 2010 00:00:00",0.76,0.7
0.72,2882500.0,0.74,"Jul 08, 2010 00:00:00",0.76,0.71
0.73,1085000.0,0.74,"Jul 09, 2010 00:00:00",0.75,0.72
0.72,2407300.0,0.73,"Jul 13, 2010 00:00:00",0.73,0.71
0.73,547600.0,0.74,"Jul 14, 2010 00:00:00",0.74,0.73
0.73,1837400.0,0.74,"Jul 15, 2010 00:00:00",0.74,0.7
0.71,1242700.0,0.73,"Jul 16, 2010 00:00:00",0.73,0.7
0.72,467400.0,0.73,"Jul 19, 2010 00:00:00",0.73,0.71
0.71,1859800.0,0.72,"Jul 20, 2010 00:00:00",0.73,0.7
0.72,2331000.0,0.72,"Jul 21, 2010 00:00:00",0.72,0.67
0.68,3716200.0,0.71,"Jul 22, 2010 00:00:00",0.71,0.67
0.69,5727700.0,0.67,"Jul 23, 2010 00:00:00",0.71,0.65
0.8,3763530.0,0.82,"Sep 20, 2010 00:00:00",0.82,0.78
0.81,3935870.0,0.82,"Sep 21, 2010 00:00:00",0.82,0.79
0.81,4585220.0,0.82,"Sep 22, 2010 00:00:00",0.82,0.78
0.81,6385210.0,0.81,"Sep 23, 2010 00:00:00",0.81,0.78
0.81,3403290.0,0.78,"Sep 24, 2010 00:00:00",0.81,0.78
0.77,2230280.0,0.75,"Sep 27, 2010 00:00:00",0.77,0.74
0.74,2124450.0,0.73,"Sep 28, 2010 00:00:00",0.74,0.7
0.73,2186300.0,0.71,"Sep 29, 2010 00:00:00",0.73,0.69
0.68,1821420.0,0.65,"Sep 30, 2010 00:00:00",0.69,0.65
0.65,5451310.0,0.67,"Oct 01, 2010 00:00:00",0.69,0.56
0.69,289980.0,0.68,"Oct 04, 2010 00:00:00",0.69,0.66
0.68,1365590.0,0.69,"Oct 05, 2010 00:00:00",0.69,0.65
0.66,1404200.0,0.69,"Oct 06, 2010 00:00:00",0.69,0.65
