OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
4.3,781075810.0,4.0,"Nov 24, 2015 00:00:00",4.49,4.0
4.03,180991610.0,4.01,"Nov 25, 2015 00:00:00",4.07,3.97
4.02,117336380.0,3.98,"Nov 26, 2015 00:00:00",4.03,3.97
3.99,195488290.0,3.82,"Nov 27, 2015 00:00:00",4.0,3.81
3.82,50519750.0,3.84,"Dec 01, 2015 00:00:00",3.89,3.81
3.87,24917220.0,3.95,"Dec 02, 2015 00:00:00",3.96,3.87
3.95,23651590.0,3.88,"Dec 03, 2015 00:00:00",3.95,3.88
3.88,16118750.0,3.86,"Dec 04, 2015 00:00:00",3.88,3.84
3.88,19426390.0,3.88,"Dec 07, 2015 00:00:00",3.95,3.87
3.88,22520000.0,3.85,"Dec 08, 2015 00:00:00",3.89,3.83
3.84,25423560.0,3.83,"Dec 09, 2015 00:00:00",3.86,3.8
3.83,58183830.0,3.84,"Dec 10, 2015 00:00:00",3.87,3.8
3.83,39612030.0,3.84,"Dec 11, 2015 00:00:00",3.85,3.8
3.81,62397570.0,3.74,"Dec 14, 2015 00:00:00",3.81,3.69
3.74,11457510.0,3.74,"Dec 15, 2015 00:00:00",3.75,3.69
3.74,22825040.0,3.74,"Dec 16, 2015 00:00:00",3.77,3.73
3.75,18179870.0,3.78,"Dec 17, 2015 00:00:00",3.79,3.75
3.78,12059780.0,3.73,"Dec 18, 2015 00:00:00",3.78,3.73
3.74,14046670.0,3.7,"Dec 21, 2015 00:00:00",3.75,3.63
3.69,23116760.0,3.69,"Dec 22, 2015 00:00:00",3.7,3.66
3.7,17146780.0,3.83,"Dec 23, 2015 00:00:00",3.85,3.69
3.83,17132230.0,3.9,"Dec 28, 2015 00:00:00",3.9,3.83
3.9,87004900.0,3.98,"Dec 29, 2015 00:00:00",3.98,3.87
3.96,11341780.0,3.89,"Jan 04, 2016 00:00:00",3.96,3.85
3.88,5104570.0,3.85,"Jan 05, 2016 00:00:00",3.88,3.8
3.85,8825020.0,3.9,"Jan 06, 2016 00:00:00",3.94,3.85
3.9,10095350.0,3.78,"Jan 07, 2016 00:00:00",3.9,3.76
3.76,9534870.0,3.78,"Jan 08, 2016 00:00:00",3.79,3.6
3.79,13566090.0,3.6,"Jan 11, 2016 00:00:00",3.79,3.5
3.54,9121410.0,3.6,"Jan 12, 2016 00:00:00",3.62,3.54
3.62,7343350.0,3.57,"Jan 13, 2016 00:00:00",3.67,3.56
3.58,3090750.0,3.52,"Jan 14, 2016 00:00:00",3.58,3.5
3.53,2795050.0,3.52,"Jan 15, 2016 00:00:00",3.56,3.51
