OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
16.0,47241400.0,15.75,"Aug 03, 2009 00:00:00",16.0,15.5
15.0,41372075.0,15.5,"Aug 04, 2009 00:00:00",15.75,15.0
15.5,31676725.0,15.5,"Aug 06, 2009 00:00:00",15.5,15.25
15.25,54377950.0,15.25,"Aug 07, 2009 00:00:00",15.5,15.0
15.25,45451175.0,15.25,"Aug 10, 2009 00:00:00",15.5,15.25
15.5,32277050.0,15.25,"Aug 11, 2009 00:00:00",15.5,15.25
15.25,9560000.0,15.25,"Aug 12, 2009 00:00:00",15.5,15.0
15.25,32643075.0,15.25,"Aug 13, 2009 00:00:00",15.5,15.25
15.5,9136825.0,15.5,"Aug 14, 2009 00:00:00",15.5,15.25
15.25,41616875.0,14.75,"Aug 17, 2009 00:00:00",15.25,14.75
14.5,67132175.0,14.5,"Aug 18, 2009 00:00:00",14.75,14.25
14.5,42152400.0,14.5,"Aug 19, 2009 00:00:00",14.75,14.5
14.75,59301125.0,14.5,"Aug 20, 2009 00:00:00",15.0,14.5
14.75,54584825.0,14.75,"Aug 24, 2009 00:00:00",15.0,14.75
15.0,26125475.0,15.0,"Aug 25, 2009 00:00:00",15.25,14.75
15.0,51691450.0,15.25,"Aug 26, 2009 00:00:00",15.25,15.0
15.25,35842200.0,15.5,"Sep 03, 2009 00:00:00",15.5,15.25
15.5,256831525.0,16.5,"Sep 04, 2009 00:00:00",16.5,15.5
15.75,15947900.0,15.5,"Sep 16, 2009 00:00:00",15.75,15.25
15.75,20124500.0,15.5,"Sep 17, 2009 00:00:00",15.75,15.5
15.5,28616400.0,15.75,"Sep 18, 2009 00:00:00",15.75,15.5
15.75,39384000.0,15.75,"Sep 22, 2009 00:00:00",15.75,15.5
15.75,57920025.0,15.75,"Sep 23, 2009 00:00:00",15.75,15.5
15.0,87327650.0,15.5,"Sep 30, 2009 00:00:00",15.5,15.0
15.5,456382000.0,15.5,"Oct 01, 2009 00:00:00",15.75,15.25
15.25,57684700.0,15.75,"Oct 02, 2009 00:00:00",15.75,15.25
15.75,91697075.0,15.5,"Oct 05, 2009 00:00:00",15.75,15.5
